run,benchmark,prefetcher,stage,config,pf_level,memory,simSeconds,simTicks,simInsts,simOps,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_demand_miss_latency,l1d_demand_avg_miss_latency,l2_demand_miss_latency,l2_demand_avg_miss_latency,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l1d_prefetcher_accuracy,l1d_prefetcher_coverage,l1d_pf_late,l1d_pf_hit_in_cache,l1d_pf_hit_in_mshr,l1d_pf_hit_in_wb,l1d_pf_identified,l1d_pf_buffer_hit,l1d_pf_in_cache,l1d_pf_removed_demand,l1d_pf_removed_full,l1d_pf_span_page,l1d_pf_useful_span_page,l2_pf_issued,l2_pf_useful,l2_pf_unused,l2_prefetcher_accuracy,l2_prefetcher_coverage,l2_pf_late,l2_pf_hit_in_cache,l2_pf_hit_in_mshr,l2_pf_hit_in_wb,l2_pf_identified,l2_pf_buffer_hit,l2_pf_in_cache,l2_pf_removed_demand,l2_pf_removed_full,l2_pf_span_page,l2_pf_useful_span_page,l1d_blocked_cycles_no_mshrs,l1d_blocked_causes_no_mshrs,l1d_avg_blocked_no_mshrs,l2_blocked_cycles_no_mshrs,l2_blocked_causes_no_mshrs,l2_avg_blocked_no_mshrs,l1d_demand_mshr_hits,l1d_demand_mshr_misses,l1d_demand_mshr_miss_rate,l1d_demand_avg_mshr_miss_latency,l2_demand_mshr_hits,l2_demand_mshr_misses,l2_demand_mshr_miss_rate,l2_demand_avg_mshr_miss_latency,mem_avg_rdq_len,mem_avg_wrq_len,mem_num_rd_retry,mem_num_wr_retry,mem_avg_read_bw_sys,mem_avg_write_bw_sys,dram_bw_read_total,dram_bw_write_total,dram_bw_total,dram_peak_bw,dram_avg_rd_bw,dram_avg_wr_bw,dram_avg_q_lat,dram_avg_bus_lat,dram_avg_mem_acc_lat,l1d_prefetcher_read_bytes,l1d_prefetcher_read_rate,l1d_prefetcher_read_accesses,l1d_prefetcher_read_avg_lat,l2_prefetcher_read_bytes,l2_prefetcher_read_rate,l2_prefetcher_read_accesses,l2_prefetcher_read_avg_lat,load_to_use_samples,load_to_use_mean,load_to_use_stdev,load_to_use_overflows,load_to_use_min,load_to_use_max,added_loads_and_stores,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,pf_coverage,pf_late,pf_late_ratio,pf_removed_full,pf_removed_demand,pf_buffer_hit,pf_identified,pf_removed_full_ratio,pf_removed_demand_ratio,pf_buffer_hit_ratio,prefetcher_read_rate,prefetcher_read_bytes,dram_bw_utilization
bfs_ampm_assoc16_l1d_ddr4_1x,bfs,ampm,stage1,assoc16,l1d,ddr4_1x,0.021075,21075032871.0,30729211.0,31124590.0,63288387.0,0.485543,5598182.0,11498592.0,1741540.0,6186177.0,217032780122.0,38768.43949,142640140308.0,81904.601851,5578178.0,361444.0,2444506.0,0.064796,0.103069,2537586.0,1290370.0,1246350.0,866.0,12145603.0,4176265.0,0.0,485471.0,1172461.0,1017786.0,178612.0,,,,,,,,,,,,,,,,,4231463.0,828047.0,5.110172,0.0,0.0,,2452820.0,3145362.0,0.273543,35009.075106,,1741540.0,0.281521,81571.601851,6.39,57.52,0.0,0.0,5288657184.177922,480905726.7923063,5288654147.0,480905727.0,5769559874.0,19207.0,5268.614511,480.547388,37038.08,3332.0,54530.08,41781056.0,1982490668.2585645,654926.0,54480.38,,,,,8774099.0,56.761474,102.713916,140264.0,2.0,1761.0,12882423.0,0.02764,1.3115065243179123,5578178.0,361444.0,2444506.0,0.06479606781999427,0.43822660374050454,0.486858043141282,0.28152120445308954,0.060648772255171714,2537586.0,0.4549130558400969,1172461.0,485471.0,4176265.0,12145603.0,0.0965337826372227,0.039970926103874795,0.34384995129513124,1982490668.2585645,41781056.0,0.28647269582974333
bfs_ampm_assoc16_l1d_ddr4_2x,bfs,ampm,stage1,assoc16,l1d,ddr4_2x,0.018754,18754269957.0,30729211.0,31124590.0,56319129.0,0.545627,5449883.0,11379513.0,1746043.0,6268754.0,179884053485.0,33006.956936,113649657129.0,65089.83864,5900082.0,381981.0,2522713.0,0.064742,0.108772,2761345.0,1519914.0,1240338.0,1093.0,12809229.0,4475233.0,0.0,476621.0,1251453.0,1139693.0,219839.0,,,,,,,,,,,,,,,,,2965861.0,759352.0,3.905779,0.0,0.0,,2320095.0,3129788.0,0.275037,29582.235966,,1746043.0,0.278531,64756.83864,3.1950000000000003,57.065,0.0,0.0,5958473257.354958,540381684.9835484,5958469845.0,540381685.0,6498851530.0,38414.0,5924.825453,539.023488,20218.395,3332.0,37710.395,42734656.0,2278662731.0997705,670673.0,35837.145000000004,,,,,8774099.0,49.111968,88.058642,49895.0,2.0,1647.0,12731483.0,0.025176,1.342433614162312,5900082.0,381981.0,2522713.0,0.06474164257378118,0.427572532042775,0.4789205829810116,0.2785311084148461,0.06549895539402154,2761345.0,0.468018071613242,1251453.0,476621.0,4475233.0,12809229.0,0.0976993228866468,0.037209187219621104,0.34937567280591203,2278662731.0997705,42734656.0,0.16134190113756605
bfs_ampm_assoc16_l2_ddr4_1x,bfs,ampm,stage1,assoc16,l2,ddr4_1x,0.021994,21994356960.0,30729211.0,31124590.0,66049120.0,0.465248,6756808.0,11466501.0,1301003.0,3523228.0,221890408473.0,32839.531399,104761749636.0,80523.834023,,,,,,,,,,,,,,,,,1196815.0,244377.0,216993.0,0.204189,0.170431,624121.0,376383.0,247721.0,17.0,1227146.0,14368.0,0.0,11301.0,500.0,74317.0,21664.0,1023012.0,79341.0,12.893863,527987.0,19131.0,27.598505,3233806.0,3523002.0,0.307243,34518.197242,111501.0,1189502.0,0.337617,83125.27382,6.55,57.69,0.0,0.0,5127657071.543682,459297446.9938766,5127657072.0,459297447.0,5586954519.0,19207.0,5110.919687,459.038471,36940.32,3332.0,54432.32,,,,,36579712.0,1663140780.4522605,572236.0,50640.24,8774099.0,57.446368,104.691155,158802.0,2.0,2008.0,12816543.0,0.02764,1.2567063744657634,1196815.0,244377.0,216993.0,0.20418945283941128,0.18130872357047664,0.5892650251371364,0.3692644926754669,0.15813392175387284,624121.0,0.5214849412816517,500.0,11301.0,14368.0,1227146.0,0.0004074494803389328,0.009209173154620559,0.011708468267019573,1663140780.4522605,36579712.0,0.2774058953350411
bfs_ampm_assoc16_l2_ddr4_2x,bfs,ampm,stage1,assoc16,l2,ddr4_2x,0.019432,19431721494.0,30729211.0,31124590.0,58353518.0,0.526605,6657519.0,11369048.0,1287780.0,3523415.0,182483376290.0,27410.117236,83051323758.0,64491.857117,,,,,,,,,,,,,,,,,1360618.0,259657.0,225834.0,0.190838,0.179812,771917.0,464214.0,307682.0,21.0,1404456.0,26591.0,0.0,12128.0,828.0,90995.0,30238.0,684450.0,66052.0,10.36229,340461.0,14586.0,23.341629,3134332.0,3523187.0,0.309893,28351.262332,103389.0,1184391.0,0.336149,66899.059856,3.355,57.105,0.0,0.0,5839777398.777493,520023920.840989,5839787280.0,520023921.0,6359811201.0,38414.0,5810.062687,518.904103,20784.295,3332.0,38276.295,,,,,37587392.0,1934331552.2305107,588446.0,34677.365,8774099.0,49.312637,89.700681,52329.0,2.0,1727.0,12703354.0,0.025176,1.295594895018526,1360618.0,259657.0,225834.0,0.19083754587988694,0.16597898895942872,0.5855828034150264,0.365492001367991,0.1677981074512242,771917.0,0.5673282287901527,828.0,12128.0,26591.0,1404456.0,0.000589552111280097,0.008635371987445673,0.018933309409479543,1934331552.2305107,37587392.0,0.1578900556980915
bfs_ampm_assoc1_l1d_ddr4_1x,bfs,ampm,stage1,assoc1,l1d,ddr4_1x,0.022448,22447905291.0,30729211.0,31124590.0,67411127.0,0.455848,5641816.0,11466110.0,2115052.0,6106046.0,224064321624.0,39714.928956,172087609065.0,81363.299373,5166941.0,351189.0,2383712.0,0.067968,0.100196,2214959.0,1018848.0,1195268.0,843.0,11586589.0,3958882.0,0.0,485202.0,1223207.0,1048305.0,138273.0,,,,,,,,,,,,,,,,,5842095.0,969772.0,6.024194,0.0,0.0,,2487979.0,3153837.0,0.275057,36010.893107,,2115052.0,0.346387,81030.299373,6.78,57.72,0.0,0.0,6030112397.804485,454813037.9048471,6030109547.0,454813038.0,6484922585.0,19207.0,6006.420209,454.473763,36434.24,3332.0,53926.24,60387072.0,2690098306.152908,947154.0,53852.45,,,,,8774099.0,59.935893,105.928763,145663.0,2.0,1778.0,12947066.0,0.02764,1.2312900926585888,5166941.0,351189.0,2383712.0,0.06796845561038921,0.4613391172842887,0.4920427241671325,0.3463865159220877,0.058599817620709475,2214959.0,0.4286789804644566,1223207.0,485202.0,3958882.0,11586589.0,0.10557093204911298,0.04187617253015534,0.34167795198397044,2690098306.152908,60387072.0,0.32199219624081465
bfs_ampm_assoc1_l1d_ddr4_2x,bfs,ampm,stage1,assoc1,l1d,ddr4_2x,0.019889,19889005086.0,30729211.0,31124590.0,59726742.0,0.514497,5491234.0,11359132.0,2171685.0,6206802.0,185420557723.0,33766.646572,139165195013.0,64081.667006,5529932.0,371400.0,2482534.0,0.067162,0.106032,2454673.0,1223850.0,1229914.0,909.0,11959986.0,4104178.0,0.0,470124.0,1130263.0,1116273.0,172031.0,,,,,,,,,,,,,,,,,4075575.0,880950.0,4.626341,0.0,0.0,,2359918.0,3131316.0,0.275665,30543.289618,,2171685.0,0.349888,63748.667006,3.32,57.19,0.0,0.0,6988177809.750498,513830830.4417716,6988174592.0,513830831.0,7502005422.0,38414.0,6947.555566999999,512.312002,19133.24,3332.0,36625.240000000005,64299008.0,3232892129.19255,1010273.0,34196.785,,,,,8774099.0,51.611716,91.09143,52691.0,2.0,1763.0,12793299.0,0.025176,1.2658253305847453,5529932.0,371400.0,2482534.0,0.06716176618446665,0.4489266775793988,0.4834202120373282,0.3498879132925458,0.06335036435840954,2454673.0,0.4438884601112636,1130263.0,470124.0,4104178.0,11959986.0,0.09450370594079291,0.039308072768647055,0.343159097343425,3232892129.19255,64299008.0,0.1862464177774205
bfs_ampm_assoc1_l2_ddr4_1x,bfs,ampm,stage1,assoc1,l2,ddr4_1x,0.023315,23314601727.0,30729211.0,31124590.0,70013819.0,0.438903,6763832.0,11472795.0,1390611.0,3523203.0,237277078735.0,35080.273835,112873637457.0,81168.376675,,,,,,,,,,,,,,,,,1404382.0,251660.0,481531.0,0.179196,0.166752,538259.0,358942.0,179265.0,52.0,1460946.0,15885.0,0.0,18154.0,15535.0,78470.0,14690.0,930638.0,64392.0,14.452696,2596560.0,141899.0,18.298649,3240867.0,3522965.0,0.307071,37062.007657,133086.0,1257525.0,0.356927,84644.636014,7.2,58.06,0.0,0.0,5829499023.464061,437032899.78143233,5829499023.0,437032900.0,6266531923.0,19207.0,5809.180083,436.769374,39407.88,3332.0,56899.88,,,,,55246912.0,2369627096.6542,865421.0,55594.45,8774099.0,61.051306,108.93986,183766.0,2.0,1784.0,12847294.0,0.02764,1.1855028951318896,1404382.0,251660.0,481531.0,0.17919625856782556,0.34287750768665504,0.5895539840117425,0.3947007878910185,0.15323902084369753,538259.0,0.3832710758184027,15535.0,18154.0,15885.0,1460946.0,0.010633521019941873,0.01242619508181685,0.010873091818588778,2369627096.6542,55246912.0,0.31114856812125624
bfs_ampm_assoc1_l2_ddr4_2x,bfs,ampm,stage1,assoc1,l2,ddr4_2x,0.020518,20518269192.0,30729211.0,31124590.0,61616424.0,0.498718,6662554.0,11374508.0,1384473.0,3523366.0,194133781222.0,29138.042442,89767008501.0,64838.39591,,,,,,,,,,,,,,,,,1576907.0,266556.0,519474.0,0.169037,0.175392,659781.0,430925.0,228801.0,55.0,1644677.0,28315.0,0.0,18804.0,13771.0,100257.0,21139.0,631326.0,54730.0,11.535282,1824207.0,119688.0,15.241353,3139432.0,3523122.0,0.309738,30310.518563,131253.0,1253220.0,0.355688,67982.097139,3.59,57.185,0.0,0.0,6769634548.617632,496983829.60955936,6769643906.0,496983830.0,7266627735.0,38414.0,6733.90132,495.717446,21380.095,3332.0,38872.095,,,,,58415872.0,2847017526.3504257,916432.0,35748.335,8774099.0,52.312844,93.08642,58202.0,2.0,1667.0,12726833.0,0.025176,1.2270201774052052,1576907.0,266556.0,519474.0,0.1690372355503527,0.3294258951225405,0.5857443680201376,0.39294044388235566,0.16144840581237518,659781.0,0.4184019729762123,13771.0,18804.0,28315.0,1644677.0,0.008373072645875147,0.011433247987294769,0.017216146392270336,2847017526.3504257,58415872.0,0.18040288014148023
bfs_ampm_assoc2_l1d_ddr4_1x,bfs,ampm,stage1,assoc2,l1d,ddr4_1x,0.021596,21596014701.0,30729211.0,31124590.0,64852897.0,0.47383,5546267.0,11480024.0,1949134.0,6424119.0,216007762598.0,38946.513501,159195897665.0,81675.194043,5778039.0,367562.0,2678942.0,0.063614,0.104299,2510695.0,1295223.0,1214450.0,1022.0,12563737.0,4122221.0,0.0,501336.0,1426944.0,1161072.0,164629.0,,,,,,,,,,,,,,,,,5218887.0,967703.0,5.393067,0.0,0.0,,2389715.0,3156552.0,0.27496,35013.278221,,1949134.0,0.303409,81342.194043,6.67,57.66,0.0,0.0,5776280565.053686,471669247.3601775,5776277602.0,471669247.0,6247946849.0,19207.0,5753.606752,471.328444,36768.24,3332.0,54260.24,53625088.0,2483101106.497992,840826.0,54348.28,,,,,8774099.0,57.032396,102.705621,139254.0,2.0,1786.0,12916220.0,0.02764,1.2798666419707354,5778039.0,367562.0,2678942.0,0.063613623930195,0.46364207648996486,0.4831232931220353,0.30340876313156717,0.062152963841193246,2510695.0,0.4345237198987407,1426944.0,501336.0,4122221.0,12563737.0,0.11357639848716986,0.039903414087703364,0.3281046873235248,2483101106.497992,53625088.0,0.31022577394505435
bfs_ampm_assoc2_l1d_ddr4_2x,bfs,ampm,stage1,assoc2,l1d,ddr4_2x,0.019163,19162889595.0,30729211.0,31124590.0,57546215.0,0.533992,5382961.0,11365097.0,1970921.0,6500362.0,178191766760.0,33102.927322,127404109561.0,64641.915917,6150908.0,387419.0,2752601.0,0.062986,0.110021,2784672.0,1550201.0,1233301.0,1170.0,13076179.0,4330031.0,0.0,485912.0,1416329.0,1252378.0,205236.0,,,,,,,,,,,,,,,,,3661194.0,869640.0,4.210011,0.0,0.0,,2249065.0,3133896.0,0.275747,29744.823721,,1970921.0,0.303202,64308.915917,3.28,57.18,0.0,0.0,6582462805.239576,531891390.8818562,6582459466.0,531891390.0,7114350856.0,38414.0,6544.689796,530.4319029999999,19720.785,3332.0,37212.785,55574848.0,2900128799.7036023,872726.0,35186.21,,,,,8774099.0,49.046672,88.231849,50103.0,2.0,1705.0,12758184.0,0.025176,1.3137817669467202,6150908.0,387419.0,2752601.0,0.06298566000336861,0.4475113267829725,0.47363968824903124,0.30320172938060985,0.06713925252756317,2784672.0,0.45272535372013367,1416329.0,485912.0,4330031.0,13076179.0,0.10831367481280273,0.03716009087975929,0.3311388594481614,2900128799.7036023,55574848.0,0.1766224212336653
