benchmark,memory,pf_level,parameter_family,parameter_name,rank,config,simSeconds,baseline_simSeconds,speedup,pfIssued,pfUseful,pfUnused,accuracy,coverage,pfLate,pfTimely,run_name
bfs,ddr4_1x,l1d,amt,access_map_table_entries,1,amt32,0.022706,0.027633,1.216991103673038,2786096.0,161285.0,333152.0,0.057889,0.048625,2058022.0,728074.0,bfs_ampm_amt32_l1d_ddr4_1x
bfs,ddr4_1x,l1d,amt,access_map_table_entries,2,amt64,0.022786,0.027633,1.2127183358202405,2163425.0,94395.0,243669.0,0.043632,0.028667,1572145.0,591280.0,bfs_ampm_amt64_l1d_ddr4_1x
bfs,ddr4_1x,l1d,assoc,access_map_table_assoc,1,assoc4,0.021062,0.027633,1.3119836672680658,5726664.0,367123.0,2469588.0,0.064108,0.104588,2660663.0,3066001.0,bfs_ampm_assoc4_l1d_ddr4_1x
bfs,ddr4_1x,l1d,assoc,access_map_table_assoc,2,assoc16,0.021068,0.027633,1.3116100246819822,5578115.0,361435.0,2444487.0,0.064795,0.10307,2537562.0,3040553.0,bfs_ampm_assoc16_l1d_ddr4_1x
bfs,ddr4_1x,l1d,default,default,1,default,0.021045,0.027633,1.3130434782608695,5639481.0,363826.0,2426620.0,0.064514,0.103727,2617047.0,3022434.0,bfs_ampm_default_l1d_ddr4_1x
bfs,ddr4_1x,l1d,epoch,epoch_cycles,1,epoch1024k,0.021036,0.027633,1.3136052481460354,5659578.0,363855.0,2443716.0,0.06429,0.103726,2619209.0,3040369.0,bfs_ampm_epoch1024k_l1d_ddr4_1x
bfs,ddr4_1x,l1d,epoch,epoch_cycles,2,epoch512k,0.021037,0.027633,1.3135428055331084,5657117.0,365221.0,2442197.0,0.06456,0.104105,2617316.0,3039801.0,bfs_ampm_epoch512k_l1d_ddr4_1x
bfs,ddr4_1x,l1d,hz,hot_zone_size,1,hz512,0.022706,0.027633,1.216991103673038,2786096.0,161285.0,333152.0,0.057889,0.048625,2058022.0,728074.0,bfs_ampm_hz512_l1d_ddr4_1x
bfs,ddr4_1x,l1d,hz,hot_zone_size,2,hz256,0.022786,0.027633,1.2127183358202405,2163425.0,94395.0,243669.0,0.043632,0.028667,1572145.0,591280.0,bfs_ampm_hz256_l1d_ddr4_1x
bfs,ddr4_1x,l1d,ls,limit_stride,1,ls8,0.020984,0.027633,1.3168604651162792,5224033.0,347915.0,2166500.0,0.066599,0.099734,2470326.0,2753707.0,bfs_ampm_ls8_l1d_ddr4_1x
bfs,ddr4_1x,l1d,ls,limit_stride,2,ls16,0.021049,0.027633,1.3127939569575753,5689342.0,365223.0,2463855.0,0.064194,0.104067,2628424.0,3060918.0,bfs_ampm_ls16_l1d_ddr4_1x
bfs,ddr4_1x,l1d,sd,start_degree,1,sd16,0.021038,0.027633,1.3134803688563552,5633319.0,364481.0,2434625.0,0.064701,0.103888,2602679.0,3030640.0,bfs_ampm_sd16_l1d_ddr4_1x
bfs,ddr4_1x,l1d,sd,start_degree,2,sd2,0.021043,0.027633,1.3131682744855773,5630405.0,363622.0,2432610.0,0.064582,0.103666,2601803.0,3028602.0,bfs_ampm_sd2_l1d_ddr4_1x
bfs,ddr4_1x,l2,amt,access_map_table_entries,1,amt512,0.021734,0.027633,1.2714180546609,673660.0,165059.0,105717.0,0.245018,0.119906,278485.0,395175.0,bfs_ampm_amt512_l2_ddr4_1x
bfs,ddr4_1x,l2,amt,access_map_table_entries,2,amt256,0.02177,0.027633,1.2693155718879192,738727.0,164825.0,118243.0,0.22312,0.120068,323220.0,415507.0,bfs_ampm_amt256_l2_ddr4_1x
bfs,ddr4_1x,l2,assoc,access_map_table_assoc,1,assoc16,0.021987,0.027633,1.2567881020603084,1196698.0,244339.0,216982.0,0.204178,0.170428,624108.0,572590.0,bfs_ampm_assoc16_l2_ddr4_1x
bfs,ddr4_1x,l2,assoc,access_map_table_assoc,2,assoc4,0.02205,0.027633,1.2531972789115646,1216803.0,249440.0,228474.0,0.204996,0.17287,631383.0,585420.0,bfs_ampm_assoc4_l2_ddr4_1x
