benchmark,pf_level,memory,run,prefetcher,stage,config,simSeconds,simTicks,simInsts,simOps,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_demand_miss_latency,l1d_demand_avg_miss_latency,l2_demand_miss_latency,l2_demand_avg_miss_latency,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l1d_prefetcher_accuracy,l1d_prefetcher_coverage,l1d_pf_late,l1d_pf_hit_in_cache,l1d_pf_hit_in_mshr,l1d_pf_hit_in_wb,l1d_pf_identified,l1d_pf_buffer_hit,l1d_pf_in_cache,l1d_pf_removed_demand,l1d_pf_removed_full,l1d_pf_span_page,l1d_pf_useful_span_page,l2_pf_issued,l2_pf_useful,l2_pf_unused,l2_prefetcher_accuracy,l2_prefetcher_coverage,l2_pf_late,l2_pf_hit_in_cache,l2_pf_hit_in_mshr,l2_pf_hit_in_wb,l2_pf_identified,l2_pf_buffer_hit,l2_pf_in_cache,l2_pf_removed_demand,l2_pf_removed_full,l2_pf_span_page,l2_pf_useful_span_page,l1d_blocked_cycles_no_mshrs,l1d_blocked_causes_no_mshrs,l1d_avg_blocked_no_mshrs,l2_blocked_cycles_no_mshrs,l2_blocked_causes_no_mshrs,l2_avg_blocked_no_mshrs,l1d_demand_mshr_hits,l1d_demand_mshr_misses,l1d_demand_mshr_miss_rate,l1d_demand_avg_mshr_miss_latency,l2_demand_mshr_hits,l2_demand_mshr_misses,l2_demand_mshr_miss_rate,l2_demand_avg_mshr_miss_latency,mem_avg_rdq_len,mem_avg_wrq_len,mem_num_rd_retry,mem_num_wr_retry,mem_avg_read_bw_sys,mem_avg_write_bw_sys,dram_bw_read_total,dram_bw_write_total,dram_bw_total,dram_peak_bw,dram_avg_rd_bw,dram_avg_wr_bw,dram_avg_q_lat,dram_avg_bus_lat,dram_avg_mem_acc_lat,l1d_prefetcher_read_bytes,l1d_prefetcher_read_rate,l1d_prefetcher_read_accesses,l1d_prefetcher_read_avg_lat,l2_prefetcher_read_bytes,l2_prefetcher_read_rate,l2_prefetcher_read_accesses,l2_prefetcher_read_avg_lat,load_to_use_samples,load_to_use_mean,load_to_use_stdev,load_to_use_overflows,load_to_use_min,load_to_use_max,added_loads_and_stores,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,pf_coverage,pf_late,pf_late_ratio,pf_removed_full,pf_removed_demand,pf_buffer_hit,pf_identified,pf_removed_full_ratio,pf_removed_demand_ratio,pf_buffer_hit_ratio,prefetcher_read_rate,prefetcher_read_bytes,dram_bw_utilization
bfs,l1d,ddr4_1x,bfs_ampm_ls8_l1d_ddr4_1x,ampm,stage1,ls8,0.020991,20991388932.0,30729211.0,31124590.0,63037204.0,0.487478,5597071.0,11498088.0,1686177.0,5894560.0,217302341761.0,38824.296094,137257171333.0,81401.401711,5224095.0,347923.0,2166519.0,0.0666,0.099734,2470352.0,1115171.0,1354377.0,804.0,10011283.0,2908625.0,0.0,402553.0,762668.0,542341.0,100331.0,,,,,,,,,,,,,,,,,3848259.0,752542.0,5.11368,0.0,0.0,,2456476.0,3140595.0,0.273141,35208.94021,,1686177.0,0.286056,81068.401711,6.25,57.6,0.0,0.0,5140936235.786191,482044519.9114278,5140933187.0,482044520.0,5622977707.0,19207.0,5121.472255,481.699998,36551.83,3332.0,54043.83,37440768.0,1783625091.2832165,586815.0,53683.52,,,,,8774099.0,56.515974,101.843336,135524.0,2.0,1815.0,12876672.0,0.02764,1.3167547996760518,5224095.0,347923.0,2166519.0,0.06659966941642524,0.4147166159880324,0.48678275901175916,0.2860564656225401,0.05852369237042123,2470352.0,0.4728765460811873,762668.0,402553.0,2908625.0,10011283.0,0.07618084515241454,0.04020993113470072,0.29053468970960067,1783625091.2832165,37440768.0,0.27919453433075486
bfs,l1d,ddr4_2x,bfs_ampm_sd8_l1d_ddr4_2x,ampm,stage1,sd8,0.018688,18688328298.0,30729211.0,31124590.0,56121106.0,0.547552,5386794.0,11380962.0,1754838.0,6233563.0,178042234137.0,33051.613657,114197856097.0,65076.01049,5963138.0,387215.0,2490200.0,0.064935,0.110201,2856304.0,1604364.0,1250810.0,1130.0,12974775.0,4499621.0,0.0,478581.0,1351144.0,1206334.0,227973.0,,,,,,,,,,,,,,,,,2985844.0,755728.0,3.950951,0.0,0.0,,2260293.0,3126501.0,0.274713,29572.395551,,1754838.0,0.281514,64743.01049,3.215,57.155,0.0,0.0,6009617029.898775,542617180.0013399,6009613605.0,542617180.0,6552230785.0,38414.0,5975.347084,541.144603,20203.675,3332.0,37695.675,43265472.0,2315106590.0651054,679008.0,35989.185,,,,,8774099.0,48.558707,87.856338,49751.0,2.0,1712.0,12732821.0,0.025176,1.3471746575342467,5963138.0,387215.0,2490200.0,0.064934770920948,0.41759892190990716,0.4733162275737323,0.28151444045724733,0.06706172435824052,2856304.0,0.47899344271422195,1351144.0,478581.0,4499621.0,12974775.0,0.1041362181617793,0.0368854951241929,0.3467976130607274,2315106590.0651054,43265472.0,0.16266710612851726
bfs,l2,ddr4_1x,bfs_ampm_cfg04_l2_ddr4_1x,ampm,stage2,cfg04,0.021736,21735842400.0,30729211.0,31124590.0,65272800.0,0.470782,6806512.0,11457898.0,1333277.0,3523261.0,221708379354.0,32572.980016,103646448176.0,77738.120568,,,,,,,,,,,,,,,,,801879.0,176838.0,127301.0,0.22053,0.127968,369605.0,162145.0,207457.0,3.0,823441.0,10401.0,0.0,7703.0,8.0,28231.0,10534.0,1012825.0,81362.0,12.448379,129536.0,4726.0,27.409226,3283480.0,3523032.0,0.307476,34136.804479,128228.0,1205049.0,0.342027,81250.233469,6.03,57.63,0.0,0.0,4820960976.419299,463432141.9260935,4820966865.0,463432142.0,5284399007.0,19207.0,4804.804805,463.12592,35048.13,3332.0,52540.13,,,,,27618496.0,1270643000.24553,431832.0,47451.74,8774099.0,57.829081,104.414954,138899.0,2.0,1889.0,12810742.0,0.02764,1.271623113728377,801879.0,176838.0,127301.0,0.220529531263445,0.1587533780034145,0.5940454348607397,0.3784212977693109,0.11710233988802177,369605.0,0.46092365556399406,8.0,7703.0,10401.0,823441.0,9.715328724219465e-06,0.009354647145332818,0.01263114175757583,1270643000.24553,27618496.0,0.2623832774831359
bfs,l2,ddr4_2x,bfs_ampm_cfg08_l2_ddr4_2x,ampm,stage2,cfg08,0.019349,19349289009.0,30729211.0,31124590.0,58105973.0,0.528848,6678047.0,11363586.0,1305335.0,3523489.0,183786907455.0,27521.056299,83152228729.0,63701.830357,,,,,,,,,,,,,,,,,943363.0,206590.0,130993.0,0.218993,0.146326,505799.0,249086.0,256710.0,3.0,963059.0,9299.0,0.0,6991.0,2.0,35923.0,18558.0,678809.0,67766.0,10.016955,73874.0,3531.0,20.921552,3154800.0,3523247.0,0.310047,28349.511881,100082.0,1205253.0,0.342062,65935.813199,3.14,57.145,0.0,0.0,5433759966.637335,520684764.9706321,5433766581.0,520684765.0,5954451347.0,38414.0,5404.626493,519.606483,20000.115,3332.0,37492.115000000005,,,,,27939904.0,1443975744.3802829,437253.0,33094.845,8774099.0,49.729708,89.850659,50064.0,2.0,1670.0,12704158.0,0.025176,1.3011525143418263,943363.0,206590.0,130993.0,0.21899311293743765,0.13885747056011313,0.5876707405567222,0.37046660284734817,0.13664037568001058,505799.0,0.5361658237603129,2.0,6991.0,9299.0,963059.0,2.076715964442469e-06,0.007259160653708651,0.009655690876675262,1443975744.3802829,27939904.0,0.1478265038247644
matmult,l1d,ddr4_1x,matmult_ampm_cfg06_l1d_ddr4_1x,ampm,stage2,cfg06,0.001243,1242980775.0,7397871.0,7415194.0,3732675.0,1.981924,1160153.0,2138761.0,5469.0,1080547.0,18690322663.0,16110.222241,389556850.0,71229.996343,9115.0,155.0,2341.0,0.017005,0.000144,5682.0,2796.0,2886.0,0.0,84770.0,41060.0,0.0,11326.0,0.0,5261.0,29.0,,,,,,,,,,,,,,,,,833960.0,468432.0,1.780322,0.0,0.0,,83256.0,1076897.0,0.503514,15956.526387,,5469.0,0.005061,70896.935454,1.54,57.43,0.0,0.0,281697035.90146035,217696046.02291617,281645547.0,217696046.0,499341593.0,19207.0,269.442623,217.696046,28574.67,3332.0,46066.67,109376.0,87994924.94161867,1709.0,61767.31,,,,,2106632.0,29.137798,28.297264,572.0,2.0,1665.0,2150105.0,0.001279,1.0289621882542237,9115.0,155.0,2341.0,0.017004936917169502,0.25682940208447613,0.5424416285877665,0.005061325421291254,0.0001335852204759426,5682.0,0.6233680746023039,0.0,11326.0,41060.0,84770.0,0.0,0.13360858794384806,0.4843694703314852,87994924.94161867,109376.0,0.024793525920627005
matmult,l1d,ddr4_2x,matmult_ampm_cfg06_l1d_ddr4_2x,ampm,stage2,cfg06,0.001259,1258976430.0,7397871.0,7415194.0,3780710.0,1.956744,1156834.0,2137624.0,5374.0,1079572.0,18760407342.0,16217.026247,327523958.0,60946.028656,8363.0,604.0,2333.0,0.072223,0.000561,5165.0,2355.0,2810.0,0.0,57810.0,25840.0,0.0,3282.0,0.0,2574.0,0.0,,,,,,,,,,,,,,,,,858771.0,476397.0,1.802637,0.0,0.0,,80676.0,1076158.0,0.503437,16064.171457,,5374.0,0.004978,60612.966691,1.335,57.595,0.0,0.0,273288674.6735997,210253340.48549265,273237839.0,210253341.0,483491180.0,38414.0,264.290889,209.592486,17330.545,3332.0,34822.545,109248.0,86775254.40249902,1707.0,33081.655,,,,,2106632.0,29.327082,27.39846,756.0,2.0,1276.0,2153626.0,0.001298,1.0309769658459094,8363.0,604.0,2333.0,0.07222288652397466,0.27896687791462393,0.5411774942646602,0.004977898648723753,0.0005218422066667934,5165.0,0.6176013392323328,0.0,3282.0,25840.0,57810.0,0.0,0.056772184743124024,0.44698149109150664,86775254.40249902,109248.0,0.01200325716079948
matmult,l2,ddr4_1x,matmult_ampm_hz1k_l2_ddr4_1x,ampm,stage1,hz1k,0.001188,1187601543.0,7397876.0,7415199.0,3566371.0,2.074345,1159354.0,2138414.0,1169.0,1077904.0,18960718042.0,16354.554383,68907271.0,58945.484175,,,,,,,,,,,,,,,,,27761.0,4324.0,42.0,0.155758,0.862557,22840.0,15923.0,6916.0,1.0,28667.0,1.0,0.0,0.0,905.0,1761.0,1694.0,885729.0,497378.0,1.780796,3654.0,194.0,18.835052,81675.0,1077679.0,0.503962,16235.353492,480.0,689.0,0.000639,77717.918723,1.77,59.21,0.0,6.0,302161951.6370063,231889223.8084605,301946391.0,231889224.0,533835615.0,19207.0,290.144453,232.212565,29122.36,3332.0,46614.36,,,,,308416.0,259696530.2191427,4918.0,43693.91,2106632.0,29.587036,26.187962,548.0,2.0,894.0,2147576.0,0.001279,1.0765993265993266,27761.0,4324.0,42.0,0.15575807787903895,0.001512913799935161,0.5421560090796264,0.0010845121643485876,0.7871836883306026,22840.0,0.822736933107597,905.0,0.0,1.0,28667.0,0.03156940035580982,0.0,3.488331531028709e-05,259696530.2191427,308416.0,0.026506238101131622
matmult,l2,ddr4_2x,matmult_ampm_hz2k_l2_ddr4_2x,ampm,stage1,hz2k,0.001196,1196210925.0,7397876.0,7415199.0,3592225.0,2.059416,1158542.0,2139184.0,871.0,1077837.0,19101862442.0,16487.846312,57451443.0,65960.324914,,,,,,,,,,,,,,,,,52152.0,4567.0,46.0,0.087571,0.878945,47203.0,40599.0,6602.0,2.0,53176.0,332.0,0.0,0.0,690.0,6987.0,6880.0,926421.0,510073.0,1.816252,2498.0,134.0,18.641791,80929.0,1077613.0,0.50375,16399.806939,242.0,629.0,0.000584,71785.511924,1.55,57.31,0.0,0.0,298275155.7799056,227438150.17405897,298275156.0,227438150.0,525713306.0,38414.0,285.969634,227.598657,27379.435,3332.0,44871.435,,,,,308992.0,258308960.01890305,4946.0,42621.9,2106632.0,29.849209,26.539816,322.0,2.0,1036.0,2150957.0,0.001298,1.0852842809364547,52152.0,4567.0,46.0,0.08757094646418162,0.000882037122258015,0.5415812758509787,0.0008080999260556095,0.8398308201544685,47203.0,0.9051043104770671,690.0,0.0,332.0,53176.0,0.012975778546712802,0.0,0.006243418083345871,258308960.01890305,308992.0,0.013051472841287545
merge,l1d,ddr4_1x,merge_ampm_cfg01_l1d_ddr4_1x,ampm,stage2,cfg01,0.00976,9760237326.0,37918841.0,38897855.0,29310022.0,1.293717,352675.0,10925847.0,72546.0,208463.0,11726640953.0,33250.559164,6419924309.0,88494.531869,947932.0,142798.0,3436.0,0.150642,0.950744,747163.0,548358.0,198792.0,13.0,2010112.0,861074.0,0.0,59192.0,0.0,118789.0,65409.0,,,,,,,,,,,,,,,,,48.0,2.0,24.0,0.0,0.0,,345277.0,7398.0,0.000677,19586.278589,,72546.0,0.348004,88161.531869,1.56,46.19,0.0,0.0,475706465.4187898,312398961.02501804,475699908.0,312398961.0,788098869.0,19207.0,472.736046,311.998971,43429.4,3332.0,60921.4,4509952.0,462074010.0228993,70877.0,60743.85,,,,,5213253.0,4.061103,24.913137,9672.0,2.0,1674.0,14389066.0,0.011631,1.1917008196721313,947932.0,142798.0,3436.0,0.15064160720389227,0.003624732575754379,0.032278961988027106,0.34800420218456035,0.2882054117984229,747163.0,0.7882031622521447,0.0,59192.0,861074.0,2010112.0,0.0,0.029447115384615384,0.42837115543810494,462074010.0228993,4509952.0,0.0391310277583232
merge,l1d,ddr4_2x,merge_ampm_cfg03_l1d_ddr4_2x,ampm,stage2,cfg03,0.009741,9741255660.0,37918841.0,38897855.0,29253020.0,1.296238,383380.0,10925789.0,72523.0,208377.0,9815061106.0,25601.390542,5739003561.0,79133.565365,1007139.0,137266.0,3389.0,0.136293,0.947021,806743.0,561894.0,244837.0,12.0,1966439.0,765241.0,0.0,53163.0,0.0,117028.0,61884.0,,,,,,,,,,,,,,,,,1171.0,22.0,53.227273,0.0,0.0,,375701.0,7679.0,0.000703,17605.851804,,72523.0,0.348037,78800.565365,1.82,46.545,0.0,0.0,476482310.0844476,313020836.9872514,476475740.0,313020837.0,789496577.0,38414.0,471.114624,312.278428,34346.505000000005,3332.0,51838.505000000005,4488000.0,460720892.32077503,70888.0,51389.195,,,,,5213253.0,3.724429,21.914221,7530.0,2.0,1876.0,14388934.0,0.011697,1.2008007391438251,1007139.0,137266.0,3389.0,0.1362930042427113,0.0033649774261546818,0.03508945669736071,0.348037451350197,0.2636455480307157,806743.0,0.8010244861930677,0.0,53163.0,765241.0,1966439.0,0.0,0.027035163562154737,0.38915064235402164,460720892.32077503,4488000.0,0.01960021368187508
