run,benchmark,prefetcher,config,memory,simSeconds,simTicks,simInsts,simOps,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_demand_miss_latency,l1d_demand_avg_miss_latency,l2_demand_miss_latency,l2_demand_avg_miss_latency,l1d_blocked_cycles_no_mshrs,l1d_blocked_causes_no_mshrs,l1d_avg_blocked_no_mshrs,l2_blocked_cycles_no_mshrs,l2_blocked_causes_no_mshrs,l2_avg_blocked_no_mshrs,l1d_demand_mshr_hits,l1d_demand_mshr_misses,l1d_demand_mshr_miss_rate,l1d_demand_avg_mshr_miss_latency,l2_demand_mshr_hits,l2_demand_mshr_misses,l2_demand_mshr_miss_rate,l2_demand_avg_mshr_miss_latency,mem_avg_rdq_len,mem_avg_wrq_len,mem_num_rd_retry,mem_num_wr_retry,mem_avg_read_bw_sys,mem_avg_write_bw_sys,dram_bw_read_total,dram_bw_write_total,dram_bw_total,dram_peak_bw,dram_avg_rd_bw,dram_avg_wr_bw,dram_avg_q_lat,dram_avg_bus_lat,dram_avg_mem_acc_lat,load_to_use_samples,load_to_use_mean,load_to_use_stdev,load_to_use_overflows,load_to_use_min,load_to_use_max,added_loads_and_stores,pf_issued,pf_useful,pf_unused,pf_late,pf_accuracy,pf_coverage,pf_unused_ratio,prefetcher_read_rate,prefetcher_read_bytes
bfs_nopf_ddr4_1x,bfs,none,none,ddr4_1x,0.02764,27640121544.0,30729211.0,31124590.0,83003368.0,0.370217,7763792.0,11461112.0,1461469.0,3528583.0,325242902838.0,41892.274141,112361247612.0,76882.402303,804745.0,103362.0,7.785695,0.0,0.0,nan,4235432.0,3528360.0,0.307855,36805.968573,nan,1461469.0,0.41418,76549.402303,4.64,57.18,0.0,0.0,3383996696.6535997,358322013.3179889,3383994381.0,358322013.0,3742316394.0,19207.0,3371.833508,358.122883,32132.31,3332.0,49624.31,8774099.0,87.670224,115.586523,188294.0,2.0,1819.0,12969970.0,0,0,0,0,nan,0,nan,0,0
bfs_nopf_ddr4_2x,bfs,none,none,ddr4_2x,0.025176,25175971494.0,30729211.0,31124590.0,75603518.0,0.406453,7598028.0,11385368.0,1461414.0,3528724.0,285091144128.0,37521.72855,93433388751.0,63933.55254,668665.0,89786.0,7.447319,0.0,0.0,nan,4069531.0,3528497.0,0.309915,31367.330621,nan,1461414.0,0.414148,63600.55254,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8774099.0,78.748601,103.849218,76967.0,2.0,1692.0,12864022.0,0,0,0,0,nan,0,nan,0,0
matmult_nopf_ddr4_1x,matmult,none,none,ddr4_1x,0.001279,1278639414.0,7397876.0,7415199.0,3839758.0,1.926654,1160303.0,2138492.0,5464.0,1077663.0,19105128605.0,16465.637515,351196119.0,64274.545937,812616.0,452553.0,1.795626,0.0,0.0,nan,82857.0,1077446.0,0.503834,15950.493791,nan,5464.0,0.00507,63941.484993,1.17,57.84,0.0,0.0,273590815.4947584,212926331.70777577,273540762.0,212926332.0,486467094.0,19207.0,262.979536,212.976385,21171.07,3332.0,38663.07,2106632.0,29.596565,30.920174,2397.0,2.0,1678.0,2149457.0,0,0,0,0,nan,0,nan,0,0
matmult_nopf_ddr4_2x,matmult,none,none,ddr4_2x,0.001298,1298170863.0,7397876.0,7415199.0,3898411.0,1.897667,1162087.0,2138105.0,5345.0,1077739.0,19231107310.0,16548.76727,340187139.0,63645.863237,828826.0,466477.0,1.776778,0.0,0.0,nan,84564.0,1077523.0,0.503962,16036.54051,nan,5345.0,0.004959,63312.863237,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2106632.0,29.924357,31.931987,2044.0,2.0,1606.0,2156276.0,0,0,0,0,nan,0,nan,0,0
merge_nopf_ddr4_1x,merge,none,none,ddr4_1x,0.011631,11631383973.0,37919557.0,38898638.0,34929081.0,1.085617,1068758.0,11228701.0,72118.0,201542.0,34092454746.0,31899.134085,5286513528.0,73303.662442,0.0,0.0,nan,0.0,0.0,nan,867446.0,201312.0,0.017928,29313.246672,nan,72118.0,0.357831,72970.662442,1.24,47.36,0.0,0.0,396824316.9268813,261405865.97931582,396818815.0,261405866.0,658224681.0,19207.0,395.10208,261.097734,28572.32,3332.0,46064.32,5213398.0,6.694721,37.492955,20292.0,2.0,1690.0,15006918.0,0,0,0,0,nan,0,nan,0,0
merge_nopf_ddr4_2x,merge,none,none,ddr4_2x,0.011697,11696582709.0,37919585.0,38898667.0,35124873.0,1.079566,1062251.0,11215448.0,72124.0,201547.0,31471516974.0,29627.19449,5062082517.0,70185.826036,0.0,0.0,nan,0.0,0.0,nan,860939.0,201312.0,0.01795,28205.696466,nan,72124.0,0.357852,69852.826036,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5213400.0,6.516744,36.239269,17921.0,2.0,1809.0,14988405.0,0,0,0,0,nan,0,nan,0,0
quick_nopf_ddr4_1x,quick,none,none,ddr4_1x,0.009731,9731163429.0,24424723.0,24707902.0,29222713.0,0.836181,325038.0,9285495.0,28490.0,82826.0,8379035910.0,25778.634837,1520783694.0,53379.561039,0.0,0.0,nan,0.0,0.0,nan,242450.0,82588.0,0.008894,21328.845958,nan,28490.0,0.343974,53046.561039,1.56,55.65,0.0,0.0,187379855.79051977,148701644.00770953,187373279.0,148701644.0,336074923.0,19207.0,187.373279,148.287305,8415.37,3332.0,25907.37,4368783.0,4.667753,23.419793,2372.0,2.0,1528.0,14989601.0,0,0,0,0,nan,0,nan,0,0
quick_nopf_ddr4_2x,quick,none,none,ddr4_2x,0.00967,9670368951.0,24424723.0,24707902.0,29040147.0,0.841438,325079.0,9285605.0,28492.0,82826.0,7963744950.0,24497.875747,1446088797.0,50754.204584,0.0,0.0,nan,0.0,0.0,nan,242492.0,82587.0,0.008894,20437.922881,nan,28492.0,0.343998,50421.204584,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4368783.0,4.560946,22.582445,1051.0,2.0,1342.0,14989512.0,0,0,0,0,nan,0,nan,0,0
simple_triad_nopf_ddr4_1x,simple_triad,none,none,ddr4_1x,0.002897,2896575858.0,3509957.0,4011166.0,8698427.0,0.403518,1996519.0,2003763.0,375365.0,375375.0,144724187610.0,72488.259621,29815153002.0,79429.763036,0.0,0.0,nan,0.0,0.0,nan,1621411.0,375108.0,0.187202,80221.141519,nan,375365.0,0.999973,79096.763923,8.75,57.54,0.0,0.0,8293709945.020194,2824013041.9536214,8293687850.0,2824013042.0,11117700892.0,19207.0,8293.709945,2824.145612,34449.43,3332.0,51941.43,1001741.0,208.29827,151.876215,174943.0,2.0,1880.0,2004885.0,0,0,0,0,nan,0,nan,0,0
simple_triad_nopf_ddr4_2x,simple_triad,none,none,ddr4_2x,0.002605,2605406652.0,3509934.0,4011143.0,7824045.0,0.448611,1999927.0,2003759.0,375363.0,375373.0,118780596504.0,59392.466077,23964995682.0,63844.853334,0.0,0.0,nan,0.0,0.0,nan,1624819.0,375108.0,0.187202,64632.829585,nan,375363.0,0.999973,63511.853334,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1001736.0,170.916484,130.833589,93264.0,2.0,1850.0,2004879.0,0,0,0,0,nan,0,nan,0,0
