added_loads_and_stores,benchmark,config,dram_avg_bus_lat,dram_avg_mem_acc_lat,dram_avg_q_lat,dram_avg_rd_bw,dram_avg_wr_bw,dram_bw_read_total,dram_bw_total,dram_bw_write_total,dram_peak_bw,ipc,l1d_avg_blocked_no_mshrs,l1d_blocked_causes_no_mshrs,l1d_blocked_cycles_no_mshrs,l1d_demand_accesses,l1d_demand_avg_miss_latency,l1d_demand_avg_mshr_miss_latency,l1d_demand_miss_latency,l1d_demand_misses,l1d_demand_mshr_hits,l1d_demand_mshr_miss_rate,l1d_demand_mshr_misses,l1d_pf_buffer_hit,l1d_pf_hit_in_cache,l1d_pf_hit_in_mshr,l1d_pf_hit_in_wb,l1d_pf_identified,l1d_pf_in_cache,l1d_pf_issued,l1d_pf_late,l1d_pf_removed_demand,l1d_pf_removed_full,l1d_pf_span_page,l1d_pf_unused,l1d_pf_useful,l1d_pf_useful_span_page,l1d_prefetcher_accuracy,l1d_prefetcher_coverage,l1d_prefetcher_read_accesses,l1d_prefetcher_read_avg_lat,l1d_prefetcher_read_bytes,l1d_prefetcher_read_rate,l2_avg_blocked_no_mshrs,l2_blocked_causes_no_mshrs,l2_blocked_cycles_no_mshrs,l2_demand_accesses,l2_demand_avg_miss_latency,l2_demand_avg_mshr_miss_latency,l2_demand_miss_latency,l2_demand_misses,l2_demand_mshr_hits,l2_demand_mshr_miss_rate,l2_demand_mshr_misses,l2_pf_buffer_hit,l2_pf_hit_in_cache,l2_pf_hit_in_mshr,l2_pf_hit_in_wb,l2_pf_identified,l2_pf_in_cache,l2_pf_issued,l2_pf_late,l2_pf_removed_demand,l2_pf_removed_full,l2_pf_span_page,l2_pf_unused,l2_pf_useful,l2_pf_useful_span_page,l2_prefetcher_accuracy,l2_prefetcher_coverage,l2_prefetcher_read_accesses,l2_prefetcher_read_avg_lat,l2_prefetcher_read_bytes,l2_prefetcher_read_rate,load_to_use_max,load_to_use_mean,load_to_use_min,load_to_use_overflows,load_to_use_samples,load_to_use_stdev,mem_avg_rdq_len,mem_avg_read_bw_sys,mem_avg_write_bw_sys,mem_avg_wrq_len,mem_num_rd_retry,mem_num_wr_retry,memory,numCycles,pf_level,prefetcher,run,simInsts,simOps,simSeconds,simTicks,stage,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,pf_coverage,pf_late,pf_late_ratio,pf_removed_full,pf_removed_demand,pf_buffer_hit,pf_identified,pf_removed_full_ratio,pf_removed_demand_ratio,pf_buffer_hit_ratio,prefetcher_read_rate,prefetcher_read_bytes,dram_bw_utilization,label
2004881.0,simple_triad,cons_s8_sth8_pt8_ipd8,3332.0,70543.0,53051.0,8666.706876,2951.248604,8666683787.0,11617724596.0,2951040809.0,19207.0,0.42166,21.470294,14997.0,321990.0,2003766.0,80508.914282,96679.206702,146680640091.0,1821918.0,1671992.0,0.074822,149926.0,2709654.0,65722.0,658746.0,0.0,6440414.0,0.0,949656.0,724468.0,515735.0,457.0,132970.0,,41411.0,0.0,0.043606,0.21643,225188.0,71960.89,14412032.0,5199225267.659496,,0.0,0.0,375381.0,98386.352033,98053.35292,36931383349.0,375371.0,,0.999973,375371.0,,,,,,,,,,,,,,,,,,,,,1841.0,151.020024,2.0,120409.0,1001743.0,156.300685,10.77,8666706875.795393,2951040808.5062194,59.51,0.0,0.0,ddr4_1x,8324198.0,l1d,imp,simple_triad_imp_stage2_cons_s8_sth8_pt8_ipd8_l1d_ddr4_1x,3509964.0,4011173.0,0.002772,2771957601.0,stage2,0.002897,1.045093795093795,949656.0,41411.0,,0.04360631639246211,,0.9092468881096895,0.9999733603991677,0.022224201952526904,724468.0,0.7628741354764251,457.0,515735.0,2709654.0,6440414.0,7.095817132252678e-05,0.08007792666744716,0.4207266799929321,5199225267.659496,14412032.0,0.5768483137546924,stage2: cons_s8_sth8_pt8_ipd8
2004979.0,simple_triad,s64_sth8,3332.0,41621.68,24129.68,12063.225135,4107.396941,12063193002.0,16170686344.0,4107493342.0,38414.0,0.586874,15.441353,43063.0,664951.0,2003842.0,61444.558671,69281.709609,84097569895.0,1368674.0,1200766.0,0.083793,167908.0,12571405.0,197578.0,140736.0,0.0,21118523.0,0.0,545558.0,338314.0,222197.0,1901342.0,2462021.0,1.0,150579.0,0.0,0.276009,0.472795,207244.0,42182.8,13263616.0,6659521612.509502,,0.0,0.0,375417.0,69464.943038,69131.943925,26077625871.0,375407.0,,0.999973,375407.0,,,,,,,,,,,,,,,,,,,,,1797.0,58.511952,2.0,30965.0,1001759.0,111.258745,4.99,12063225135.52795,4107493341.756708,58.57,0.0,0.0,ddr4_2x,5981012.0,l1d,imp,simple_triad_imp3_s64_sth8_l1d_ddr4_2x,3510081.0,4011324.0,0.001992,1991676996.0,stage3,0.002605,1.3077309236947792,545558.0,150579.0,1.0,0.27600915026449985,1.8329856770499196e-06,0.6830249091495237,0.9999733629537287,0.09911384081519009,338314.0,0.6201247163454665,1901342.0,222197.0,12571405.0,21118523.0,0.09003195914790063,0.010521427090332028,0.595278609209555,6659521612.509502,13263616.0,0.4014569751896205,stage3: s64_sth8
2004875.0,simple_triad,s2_sth2,3332.0,77815.53,60323.53,9189.198438,3128.796129,9189173958.0,12318019047.0,3128845089.0,19207.0,0.44708,,0.0,0.0,2003761.0,58366.567286,64170.478134,115394905917.0,1977072.0,1601964.0,0.187202,375108.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,375373.0,65739.38767,104093.715593,23739216021.0,361111.0,341333.0,0.052689,19778.0,4.0,4613.0,344102.0,0.0,704315.0,0.0,704306.0,348715.0,4.0,0.0,17181.0,2.0,14252.0,0.0,0.020236,0.418807,355590.0,77868.28,22757760.0,8704999807.233746,1920.0,167.502564,2.0,151926.0,1001736.0,159.92157,13.36,9189198438.205584,3128845089.464116,59.64,0.0,0.0,ddr4_1x,7850848.0,l2,imp,simple_triad_imp_stage2_s2_sth2_l2_ddr4_1x,3509939.0,4011148.0,0.002614,2614332051.0,stage2,0.002897,1.1082631981637336,704306.0,14252.0,2.0,0.020235522627948647,2.8396748004418532e-06,0.9866805472309322,0.9620057915726491,0.03796857974813714,348715.0,0.49511859901804045,0.0,4.0,4.0,704315.0,0.0,5.679277028034331e-06,5.679277028034331e-06,8704999807.233746,22757760.0,0.6116196383676208,stage2: s2_sth2
2004972.0,simple_triad,s32_sth2_pt8,3332.0,53731.22,36239.22,13573.03497,4634.929264,13573034970.0,18207964234.0,4634929264.0,38414.0,0.662333,,0.0,0.0,2003830.0,26744.274696,25773.586859,50934123483.0,1904487.0,1529378.0,0.187196,375109.0,,,,,,,,,,,,,,,,,,,,,22.72238,14754.0,335246.0,373481.0,58351.208747,85988.493362,8163684211.0,139906.0,73849.0,0.176868,66057.0,1242076.0,98790.0,165235.0,0.0,3368705.0,0.0,572652.0,264025.0,39689.0,1491730.0,1096639.0,647.0,233565.0,0.0,0.407866,0.779532,308202.0,52700.76,19724928.0,11176965807.374489,1727.0,65.563738,2.0,41277.0,1001762.0,117.124303,6.92,13573034969.349558,4634929263.739727,60.07,0.0,0.0,ddr4_2x,5299651.0,l2,imp,simple_triad_imp3_s32_sth2_pt8_l2_ddr4_2x,3510115.0,4011360.0,0.001765,1764783783.0,stage3,0.002605,1.4759206798866855,572652.0,233565.0,647.0,0.4078655099432116,0.0011298310317609996,0.9504234391140965,0.3746000465887154,0.625389923180113,264025.0,0.4610566277599659,1491730.0,39689.0,1242076.0,3368705.0,0.4428200154065138,0.011781678716301962,0.36871023137971415,11176965807.374489,19724928.0,0.4520348790547561,stage3: s32_sth2_pt8
4865155.0,spmv,sdist16,3332.0,46603.83,29111.83,7046.503736,17.280797,7046568378.0,7064517136.0,17948758.0,19207.0,0.633635,2.879837,280568.0,807990.0,4826356.0,19144.972458,16036.3156,37924371666.0,1980905.0,405750.0,0.326365,1575155.0,1891387.0,413447.0,104974.0,914.0,9371649.0,0.0,2610892.0,519335.0,309730.0,435204.0,22281327.0,1927141.0,150638.0,0.0,0.057696,0.087286,419967.0,50197.98,26877888.0,4524541566.956885,,0.0,0.0,3666897.0,74415.284542,74082.285051,48672209838.0,654062.0,,0.178369,654062.0,,,,,,,,,,,,,,,,,,,,,1765.0,27.006438,2.0,36501.0,4767008.0,66.910848,6.67,7046579151.140338,17948758.47519013,57.54,0.0,0.0,ddr4_1x,17839239.0,l1d,imp,spmv_imp_sdist16_l1d_ddr4_1x,11279576.0,11329125.0,0.00594,5940466587.0,stage1,0.010599,1.7843434343434346,2610892.0,150638.0,1927141.0,0.057695990489074235,0.7381159389204915,0.41043491197085336,0.1783693406168758,0.07067087081987086,519335.0,0.19891094691009817,435204.0,309730.0,1891387.0,9371649.0,0.046438358927014874,0.03304967994426594,0.20182008523793413,4524541566.956885,26877888.0,0.35077047693106883,stage1: sdist16
4865503.0,spmv,s32_dist8_addr16,3332.0,33179.494999999995,15687.495,8033.881203,18.613378,8033976963.0,8053919013.0,19942050.0,38414.0,0.704003,2.565883,280461.0,719630.0,4825954.0,17541.404528,15212.1528,34493821317.0,1966423.0,393643.0,0.3259,1572780.0,6337855.0,394911.0,94942.0,955.0,15915842.0,0.0,2672913.0,490808.0,329480.0,941919.0,46928766.0,2014339.0,154709.0,0.0,0.05788,0.089557,429462.0,35170.71,27485440.0,5140644014.315456,,0.0,0.0,3755065.0,61026.320342,60693.320838,40959401582.0,671176.0,,0.178739,671176.0,,,,,,,,,,,,,,,,,,,,,1676.0,24.737218,2.0,13435.0,4767008.0,57.385256,3.29,8033988932.501724,19942050.31399793,56.955,0.0,0.0,ddr4_2x,16056132.0,l1d,imp,spmv_imp3_s32_dist8_addr16_l1d_ddr4_2x,11279576.0,11329125.0,0.005347,5346691956.0,stage3,0.009047,1.691976809425846,2672913.0,154709.0,2014339.0,0.05788029763782061,0.7536118833647036,0.4074682435845845,0.1787388500598525,0.07293699779174516,490808.0,0.1836228863416056,941919.0,329480.0,6337855.0,15915842.0,0.05918122333710023,0.020701386706402338,0.39821047482125044,5140644014.315456,27485440.0,0.19994834459088026,stage3: s32_dist8_addr16
4861970.0,spmv,s32_sth2,3332.0,52204.75,34712.75,6091.514921,17.158684,6091557764.0,6109380517.0,17822753.0,19207.0,0.629943,7.563627,6098.0,46123.0,4827528.0,18863.884817,17468.390741,42600424266.0,2258306.0,571458.0,0.349423,1686848.0,,,,,,,,,,,,,,,,,,,,,24.082643,15936.0,383781.0,1687033.0,64205.562764,63971.390012,22051272120.0,343448.0,1082.0,0.20294,342366.0,9366.0,133627.0,2288.0,10.0,382301.0,0.0,362291.0,135925.0,241.0,3794.0,10599331.0,16873.0,208368.0,0.0,0.57514,0.378346,226341.0,75501.66,14485824.0,2424290703.1240425,1936.0,28.639881,2.0,41358.0,4767008.0,72.441296,6.86,6091568474.86378,17822752.97006908,57.33,0.0,0.0,ddr4_1x,17943794.0,l2,imp,spmv_imp3_s32_sth2_l2_ddr4_1x,11279576.0,11329125.0,0.005975,5975283402.0,stage3,0.010599,1.7738912133891214,362291.0,208368.0,16873.0,0.5751398737478988,0.046573058673828494,0.4677975974453178,0.20358107991959848,0.3776041289125361,135925.0,0.3751818289717382,3794.0,241.0,9366.0,382301.0,0.009924117383946158,0.0006303933288168223,0.02449902040538738,2424290703.1240425,14485824.0,0.3033456181712728,stage3: s32_sth2
4862394.0,spmv,s32_sth2_dist32_ipd16_addr16,3332.0,32355.325,14863.325,6863.239422000001,18.689221,6863287683.0,6883364419.0,20076736.0,38414.0,0.70961,6.382476,5718.0,36495.0,4827520.0,16334.957096,15535.437979,36887322420.0,2258183.0,571341.0,0.349422,1686842.0,,,,,,,,,,,,,,,,,,,,,18.712466,11616.0,217364.0,1687026.0,55071.115852,54906.019942,18980039794.0,344646.0,2059.0,0.203072,342587.0,18313.0,145083.0,6814.0,15.0,409410.0,0.0,378169.0,151912.0,200.0,6091.0,10610654.0,16856.0,207279.0,0.0,0.548112,0.376963,226246.0,39392.535,14479744.0,2729736298.368088,1591.0,25.04168,2.0,8543.0,4767008.0,60.554092,3.075,6863299748.543161,20076735.94443436,57.095,0.0,0.0,ddr4_2x,15929273.0,l2,imp,spmv_imp3_s32_sth2_dist32_ipd16_addr16_l2_ddr4_2x,11279581.0,11329130.0,0.005304,5304447909.0,stage3,0.009047,1.7056938159879336,378169.0,207279.0,16856.0,0.5481120874529641,0.044572664602333875,0.4677728937425428,0.20429205003360945,0.375556461475744,151912.0,0.4017040000634637,6091.0,200.0,18313.0,409410.0,0.014877506655919494,0.0004885078527637332,0.04473022153831123,2729736298.368088,14479744.0,0.17088790172502027,stage3: s32_sth2_dist32_ipd16_addr16
12931004.0,bfs,aggr_s16_sth2_d32_ipd16,3332.0,57983.34,40491.34,6728.846618,451.048554,6753225175.0,7204624337.0,451399162.0,19207.0,0.452081,6.397818,1137847.0,7279738.0,11472491.0,41208.240238,37398.011169,226714386318.0,5501676.0,2390946.0,0.271147,3110730.0,14011939.0,857020.0,1145937.0,871.0,40276749.0,0.0,5216034.0,2003828.0,1496028.0,3033757.0,43795891.0,2594898.0,439733.0,0.0,0.084304,0.123852,1211513.0,59434.23,77293312.0,3414773710.573832,,0.0,0.0,6323158.0,85466.112062,85133.112062,204129227769.0,2388423.0,,0.377726,2388423.0,,,,,,,,,,,,,,,,,,,,,1801.0,59.692567,2.0,192951.0,8774099.0,108.025571,8.06,6753228002.881155,451399161.5290952,57.72,0.0,0.0,ddr4_1x,67972893.0,l1d,imp,bfs_imp_stage2_aggr_s16_sth2_d32_ipd16_l1d_ddr4_1x,30729211.0,31124590.0,0.022635,22634973369.0,stage2,0.02764,1.2211177380163465,5216034.0,439733.0,2594898.0,0.08430409004235785,0.4974848706891098,0.4795537429491119,0.3777262880351875,0.07401156863632852,2003828.0,0.38416697437171615,3033757.0,1496028.0,14011939.0,40276749.0,0.07532278734810498,0.03714371286520667,0.34789150931719937,3414773710.573832,77293312.0,0.35772714060250466,stage2: aggr_s16_sth2_d32_ipd16
12793935.0,bfs,s32_sth2_pt8,3332.0,38193.475000000006,20701.475,8433.681261,522.3615580000001,8477966419.0,9001852790.0,523886371.0,38414.0,0.5243,4.909089,1112891.0,5463281.0,11381265.0,34397.157274,31451.400138,181720181878.0,5283000.0,2182515.0,0.27242,3100485.0,29913093.0,992408.0,1279336.0,1026.0,67232758.0,0.0,5750517.0,2272770.0,1444306.0,5462073.0,93975850.0,2840670.0,472751.0,0.0,0.08221,0.132303,1398168.0,37135.445,89093376.0,4564876720.823341,,0.0,0.0,6578470.0,65718.508343,65385.508343,169908762907.0,2585402.0,,0.39301,2585402.0,,,,,,,,,,,,,,,,,,,,,1706.0,49.787044,2.0,58336.0,8774099.0,91.023932,4.0,8477969697.695562,523886370.8455658,57.285,0.0,0.0,ddr4_2x,58610055.0,l1d,imp,bfs_imp3_s32_sth2_pt8_l1d_ddr4_2x,30729211.0,31124590.0,0.019517,19517148315.0,stage3,0.025176,1.2899523492340013,5750517.0,472751.0,2840670.0,0.08221017345049149,0.4939851495091659,0.4641839022287944,0.39300962077808366,0.08213541551745376,2272770.0,0.3952288116007656,5462073.0,1444306.0,29913093.0,67232758.0,0.0812412455249865,0.021482176887641587,0.444918428007966,4564876720.823341,89093376.0,0.22348195464916293,stage3: s32_sth2_pt8
