config,pf_level,memory,count,mean,median,min,max
sdist16,l2,ddr4_2x,6,1.0731205300142062,1.0311207978441133,1.013179571663921,1.1841004184100419
sdist16,l1d,ddr4_2x,6,1.064728374822674,1.0454503670247726,1.0310711365494685,1.17
sdist8,l1d,ddr4_2x,6,1.04187971225835,1.030345056078406,1.0185185185185184,1.1062861145158467
sdist16,l2,ddr4_1x,6,1.0387532250962825,1.0281860470642779,1.0044695365796283,1.1147196639198578
sdist16,l1d,ddr4_1x,6,1.0369938257720381,1.0320312745156996,0.9607438016528925,1.1341750841750842
sdist8,l2,ddr4_2x,6,1.0353820354084868,1.0155088926328535,1.006546644844517,1.0931916948334137
sdist8,l1d,ddr4_1x,6,1.02696305397609,1.0191003341398663,0.9942979330007128,1.0887201034259857
sdist8,l2,ddr4_1x,6,1.0229214229867085,1.013958648859301,0.9991928974979821,1.0615479304508386
sthr2,l1d,ddr4_2x,6,1.002148735829345,1.0004752851711025,0.9996141789245238,1.0079936051159073
sthr8,l2,ddr4_1x,6,1.0007587374460825,1.000175705751435,0.9995653433787307,1.004105371193979
sthr2,l2,ddr4_1x,6,1.0006990612487774,1.0,0.9991928974979821,1.0047928791509757
pt8,l2,ddr4_1x,6,1.0000307415692193,1.0,0.999668618137634,1.000281584381453
addrlen8,l1d,ddr4_1x,6,1.0,1.0,1.0,1.0
addrlen8,l1d,ddr4_2x,6,1.0,1.0,1.0,1.0
addrlen8,l2,ddr4_1x,6,1.0,1.0,1.0,1.0
addrlen8,l2,ddr4_2x,6,1.0,1.0,1.0,1.0
addrlen16,l1d,ddr4_1x,6,1.0,1.0,1.0,1.0
addrlen16,l1d,ddr4_2x,6,1.0,1.0,1.0,1.0
addrlen16,l2,ddr4_1x,6,1.0,1.0,1.0,1.0
addrlen16,l2,ddr4_2x,6,1.0,1.0,1.0,1.0
addrlen2,l1d,ddr4_1x,6,1.0,1.0,1.0,1.0
addrlen2,l1d,ddr4_2x,6,1.0,1.0,1.0,1.0
addrlen2,l2,ddr4_1x,6,1.0,1.0,1.0,1.0
addrlen2,l2,ddr4_2x,6,1.0,1.0,1.0,1.0
dist4,l2,ddr4_2x,6,1.0,1.0,1.0,1.0
dist4,l2,ddr4_1x,6,1.0,1.0,1.0,1.0
dist4,l1d,ddr4_2x,6,1.0,1.0,1.0,1.0
dist4,l1d,ddr4_1x,6,1.0,1.0,1.0,1.0
dist32,l2,ddr4_2x,6,1.0,1.0,1.0,1.0
dist32,l2,ddr4_1x,6,1.0,1.0,1.0,1.0
dist32,l1d,ddr4_2x,6,1.0,1.0,1.0,1.0
dist32,l1d,ddr4_1x,6,1.0,1.0,1.0,1.0
default,l2,ddr4_2x,6,1.0,1.0,1.0,1.0
default,l2,ddr4_1x,6,1.0,1.0,1.0,1.0
default,l1d,ddr4_2x,6,1.0,1.0,1.0,1.0
default,l1d,ddr4_1x,6,1.0,1.0,1.0,1.0
dist8,l1d,ddr4_1x,6,1.0,1.0,1.0,1.0
dist64,l1d,ddr4_1x,6,1.0,1.0,1.0,1.0
dist64,l2,ddr4_1x,6,1.0,1.0,1.0,1.0
dist64,l1d,ddr4_2x,6,1.0,1.0,1.0,1.0
ipd2,l2,ddr4_2x,6,1.0,1.0,1.0,1.0
ipd8,l1d,ddr4_1x,6,1.0,1.0,1.0,1.0
ipd8,l2,ddr4_1x,6,1.0,1.0,1.0,1.0
ipd8,l1d,ddr4_2x,6,1.0,1.0,1.0,1.0
pt32,l1d,ddr4_1x,6,1.0,1.0,1.0,1.0
dist8,l1d,ddr4_2x,6,1.0,1.0,1.0,1.0
dist8,l2,ddr4_1x,6,1.0,1.0,1.0,1.0
dist64,l2,ddr4_2x,6,1.0,1.0,1.0,1.0
ipd16,l1d,ddr4_1x,6,1.0,1.0,1.0,1.0
ipd16,l1d,ddr4_2x,6,1.0,1.0,1.0,1.0
ipd16,l2,ddr4_1x,6,1.0,1.0,1.0,1.0
ipd16,l2,ddr4_2x,6,1.0,1.0,1.0,1.0
ipd2,l1d,ddr4_1x,6,1.0,1.0,1.0,1.0
ipd2,l1d,ddr4_2x,6,1.0,1.0,1.0,1.0
ipd2,l2,ddr4_1x,6,1.0,1.0,1.0,1.0
dist8,l2,ddr4_2x,6,1.0,1.0,1.0,1.0
thr4,l1d,ddr4_1x,6,1.0,1.0,1.0,1.0
thr4,l1d,ddr4_2x,6,1.0,1.0,1.0,1.0
thr4,l2,ddr4_1x,6,1.0,1.0,1.0,1.0
pt64,l2,ddr4_2x,6,1.0,1.0,1.0,1.0
pt64,l1d,ddr4_2x,6,1.0,1.0,1.0,1.0
pt64,l2,ddr4_1x,6,1.0,1.0,1.0,1.0
pt64,l1d,ddr4_1x,6,1.0,1.0,1.0,1.0
pt32,l2,ddr4_2x,6,1.0,1.0,1.0,1.0
ipd8,l2,ddr4_2x,6,1.0,1.0,1.0,1.0
pt32,l2,ddr4_1x,6,1.0,1.0,1.0,1.0
pt32,l1d,ddr4_2x,6,1.0,1.0,1.0,1.0
thr3,l2,ddr4_1x,6,1.0,1.0,1.0,1.0
thr1,l1d,ddr4_1x,6,1.0,1.0,1.0,1.0
thr1,l1d,ddr4_2x,6,1.0,1.0,1.0,1.0
thr1,l2,ddr4_1x,6,1.0,1.0,1.0,1.0
thr1,l2,ddr4_2x,6,1.0,1.0,1.0,1.0
thr4,l2,ddr4_2x,6,1.0,1.0,1.0,1.0
thr3,l1d,ddr4_1x,6,1.0,1.0,1.0,1.0
thr3,l1d,ddr4_2x,6,1.0,1.0,1.0,1.0
thr3,l2,ddr4_2x,6,1.0,1.0,1.0,1.0
pt8,l1d,ddr4_1x,6,0.9999058433092324,1.0,0.9994205138110874,1.0001282599401453
pt8,l2,ddr4_2x,6,0.9998874130089582,1.0,0.999591707117906,1.0001115946880927
pt8,l1d,ddr4_2x,6,0.9997555435877402,0.9999517584060977,0.9987440826973238,1.0
sthr8,l1d,ddr4_1x,6,0.9997537847402533,1.0,0.9983922829581994,1.0003585514521334
sthr2,l2,ddr4_2x,6,0.999284711239509,0.9997632575757576,0.9959514170040485,1.000778089013383
sthr8,l2,ddr4_2x,6,0.999123165111928,0.9999528121698523,0.9967585089141004,1.000778089013383
sthr8,l1d,ddr4_2x,6,0.9990813039380654,0.999587417320571,0.9951520493609519,1.0007936507936508
sthr2,l1d,ddr4_1x,6,0.9951931726932939,1.0002275571737398,0.9714484679665738,1.0008913980092111
sdist2,l2,ddr4_1x,6,0.99142586986591,0.9845142020889336,0.9057371668635946,1.1058779201205726
sdist2,l2,ddr4_2x,6,0.9904212411408122,0.9799504289922134,0.8841077811383008,1.1417044881492688
sdist2,l1d,ddr4_1x,6,0.9632157641855187,0.9715514933057813,0.8935013262599469,0.9974973185555953
sdist2,l1d,ddr4_2x,6,0.9400041303241116,0.966233609115115,0.8691704498555509,0.9750990379173741
