run,benchmark,prefetcher,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused,default_simSeconds,speedup_vs_imp_default,l1d_miss_rate,l2_miss_rate,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_coverage_l1d,pf_unused_ratio
bfs_imp_addrlen16_l1d_ddr4_1x,bfs,imp,addrlen16,l1d,ddr4_1x,0.023393,23393219031.0,30729211.0,70249907.0,0.437428,6169647.0,11507814.0,2094566.0,5922664.0,4964319.0,312862.0,2227696.0,,,,0.023393,1.0,0.5361267570018077,0.3536526806180462,4964319.0,312862.0,2227696.0,0.06302213858537294,0.05070987043505082,0.4487415091576508
bfs_imp_addrlen16_l1d_ddr4_2x,bfs,imp,addrlen16,l1d,ddr4_2x,0.020727,20726640279.0,30729211.0,62242163.0,0.493705,6022529.0,11419388.0,2121072.0,5950664.0,4956620.0,321255.0,2255403.0,,,,0.020727,1.0,0.5273950758131697,0.35644291124486277,4956620.0,321255.0,2255403.0,0.0648133203675085,0.053342208895963805,0.455028426629437
bfs_imp_addrlen16_l2_ddr4_1x,bfs,imp,addrlen16,l2,ddr4_1x,0.02562,25619891130.0,30729211.0,76936610.0,0.39941,7053475.0,11488481.0,1351155.0,3528869.0,,,,1243469.0,260786.0,458053.0,0.02562,1.0,0.6139606271708157,0.38288613150559003,1243469.0,260786.0,458053.0,0.2097245689277336,0.03697269785460358,0.3683670441321818
bfs_imp_addrlen16_l2_ddr4_2x,bfs,imp,addrlen16,l2,ddr4_2x,0.022034,22034098512.0,30729211.0,66168464.0,0.464409,6935868.0,11405851.0,1346276.0,3529169.0,,,,1255627.0,266135.0,462189.0,0.022034,1.0,0.6080973703759588,0.38147110552087476,1255627.0,266135.0,462189.0,0.21195386846571473,0.03837082827989229,0.36809418720686954
bfs_imp_addrlen2_l1d_ddr4_1x,bfs,imp,addrlen2,l1d,ddr4_1x,0.023393,23393219031.0,30729211.0,70249907.0,0.437428,6169647.0,11507814.0,2094566.0,5922664.0,4964319.0,312862.0,2227696.0,,,,0.023393,1.0,0.5361267570018077,0.3536526806180462,4964319.0,312862.0,2227696.0,0.06302213858537294,0.05070987043505082,0.4487415091576508
bfs_imp_addrlen2_l1d_ddr4_2x,bfs,imp,addrlen2,l1d,ddr4_2x,0.020727,20726640279.0,30729211.0,62242163.0,0.493705,6022529.0,11419388.0,2121072.0,5950664.0,4956620.0,321255.0,2255403.0,,,,0.020727,1.0,0.5273950758131697,0.35644291124486277,4956620.0,321255.0,2255403.0,0.0648133203675085,0.053342208895963805,0.455028426629437
bfs_imp_addrlen2_l2_ddr4_1x,bfs,imp,addrlen2,l2,ddr4_1x,0.02562,25619891130.0,30729211.0,76936610.0,0.39941,7053475.0,11488481.0,1351155.0,3528869.0,,,,1243469.0,260786.0,458053.0,0.02562,1.0,0.6139606271708157,0.38288613150559003,1243469.0,260786.0,458053.0,0.2097245689277336,0.03697269785460358,0.3683670441321818
bfs_imp_addrlen2_l2_ddr4_2x,bfs,imp,addrlen2,l2,ddr4_2x,0.022034,22034098512.0,30729211.0,66168464.0,0.464409,6935868.0,11405851.0,1346276.0,3529169.0,,,,1255627.0,266135.0,462189.0,0.022034,1.0,0.6080973703759588,0.38147110552087476,1255627.0,266135.0,462189.0,0.21195386846571473,0.03837082827989229,0.36809418720686954
bfs_imp_addrlen8_l1d_ddr4_1x,bfs,imp,addrlen8,l1d,ddr4_1x,0.023393,23393219031.0,30729211.0,70249907.0,0.437428,6169647.0,11507814.0,2094566.0,5922664.0,4964319.0,312862.0,2227696.0,,,,0.023393,1.0,0.5361267570018077,0.3536526806180462,4964319.0,312862.0,2227696.0,0.06302213858537294,0.05070987043505082,0.4487415091576508
bfs_imp_addrlen8_l1d_ddr4_2x,bfs,imp,addrlen8,l1d,ddr4_2x,0.020727,20726640279.0,30729211.0,62242163.0,0.493705,6022529.0,11419388.0,2121072.0,5950664.0,4956620.0,321255.0,2255403.0,,,,0.020727,1.0,0.5273950758131697,0.35644291124486277,4956620.0,321255.0,2255403.0,0.0648133203675085,0.053342208895963805,0.455028426629437
bfs_imp_addrlen8_l2_ddr4_1x,bfs,imp,addrlen8,l2,ddr4_1x,0.02562,25619891130.0,30729211.0,76936610.0,0.39941,7053475.0,11488481.0,1351155.0,3528869.0,,,,1243469.0,260786.0,458053.0,0.02562,1.0,0.6139606271708157,0.38288613150559003,1243469.0,260786.0,458053.0,0.2097245689277336,0.03697269785460358,0.3683670441321818
bfs_imp_addrlen8_l2_ddr4_2x,bfs,imp,addrlen8,l2,ddr4_2x,0.022034,22034098512.0,30729211.0,66168464.0,0.464409,6935868.0,11405851.0,1346276.0,3529169.0,,,,1255627.0,266135.0,462189.0,0.022034,1.0,0.6080973703759588,0.38147110552087476,1255627.0,266135.0,462189.0,0.21195386846571473,0.03837082827989229,0.36809418720686954
bfs_imp_default_l1d_ddr4_1x,bfs,imp,default,l1d,ddr4_1x,0.023393,23393219031.0,30729211.0,70249907.0,0.437428,6169647.0,11507814.0,2094566.0,5922664.0,4964319.0,312862.0,2227696.0,,,,0.023393,1.0,0.5361267570018077,0.3536526806180462,4964319.0,312862.0,2227696.0,0.06302213858537294,0.05070987043505082,0.4487415091576508
bfs_imp_default_l1d_ddr4_2x,bfs,imp,default,l1d,ddr4_2x,0.020727,20726640279.0,30729211.0,62242163.0,0.493705,6022529.0,11419388.0,2121072.0,5950664.0,4956620.0,321255.0,2255403.0,,,,0.020727,1.0,0.5273950758131697,0.35644291124486277,4956620.0,321255.0,2255403.0,0.0648133203675085,0.053342208895963805,0.455028426629437
bfs_imp_default_l2_ddr4_1x,bfs,imp,default,l2,ddr4_1x,0.02562,25619891130.0,30729211.0,76936610.0,0.39941,7053475.0,11488481.0,1351155.0,3528869.0,,,,1243469.0,260786.0,458053.0,0.02562,1.0,0.6139606271708157,0.38288613150559003,1243469.0,260786.0,458053.0,0.2097245689277336,0.03697269785460358,0.3683670441321818
