run,benchmark,prefetcher,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused,imp_default_simSeconds,stage1_best_config,stage1_best_simSeconds,stage1_best_speedup,speedup_vs_imp_default,speedup_vs_stage1_best,l1d_miss_rate,l2_miss_rate,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,pf_coverage_l1d
simple_triad_imp_stage2_aggr_s16_sth2_d32_ipd16_addr16_l2_ddr4_2x,simple_triad,imp,aggr_s16_sth2_d32_ipd16_addr16,l2,ddr4_2x,0.00191,1910172915.0,3510120.0,5736255.0,0.611922,1882018.0,2003835.0,130707.0,373842.0,,,,595202.0,243125.0,811.0,0.002264,sdist16,0.001912,1.184100418410042,1.1853403141361256,1.0010471204188482,0.9392080685285964,0.3496316625740286,595202.0,243125.0,811.0,0.40847476991004733,0.0013625626257976284,0.1291831427754676
simple_triad_imp_stage2_s16_sth2_l2_ddr4_2x,simple_triad,imp,s16_sth2,l2,ddr4_2x,0.00191,1910172915.0,3510120.0,5736255.0,0.611922,1882018.0,2003835.0,130707.0,373842.0,,,,595202.0,243125.0,811.0,0.002264,sdist16,0.001912,1.184100418410042,1.1853403141361256,1.0010471204188482,0.9392080685285964,0.3496316625740286,595202.0,243125.0,811.0,0.40847476991004733,0.0013625626257976284,0.1291831427754676
simple_triad_imp_stage2_s16_pt8_sth2_l2_ddr4_2x,simple_triad,imp,s16_pt8_sth2,l2,ddr4_2x,0.00191,1910172915.0,3510120.0,5736255.0,0.611922,1882018.0,2003835.0,130707.0,373842.0,,,,595202.0,243125.0,811.0,0.002264,sdist16,0.001912,1.184100418410042,1.1853403141361256,1.0010471204188482,0.9392080685285964,0.3496316625740286,595202.0,243125.0,811.0,0.40847476991004733,0.0013625626257976284,0.1291831427754676
simple_triad_imp_stage2_aggr_s16_sth2_d32_ipd16_l2_ddr4_2x,simple_triad,imp,aggr_s16_sth2_d32_ipd16,l2,ddr4_2x,0.00191,1910172915.0,3510120.0,5736255.0,0.611922,1882018.0,2003835.0,130707.0,373842.0,,,,595202.0,243125.0,811.0,0.002264,sdist16,0.001912,1.184100418410042,1.1853403141361256,1.0010471204188482,0.9392080685285964,0.3496316625740286,595202.0,243125.0,811.0,0.40847476991004733,0.0013625626257976284,0.1291831427754676
simple_triad_imp_stage2_s16_pt8_sth8_l2_ddr4_2x,simple_triad,imp,s16_pt8_sth8,l2,ddr4_2x,0.001912,1912310442.0,3510138.0,5742674.0,0.611241,1882298.0,2003827.0,130933.0,373828.0,,,,595709.0,242885.0,787.0,0.002264,sdist16,0.001912,1.184100418410042,1.1841004184100419,1.0,0.9393515508075297,0.3502493125180564,595709.0,242885.0,787.0,0.4077242411983032,0.0013211148396280734,0.12903642250058173
spmv_imp_stage2_s16_ipd8_addr8_l1d_ddr4_2x,spmv,imp,s16_ipd8_addr8,l1d,ddr4_2x,0.0054,5399526735.0,11279581.0,16214795.0,0.697115,1981716.0,4826617.0,654649.0,3667613.0,2609723.0,150653.0,1927818.0,,,,0.006318,sdist16,0.0054,1.17,1.17,1.0,0.4105807442355588,0.17849456853817455,2609723.0,150653.0,1927818.0,0.057727582582519296,0.7387059852712338,0.076021488447386
spmv_imp_stage2_s16_dist8_addr16_l1d_ddr4_2x,spmv,imp,s16_dist8_addr16,l1d,ddr4_2x,0.0054,5399526735.0,11279581.0,16214795.0,0.697115,1981716.0,4826617.0,654649.0,3667613.0,2609723.0,150653.0,1927818.0,,,,0.006318,sdist16,0.0054,1.17,1.17,1.0,0.4105807442355588,0.17849456853817455,2609723.0,150653.0,1927818.0,0.057727582582519296,0.7387059852712338,0.076021488447386
spmv_imp_stage2_s16_dist32_addr16_l1d_ddr4_2x,spmv,imp,s16_dist32_addr16,l1d,ddr4_2x,0.0054,5399526735.0,11279581.0,16214795.0,0.697115,1981716.0,4826617.0,654649.0,3667613.0,2609723.0,150653.0,1927818.0,,,,0.006318,sdist16,0.0054,1.17,1.17,1.0,0.4105807442355588,0.17849456853817455,2609723.0,150653.0,1927818.0,0.057727582582519296,0.7387059852712338,0.076021488447386
spmv_imp_stage2_s16_ipd16_addr16_l1d_ddr4_2x,spmv,imp,s16_ipd16_addr16,l1d,ddr4_2x,0.0054,5399526735.0,11279581.0,16214795.0,0.697115,1981716.0,4826617.0,654649.0,3667613.0,2609723.0,150653.0,1927818.0,,,,0.006318,sdist16,0.0054,1.17,1.17,1.0,0.4105807442355588,0.17849456853817455,2609723.0,150653.0,1927818.0,0.057727582582519296,0.7387059852712338,0.076021488447386
spmv_imp_stage2_s16_ipd16_pt32_l1d_ddr4_2x,spmv,imp,s16_ipd16_pt32,l1d,ddr4_2x,0.0054,5399526735.0,11279581.0,16214795.0,0.697115,1981716.0,4826617.0,654649.0,3667613.0,2609723.0,150653.0,1927818.0,,,,0.006318,sdist16,0.0054,1.17,1.17,1.0,0.4105807442355588,0.17849456853817455,2609723.0,150653.0,1927818.0,0.057727582582519296,0.7387059852712338,0.076021488447386
spmv_imp_stage2_s16_l2_ddr4_2x,spmv,imp,s16,l2,ddr4_2x,0.00558,5579598150.0,11279576.0,16755550.0,0.674616,2389944.0,4827797.0,354649.0,1687010.0,,,,373170.0,191223.0,12627.0,0.006431,sdist16,0.00558,1.1525089605734768,1.1525089605734768,1.0,0.49503821308145307,0.2102234130206697,373170.0,191223.0,12627.0,0.5124286518208859,0.03383712517083367,0.08001149817736315
