,speedup_vs_imp_default,speedup_vs_imp_default,speedup_vs_imp_default,speedup_vs_imp_default,speedup_vs_imp_default,speedup_vs_stage1_best,speedup_vs_stage1_best,speedup_vs_stage1_best,speedup_vs_stage1_best,speedup_vs_stage1_best,pf_accuracy,pf_accuracy,pf_accuracy,pf_accuracy,pf_accuracy,pf_unused_ratio,pf_unused_ratio,pf_unused_ratio,pf_unused_ratio,pf_unused_ratio
,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max
config,,,,,,,,,,,,,,,,,,,,
aggr_s16_sth2_d32_ipd16,24,1.053384153876876,1.0331239969410944,0.961405926946933,1.1853403141361256,24,0.9960934178596883,0.9999607966128274,0.9448202207191172,1.0056791292001894,24,0.3556895889866132,0.36585112133166786,0.057703679828795616,0.8128687926805013,24,0.1581107925714981,0.017740174602416687,0.0,0.7396495353697324
aggr_s16_sth2_d32_ipd16_addr16,24,1.053384153876876,1.0331239969410944,0.961405926946933,1.1853403141361256,24,0.9960934178596883,0.9999607966128274,0.9448202207191172,1.0056791292001894,24,0.3556895889866132,0.36585112133166786,0.057703679828795616,0.8128687926805013,24,0.1581107925714981,0.017740174602416687,0.0,0.7396495353697324
cons_s2_sth8_pt8,24,0.9710375364415328,0.974926278338855,0.8691704498555509,1.124689518132141,24,0.9207359171829811,0.9466303299574901,0.7428807263722658,1.0122044241037376,24,0.2025790283419356,0.16471055484979913,8.289523203204398e-07,0.5367770915216171,24,0.10052577849450363,0.0016804950914646457,0.0,0.3950086707212792
cons_s8_sth8_pt8_ipd8,24,1.0320947623393606,1.0187211161486736,0.9888178913738018,1.1055118110236222,24,0.9769073753752237,0.9851628832600978,0.9276807980049875,1.006132756132756,24,0.31660355082959196,0.3394679588804233,0.04360631639246211,0.7003777148253069,24,0.148856887447155,0.009656121991399796,0.0,0.6977087088577357
default,24,1.0,1.0,1.0,1.0,24,0.9478690070673892,0.9683111648403124,0.8445229681978799,0.9996415770609318,24,0.2670643799228302,0.24482670645416021,0.0009727181924415227,0.621903773829594,24,0.12669299233917042,0.004621440431485878,0.0,0.538826072900849
s16,24,1.0533989889263002,1.0327259996118736,0.9607438016528925,1.1841004184100419,24,0.9961069586236698,1.0,0.9461675579322638,1.0,24,0.35524793905776564,0.3652749437849865,0.057695990489074235,0.8145021932739599,24,0.1577770315238359,0.016779569792393288,0.0,0.7387059852712338
s16_dist32_addr16,24,1.0533989889263002,1.0327259996118736,0.9607438016528925,1.1841004184100419,24,0.9961069586236698,1.0,0.9461675579322638,1.0,24,0.35524793905776564,0.3652749437849865,0.057695990489074235,0.8145021932739599,24,0.1577770315238359,0.016779569792393288,0.0,0.7387059852712338
s16_dist8_addr16,24,1.0533989889263002,1.0327259996118736,0.9607438016528925,1.1841004184100419,24,0.9961069586236698,1.0,0.9461675579322638,1.0,24,0.35524793905776564,0.3652749437849865,0.057695990489074235,0.8145021932739599,24,0.1577770315238359,0.016779569792393288,0.0,0.7387059852712338
s16_ipd16_addr16,24,1.0533989889263002,1.0327259996118736,0.9607438016528925,1.1841004184100419,24,0.9961069586236698,1.0,0.9461675579322638,1.0,24,0.35524793905776564,0.3652749437849865,0.057695990489074235,0.8145021932739599,24,0.1577770315238359,0.016779569792393288,0.0,0.7387059852712338
s16_ipd16_pt32,24,1.0533989889263002,1.0327259996118736,0.9607438016528925,1.1841004184100419,24,0.9961069586236698,1.0,0.9461675579322638,1.0,24,0.35524793905776564,0.3652749437849865,0.057695990489074235,0.8145021932739599,24,0.1577770315238359,0.016779569792393288,0.0,0.7387059852712338
