run,benchmark,prefetcher,stage,config,pf_level,memory,simSeconds,simTicks,simInsts,simOps,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_demand_miss_latency,l1d_demand_avg_miss_latency,l2_demand_miss_latency,l2_demand_avg_miss_latency,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l1d_prefetcher_accuracy,l1d_prefetcher_coverage,l1d_pf_late,l1d_pf_hit_in_cache,l1d_pf_hit_in_mshr,l1d_pf_hit_in_wb,l1d_pf_identified,l1d_pf_buffer_hit,l1d_pf_in_cache,l1d_pf_removed_demand,l1d_pf_removed_full,l1d_pf_span_page,l1d_pf_useful_span_page,l2_pf_issued,l2_pf_useful,l2_pf_unused,l2_prefetcher_accuracy,l2_prefetcher_coverage,l2_pf_late,l2_pf_hit_in_cache,l2_pf_hit_in_mshr,l2_pf_hit_in_wb,l2_pf_identified,l2_pf_buffer_hit,l2_pf_in_cache,l2_pf_removed_demand,l2_pf_removed_full,l2_pf_span_page,l2_pf_useful_span_page,l1d_blocked_cycles_no_mshrs,l1d_blocked_causes_no_mshrs,l1d_avg_blocked_no_mshrs,l2_blocked_cycles_no_mshrs,l2_blocked_causes_no_mshrs,l2_avg_blocked_no_mshrs,l1d_demand_mshr_hits,l1d_demand_mshr_misses,l1d_demand_mshr_miss_rate,l1d_demand_avg_mshr_miss_latency,l2_demand_mshr_hits,l2_demand_mshr_misses,l2_demand_mshr_miss_rate,l2_demand_avg_mshr_miss_latency,mem_avg_rdq_len,mem_avg_wrq_len,mem_num_rd_retry,mem_num_wr_retry,mem_avg_read_bw_sys,mem_avg_write_bw_sys,dram_bw_read_total,dram_bw_write_total,dram_bw_total,dram_peak_bw,dram_avg_rd_bw,dram_avg_wr_bw,dram_avg_q_lat,dram_avg_bus_lat,dram_avg_mem_acc_lat,l1d_prefetcher_read_bytes,l1d_prefetcher_read_rate,l1d_prefetcher_read_accesses,l1d_prefetcher_read_avg_lat,l2_prefetcher_read_bytes,l2_prefetcher_read_rate,l2_prefetcher_read_accesses,l2_prefetcher_read_avg_lat,load_to_use_samples,load_to_use_mean,load_to_use_stdev,load_to_use_overflows,load_to_use_min,load_to_use_max,added_loads_and_stores
bfs_imp_stage2_aggr_s16_sth2_d32_ipd16_addr16_l1d_ddr4_1x,bfs,imp,stage2,aggr_s16_sth2_d32_ipd16_addr16,l1d,ddr4_1x,0.022635,22634973369.0,30729211.0,31124590.0,67972893.0,0.452081,5501676.0,11472491.0,2388423.0,6323158.0,226714386318.0,41208.240238,204129227769.0,85466.112062,5216034.0,439733.0,2594898.0,0.084304,0.123852,2003828.0,857020.0,1145937.0,871.0,40276749.0,14011939.0,0.0,1496028.0,3033757.0,43795891.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7279738.0,1137847.0,6.397818,0.0,0.0,nan,2390946.0,3110730.0,0.271147,37398.011169,nan,2388423.0,0.377726,85133.112062,8.06,57.72,0.0,0.0,6753228002.881155,451399161.52909523,6753225175.0,451399162.0,7204624337.0,19207.0,6728.846618,451.048554,40491.34,3332.0,57983.34,77293312.0,3414773710.573832,1211513.0,59434.23,nan,nan,nan,nan,8774099.0,59.692567,108.025571,192951.0,2.0,1801.0,12931004.0
bfs_imp_stage2_aggr_s16_sth2_d32_ipd16_addr16_l1d_ddr4_2x,bfs,imp,stage2,aggr_s16_sth2_d32_ipd16_addr16,l1d,ddr4_2x,0.019611,19610929107.0,30729211.0,31124590.0,58891679.0,0.521793,5374334.0,11381679.0,2444855.0,6417484.0,184690238423.0,34365.232682,160219747556.0,65533.435544,5354997.0,454997.0,2687429.0,0.084967,0.128273,2029835.0,888336.0,1140593.0,906.0,39003958.0,13224611.0,0.0,1429719.0,2833950.0,43080266.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5017807.0,1032170.0,4.861415,0.0,0.0,nan,2282239.0,3092095.0,0.271673,31169.228372,nan,2444855.0,0.380968,65200.435544,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8774099.0,50.397187,91.103386,56870.0,2.0,1689.0,12794585.0
bfs_imp_stage2_aggr_s16_sth2_d32_ipd16_addr16_l2_ddr4_1x,bfs,imp,stage2,aggr_s16_sth2_d32_ipd16_addr16,l2,ddr4_1x,0.025508,25507885914.0,30729211.0,31124590.0,76600258.0,0.401164,6758291.0,11473082.0,1336217.0,3528833.0,261015199179.0,38621.479776,117346429166.0,87819.889409,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1842437.0,351214.0,810728.0,0.190625,0.214745,628174.0,494766.0,133382.0,26.0,3045794.0,513350.0,0.0,62371.0,181145.0,18322574.0,0.0,1275013.0,82119.0,15.526407,3344169.0,167388.0,19.978547,3229452.0,3528839.0,0.307576,38740.00181,51939.0,1284278.0,0.363938,88490.524463,9.56,59.0,0.0,0.0,6268435123.909736,400089605.0110819,6268432615.0,400089605.0,6668522220.0,19207.0,6249.195897,399.81863,49263.31,3332.0,66755.31,nan,nan,nan,nan,77501760.0,3038345093.015457,1213469.0,72121.59,8774099.0,68.672898,121.981869,372113.0,2.0,1965.0,12819154.0
bfs_imp_stage2_aggr_s16_sth2_d32_ipd16_addr16_l2_ddr4_2x,bfs,imp,stage2,aggr_s16_sth2_d32_ipd16_addr16,l2,ddr4_2x,0.021395,21395128788.0,30729211.0,31124590.0,64249636.0,0.478279,6692730.0,11400170.0,1329785.0,3529210.0,205375980734.0,30686.428518,91434950817.0,68759.19853,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1916117.0,366278.0,852497.0,0.191156,0.222313,648673.0,513287.0,135351.0,35.0,2932944.0,400007.0,0.0,51358.0,123484.0,18332320.0,0.0,862131.0,70642.0,12.204227,2009630.0,131849.0,15.241906,3163614.0,3529116.0,0.309567,30983.353344,48487.0,1281298.0,0.363055,69387.917228,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8774099.0,55.944073,98.686332,90997.0,2.0,1656.0,12737507.0
bfs_imp_stage2_aggr_s16_sth2_d32_ipd16_l1d_ddr4_1x,bfs,imp,stage2,aggr_s16_sth2_d32_ipd16,l1d,ddr4_1x,0.022635,22634973369.0,30729211.0,31124590.0,67972893.0,0.452081,5501676.0,11472491.0,2388423.0,6323158.0,226714386318.0,41208.240238,204129227769.0,85466.112062,5216034.0,439733.0,2594898.0,0.084304,0.123852,2003828.0,857020.0,1145937.0,871.0,40276749.0,14011939.0,0.0,1496028.0,3033757.0,43795891.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7279738.0,1137847.0,6.397818,0.0,0.0,nan,2390946.0,3110730.0,0.271147,37398.011169,nan,2388423.0,0.377726,85133.112062,8.06,57.72,0.0,0.0,6753228002.881155,451399161.52909523,6753225175.0,451399162.0,7204624337.0,19207.0,6728.846618,451.048554,40491.34,3332.0,57983.34,77293312.0,3414773710.573832,1211513.0,59434.23,nan,nan,nan,nan,8774099.0,59.692567,108.025571,192951.0,2.0,1801.0,12931004.0
bfs_imp_stage2_aggr_s16_sth2_d32_ipd16_l1d_ddr4_2x,bfs,imp,stage2,aggr_s16_sth2_d32_ipd16,l1d,ddr4_2x,0.019611,19610929107.0,30729211.0,31124590.0,58891679.0,0.521793,5374334.0,11381679.0,2444855.0,6417484.0,184690238423.0,34365.232682,160219747556.0,65533.435544,5354997.0,454997.0,2687429.0,0.084967,0.128273,2029835.0,888336.0,1140593.0,906.0,39003958.0,13224611.0,0.0,1429719.0,2833950.0,43080266.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5017807.0,1032170.0,4.861415,0.0,0.0,nan,2282239.0,3092095.0,0.271673,31169.228372,nan,2444855.0,0.380968,65200.435544,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8774099.0,50.397187,91.103386,56870.0,2.0,1689.0,12794585.0
bfs_imp_stage2_aggr_s16_sth2_d32_ipd16_l2_ddr4_1x,bfs,imp,stage2,aggr_s16_sth2_d32_ipd16,l2,ddr4_1x,0.025508,25507885914.0,30729211.0,31124590.0,76600258.0,0.401164,6758291.0,11473082.0,1336217.0,3528833.0,261015199179.0,38621.479776,117346429166.0,87819.889409,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1842437.0,351214.0,810728.0,0.190625,0.214745,628174.0,494766.0,133382.0,26.0,3045794.0,513350.0,0.0,62371.0,181145.0,18322574.0,0.0,1275013.0,82119.0,15.526407,3344169.0,167388.0,19.978547,3229452.0,3528839.0,0.307576,38740.00181,51939.0,1284278.0,0.363938,88490.524463,9.56,59.0,0.0,0.0,6268435123.909736,400089605.0110819,6268432615.0,400089605.0,6668522220.0,19207.0,6249.195897,399.81863,49263.31,3332.0,66755.31,nan,nan,nan,nan,77501760.0,3038345093.015457,1213469.0,72121.59,8774099.0,68.672898,121.981869,372113.0,2.0,1965.0,12819154.0
bfs_imp_stage2_aggr_s16_sth2_d32_ipd16_l2_ddr4_2x,bfs,imp,stage2,aggr_s16_sth2_d32_ipd16,l2,ddr4_2x,0.021395,21395128788.0,30729211.0,31124590.0,64249636.0,0.478279,6692730.0,11400170.0,1329785.0,3529210.0,205375980734.0,30686.428518,91434950817.0,68759.19853,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1916117.0,366278.0,852497.0,0.191156,0.222313,648673.0,513287.0,135351.0,35.0,2932944.0,400007.0,0.0,51358.0,123484.0,18332320.0,0.0,862131.0,70642.0,12.204227,2009630.0,131849.0,15.241906,3163614.0,3529116.0,0.309567,30983.353344,48487.0,1281298.0,0.363055,69387.917228,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8774099.0,55.944073,98.686332,90997.0,2.0,1656.0,12737507.0
bfs_imp_stage2_cons_s2_sth8_pt8_l1d_ddr4_1x,bfs,imp,stage2,cons_s2_sth8_pt8,l1d,ddr4_1x,0.024149,24149311515.0,30729211.0,31124590.0,72520455.0,0.423732,6753043.0,11529860.0,1929321.0,5432338.0,267747539135.0,39648.427995,154560361383.0,80111.273025,4547849.0,194243.0,1765525.0,0.042711,0.056716,2346337.0,370178.0,1975925.0,234.0,9188713.0,444727.0,0.0,1321920.0,44052.0,3829291.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4102030.0,558652.0,7.342729,0.0,0.0,nan,3522442.0,3230601.0,0.280194,36000.183594,nan,1929321.0,0.355155,79778.273025,6.09,57.48,0.0,0.0,5113048789.126111,422033066.80894417,5113046139.0,422033067.0,5535079206.0,19207.0,5093.429513,421.791901,35248.26,3332.0,52740.26,45830464.0,1897795884.2235756,718778.0,51604.14,nan,nan,nan,nan,8774099.0,69.76889,108.960178,161246.0,2.0,1755.0,13022316.0
bfs_imp_stage2_cons_s2_sth8_pt8_l1d_ddr4_2x,bfs,imp,stage2,cons_s2_sth8_pt8,l1d,ddr4_2x,0.021569,21568707702.0,30729211.0,31124590.0,64770894.0,0.47443,6585664.0,11427527.0,1929243.0,5433421.0,228180490115.0,34648.061322,123783913073.0,64161.908621,4470793.0,202193.0,1766002.0,0.045225,0.058957,2264880.0,360728.0,1903908.0,244.0,8910704.0,407268.0,0.0,1262742.0,40624.0,3782834.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2768687.0,502371.0,5.51124,0.0,0.0,nan,3358384.0,3227280.0,0.282413,30312.465201,nan,1929243.0,0.35507,63828.908621,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8774099.0,61.653363,95.991302,60694.0,2.0,1783.0,12863253.0
