run,benchmark,prefetcher,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused,imp_default_simSeconds,stage1_best_config,stage1_best_simSeconds,stage1_best_speedup,speedup_vs_imp_default,speedup_vs_stage1_best,l1d_miss_rate,l2_miss_rate,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,pf_coverage_l1d
simple_triad_imp_stage2_aggr_s16_sth2_d32_ipd16_addr16_l2_ddr4_2x,simple_triad,imp,aggr_s16_sth2_d32_ipd16_addr16,l2,ddr4_2x,0.00191,1910172915.0,3510120.0,5736255.0,0.611922,1882018.0,2003835.0,130707.0,373842.0,,,,595202.0,243125.0,811.0,0.002264,sdist16,0.001912,1.184100418410042,1.1853403141361256,1.0010471204188482,0.9392080685285964,0.3496316625740286,595202.0,243125.0,811.0,0.40847476991004733,0.0013625626257976284,0.1291831427754676
spmv_imp_stage2_s16_ipd8_addr8_l1d_ddr4_2x,spmv,imp,s16_ipd8_addr8,l1d,ddr4_2x,0.0054,5399526735.0,11279581.0,16214795.0,0.697115,1981716.0,4826617.0,654649.0,3667613.0,2609723.0,150653.0,1927818.0,,,,0.006318,sdist16,0.0054,1.17,1.17,1.0,0.4105807442355588,0.17849456853817455,2609723.0,150653.0,1927818.0,0.057727582582519296,0.7387059852712338,0.076021488447386
spmv_imp_stage2_s16_l2_ddr4_2x,spmv,imp,s16,l2,ddr4_2x,0.00558,5579598150.0,11279576.0,16755550.0,0.674616,2389944.0,4827797.0,354649.0,1687010.0,,,,373170.0,191223.0,12627.0,0.006431,sdist16,0.00558,1.1525089605734768,1.1525089605734768,1.0,0.49503821308145307,0.2102234130206697,373170.0,191223.0,12627.0,0.5124286518208859,0.03383712517083367,0.08001149817736315
spmv_imp_stage2_s16_dist8_addr16_l1d_ddr4_1x,spmv,imp,s16_dist8_addr16,l1d,ddr4_1x,0.00594,5940466587.0,11279576.0,17839239.0,0.633635,1980905.0,4826356.0,654062.0,3666897.0,2610892.0,150638.0,1927141.0,,,,0.006737,sdist16,0.00594,1.1341750841750842,1.1341750841750842,1.0,0.41043491197085336,0.1783693406168758,2610892.0,150638.0,1927141.0,0.057695990489074235,0.7381159389204915,0.076045040019587
simple_triad_imp_stage2_s2_sth2_l2_ddr4_1x,simple_triad,imp,s2_sth2,l2,ddr4_1x,0.002614,2614332051.0,3509939.0,7850848.0,0.44708,1977072.0,2003761.0,361111.0,375373.0,,,,704306.0,14252.0,2.0,0.002935,sdist2,0.002654,1.1058779201205726,1.1228003060443765,1.015302218821729,0.9866805472309322,0.9620057915726491,704306.0,14252.0,2.0,0.020235522627948647,2.8396748004418532e-06,0.007208639847208397
spmv_imp_stage2_s16_pt8_sth8_l2_ddr4_1x,spmv,imp,s16_pt8_sth8,l2,ddr4_1x,0.006186,6185903904.0,11279576.0,18576288.0,0.608495,2388080.0,4827670.0,353912.0,1686968.0,,,,366644.0,191774.0,12517.0,0.006899,sdist16,0.006189,1.1147196639198578,1.1152602651147754,1.0004849660523765,0.4946651283124157,0.20979176842714267,366644.0,191774.0,12517.0,0.5230523341442925,0.03413938316186819,0.08030467991022076
simple_triad_imp_stage2_s16_pt8_sth8_l1d_ddr4_2x,simple_triad,imp,s16_pt8_sth8,l1d,ddr4_2x,0.0021,2100242322.0,3510117.0,6307034.0,0.556543,1394301.0,2003835.0,375395.0,375405.0,592864.0,146123.0,,,,,0.002258,sdist16,0.002125,1.0625882352941176,1.0752380952380953,1.011904761904762,0.6958162722978688,0.9999733621022628,592864.0,146123.0,0.0,0.24646967938684083,0.0,0.1048001830307803
bfs_imp_stage2_s16_pt8_sth8_l1d_ddr4_2x,bfs,imp,s16_pt8_sth8,l1d,ddr4_2x,0.019608,19608341364.0,30729211.0,58883908.0,0.521862,5369239.0,11382170.0,2443558.0,6413705.0,5346093.0,455370.0,2683458.0,,,,0.020727,sdist16,0.019617,1.0565835754702553,1.0570685434516522,1.0004589963280293,0.47172366956388806,0.3809900829551718,5346093.0,455370.0,2683458.0,0.08517809173914483,0.5019474969851815,0.08481090150764382
quick_imp_stage2_s16_pt8_sth8_l1d_ddr4_1x,quick,imp,s16_pt8_sth8,l1d,ddr4_1x,0.00849,8489955879.0,24424718.0,25495363.0,0.958428,59358.0,9166431.0,28509.0,85106.0,164132.0,69935.0,1212.0,,,,0.008793,sdist16,0.008497,1.0348358244086149,1.0356890459363959,1.0008244994110718,0.006475584663212978,0.3349822574201584,164132.0,69935.0,1212.0,0.42608997636049034,0.007384300441108376,1.178189965969204
merge_imp_stage2_s16_pt8_sth8_l1d_ddr4_2x,merge,imp,s16_pt8_sth8,l1d,ddr4_2x,0.00999,9990228771.0,37918834.0,30000687.0,1.263934,768116.0,10970967.0,73145.0,210512.0,205334.0,75336.0,4993.0,,,,0.010338,sdist16,0.009995,1.0343171585792896,1.0348348348348348,1.0005005005005005,0.07001351840726529,0.347462377441666,205334.0,75336.0,4993.0,0.36689491267885493,0.0243164794919497,0.09807893599404256
quick_imp_stage2_s16_ipd16_addr16_l1d_ddr4_2x,quick,imp,s16_ipd16_addr16,l1d,ddr4_2x,0.008459,8459326872.0,24424732.0,25403384.0,0.961899,57720.0,9165808.0,28531.0,85108.0,162834.0,70256.0,1252.0,,,,0.008745,sdist16,0.008459,1.0338101430429127,1.0338101430429127,1.0,0.006297317159600114,0.33523288057526907,162834.0,70256.0,1252.0,0.4314578036527998,0.007688811918886719,1.2171864171864173
bfs_imp_stage2_s16_sth2_l1d_ddr4_1x,bfs,imp,s16_sth2,l1d,ddr4_1x,0.022635,22634973369.0,30729211.0,67972893.0,0.452081,5501676.0,11472491.0,2388423.0,6323158.0,5216034.0,439733.0,2594898.0,,,,0.023393,sdist16,0.022644,1.0330771948419006,1.0334879611221561,1.0003976143141153,0.4795537429491119,0.3777262880351875,5216034.0,439733.0,2594898.0,0.08430409004235785,0.4974848706891098,0.07992709857868766
matmult_imp_stage2_s16_sth2_l1d_ddr4_2x,matmult,imp,s16_sth2,l1d,ddr4_2x,0.001221,1221087690.0,7397876.0,3666930.0,2.01746,1150477.0,2139319.0,5380.0,1082013.0,30522.0,3567.0,4212.0,,,,0.001261,sdist16,0.001223,1.0310711365494685,1.0327600327600326,1.0016380016380015,0.5377772085415966,0.004972213827375457,30522.0,3567.0,4212.0,0.11686652250835462,0.13799882052290152,0.0031004531164030226
merge_imp_stage2_s16_dist32_addr16_l2_ddr4_2x,merge,imp,s16_dist32_addr16,l2,ddr4_2x,0.010224,10223847585.0,37919467.0,30702245.0,1.235073,866082.0,11117254.0,15815.0,201421.0,,,,98998.0,56402.0,298.0,0.010555,sdist16,0.010224,1.0323748043818466,1.0323748043818466,1.0,0.07790430982327111,0.07851713575049275,98998.0,56402.0,298.0,0.5697286813875028,0.0030101618214509384,0.06512316385746385
merge_imp_stage2_s16_pt8_sth8_l1d_ddr4_1x,merge,imp,s16_pt8_sth8,l1d,ddr4_1x,0.010035,10034701587.0,37919536.0,30134239.0,1.258355,773620.0,10971739.0,73194.0,210652.0,208908.0,74955.0,5080.0,,,,0.010348,sdist16,0.010037,1.0309853541894989,1.031190832087693,1.0001993024414548,0.07051024454737759,0.34746406395381957,208908.0,74955.0,5080.0,0.3587943017979206,0.024316924196296934,0.09688865334401903
bfs_imp_stage2_s16_pt8_sth2_l2_ddr4_2x,bfs,imp,s16_pt8_sth2,l2,ddr4_2x,0.021377,21376526076.0,30729211.0,64193772.0,0.478695,6692249.0,11396553.0,1329471.0,3529098.0,,,,1915207.0,366251.0,852083.0,0.022034,sdist16,0.021395,1.02986679130638,1.0307339664124995,1.0008420264770548,0.5872169418244271,0.37671694013597806,1915207.0,366251.0,852083.0,0.19123311474947616,0.44490386678828975,0.054727640887241344
merge_imp_stage2_s16_dist8_addr16_l2_ddr4_1x,merge,imp,s16_dist8_addr16,l2,ddr4_1x,0.010353,10353499137.0,37919539.0,31091589.0,1.219609,865516.0,11117479.0,19246.0,201370.0,,,,99914.0,52918.0,300.0,0.010657,sdist16,0.010353,1.0293634695257414,1.0293634695257414,1.0,0.07785182234209752,0.09557530913244276,99914.0,52918.0,300.0,0.5296354865184059,0.0030025822207098104,0.06114040641651916
matmult_imp_stage2_s16_ipd16_addr16_l1d_ddr4_1x,matmult,imp,s16_ipd16_addr16,l1d,ddr4_1x,0.001208,1207908882.0,7397876.0,3627354.0,2.039471,1150500.0,2138816.0,5475.0,1083178.0,34743.0,3667.0,5007.0,,,,0.001242,sdist16,0.001208,1.0281456953642385,1.0281456953642383,1.0,0.5379144349023011,0.005054570901550807,34743.0,3667.0,5007.0,0.1055464410096998,0.14411536136775754,0.003187309865275967
quick_imp_stage2_s16_dist8_addr16_l2_ddr4_1x,quick,imp,s16_dist8_addr16,l2,ddr4_1x,0.008812,8812392453.0,24424718.0,26463641.0,0.92336,242742.0,9227157.0,3981.0,82820.0,,,,30092.0,24510.0,32.0,0.00905,sdist16,0.008812,1.0270086246028145,1.0270086246028143,1.0,0.026307344721673207,0.04806809949287612,30092.0,24510.0,32.0,0.8145021932739599,0.0010634055562940316,0.10097140173517562
quick_imp_stage2_s16_sth2_l2_ddr4_2x,quick,imp,s16_sth2,l2,ddr4_2x,0.008729,8728624305.0,24424718.0,26212085.0,0.932222,240456.0,9225235.0,3987.0,82819.0,,,,30402.0,24503.0,85.0,0.008962,sdist16,0.008729,1.0266926337495703,1.0266926337495703,1.0,0.026065027069771124,0.0481411270360666,30402.0,24503.0,85.0,0.8059667127162686,0.0027958686928491547,0.10190221911701101
matmult_imp_stage2_s16_pt8_sth2_l2_ddr4_1x,matmult,imp,s16_pt8_sth2,l2,ddr4_1x,0.001221,1220895882.0,7397876.0,3666354.0,2.017777,1158184.0,2138468.0,1925.0,1077465.0,,,,6462.0,3498.0,19.0,0.001238,sdist16,0.001225,1.010612244897959,1.0139230139230138,1.003276003276003,0.541595198057675,0.0017866009568756295,6462.0,3498.0,19.0,0.5413184772516249,0.002940266171463943,0.0030202454877636025
matmult_imp_stage2_s16_ipd16_pt32_l2_ddr4_2x,matmult,imp,s16_ipd16_pt32,l2,ddr4_2x,0.001214,1213927191.0,7397876.0,3645427.0,2.02936,1159562.0,2139089.0,1912.0,1078053.0,,,,6424.0,3499.0,14.0,0.00123,sdist16,0.001214,1.013179571663921,1.013179571663921,1.0,0.542082166754165,0.0017735677188412814,6424.0,3499.0,14.0,0.5446762141967622,0.0021793275217932753,0.003017518683778875
