run,benchmark,prefetcher,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused,imp_default_simSeconds,stage1_best_config,stage1_best_simSeconds,stage1_best_speedup,speedup_vs_imp_default,speedup_vs_stage1_best,l1d_miss_rate,l2_miss_rate,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,pf_coverage_l1d
bfs_imp_stage2_aggr_s16_sth2_d32_ipd16_addr16_l1d_ddr4_1x,bfs,imp,aggr_s16_sth2_d32_ipd16_addr16,l1d,ddr4_1x,0.022635,22634973369.0,30729211.0,67972893.0,0.452081,5501676.0,11472491.0,2388423.0,6323158.0,5216034.0,439733.0,2594898.0,,,,0.023393,sdist16,0.022644,1.0330771948419006,1.0334879611221561,1.0003976143141153,0.4795537429491119,0.3777262880351875,5216034.0,439733.0,2594898.0,0.08430409004235785,0.4974848706891098,0.07992709857868766
bfs_imp_stage2_aggr_s16_sth2_d32_ipd16_addr16_l1d_ddr4_2x,bfs,imp,aggr_s16_sth2_d32_ipd16_addr16,l1d,ddr4_2x,0.019611,19610929107.0,30729211.0,58891679.0,0.521793,5374334.0,11381679.0,2444855.0,6417484.0,5354997.0,454997.0,2687429.0,,,,0.020727,sdist16,0.019617,1.0565835754702553,1.056906837999082,1.0003059507419305,0.4721916687335849,0.38096783723964095,5354997.0,454997.0,2687429.0,0.08496680763780073,0.5018544361462761,0.0846610947514613
bfs_imp_stage2_aggr_s16_sth2_d32_ipd16_addr16_l2_ddr4_1x,bfs,imp,aggr_s16_sth2_d32_ipd16_addr16,l2,ddr4_1x,0.025508,25507885914.0,30729211.0,76600258.0,0.401164,6758291.0,11473082.0,1336217.0,3528833.0,,,,1842437.0,351214.0,810728.0,0.02562,sdist16,0.025506,1.0044695365796283,1.004390779363337,0.9999215932256548,0.5890562797337281,0.37865691008897273,1842437.0,351214.0,810728.0,0.19062469978620708,0.4400302425537481,0.05196787175929536
bfs_imp_stage2_aggr_s16_sth2_d32_ipd16_addr16_l2_ddr4_2x,bfs,imp,aggr_s16_sth2_d32_ipd16_addr16,l2,ddr4_2x,0.021395,21395128788.0,30729211.0,64249636.0,0.478279,6692730.0,11400170.0,1329785.0,3529210.0,,,,1916117.0,366278.0,852497.0,0.022034,sdist16,0.021395,1.02986679130638,1.02986679130638,1.0,0.5870728243526193,0.37679395672119254,1916117.0,366278.0,852497.0,0.19115638554430653,0.4449086355373915,0.054727741893069046
bfs_imp_stage2_aggr_s16_sth2_d32_ipd16_l1d_ddr4_1x,bfs,imp,aggr_s16_sth2_d32_ipd16,l1d,ddr4_1x,0.022635,22634973369.0,30729211.0,67972893.0,0.452081,5501676.0,11472491.0,2388423.0,6323158.0,5216034.0,439733.0,2594898.0,,,,0.023393,sdist16,0.022644,1.0330771948419006,1.0334879611221561,1.0003976143141153,0.4795537429491119,0.3777262880351875,5216034.0,439733.0,2594898.0,0.08430409004235785,0.4974848706891098,0.07992709857868766
bfs_imp_stage2_aggr_s16_sth2_d32_ipd16_l1d_ddr4_2x,bfs,imp,aggr_s16_sth2_d32_ipd16,l1d,ddr4_2x,0.019611,19610929107.0,30729211.0,58891679.0,0.521793,5374334.0,11381679.0,2444855.0,6417484.0,5354997.0,454997.0,2687429.0,,,,0.020727,sdist16,0.019617,1.0565835754702553,1.056906837999082,1.0003059507419305,0.4721916687335849,0.38096783723964095,5354997.0,454997.0,2687429.0,0.08496680763780073,0.5018544361462761,0.0846610947514613
bfs_imp_stage2_aggr_s16_sth2_d32_ipd16_l2_ddr4_1x,bfs,imp,aggr_s16_sth2_d32_ipd16,l2,ddr4_1x,0.025508,25507885914.0,30729211.0,76600258.0,0.401164,6758291.0,11473082.0,1336217.0,3528833.0,,,,1842437.0,351214.0,810728.0,0.02562,sdist16,0.025506,1.0044695365796283,1.004390779363337,0.9999215932256548,0.5890562797337281,0.37865691008897273,1842437.0,351214.0,810728.0,0.19062469978620708,0.4400302425537481,0.05196787175929536
bfs_imp_stage2_aggr_s16_sth2_d32_ipd16_l2_ddr4_2x,bfs,imp,aggr_s16_sth2_d32_ipd16,l2,ddr4_2x,0.021395,21395128788.0,30729211.0,64249636.0,0.478279,6692730.0,11400170.0,1329785.0,3529210.0,,,,1916117.0,366278.0,852497.0,0.022034,sdist16,0.021395,1.02986679130638,1.02986679130638,1.0,0.5870728243526193,0.37679395672119254,1916117.0,366278.0,852497.0,0.19115638554430653,0.4449086355373915,0.054727741893069046
bfs_imp_stage2_cons_s2_sth8_pt8_l1d_ddr4_1x,bfs,imp,cons_s2_sth8_pt8,l1d,ddr4_1x,0.024149,24149311515.0,30729211.0,72520455.0,0.423732,6753043.0,11529860.0,1929321.0,5432338.0,4547849.0,194243.0,1765525.0,,,,0.023393,sdist16,0.022644,1.0330771948419006,0.9686943558739493,0.9376785788231397,0.5857003467518253,0.3551548154772402,4547849.0,194243.0,1765525.0,0.04271096072011186,0.38821099821036276,0.028763773605469417
bfs_imp_stage2_cons_s2_sth8_pt8_l1d_ddr4_2x,bfs,imp,cons_s2_sth8_pt8,l1d,ddr4_2x,0.021569,21568707702.0,30729211.0,64770894.0,0.47443,6585664.0,11427527.0,1929243.0,5433421.0,4470793.0,202193.0,1766002.0,,,,0.020727,sdist16,0.019617,1.0565835754702553,0.9609624924660392,0.9094997450044043,0.5762982664578259,0.35506966973477666,4470793.0,202193.0,1766002.0,0.04522531014072895,0.3950086707212792,0.03070199147724512
bfs_imp_stage2_cons_s2_sth8_pt8_l2_ddr4_1x,bfs,imp,cons_s2_sth8_pt8,l2,ddr4_1x,0.025937,25937162208.0,30729211.0,77889376.0,0.394524,7272921.0,11497452.0,1385977.0,3528916.0,,,,885398.0,183343.0,293954.0,0.02562,sdist16,0.025506,1.0044695365796283,0.9877780776496896,0.9833828121987893,0.6325680681250072,0.39274865142723714,885398.0,183343.0,293954.0,0.20707410678587482,0.3320021052679134,0.025208990995502358
bfs_imp_stage2_cons_s2_sth8_pt8_l2_ddr4_2x,bfs,imp,cons_s2_sth8_pt8,l2,ddr4_2x,0.02271,22710143790.0,30729211.0,68198630.0,0.450585,7132889.0,11405993.0,1385150.0,3528961.0,,,,886963.0,184264.0,293889.0,0.022034,sdist16,0.021395,1.02986679130638,0.9702333773667988,0.9420959929546455,0.6253632629793828,0.3925092966456699,886963.0,184264.0,293889.0,0.20774711008238225,0.3313430210730324,0.02583301100017118
