run,benchmark,prefetcher,stage,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused
bfs_imp3_s32_dist32_addr16_l2_ddr4_2x,bfs,imp,stage3,s32_dist32_addr16,l2,ddr4_2x,0.021006,21005588385.0,30729211.0,63079845.0,0.487148,6599597.0,11404095.0,1341934.0,3529215.0,nan,nan,nan,2196247.0,390524.0,1084991.0
bfs_imp3_s32_ipd8_addr8_l2_ddr4_1x,bfs,imp,stage3,s32_ipd8_addr8,l2,ddr4_1x,0.025464,25464035142.0,30729211.0,76468574.0,0.401855,6649503.0,11479109.0,1347715.0,3528375.0,nan,nan,nan,2115865.0,373340.0,1037232.0
bfs_imp3_s32_ipd8_addr8_l2_ddr4_2x,bfs,imp,stage3,s32_ipd8_addr8,l2,ddr4_2x,0.021006,21005588385.0,30729211.0,63079845.0,0.487148,6599597.0,11404095.0,1341934.0,3529215.0,nan,nan,nan,2196247.0,390524.0,1084991.0
bfs_imp3_s32_l2_ddr4_1x,bfs,imp,stage3,s32,l2,ddr4_1x,0.025464,25464035142.0,30729211.0,76468574.0,0.401855,6649503.0,11479109.0,1347715.0,3528375.0,nan,nan,nan,2115865.0,373340.0,1037232.0
bfs_imp3_s32_sth2_dist32_ipd16_addr16_l1d_ddr4_1x,bfs,imp,stage3,s32_sth2_dist32_ipd16_addr16,l1d,ddr4_1x,0.022779,22779044154.0,30729211.0,68405538.0,0.449222,5400379.0,11466497.0,2531089.0,6471582.0,5592023.0,457696.0,2736370.0,nan,nan,nan
bfs_imp3_s32_sth2_dist32_ipd16_addr16_l1d_ddr4_2x,bfs,imp,stage3,s32_sth2_dist32_ipd16_addr16,l1d,ddr4_2x,0.019525,19525198257.0,30729211.0,58634229.0,0.524084,5283128.0,11378411.0,2584866.0,6583178.0,5765647.0,473421.0,2845521.0,nan,nan,nan
bfs_imp3_s32_sth2_l1d_ddr4_2x,bfs,imp,stage3,s32_sth2,l1d,ddr4_2x,0.019525,19525198257.0,30729211.0,58634229.0,0.524084,5283128.0,11378411.0,2584866.0,6583178.0,5765647.0,473421.0,2845521.0,nan,nan,nan
bfs_imp3_s32_sth2_pt8_l1d_ddr4_1x,bfs,imp,stage3,s32_sth2_pt8,l1d,ddr4_1x,0.022778,22778496702.0,30729211.0,68403894.0,0.449232,5399795.0,11469225.0,2530049.0,6472188.0,5596692.0,459164.0,2736769.0,nan,nan,nan
bfs_imp3_s32_sth2_pt8_l1d_ddr4_2x,bfs,imp,stage3,s32_sth2_pt8,l1d,ddr4_2x,0.019517,19517148315.0,30729211.0,58610055.0,0.5243,5283000.0,11381265.0,2585402.0,6578470.0,5750517.0,472751.0,2840670.0,nan,nan,nan
bfs_imp3_s32_sth8_l1d_ddr4_1x,bfs,imp,stage3,s32_sth8,l1d,ddr4_1x,0.022792,22791683502.0,30729211.0,68443494.0,0.448972,5401864.0,11469457.0,2530323.0,6476667.0,5605502.0,457605.0,2741068.0,nan,nan,nan
bfs_imp3_s32_sth8_l2_ddr4_2x,bfs,imp,stage3,s32_sth8,l2,ddr4_2x,0.02101,21010059243.0,30729211.0,63093271.0,0.487045,6598048.0,11401816.0,1341420.0,3529106.0,nan,nan,nan,2193033.0,390594.0,1083404.0
bfs_imp3_s32_sth8_pt8_l2_ddr4_1x,bfs,imp,stage3,s32_sth8_pt8,l2,ddr4_1x,0.025476,25476268896.0,30729211.0,76505312.0,0.401662,6650942.0,11480353.0,1347316.0,3528310.0,nan,nan,nan,2115143.0,373421.0,1035949.0
bfs_imp3_s32_sth8_pt8_l2_ddr4_2x,bfs,imp,stage3,s32_sth8_pt8,l2,ddr4_2x,0.021012,21011696271.0,30729211.0,63098187.0,0.487007,6597804.0,11399880.0,1341545.0,3529166.0,nan,nan,nan,2194339.0,390502.0,1083962.0
bfs_imp3_s64_dist8_addr16_l2_ddr4_1x,bfs,imp,stage3,s64_dist8_addr16,l2,ddr4_1x,0.028237,28236898503.0,30729211.0,84795491.0,0.362392,7027264.0,11483661.0,1424342.0,3529156.0,nan,nan,nan,4733404.0,301798.0,1187861.0
