benchmark,pf_level,memory,run,prefetcher,stage,config,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,stage2_best_config,stage2_best_simSeconds,stage2_best_speedup_vs_nopf,speedup_vs_stage2_best,improvement_over_stage2_best_pct
bfs,l1d,ddr4_1x,bfs_imp3_s32_sth2_pt8_l1d_ddr4_1x,imp,stage3,s32_sth2_pt8,0.022778,22778496702.0,30729211.0,68403894.0,0.449232,5399795.0,11469225.0,2530049.0,6472188.0,5596692.0,459164.0,2736769.0,,,,0.02764,1.2134515760821847,5596692.0,459164.0,2736769.0,0.08204203483057491,0.4889976078726505,0.4708073126126656,0.390910925331588,s16_sth8,0.022635,1.2211177380163465,0.993722012468171,-0.6277987531828955
bfs,l1d,ddr4_2x,bfs_imp3_s32_sth2_pt8_l1d_ddr4_2x,imp,stage3,s32_sth2_pt8,0.019517,19517148315.0,30729211.0,58610055.0,0.5243,5283000.0,11381265.0,2585402.0,6578470.0,5750517.0,472751.0,2840670.0,,,,0.025176,1.2899523492340013,5750517.0,472751.0,2840670.0,0.08221017345049149,0.4939851495091659,0.4641839022287944,0.39300962077808366,s16_pt8_sth8,0.019608,1.2839657282741739,1.0046626018342983,0.4662601834298341
bfs,l2,ddr4_1x,bfs_imp3_s32_ipd8_addr8_l2_ddr4_1x,imp,stage3,s32_ipd8_addr8,0.025464,25464035142.0,30729211.0,76468574.0,0.401855,6649503.0,11479109.0,1347715.0,3528375.0,,,,2115865.0,373340.0,1037232.0,0.02764,1.0854539742381402,2115865.0,373340.0,1037232.0,0.1764479302791057,0.49021653082781746,0.5792699590185963,0.38196478548907076,s16_pt8_sth8,0.025505,1.083709076651637,1.0016101162425384,0.1610116242538373
bfs,l2,ddr4_2x,bfs_imp3_s32_ipd8_addr8_l2_ddr4_2x,imp,stage3,s32_ipd8_addr8,0.021006,21005588385.0,30729211.0,63079845.0,0.487148,6599597.0,11404095.0,1341934.0,3529215.0,,,,2196247.0,390524.0,1084991.0,0.025176,1.1985147100828335,2196247.0,390524.0,1084991.0,0.17781424402628665,0.4940204813028771,0.5787041409248169,0.38023583148093837,s16_pt8_sth2,0.021377,1.1777143659072835,1.017661620489384,1.7661620489384022
matmult,l1d,ddr4_1x,matmult_imp3_s64_dist32_addr16_l1d_ddr4_1x,imp,stage3,s64_dist32_addr16,0.001207,1206685440.0,7397871.0,3623680.0,2.041538,1149126.0,2138238.0,5492.0,1082270.0,24225.0,3014.0,4710.0,,,,0.001279,1.059652029826015,24225.0,3014.0,4710.0,0.12441692466460268,0.19442724458204336,0.5374172566384098,0.005074519297402681,s16_dist8_addr16,0.001208,1.058774834437086,1.0008285004142503,0.08285004142503105
matmult,l1d,ddr4_2x,matmult_imp3_s64_sth2_pt8_l1d_ddr4_2x,imp,stage3,s64_sth2_pt8,0.001218,1218429684.0,7397876.0,3658948.0,2.021861,1150918.0,2140135.0,5413.0,1081955.0,21277.0,2954.0,3470.0,,,,0.001298,1.0656814449917897,21277.0,2954.0,3470.0,0.13883536212811956,0.16308690134887438,0.5377782242708988,0.0050029807154641365,s16_pt8_sth2,0.001221,1.0630630630630629,1.0024630541871922,0.24630541871921707
matmult,l2,ddr4_1x,matmult_imp3_s32_ipd8_addr8_l2_ddr4_1x,imp,stage3,s32_ipd8_addr8,0.001205,1204672788.0,7397871.0,3617636.0,2.044949,1158165.0,2136806.0,1669.0,1076248.0,,,,5773.0,3771.0,23.0,0.001279,1.0614107883817427,5773.0,3771.0,23.0,0.65321323402044,0.00398406374501992,0.5420075570735013,0.0015507578179007068,s16_pt8_sth2,0.001221,1.0475020475020473,1.0132780082987554,1.3278008298755362
matmult,l2,ddr4_2x,matmult_imp3_s32_dist32_addr16_l2_ddr4_2x,imp,stage3,s32_dist32_addr16,0.001204,1203633495.0,7397876.0,3614515.0,2.046716,1159095.0,2138428.0,1618.0,1077370.0,,,,6106.0,3776.0,5.0,0.001298,1.0780730897009967,6106.0,3776.0,5.0,0.61840812315755,0.0008188666885031117,0.5420313426498343,0.0015018053222198501,s16_ipd16_addr16,0.001214,1.0691927512355848,1.0083056478405317,0.8305647840531671
merge,l1d,ddr4_1x,merge_imp3_s32_sth8_pt8_l1d_ddr4_1x,imp,stage3,s32_sth8_pt8,0.009968,9967776912.0,37918829.0,29933264.0,1.26678,779345.0,10964256.0,73439.0,213524.0,202153.0,75622.0,6754.0,,,,0.011631,1.1668338683788124,202153.0,75622.0,6754.0,0.374082996542223,0.03341033771450337,0.07108051836804978,0.3439379179858002,s16_pt8_sth8,0.010035,1.1590433482810165,1.0067215088282504,0.67215088282504
merge,l1d,ddr4_2x,merge_imp3_s32_sth8_l1d_ddr4_2x,imp,stage3,s32_sth8,0.009922,9921603798.0,37918829.0,29794606.0,1.272676,770952.0,10964267.0,73686.0,214411.0,214165.0,77236.0,6962.0,,,,0.011697,1.1788953839951624,214165.0,77236.0,6962.0,0.3606378259752994,0.03250764597389863,0.07031496040729399,0.3436670693201375,s16_sth8,0.00999,1.1708708708708708,1.0068534569643217,0.6853456964321714
merge,l2,ddr4_1x,merge_imp3_s32_ipd16_addr16_l2_ddr4_1x,imp,stage3,s32_ipd16_addr16,0.010153,10152784386.0,37919464.0,30488842.0,1.243717,844646.0,11106045.0,17248.0,201240.0,,,,85093.0,54694.0,373.0,0.011631,1.145572737122033,85093.0,54694.0,373.0,0.6427555733139036,0.004383439295829269,0.07605281628158359,0.0857086066388392,s16_ipd16_addr16,0.010353,1.1234424804404521,1.019698611247907,1.969861124790695
merge,l2,ddr4_2x,merge_imp3_s32_l2_ddr4_2x,imp,stage3,s32,0.010051,10050759513.0,37919508.0,30182461.0,1.256344,848023.0,11105968.0,13428.0,201366.0,,,,91714.0,58643.0,357.0,0.011697,1.1637647995224358,91714.0,58643.0,357.0,0.6394116492574743,0.0038925354907647686,0.07635741431994042,0.06668454456065076,aggr_s16_sth2_d32_ipd16,0.010224,1.1440727699530517,1.0172122176897822,1.7212217689782205
quick,l1d,ddr4_1x,quick_imp3_s32_dist32_addr16_l1d_ddr4_1x,imp,stage3,s32_dist32_addr16,0.008422,8421500070.0,24424723.0,25289790.0,0.966219,48062.0,9161629.0,28509.0,86918.0,174498.0,74561.0,2246.0,,,,0.009731,1.1554262645452387,174498.0,74561.0,2246.0,0.42728856491191874,0.012871207692924847,0.005246010289218217,0.3279988034699372,s16_sth8,0.00849,1.1461719670200237,1.0080740916646875,0.8074091664687533
quick,l1d,ddr4_2x,quick_imp3_s32_ipd16_addr16_l1d_ddr4_2x,imp,stage3,s32_ipd16_addr16,0.008388,8388313290.0,24424723.0,25190130.0,0.970042,46732.0,9161063.0,28533.0,86999.0,172896.0,74633.0,2323.0,,,,0.00967,1.1528373867429662,172896.0,74633.0,2323.0,0.43166412178419394,0.013435822691097539,0.005101154745906671,0.3279692870032989,s16_pt8_sth2,0.008459,1.143161130157229,1.0084644730567478,0.8464473056747801
quick,l2,ddr4_1x,quick_imp3_s32_l2_ddr4_1x,imp,stage3,s32,0.008652,8652488517.0,24424723.0,25983449.0,0.940425,234259.0,9220556.0,2191.0,82825.0,,,,28315.0,26303.0,19.0,0.009731,1.124711049468331,28315.0,26303.0,19.0,0.9289422567543705,0.0006710224262758256,0.025406168565106052,0.026453365529731362,s16,0.008812,1.1042896050839763,1.0184928340268147,1.8492834026814675
