run,benchmark,prefetcher,config,pf_level,memory,simSeconds,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused,stage,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,label
bfs_imp_stage2_aggr_s16_sth2_d32_ipd16_l1d_ddr4_1x,bfs,imp,aggr_s16_sth2_d32_ipd16,l1d,ddr4_1x,0.022635,0.452081,5501676.0,11472491.0,2388423.0,6323158.0,5216034.0,439733.0,2594898.0,,,,stage2,0.02764,1.2211177380163465,5216034.0,439733.0,2594898.0,0.08430409004235785,0.4974848706891098,0.4795537429491119,0.3777262880351875,stage2: aggr_s16_sth2_d32_ipd16
bfs_imp_stage2_s16_pt8_sth8_l1d_ddr4_2x,bfs,imp,s16_pt8_sth8,l1d,ddr4_2x,0.019608,0.521862,5369239.0,11382170.0,2443558.0,6413705.0,5346093.0,455370.0,2683458.0,,,,stage2,0.025176,1.2839657282741739,5346093.0,455370.0,2683458.0,0.08517809173914483,0.5019474969851815,0.47172366956388806,0.3809900829551718,stage2: s16_pt8_sth8
bfs_imp_stage2_s16_pt8_sth8_l2_ddr4_1x,bfs,imp,s16_pt8_sth8,l2,ddr4_1x,0.025505,0.401207,6760531.0,11475077.0,1335441.0,3528847.0,,,,1839532.0,351612.0,809055.0,stage2,0.02764,1.083709076651637,1839532.0,351612.0,809055.0,0.1911420948371651,0.43981567050749865,0.5891490749909565,0.37843550598821657,stage2: s16_pt8_sth8
bfs_imp_stage2_s16_pt8_sth2_l2_ddr4_2x,bfs,imp,s16_pt8_sth2,l2,ddr4_2x,0.021377,0.478695,6692249.0,11396553.0,1329471.0,3529098.0,,,,1915207.0,366251.0,852083.0,stage2,0.025176,1.1777143659072835,1915207.0,366251.0,852083.0,0.19123311474947616,0.44490386678828975,0.5872169418244271,0.37671694013597806,stage2: s16_pt8_sth2
matmult_imp_sdist16_l1d_ddr4_1x,matmult,imp,sdist16,l1d,ddr4_1x,0.001208,2.039471,1150500.0,2138816.0,5475.0,1083178.0,34743.0,3667.0,5007.0,,,,stage1,0.001279,1.058774834437086,34743.0,3667.0,5007.0,0.1055464410096998,0.14411536136775754,0.5379144349023011,0.005054570901550807,stage1: sdist16
matmult_imp_stage2_aggr_s16_sth2_d32_ipd16_l1d_ddr4_2x,matmult,imp,aggr_s16_sth2_d32_ipd16,l1d,ddr4_2x,0.001221,2.01746,1150477.0,2139319.0,5380.0,1082013.0,30522.0,3567.0,4212.0,,,,stage2,0.001298,1.0630630630630629,30522.0,3567.0,4212.0,0.11686652250835462,0.13799882052290152,0.5377772085415966,0.004972213827375457,stage2: aggr_s16_sth2_d32_ipd16
matmult_imp_stage2_s16_pt8_sth2_l2_ddr4_1x,matmult,imp,s16_pt8_sth2,l2,ddr4_1x,0.001221,2.017777,1158184.0,2138468.0,1925.0,1077465.0,,,,6462.0,3498.0,19.0,stage2,0.001279,1.0475020475020473,6462.0,3498.0,19.0,0.5413184772516249,0.002940266171463943,0.541595198057675,0.0017866009568756295,stage2: s16_pt8_sth2
matmult_imp_sdist16_l2_ddr4_2x,matmult,imp,sdist16,l2,ddr4_2x,0.001214,2.02936,1159562.0,2139089.0,1912.0,1078053.0,,,,6424.0,3499.0,14.0,stage1,0.001298,1.0691927512355848,6424.0,3499.0,14.0,0.5446762141967622,0.0021793275217932753,0.542082166754165,0.0017735677188412814,stage1: sdist16
merge_imp_stage2_s16_pt8_sth8_l1d_ddr4_1x,merge,imp,s16_pt8_sth8,l1d,ddr4_1x,0.010035,1.258355,773620.0,10971739.0,73194.0,210652.0,208908.0,74955.0,5080.0,,,,stage2,0.011631,1.1590433482810165,208908.0,74955.0,5080.0,0.3587943017979206,0.024316924196296934,0.07051024454737759,0.34746406395381957,stage2: s16_pt8_sth8
merge_imp_stage2_s16_sth8_l1d_ddr4_2x,merge,imp,s16_sth8,l1d,ddr4_2x,0.00999,1.263929,770031.0,10969702.0,73471.0,211544.0,211735.0,75396.0,5471.0,,,,stage2,0.011697,1.1708708708708708,211735.0,75396.0,5471.0,0.3560866177060949,0.02583890240158689,0.07019616394319554,0.34730836138108384,stage2: s16_sth8
