added_loads_and_stores,benchmark,config,dram_avg_bus_lat,dram_avg_mem_acc_lat,dram_avg_q_lat,dram_avg_rd_bw,dram_avg_wr_bw,dram_bw_read_total,dram_bw_total,dram_bw_write_total,dram_peak_bw,imp_default_simSeconds,improvement_over_stage2_best_pct,ipc,l1d_avg_blocked_no_mshrs,l1d_blocked_causes_no_mshrs,l1d_blocked_cycles_no_mshrs,l1d_demand_accesses,l1d_demand_avg_miss_latency,l1d_demand_avg_mshr_miss_latency,l1d_demand_miss_latency,l1d_demand_misses,l1d_demand_mshr_hits,l1d_demand_mshr_miss_rate,l1d_demand_mshr_misses,l1d_miss_rate,l1d_pf_buffer_hit,l1d_pf_hit_in_cache,l1d_pf_hit_in_mshr,l1d_pf_hit_in_wb,l1d_pf_identified,l1d_pf_in_cache,l1d_pf_issued,l1d_pf_late,l1d_pf_removed_demand,l1d_pf_removed_full,l1d_pf_span_page,l1d_pf_unused,l1d_pf_useful,l1d_pf_useful_span_page,l1d_prefetcher_accuracy,l1d_prefetcher_coverage,l1d_prefetcher_read_accesses,l1d_prefetcher_read_avg_lat,l1d_prefetcher_read_bytes,l1d_prefetcher_read_rate,l2_avg_blocked_no_mshrs,l2_blocked_causes_no_mshrs,l2_blocked_cycles_no_mshrs,l2_demand_accesses,l2_demand_avg_miss_latency,l2_demand_avg_mshr_miss_latency,l2_demand_miss_latency,l2_demand_misses,l2_demand_mshr_hits,l2_demand_mshr_miss_rate,l2_demand_mshr_misses,l2_miss_rate,l2_pf_buffer_hit,l2_pf_hit_in_cache,l2_pf_hit_in_mshr,l2_pf_hit_in_wb,l2_pf_identified,l2_pf_in_cache,l2_pf_issued,l2_pf_late,l2_pf_removed_demand,l2_pf_removed_full,l2_pf_span_page,l2_pf_unused,l2_pf_useful,l2_pf_useful_span_page,l2_prefetcher_accuracy,l2_prefetcher_coverage,l2_prefetcher_read_accesses,l2_prefetcher_read_avg_lat,l2_prefetcher_read_bytes,l2_prefetcher_read_rate,load_to_use_max,load_to_use_mean,load_to_use_min,load_to_use_overflows,load_to_use_samples,load_to_use_stdev,mem_avg_rdq_len,mem_avg_read_bw_sys,mem_avg_write_bw_sys,mem_avg_wrq_len,mem_num_rd_retry,mem_num_wr_retry,memory,numCycles,pf_accuracy,pf_coverage_l1d,pf_issued,pf_level,pf_unused,pf_unused_ratio,pf_useful,prefetcher,run,simInsts,simOps,simSeconds,simTicks,speedup_vs_imp_default,speedup_vs_nopf,speedup_vs_stage1_best,speedup_vs_stage2_best,stage,stage1_best_config,stage1_best_simSeconds,stage1_best_speedup,stage2_best_config,stage2_best_simSeconds,stage2_best_speedup_vs_nopf,nopf_simSeconds,pf_coverage,pf_late,pf_late_ratio,pf_removed_full,pf_removed_demand,pf_buffer_hit,pf_identified,pf_removed_full_ratio,pf_removed_demand_ratio,pf_buffer_hit_ratio,prefetcher_read_rate,prefetcher_read_bytes,dram_bw_utilization,label
,bfs,aggr_s16_sth2_d32_ipd16,,,,,,,,,,0.023393,,0.452081,,,,11472491.0,,,,5501676.0,,,,0.4795537429491119,,,,,,,5216034.0,,,,,2594898.0,439733.0,,,,,,,,,,,6323158.0,,,,2388423.0,,,,0.3777262880351875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddr4_1x,67972893.0,0.08430409004235785,0.0799270985786876,5216034.0,l1d,2594898.0,0.4974848706891098,439733.0,imp,bfs_imp_stage2_aggr_s16_sth2_d32_ipd16_l1d_ddr4_1x,30729211.0,,0.022635,22634973369.0,1.033487961122156,1.2211177380163465,1.0003976143141151,,stage2,sdist16,0.022644,1.0330771948419006,,,,0.02764,0.07401156863632852,,,,,,,,,,,,,stage2: aggr_s16_sth2_d32_ipd16
,bfs,aggr_s16_sth2_d32_ipd16_addr16,,,,,,,,,,0.023393,,0.452081,,,,11472491.0,,,,5501676.0,,,,0.4795537429491119,,,,,,,5216034.0,,,,,2594898.0,439733.0,,,,,,,,,,,6323158.0,,,,2388423.0,,,,0.3777262880351875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddr4_1x,67972893.0,0.08430409004235785,0.0799270985786876,5216034.0,l1d,2594898.0,0.4974848706891098,439733.0,imp,bfs_imp_stage2_aggr_s16_sth2_d32_ipd16_addr16_l1d_ddr4_1x,30729211.0,,0.022635,22634973369.0,1.033487961122156,1.2211177380163465,1.0003976143141151,,stage2,sdist16,0.022644,1.0330771948419006,,,,0.02764,0.07401156863632852,,,,,,,,,,,,,stage2: aggr_s16_sth2_d32_ipd16_addr16
,bfs,s16_sth8,,,,,,,,,,0.023393,,0.452074,,,,11469485.0,,,,5497076.0,,,,0.47927836341387603,,,,,,,5222776.0,,,,,2596783.0,440969.0,,,,,,,,,,,6325372.0,,,,2386651.0,,,,0.37731393505393834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddr4_1x,67973871.0,0.08443191896416771,0.0802188290647609,5222776.0,l1d,2596783.0,0.4972035944103289,440969.0,imp,bfs_imp_stage2_s16_sth8_l1d_ddr4_1x,30729211.0,,0.022635,22635299043.0,1.033487961122156,1.2211177380163465,1.0003976143141151,,stage2,sdist16,0.022644,1.0330771948419006,,,,0.02764,0.07426164672042734,,,,,,,,,,,,,stage2: s16_sth8
,bfs,s16_sth2,,,,,,,,,,0.023393,,0.452081,,,,11472491.0,,,,5501676.0,,,,0.4795537429491119,,,,,,,5216034.0,,,,,2594898.0,439733.0,,,,,,,,,,,6323158.0,,,,2388423.0,,,,0.3777262880351875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddr4_1x,67972893.0,0.08430409004235785,0.0799270985786876,5216034.0,l1d,2594898.0,0.4974848706891098,439733.0,imp,bfs_imp_stage2_s16_sth2_l1d_ddr4_1x,30729211.0,,0.022635,22634973369.0,1.033487961122156,1.2211177380163465,1.0003976143141151,,stage2,sdist16,0.022644,1.0330771948419006,,,,0.02764,0.07401156863632852,,,,,,,,,,,,,stage2: s16_sth2
,bfs,s16_pt8_sth2,,,,,,,,,,0.023393,,0.452041,,,,11472007.0,,,,5497933.0,,,,0.479247702690558,,,,,,,5212597.0,,,,,2593668.0,440317.0,,,,,,,,,,,6321946.0,,,,2387155.0,,,,0.3775981319675935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddr4_1x,67978925.0,0.08447171342806667,0.0800877347905112,5212597.0,l1d,2593668.0,0.4975769275852325,440317.0,imp,bfs_imp_stage2_s16_pt8_sth2_l1d_ddr4_1x,30729211.0,,0.022637,22636982025.0,1.033396651499757,1.221009851128683,1.000309228254627,,stage2,sdist16,0.022644,1.0330771948419006,,,,0.02764,0.07414928640592768,,,,,,,,,,,,,stage2: s16_pt8_sth2
,bfs,s16_pt8_sth8,,,,,,,,,,0.023393,,0.451958,,,,11474719.0,,,,5496937.0,,,,0.47904763506627046,,,,,,,5216982.0,,,,,2599739.0,441350.0,,,,,,,,,,,6328055.0,,,,2386347.0,,,,0.3771059195914068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddr4_1x,67991335.0,0.0845987201029254,0.0802901688704091,5216982.0,l1d,2599739.0,0.4983224017257487,441350.0,imp,bfs_imp_stage2_s16_pt8_sth8_l1d_ddr4_1x,30729211.0,,0.022641,22641114555.0,1.033214080650148,1.2207941345346938,1.000132502981317,,stage2,sdist16,0.022644,1.0330771948419006,,,,0.02764,0.07432278029000619,,,,,,,,,,,,,stage2: s16_pt8_sth8
,bfs,s16_ipd8_addr8,,,,,,,,,,0.023393,,0.451899,,,,11471915.0,,,,5499207.0,,,,0.4793625998797934,,,,,,,5223342.0,,,,,2597004.0,440614.0,,,,,,,,,,,6325340.0,,,,2389038.0,,,,0.37769321491018665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddr4_1x,68000306.0,0.08435480579291955,0.0801231886706574,5223342.0,l1d,2597004.0,0.49719202763288334,440614.0,imp,bfs_imp_stage2_s16_ipd8_addr8_l1d_ddr4_1x,30729211.0,,0.022644,22644101898.0,1.0330771948419006,1.2206323971029853,1.0,,stage2,sdist16,0.022644,1.0330771948419006,,,,0.02764,0.07417967645826364,,,,,,,,,,,,,stage2: s16_ipd8_addr8
,bfs,s16,,,,,,,,,,0.023393,,0.451899,,,,11471915.0,,,,5499207.0,,,,0.4793625998797934,,,,,,,5223342.0,,,,,2597004.0,440614.0,,,,,,,,,,,6325340.0,,,,2389038.0,,,,0.37769321491018665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddr4_1x,68000306.0,0.08435480579291955,0.0801231886706574,5223342.0,l1d,2597004.0,0.49719202763288334,440614.0,imp,bfs_imp_stage2_s16_l1d_ddr4_1x,30729211.0,,0.022644,22644101898.0,1.0330771948419006,1.2206323971029853,1.0,,stage2,sdist16,0.022644,1.0330771948419006,,,,0.02764,0.07417967645826364,,,,,,,,,,,,,stage2: s16
,bfs,s16_dist8_addr16,,,,,,,,,,0.023393,,0.451899,,,,11471915.0,,,,5499207.0,,,,0.4793625998797934,,,,,,,5223342.0,,,,,2597004.0,440614.0,,,,,,,,,,,6325340.0,,,,2389038.0,,,,0.37769321491018665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddr4_1x,68000306.0,0.08435480579291955,0.0801231886706574,5223342.0,l1d,2597004.0,0.49719202763288334,440614.0,imp,bfs_imp_stage2_s16_dist8_addr16_l1d_ddr4_1x,30729211.0,,0.022644,22644101898.0,1.0330771948419006,1.2206323971029853,1.0,,stage2,sdist16,0.022644,1.0330771948419006,,,,0.02764,0.07417967645826364,,,,,,,,,,,,,stage2: s16_dist8_addr16
,bfs,s16_ipd16_pt32,,,,,,,,,,0.023393,,0.451899,,,,11471915.0,,,,5499207.0,,,,0.4793625998797934,,,,,,,5223342.0,,,,,2597004.0,440614.0,,,,,,,,,,,6325340.0,,,,2389038.0,,,,0.37769321491018665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddr4_1x,68000306.0,0.08435480579291955,0.0801231886706574,5223342.0,l1d,2597004.0,0.49719202763288334,440614.0,imp,bfs_imp_stage2_s16_ipd16_pt32_l1d_ddr4_1x,30729211.0,,0.022644,22644101898.0,1.0330771948419006,1.2206323971029853,1.0,,stage2,sdist16,0.022644,1.0330771948419006,,,,0.02764,0.07417967645826364,,,,,,,,,,,,,stage2: s16_ipd16_pt32
