added_loads_and_stores,benchmark,config,dram_avg_bus_lat,dram_avg_mem_acc_lat,dram_avg_q_lat,dram_avg_rd_bw,dram_avg_wr_bw,dram_bw_read_total,dram_bw_total,dram_bw_write_total,dram_peak_bw,ipc,l1d_avg_blocked_no_mshrs,l1d_blocked_causes_no_mshrs,l1d_blocked_cycles_no_mshrs,l1d_demand_accesses,l1d_demand_avg_miss_latency,l1d_demand_avg_mshr_miss_latency,l1d_demand_miss_latency,l1d_demand_misses,l1d_demand_mshr_hits,l1d_demand_mshr_miss_rate,l1d_demand_mshr_misses,l1d_pf_buffer_hit,l1d_pf_hit_in_cache,l1d_pf_hit_in_mshr,l1d_pf_hit_in_wb,l1d_pf_identified,l1d_pf_in_cache,l1d_pf_issued,l1d_pf_late,l1d_pf_removed_demand,l1d_pf_removed_full,l1d_pf_span_page,l1d_pf_unused,l1d_pf_useful,l1d_pf_useful_span_page,l1d_prefetcher_accuracy,l1d_prefetcher_coverage,l1d_prefetcher_read_accesses,l1d_prefetcher_read_avg_lat,l1d_prefetcher_read_bytes,l1d_prefetcher_read_rate,l2_avg_blocked_no_mshrs,l2_blocked_causes_no_mshrs,l2_blocked_cycles_no_mshrs,l2_demand_accesses,l2_demand_avg_miss_latency,l2_demand_avg_mshr_miss_latency,l2_demand_miss_latency,l2_demand_misses,l2_demand_mshr_hits,l2_demand_mshr_miss_rate,l2_demand_mshr_misses,l2_pf_buffer_hit,l2_pf_hit_in_cache,l2_pf_hit_in_mshr,l2_pf_hit_in_wb,l2_pf_identified,l2_pf_in_cache,l2_pf_issued,l2_pf_late,l2_pf_removed_demand,l2_pf_removed_full,l2_pf_span_page,l2_pf_unused,l2_pf_useful,l2_pf_useful_span_page,l2_prefetcher_accuracy,l2_prefetcher_coverage,l2_prefetcher_read_accesses,l2_prefetcher_read_avg_lat,l2_prefetcher_read_bytes,l2_prefetcher_read_rate,load_to_use_max,load_to_use_mean,load_to_use_min,load_to_use_overflows,load_to_use_samples,load_to_use_stdev,mem_avg_rdq_len,mem_avg_read_bw_sys,mem_avg_write_bw_sys,mem_avg_wrq_len,mem_num_rd_retry,mem_num_wr_retry,memory,numCycles,pf_level,prefetcher,run,simInsts,simOps,simSeconds,simTicks,stage,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,pf_coverage,pf_late,pf_late_ratio,pf_removed_full,pf_removed_demand,pf_buffer_hit,pf_identified,pf_removed_full_ratio,pf_removed_demand_ratio,pf_buffer_hit_ratio,prefetcher_read_rate,prefetcher_read_bytes,dram_bw_utilization,label
12793935.0,bfs,s32_sth2_pt8,3332.0,38193.475000000006,20701.475,8433.681261,522.3615580000001,8477966419.0,9001852790.0,523886371.0,38414.0,0.5243,4.909089,1112891.0,5463281.0,11381265.0,34397.157274,31451.400138,181720181878.0,5283000.0,2182515.0,0.27242,3100485.0,29913093.0,992408.0,1279336.0,1026.0,67232758.0,0.0,5750517.0,2272770.0,1444306.0,5462073.0,93975850.0,2840670.0,472751.0,0.0,0.08221,0.132303,1398168.0,37135.445,89093376.0,4564876720.823341,,0.0,0.0,6578470.0,65718.508343,65385.508343,169908762907.0,2585402.0,,0.39301,2585402.0,,,,,,,,,,,,,,,,,,,,,1706.0,49.787044,2.0,58336.0,8774099.0,91.023932,4.0,8477969697.695562,523886370.8455658,57.285,0.0,0.0,ddr4_2x,58610055.0,l1d,imp,bfs_imp3_s32_sth2_pt8_l1d_ddr4_2x,30729211.0,31124590.0,0.019517,19517148315.0,stage3,0.025176,1.2899523492340013,5750517.0,472751.0,2840670.0,0.08221017345049149,0.4939851495091659,0.4641839022287944,0.39300962077808366,0.08213541551745376,2272770.0,0.3952288116007656,5462073.0,1444306.0,29913093.0,67232758.0,0.0812412455249865,0.021482176887641587,0.444918428007966,4564876720.823341,89093376.0,0.22348195464916293,stage3: s32_sth2_pt8
12791653.0,bfs,s32_sth8_pt8,3332.0,38227.51,20735.51,8434.617817,522.3048289999999,8478353028.0,9002136351.0,523783322.0,38414.0,0.524154,4.896923,1111574.0,5443292.0,11378453.0,34423.414876,31468.665401,181660105568.0,5277225.0,2179349.0,0.272258,3097876.0,29817287.0,993015.0,1279360.0,938.0,67083957.0,0.0,5752186.0,2273313.0,1440742.0,5448299.0,93916491.0,2839644.0,474188.0,0.0,0.082436,0.132749,1399140.0,37215.555,89160064.0,4567023403.943782,,0.0,0.0,6576982.0,65755.539135,65422.539135,170059539778.0,2586239.0,,0.393226,2586239.0,,,,,,,,,,,,,,,,,,,,,1688.0,49.757262,2.0,58197.0,8774099.0,90.8888,4.005,8478356306.76304,523783322.0865289,57.305,0.0,0.0,ddr4_2x,58626356.0,l1d,imp,bfs_imp3_s32_sth8_pt8_l1d_ddr4_2x,30729211.0,31124590.0,0.019523,19522576548.0,stage3,0.025176,1.2895559084157149,5752186.0,474188.0,2839644.0,0.08243613819163706,0.49366345246833115,0.4637910795079085,0.3932257987022011,0.08244721775327211,2273313.0,0.3952085346336158,5448299.0,1440742.0,29817287.0,67083957.0,0.08121612444537224,0.02147669971227249,0.44447716463714265,4567023403.943782,89160064.0,0.22348899439620395,stage3: s32_sth8_pt8
12790511.0,bfs,s32_sth2_dist32_ipd16,3332.0,38183.465,20691.465,8428.358772,522.300253,8472714173.0,8996486166.0,523771993.0,38414.0,0.524084,4.88659,1111224.0,5430096.0,11378411.0,34410.375853,31450.074381,181794420157.0,5283128.0,2184492.0,0.272326,3098636.0,29902197.0,998997.0,1281344.0,994.0,67296757.0,0.0,5765647.0,2281335.0,1444974.0,5453226.0,93933323.0,2845521.0,473421.0,0.0,0.082111,0.132535,1398295.0,37131.505,89102400.0,4563456863.648275,,0.0,0.0,6583178.0,65708.43227,65375.43227,169847492488.0,2584866.0,,0.392647,2584866.0,,,,,,,,,,,,,,,,,,,,,1691.0,49.797632,2.0,58953.0,8774099.0,90.978795,4.0,8472717450.676382,523771992.7547263,57.27,0.0,0.0,ddr4_2x,58634229.0,l1d,imp,bfs_imp3_s32_sth2_dist32_ipd16_l1d_ddr4_2x,30729211.0,31124590.0,0.019525,19525198257.0,stage3,0.025176,1.2894238156209987,5765647.0,473421.0,2845521.0,0.08211064603851051,0.4935302143887754,0.46431158094043185,0.3926471379020892,0.08224041869529818,2281335.0,0.3956771893943559,5453226.0,1444974.0,29902197.0,67296757.0,0.08103252285990542,0.02147167359045251,0.44433340227672485,4563456863.648275,89102400.0,0.22334872167486686,stage3: s32_sth2_dist32_ipd16
12790511.0,bfs,s32_sth2,3332.0,38183.465,20691.465,8428.358772,522.300253,8472714173.0,8996486166.0,523771993.0,38414.0,0.524084,4.88659,1111224.0,5430096.0,11378411.0,34410.375853,31450.074381,181794420157.0,5283128.0,2184492.0,0.272326,3098636.0,29902197.0,998997.0,1281344.0,994.0,67296757.0,0.0,5765647.0,2281335.0,1444974.0,5453226.0,93933323.0,2845521.0,473421.0,0.0,0.082111,0.132535,1398295.0,37131.505,89102400.0,4563456863.648275,,0.0,0.0,6583178.0,65708.43227,65375.43227,169847492488.0,2584866.0,,0.392647,2584866.0,,,,,,,,,,,,,,,,,,,,,1691.0,49.797632,2.0,58953.0,8774099.0,90.978795,4.0,8472717450.676382,523771992.7547263,57.27,0.0,0.0,ddr4_2x,58634229.0,l1d,imp,bfs_imp3_s32_sth2_l1d_ddr4_2x,30729211.0,31124590.0,0.019525,19525198257.0,stage3,0.025176,1.2894238156209987,5765647.0,473421.0,2845521.0,0.08211064603851051,0.4935302143887754,0.46431158094043185,0.3926471379020892,0.08224041869529818,2281335.0,0.3956771893943559,5453226.0,1444974.0,29902197.0,67296757.0,0.08103252285990542,0.02147167359045251,0.44433340227672485,4563456863.648275,89102400.0,0.22334872167486686,stage3: s32_sth2
12790511.0,bfs,s32_sth2_dist32_ipd16_addr16,3332.0,38183.465,20691.465,8428.358772,522.300253,8472714173.0,8996486166.0,523771993.0,38414.0,0.524084,4.88659,1111224.0,5430096.0,11378411.0,34410.375853,31450.074381,181794420157.0,5283128.0,2184492.0,0.272326,3098636.0,29902197.0,998997.0,1281344.0,994.0,67296757.0,0.0,5765647.0,2281335.0,1444974.0,5453226.0,93933323.0,2845521.0,473421.0,0.0,0.082111,0.132535,1398295.0,37131.505,89102400.0,4563456863.648275,,0.0,0.0,6583178.0,65708.43227,65375.43227,169847492488.0,2584866.0,,0.392647,2584866.0,,,,,,,,,,,,,,,,,,,,,1691.0,49.797632,2.0,58953.0,8774099.0,90.978795,4.0,8472717450.676382,523771992.7547263,57.27,0.0,0.0,ddr4_2x,58634229.0,l1d,imp,bfs_imp3_s32_sth2_dist32_ipd16_addr16_l1d_ddr4_2x,30729211.0,31124590.0,0.019525,19525198257.0,stage3,0.025176,1.2894238156209987,5765647.0,473421.0,2845521.0,0.08211064603851051,0.4935302143887754,0.46431158094043185,0.3926471379020892,0.08224041869529818,2281335.0,0.3956771893943559,5453226.0,1444974.0,29902197.0,67296757.0,0.08103252285990542,0.02147167359045251,0.44433340227672485,4563456863.648275,89102400.0,0.22334872167486686,stage3: s32_sth2_dist32_ipd16_addr16
12796732.0,bfs,s16_pt8_sth8,3332.0,38008.130000000005,20516.13,7931.729723,520.186783,7975570657.0,8497141340.0,521570683.0,38414.0,0.521862,4.846445,1030666.0,4995066.0,11382170.0,34371.021168,31159.246804,184546227323.0,5369239.0,2276602.0,0.271709,3092637.0,13169324.0,885313.0,1139081.0,859.0,38892841.0,0.0,5346093.0,2025253.0,1426023.0,2833457.0,43083255.0,2683458.0,455370.0,0.0,0.085178,0.128345,1270435.0,36918.735,80910528.0,4126332079.700936,,0.0,0.0,6413705.0,65505.860453,65172.860453,160067369357.0,2443558.0,,0.38099,2443558.0,,,,,,,,,,,,,,,,,,,,,1751.0,50.374936,2.0,57070.0,8774099.0,91.065605,3.855,7975573920.144039,521570683.1163468,57.205,0.0,0.0,ddr4_2x,58883908.0,l1d,imp,bfs_imp_stage2_s16_pt8_sth8_l1d_ddr4_2x,30729211.0,31124590.0,0.019608,19608341364.0,stage2,0.025176,1.2839657282741739,5346093.0,455370.0,2683458.0,0.08517809173914483,0.5019474969851815,0.47172366956388806,0.3809900829551718,0.07818035511053188,2025253.0,0.37882861371846693,2833457.0,1426023.0,13169324.0,38892841.0,0.07285291912719875,0.03666543670594802,0.33860534898954797,4126332079.700936,80910528.0,0.21095187845139238,stage2: s16_pt8_sth8
12794585.0,bfs,aggr_s16_sth2_d32_ipd16,3332.0,38035.585,20543.585,7934.811408,520.144249,7978750989.0,8500350753.0,521599764.0,38414.0,0.521793,4.861415,1032170.0,5017807.0,11381679.0,34365.232682,31169.228372,184690238423.0,5374334.0,2282239.0,0.271673,3092095.0,13224611.0,888336.0,1140593.0,906.0,39003958.0,0.0,5354997.0,2029835.0,1429719.0,2833950.0,43080266.0,2687429.0,454997.0,0.0,0.084967,0.128273,1271984.0,36935.605,81009344.0,4130826416.127537,,0.0,0.0,6417484.0,65533.435544,65200.435544,160219747556.0,2444855.0,,0.380968,2444855.0,,,,,,,,,,,,,,,,,,,,,1689.0,50.397187,2.0,56870.0,8774099.0,91.103386,3.855,7978754252.094498,521599764.3043237,57.195,0.0,0.0,ddr4_2x,58891679.0,l1d,imp,bfs_imp_stage2_aggr_s16_sth2_d32_ipd16_l1d_ddr4_2x,30729211.0,31124590.0,0.019611,19610929107.0,stage2,0.025176,1.2837693131405843,5354997.0,454997.0,2687429.0,0.08496680763780073,0.5018544361462761,0.4721916687335849,0.38096783723964095,0.07805303901940033,2029835.0,0.37905436735071935,2833950.0,1429719.0,13224611.0,39003958.0,0.07265801075880556,0.036655741450649704,0.3390581796852514,4130826416.127537,81009344.0,0.21103155603635726,stage2: aggr_s16_sth2_d32_ipd16
12794585.0,bfs,s16_sth2,3332.0,38035.585,20543.585,7934.811408,520.144249,7978750989.0,8500350753.0,521599764.0,38414.0,0.521793,4.861415,1032170.0,5017807.0,11381679.0,34365.232682,31169.228372,184690238423.0,5374334.0,2282239.0,0.271673,3092095.0,13224611.0,888336.0,1140593.0,906.0,39003958.0,0.0,5354997.0,2029835.0,1429719.0,2833950.0,43080266.0,2687429.0,454997.0,0.0,0.084967,0.128273,1271984.0,36935.605,81009344.0,4130826416.127537,,0.0,0.0,6417484.0,65533.435544,65200.435544,160219747556.0,2444855.0,,0.380968,2444855.0,,,,,,,,,,,,,,,,,,,,,1689.0,50.397187,2.0,56870.0,8774099.0,91.103386,3.855,7978754252.094498,521599764.3043237,57.195,0.0,0.0,ddr4_2x,58891679.0,l1d,imp,bfs_imp_stage2_s16_sth2_l1d_ddr4_2x,30729211.0,31124590.0,0.019611,19610929107.0,stage2,0.025176,1.2837693131405843,5354997.0,454997.0,2687429.0,0.08496680763780073,0.5018544361462761,0.4721916687335849,0.38096783723964095,0.07805303901940033,2029835.0,0.37905436735071935,2833950.0,1429719.0,13224611.0,39003958.0,0.07265801075880556,0.036655741450649704,0.3390581796852514,4130826416.127537,81009344.0,0.21103155603635726,stage2: s16_sth2
12794585.0,bfs,aggr_s16_sth2_d32_ipd16_addr16,3332.0,38035.585,20543.585,7934.811408,520.144249,7978750989.0,8500350753.0,521599764.0,38414.0,0.521793,4.861415,1032170.0,5017807.0,11381679.0,34365.232682,31169.228372,184690238423.0,5374334.0,2282239.0,0.271673,3092095.0,13224611.0,888336.0,1140593.0,906.0,39003958.0,0.0,5354997.0,2029835.0,1429719.0,2833950.0,43080266.0,2687429.0,454997.0,0.0,0.084967,0.128273,1271984.0,36935.605,81009344.0,4130826416.127537,,0.0,0.0,6417484.0,65533.435544,65200.435544,160219747556.0,2444855.0,,0.380968,2444855.0,,,,,,,,,,,,,,,,,,,,,1689.0,50.397187,2.0,56870.0,8774099.0,91.103386,3.855,7978754252.094498,521599764.3043237,57.195,0.0,0.0,ddr4_2x,58891679.0,l1d,imp,bfs_imp_stage2_aggr_s16_sth2_d32_ipd16_addr16_l1d_ddr4_2x,30729211.0,31124590.0,0.019611,19610929107.0,stage2,0.025176,1.2837693131405843,5354997.0,454997.0,2687429.0,0.08496680763780073,0.5018544361462761,0.4721916687335849,0.38096783723964095,0.07805303901940033,2029835.0,0.37905436735071935,2833950.0,1429719.0,13224611.0,39003958.0,0.07265801075880556,0.036655741450649704,0.3390581796852514,4130826416.127537,81009344.0,0.21103155603635726,stage2: aggr_s16_sth2_d32_ipd16_addr16
12801103.0,bfs,s16_pt8_sth2,3332.0,37997.285,20505.285,7929.197939,520.156737,7972785544.0,8494296541.0,521510998.0,38414.0,0.521759,4.825256,1030347.0,4971688.0,11384763.0,34357.553127,31123.040379,184564377632.0,5371872.0,2278482.0,0.271713,3093390.0,13197397.0,887294.0,1139972.0,922.0,38938579.0,0.0,5347276.0,2028188.0,1427526.0,2837802.0,43099917.0,2682826.0,454488.0,0.0,0.084994,0.128101,1269771.0,36969.67,80871680.0,4123543455.061798,,0.0,0.0,6412706.0,65496.551316,65163.551316,160020060735.0,2443183.0,,0.380991,2443183.0,,,,,,,,,,,,,,,,,,,,,1682.0,50.307899,2.0,56391.0,8774099.0,90.787553,3.85,7972788807.324753,521510997.48368657,57.245,0.0,0.0,ddr4_2x,58895438.0,l1d,imp,bfs_imp_stage2_s16_pt8_sth2_l1d_ddr4_2x,30729211.0,31124590.0,0.019612,19612180854.0,stage2,0.025176,1.283703854782786,5347276.0,454488.0,2682826.0,0.08499430364170467,0.5017182580439087,0.4718475035448696,0.3809909576394115,0.07800547854921426,2028188.0,0.3792936814931565,2837802.0,1427526.0,13197397.0,38938579.0,0.0728789306872241,0.03666096803378469,0.3389285726117535,4123543455.061798,80871680.0,0.21088125285287002,stage2: s16_pt8_sth2
