added_loads_and_stores,benchmark,config,dram_avg_bus_lat,dram_avg_mem_acc_lat,dram_avg_q_lat,dram_avg_rd_bw,dram_avg_wr_bw,dram_bw_read_total,dram_bw_total,dram_bw_write_total,dram_peak_bw,ipc,l1d_avg_blocked_no_mshrs,l1d_blocked_causes_no_mshrs,l1d_blocked_cycles_no_mshrs,l1d_demand_accesses,l1d_demand_avg_miss_latency,l1d_demand_avg_mshr_miss_latency,l1d_demand_miss_latency,l1d_demand_misses,l1d_demand_mshr_hits,l1d_demand_mshr_miss_rate,l1d_demand_mshr_misses,l1d_pf_buffer_hit,l1d_pf_hit_in_cache,l1d_pf_hit_in_mshr,l1d_pf_hit_in_wb,l1d_pf_identified,l1d_pf_in_cache,l1d_pf_issued,l1d_pf_late,l1d_pf_removed_demand,l1d_pf_removed_full,l1d_pf_span_page,l1d_pf_unused,l1d_pf_useful,l1d_pf_useful_span_page,l1d_prefetcher_accuracy,l1d_prefetcher_coverage,l1d_prefetcher_read_accesses,l1d_prefetcher_read_avg_lat,l1d_prefetcher_read_bytes,l1d_prefetcher_read_rate,l2_avg_blocked_no_mshrs,l2_blocked_causes_no_mshrs,l2_blocked_cycles_no_mshrs,l2_demand_accesses,l2_demand_avg_miss_latency,l2_demand_avg_mshr_miss_latency,l2_demand_miss_latency,l2_demand_misses,l2_demand_mshr_hits,l2_demand_mshr_miss_rate,l2_demand_mshr_misses,l2_pf_buffer_hit,l2_pf_hit_in_cache,l2_pf_hit_in_mshr,l2_pf_hit_in_wb,l2_pf_identified,l2_pf_in_cache,l2_pf_issued,l2_pf_late,l2_pf_removed_demand,l2_pf_removed_full,l2_pf_span_page,l2_pf_unused,l2_pf_useful,l2_pf_useful_span_page,l2_prefetcher_accuracy,l2_prefetcher_coverage,l2_prefetcher_read_accesses,l2_prefetcher_read_avg_lat,l2_prefetcher_read_bytes,l2_prefetcher_read_rate,load_to_use_max,load_to_use_mean,load_to_use_min,load_to_use_overflows,load_to_use_samples,load_to_use_stdev,mem_avg_rdq_len,mem_avg_read_bw_sys,mem_avg_write_bw_sys,mem_avg_wrq_len,mem_num_rd_retry,mem_num_wr_retry,memory,numCycles,pf_level,prefetcher,run,simInsts,simOps,simSeconds,simTicks,stage,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,pf_coverage,pf_late,pf_late_ratio,pf_removed_full,pf_removed_demand,pf_buffer_hit,pf_identified,pf_removed_full_ratio,pf_removed_demand_ratio,pf_buffer_hit_ratio,prefetcher_read_rate,prefetcher_read_bytes,dram_bw_utilization,label
12721401.0,bfs,s32_sth2_pt8,3332.0,43596.23,26104.230000000003,8542.231755,484.993652,8581249399.0,9067519671.0,486270271.0,38414.0,0.487151,12.903534,69724.0,899686.0,11403543.0,30000.204172,31327.794304,197941677126.0,6598011.0,3068865.0,0.309478,3529146.0,,,,,,,,,,,,,,,,,,,,,13.709406,184787.0,2533320.0,3529176.0,68896.288823,69621.26088,92402324644.0,1341180.0,49497.0,0.366001,1291683.0,672708.0,539287.0,129914.0,52.0,4135843.0,0.0,2194049.0,669253.0,55718.0,345861.0,38757405.0,1084190.0,390793.0,0.0,0.178115,0.232273,1524179.0,44245.985,97216896.0,4628170287.589358,1680.0,53.776201,2.0,86397.0,8774099.0,97.710588,4.875,8581252446.437664,486270271.1949817,57.27,0.0,0.0,ddr4_2x,63079492.0,l2,imp,bfs_imp3_s32_sth2_pt8_l2_ddr4_2x,30729211.0,31124590.0,0.021005,21005470836.0,stage3,0.025176,1.1985717686265176,2194049.0,390793.0,1084190.0,0.17811498284678237,0.4941503129601937,0.5785930740998653,0.3800263857625689,0.22563457975384144,669253.0,0.30503101799458443,345861.0,55718.0,672708.0,4135843.0,0.08362527300963794,0.013471981407418029,0.1626531761481275,4628170287.589358,97216896.0,0.2251122149149047,stage3: s32_sth2_pt8
12722494.0,bfs,s32_dist32_addr16,3332.0,43567.995,26075.995,8546.626198,484.936095,8585244493.0,9071472435.0,486227941.0,38414.0,0.487148,12.912228,69339.0,895321.0,11404095.0,29973.782499,31375.314974,197814885056.0,6599597.0,3070400.0,0.309468,3529197.0,,,,,,,,,,,,,,,,,,,,,13.832685,184640.0,2554067.0,3529215.0,68973.545505,69698.561152,92557945814.0,1341934.0,49964.0,0.366079,1291970.0,677815.0,539700.0,130664.0,47.0,4145221.0,0.0,2196247.0,670411.0,55809.0,347417.0,38770395.0,1084991.0,390524.0,0.0,0.177814,0.23211,1525159.0,44136.22,97282048.0,4631246038.766935,1654.0,53.731672,2.0,85444.0,8774099.0,97.327187,4.87,8585247539.591831,486227941.47929794,57.225,0.0,0.0,ddr4_2x,63079845.0,l2,imp,bfs_imp3_s32_dist32_addr16_l2_ddr4_2x,30729211.0,31124590.0,0.021006,21005588385.0,stage3,0.025176,1.1985147100828335,2196247.0,390524.0,1084991.0,0.17781424402628665,0.4940204813028771,0.5787041409248169,0.38023583148093837,0.22541614284444414,670411.0,0.3052530066062697,347417.0,55809.0,677815.0,4145221.0,0.08381145420232118,0.013463455868818575,0.16351721657301263,4631246038.766935,97282048.0,0.22521034709342336,stage3: s32_dist32_addr16
12722494.0,bfs,s32_ipd8_addr8,3332.0,43567.995,26075.995,8546.626198,484.936095,8585244493.0,9071472435.0,486227941.0,38414.0,0.487148,12.912228,69339.0,895321.0,11404095.0,29973.782499,31375.314974,197814885056.0,6599597.0,3070400.0,0.309468,3529197.0,,,,,,,,,,,,,,,,,,,,,13.832685,184640.0,2554067.0,3529215.0,68973.545505,69698.561152,92557945814.0,1341934.0,49964.0,0.366079,1291970.0,677815.0,539700.0,130664.0,47.0,4145221.0,0.0,2196247.0,670411.0,55809.0,347417.0,38770395.0,1084991.0,390524.0,0.0,0.177814,0.23211,1525159.0,44136.22,97282048.0,4631246038.766935,1654.0,53.731672,2.0,85444.0,8774099.0,97.327187,4.87,8585247539.591831,486227941.47929794,57.225,0.0,0.0,ddr4_2x,63079845.0,l2,imp,bfs_imp3_s32_ipd8_addr8_l2_ddr4_2x,30729211.0,31124590.0,0.021006,21005588385.0,stage3,0.025176,1.1985147100828335,2196247.0,390524.0,1084991.0,0.17781424402628665,0.4940204813028771,0.5787041409248169,0.38023583148093837,0.22541614284444414,670411.0,0.3052530066062697,347417.0,55809.0,677815.0,4145221.0,0.08381145420232118,0.013463455868818575,0.16351721657301263,4631246038.766935,97282048.0,0.22521034709342336,stage3: s32_ipd8_addr8
12718734.0,bfs,s32_sth8,3332.0,43550.57,26058.57,8538.389251,484.790256,8577224743.0,9063340079.0,486115335.0,38414.0,0.487045,12.56769,69346.0,871519.0,11401816.0,29973.610578,31321.743657,197767321326.0,6598048.0,3068970.0,0.309519,3529078.0,,,,,,,,,,,,,,,,,,,,,13.50026,184830.0,2495253.0,3529106.0,68893.462674,69591.492039,92415068700.0,1341420.0,49285.0,0.366137,1292135.0,676958.0,540406.0,128944.0,43.0,4142986.0,0.0,2193033.0,669393.0,55902.0,349673.0,38749910.0,1083404.0,390594.0,0.0,0.178107,0.232119,1523031.0,44188.075,97150720.0,4624009807.700474,1763.0,53.700598,2.0,85277.0,8774099.0,97.093412,4.865,8577227789.590388,486115335.6053866,57.28,0.0,0.0,ddr4_2x,63093271.0,l2,imp,bfs_imp3_s32_sth8_l2_ddr4_2x,30729211.0,31124590.0,0.02101,21010059243.0,stage3,0.025176,1.198286530223703,2193033.0,390594.0,1083404.0,0.17810675899541867,0.4940208378077302,0.5786839570117602,0.38010192949715876,0.22551434341754745,669393.0,0.30523617291668664,349673.0,55902.0,676958.0,4142986.0,0.08440120241777307,0.01349316652288953,0.16339857291335283,4624009807.700474,97150720.0,0.22500845145513856,stage3: s32_sth8
12715531.0,bfs,s32_sth8_pt8,3332.0,43548.34,26056.34,8539.767835999999,484.837772,8578246977.0,9064360989.0,486114014.0,38414.0,0.487007,12.854534,69590.0,894547.0,11399880.0,29997.940066,31327.804668,197920528962.0,6597804.0,3068656.0,0.309578,3529148.0,,,,,,,,,,,,,,,,,,,,,13.651519,184274.0,2515620.0,3529166.0,68901.135574,69612.262799,92433973923.0,1341545.0,49541.0,0.366093,1292004.0,674234.0,540012.0,129941.0,54.0,4139197.0,0.0,2194339.0,670007.0,55674.0,348593.0,38754755.0,1083962.0,390502.0,0.0,0.177959,0.232095,1523679.0,44172.515,97192512.0,4625638537.053456,1820.0,53.75852,2.0,85473.0,8774099.0,97.501176,4.87,8578250022.049351,486114013.2744688,57.21,0.0,0.0,ddr4_2x,63098187.0,l2,imp,bfs_imp3_s32_sth8_pt8_l2_ddr4_2x,30729211.0,31124590.0,0.021012,21011696271.0,stage3,0.025176,1.1981724728726442,2194339.0,390502.0,1083962.0,0.17795882951540304,0.49398110319326227,0.5787608290613585,0.38013088644739296,0.225456930441264,670007.0,0.30533431707680536,348593.0,55674.0,674234.0,4139197.0,0.08421754267796387,0.013450434951513542,0.16289004848041783,4625638537.053456,97192512.0,0.22503379678877636,stage3: s32_sth8_pt8
12728426.0,bfs,s16_pt8_sth2,3332.0,42763.665,25271.665,7591.495803,476.575097,7628432020.0,8106237627.0,477805607.0,38414.0,0.478695,11.852996,70889.0,840247.0,11396553.0,30680.215195,30976.554152,205319639457.0,6692249.0,3163245.0,0.309655,3529004.0,,,,,,,,,,,,,,,,,,,,,15.205588,131846.0,2004796.0,3529098.0,68751.763836,69375.139657,91403476219.0,1329471.0,48312.0,0.363027,1281159.0,396131.0,512207.0,136112.0,45.0,2928478.0,0.0,1915207.0,648364.0,50956.0,124081.0,18331298.0,852083.0,366251.0,0.0,0.191233,0.222319,1266102.0,42956.4,80719040.0,3776059763.547148,1655.0,55.960355,2.0,90622.0,8774099.0,98.742247,4.62,7628435014.194492,477805606.1909579,57.120000000000005,0.0,0.0,ddr4_2x,64193772.0,l2,imp,bfs_imp_stage2_s16_pt8_sth2_l2_ddr4_2x,30729211.0,31124590.0,0.021377,21376526076.0,stage2,0.025176,1.1777143659072835,1915207.0,366251.0,852083.0,0.19123311474947616,0.44490386678828975,0.5872169418244271,0.37671694013597806,0.21598528532389152,648364.0,0.33853468580680834,124081.0,50956.0,396131.0,2928478.0,0.04237047367267229,0.01740016486379614,0.13526855929940398,3776059763.547148,80719040.0,0.20124721787774894,stage2: s16_pt8_sth2
12732179.0,bfs,s16_pt8_sth8,3332.0,42797.93,25305.93,7583.677079,476.523965,7620447207.0,8098108639.0,477661433.0,38414.0,0.478599,12.07371,70927.0,856352.0,11398836.0,30674.479711,31003.198626,205325887540.0,6693704.0,3164678.0,0.309595,3529026.0,,,,,,,,,,,,,,,,,,,,,15.227677,131032.0,1995313.0,3529119.0,68850.17333,69480.310549,91526804118.0,1329362.0,48392.0,0.362972,1280970.0,398839.0,512171.0,134231.0,41.0,2926196.0,0.0,1911316.0,646443.0,51276.0,124114.0,18326364.0,850260.0,366021.0,0.0,0.191502,0.222236,1264177.0,42918.465,80599744.0,3769719290.60488,1712.0,55.913551,2.0,90448.0,8774099.0,98.411286,4.62,7620450199.613655,477661432.4121119,57.15,0.0,0.0,ddr4_2x,64206710.0,l2,imp,bfs_imp_stage2_s16_pt8_sth8_l2_ddr4_2x,30729211.0,31124590.0,0.021381,21380834430.0,stage2,0.025176,1.1774940367616107,1911316.0,366021.0,850260.0,0.1915020854740922,0.4448557956926013,0.5872269765088295,0.3766838125889209,0.21589281006120742,646443.0,0.33821879793817455,124114.0,51276.0,398839.0,2926196.0,0.042414793814221606,0.0175230914128787,0.13629948233132708,3769719290.60488,80599744.0,0.20104540585416444,stage2: s16_pt8_sth8
12731981.0,bfs,s16_sth8,3332.0,42801.095,25309.095,7584.097616,476.516895,7620866966.0,8098515318.0,477648351.0,38414.0,0.478589,12.07371,70927.0,856352.0,11398816.0,30675.588595,31004.594674,205336684398.0,6693814.0,3164768.0,0.309598,3529046.0,,,,,,,,,,,,,,,,,,,,,15.228538,131033.0,1995441.0,3529139.0,68852.247494,69483.728505,91532246671.0,1329401.0,48425.0,0.362971,1280976.0,398946.0,512314.0,134319.0,41.0,2926986.0,0.0,1911735.0,646674.0,51286.0,124125.0,18327622.0,850382.0,366024.0,0.0,0.191462,0.222237,1264365.0,42921.31,80611520.0,3770190440.506909,1712.0,55.917386,2.0,90473.0,8774099.0,98.427439,4.62,7620869959.2559185,477648351.4840157,57.165,0.0,0.0,ddr4_2x,64208066.0,l2,imp,bfs_imp_stage2_s16_sth8_l2_ddr4_2x,30729211.0,31124590.0,0.021381,21381285978.0,stage2,0.025176,1.1774940367616107,1911735.0,366024.0,850382.0,0.1914616827123006,0.44482211185127646,0.5872376569636706,0.3766927287363858,0.2158892313136824,646674.0,0.3382655022793431,124125.0,51286.0,398946.0,2926986.0,0.04240710409957547,0.01752177837543466,0.13629925117509958,3770190440.506909,80611520.0,0.20105550215544318,stage2: s16_sth8
12737507.0,bfs,aggr_s16_sth2_d32_ipd16,3332.0,42857.84,25365.84,7586.887352,476.172688,7624036743.0,8101423914.0,477387170.0,38414.0,0.478279,12.204227,70642.0,862131.0,11400170.0,30686.428518,30983.353344,205375980734.0,6692730.0,3163614.0,0.309567,3529116.0,,,,,,,,,,,,,,,,,,,,,15.241906,131849.0,2009630.0,3529210.0,68759.19853,69387.917228,91434950817.0,1329785.0,48487.0,0.363055,1281298.0,400007.0,513287.0,135351.0,35.0,2932944.0,0.0,1916117.0,648673.0,51358.0,123484.0,18332320.0,852497.0,366278.0,0.0,0.191156,0.222313,1266744.0,43126.245,80760192.0,3774699970.270634,1656.0,55.944073,2.0,90997.0,8774099.0,98.686332,4.625,7624039734.291689,477387170.75302887,57.150000000000006,0.0,0.0,ddr4_2x,64249636.0,l2,imp,bfs_imp_stage2_aggr_s16_sth2_d32_ipd16_l2_ddr4_2x,30729211.0,31124590.0,0.021395,21395128788.0,stage2,0.025176,1.1767235335358728,1916117.0,366278.0,852497.0,0.19115638554430653,0.4449086355373915,0.5870728243526193,0.37679395672119254,0.21595777987020529,648673.0,0.33853517295655744,123484.0,51358.0,400007.0,2932944.0,0.04210240631938421,0.01751073324277586,0.13638412462017685,3774699970.270634,80760192.0,0.201127711592159,stage2: aggr_s16_sth2_d32_ipd16
12737507.0,bfs,aggr_s16_sth2_d32_ipd16_addr16,3332.0,42857.84,25365.84,7586.887352,476.172688,7624036743.0,8101423914.0,477387170.0,38414.0,0.478279,12.204227,70642.0,862131.0,11400170.0,30686.428518,30983.353344,205375980734.0,6692730.0,3163614.0,0.309567,3529116.0,,,,,,,,,,,,,,,,,,,,,15.241906,131849.0,2009630.0,3529210.0,68759.19853,69387.917228,91434950817.0,1329785.0,48487.0,0.363055,1281298.0,400007.0,513287.0,135351.0,35.0,2932944.0,0.0,1916117.0,648673.0,51358.0,123484.0,18332320.0,852497.0,366278.0,0.0,0.191156,0.222313,1266744.0,43126.245,80760192.0,3774699970.270634,1656.0,55.944073,2.0,90997.0,8774099.0,98.686332,4.625,7624039734.291689,477387170.75302887,57.150000000000006,0.0,0.0,ddr4_2x,64249636.0,l2,imp,bfs_imp_stage2_aggr_s16_sth2_d32_ipd16_addr16_l2_ddr4_2x,30729211.0,31124590.0,0.021395,21395128788.0,stage2,0.025176,1.1767235335358728,1916117.0,366278.0,852497.0,0.19115638554430653,0.4449086355373915,0.5870728243526193,0.37679395672119254,0.21595777987020529,648673.0,0.33853517295655744,123484.0,51358.0,400007.0,2932944.0,0.04210240631938421,0.01751073324277586,0.13638412462017685,3774699970.270634,80760192.0,0.201127711592159,stage2: aggr_s16_sth2_d32_ipd16_addr16
