run,benchmark,prefetcher,config,pf_level,memory,simSeconds,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused,stage,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,label
matmult_imp3_s64_sth2_dist32_ipd16_l1d_ddr4_2x,matmult,imp,s64_sth2_dist32_ipd16,l1d,ddr4_2x,0.001218,2.021861,1150918.0,2140135.0,5413.0,1081955.0,21277.0,2954.0,3470.0,,,,stage3,0.001298,1.0656814449917897,21277.0,2954.0,3470.0,0.13883536212811956,0.16308690134887438,0.5377782242708988,0.0050029807154641365,stage3: s64_sth2_dist32_ipd16
matmult_imp3_s64_sth2_pt8_l1d_ddr4_2x,matmult,imp,s64_sth2_pt8,l1d,ddr4_2x,0.001218,2.021861,1150918.0,2140135.0,5413.0,1081955.0,21277.0,2954.0,3470.0,,,,stage3,0.001298,1.0656814449917897,21277.0,2954.0,3470.0,0.13883536212811956,0.16308690134887438,0.5377782242708988,0.0050029807154641365,stage3: s64_sth2_pt8
matmult_imp3_s64_sth2_dist32_ipd16_addr16_l1d_ddr4_2x,matmult,imp,s64_sth2_dist32_ipd16_addr16,l1d,ddr4_2x,0.001218,2.021861,1150918.0,2140135.0,5413.0,1081955.0,21277.0,2954.0,3470.0,,,,stage3,0.001298,1.0656814449917897,21277.0,2954.0,3470.0,0.13883536212811956,0.16308690134887438,0.5377782242708988,0.0050029807154641365,stage3: s64_sth2_dist32_ipd16_addr16
matmult_imp3_s64_sth8_pt8_l1d_ddr4_2x,matmult,imp,s64_sth8_pt8,l1d,ddr4_2x,0.001218,2.022768,1151099.0,2139330.0,5385.0,1081401.0,20413.0,2740.0,3633.0,,,,stage3,0.001298,1.0656814449917897,20413.0,2740.0,3633.0,0.1342281879194631,0.17797481996766767,0.5380651886338246,0.004979651396660443,stage3: s64_sth8_pt8
matmult_imp3_s64_sth2_l1d_ddr4_2x,matmult,imp,s64_sth2,l1d,ddr4_2x,0.001218,2.021861,1150918.0,2140135.0,5413.0,1081955.0,21277.0,2954.0,3470.0,,,,stage3,0.001298,1.0656814449917897,21277.0,2954.0,3470.0,0.13883536212811956,0.16308690134887438,0.5377782242708988,0.0050029807154641365,stage3: s64_sth2
matmult_imp3_s32_sth8_pt8_l1d_ddr4_2x,matmult,imp,s32_sth8_pt8,l1d,ddr4_2x,0.001219,2.020721,1148919.0,2138385.0,5381.0,1081880.0,27750.0,3257.0,4507.0,,,,stage3,0.001298,1.0648072190319933,27750.0,3257.0,4507.0,0.11736936936936937,0.16241441441441443,0.5372835106868034,0.004973749399193996,stage3: s32_sth8_pt8
matmult_imp_stage2_s16_pt8_sth2_l1d_ddr4_2x,matmult,imp,s16_pt8_sth2,l1d,ddr4_2x,0.001221,2.01746,1150477.0,2139319.0,5380.0,1082013.0,30522.0,3567.0,4212.0,,,,stage2,0.001298,1.0630630630630629,30522.0,3567.0,4212.0,0.11686652250835462,0.13799882052290152,0.5377772085415966,0.004972213827375457,stage2: s16_pt8_sth2
matmult_imp_stage2_s16_sth2_l1d_ddr4_2x,matmult,imp,s16_sth2,l1d,ddr4_2x,0.001221,2.01746,1150477.0,2139319.0,5380.0,1082013.0,30522.0,3567.0,4212.0,,,,stage2,0.001298,1.0630630630630629,30522.0,3567.0,4212.0,0.11686652250835462,0.13799882052290152,0.5377772085415966,0.004972213827375457,stage2: s16_sth2
matmult_imp_stage2_aggr_s16_sth2_d32_ipd16_l1d_ddr4_2x,matmult,imp,aggr_s16_sth2_d32_ipd16,l1d,ddr4_2x,0.001221,2.01746,1150477.0,2139319.0,5380.0,1082013.0,30522.0,3567.0,4212.0,,,,stage2,0.001298,1.0630630630630629,30522.0,3567.0,4212.0,0.11686652250835462,0.13799882052290152,0.5377772085415966,0.004972213827375457,stage2: aggr_s16_sth2_d32_ipd16
matmult_imp_stage2_aggr_s16_sth2_d32_ipd16_addr16_l1d_ddr4_2x,matmult,imp,aggr_s16_sth2_d32_ipd16_addr16,l1d,ddr4_2x,0.001221,2.01746,1150477.0,2139319.0,5380.0,1082013.0,30522.0,3567.0,4212.0,,,,stage2,0.001298,1.0630630630630629,30522.0,3567.0,4212.0,0.11686652250835462,0.13799882052290152,0.5377772085415966,0.004972213827375457,stage2: aggr_s16_sth2_d32_ipd16_addr16
matmult_imp3_s32_sth2_dist32_ipd16_l1d_ddr4_2x,matmult,imp,s32_sth2_dist32_ipd16,l1d,ddr4_2x,0.001222,2.01627,1151259.0,2139717.0,5403.0,1082958.0,27139.0,3255.0,4548.0,,,,stage3,0.001298,1.0621931260229132,27139.0,3255.0,4548.0,0.11993809646633995,0.16758170897969712,0.5380426476959336,0.00498911315120254,stage3: s32_sth2_dist32_ipd16
matmult_imp3_s32_sth2_l1d_ddr4_2x,matmult,imp,s32_sth2,l1d,ddr4_2x,0.001222,2.01627,1151259.0,2139717.0,5403.0,1082958.0,27139.0,3255.0,4548.0,,,,stage3,0.001298,1.0621931260229132,27139.0,3255.0,4548.0,0.11993809646633995,0.16758170897969712,0.5380426476959336,0.00498911315120254,stage3: s32_sth2
