run,benchmark,prefetcher,config,pf_level,memory,simSeconds,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused,stage,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,label
matmult_imp3_s32_l2_ddr4_2x,matmult,imp,s32,l2,ddr4_2x,0.001204,2.046716,1159095.0,2138428.0,1618.0,1077370.0,,,,6106.0,3776.0,5.0,stage3,0.001298,1.0780730897009967,6106.0,3776.0,5.0,0.61840812315755,0.0008188666885031117,0.5420313426498343,0.0015018053222198501,stage3: s32
matmult_imp3_s32_ipd16_addr16_l2_ddr4_2x,matmult,imp,s32_ipd16_addr16,l2,ddr4_2x,0.001204,2.046716,1159095.0,2138428.0,1618.0,1077370.0,,,,6106.0,3776.0,5.0,stage3,0.001298,1.0780730897009967,6106.0,3776.0,5.0,0.61840812315755,0.0008188666885031117,0.5420313426498343,0.0015018053222198501,stage3: s32_ipd16_addr16
matmult_imp3_s32_dist32_addr16_l2_ddr4_2x,matmult,imp,s32_dist32_addr16,l2,ddr4_2x,0.001204,2.046716,1159095.0,2138428.0,1618.0,1077370.0,,,,6106.0,3776.0,5.0,stage3,0.001298,1.0780730897009967,6106.0,3776.0,5.0,0.61840812315755,0.0008188666885031117,0.5420313426498343,0.0015018053222198501,stage3: s32_dist32_addr16
matmult_imp3_s32_ipd8_addr8_l2_ddr4_2x,matmult,imp,s32_ipd8_addr8,l2,ddr4_2x,0.001204,2.046716,1159095.0,2138428.0,1618.0,1077370.0,,,,6106.0,3776.0,5.0,stage3,0.001298,1.0780730897009967,6106.0,3776.0,5.0,0.61840812315755,0.0008188666885031117,0.5420313426498343,0.0015018053222198501,stage3: s32_ipd8_addr8
matmult_imp3_s32_dist8_addr16_l2_ddr4_2x,matmult,imp,s32_dist8_addr16,l2,ddr4_2x,0.001204,2.046716,1159095.0,2138428.0,1618.0,1077370.0,,,,6106.0,3776.0,5.0,stage3,0.001298,1.0780730897009967,6106.0,3776.0,5.0,0.61840812315755,0.0008188666885031117,0.5420313426498343,0.0015018053222198501,stage3: s32_dist8_addr16
matmult_imp_stage2_s16_ipd16_pt32_l2_ddr4_2x,matmult,imp,s16_ipd16_pt32,l2,ddr4_2x,0.001214,2.02936,1159562.0,2139089.0,1912.0,1078053.0,,,,6424.0,3499.0,14.0,stage2,0.001298,1.0691927512355848,6424.0,3499.0,14.0,0.5446762141967622,0.0021793275217932753,0.542082166754165,0.0017735677188412814,stage2: s16_ipd16_pt32
matmult_imp_stage2_s16_ipd16_addr16_l2_ddr4_2x,matmult,imp,s16_ipd16_addr16,l2,ddr4_2x,0.001214,2.02936,1159562.0,2139089.0,1912.0,1078053.0,,,,6424.0,3499.0,14.0,stage2,0.001298,1.0691927512355848,6424.0,3499.0,14.0,0.5446762141967622,0.0021793275217932753,0.542082166754165,0.0017735677188412814,stage2: s16_ipd16_addr16
matmult_imp_stage2_s16_ipd8_addr8_l2_ddr4_2x,matmult,imp,s16_ipd8_addr8,l2,ddr4_2x,0.001214,2.02936,1159562.0,2139089.0,1912.0,1078053.0,,,,6424.0,3499.0,14.0,stage2,0.001298,1.0691927512355848,6424.0,3499.0,14.0,0.5446762141967622,0.0021793275217932753,0.542082166754165,0.0017735677188412814,stage2: s16_ipd8_addr8
matmult_imp_stage2_s16_dist32_addr16_l2_ddr4_2x,matmult,imp,s16_dist32_addr16,l2,ddr4_2x,0.001214,2.02936,1159562.0,2139089.0,1912.0,1078053.0,,,,6424.0,3499.0,14.0,stage2,0.001298,1.0691927512355848,6424.0,3499.0,14.0,0.5446762141967622,0.0021793275217932753,0.542082166754165,0.0017735677188412814,stage2: s16_dist32_addr16
matmult_imp_stage2_s16_dist8_addr16_l2_ddr4_2x,matmult,imp,s16_dist8_addr16,l2,ddr4_2x,0.001214,2.02936,1159562.0,2139089.0,1912.0,1078053.0,,,,6424.0,3499.0,14.0,stage2,0.001298,1.0691927512355848,6424.0,3499.0,14.0,0.5446762141967622,0.0021793275217932753,0.542082166754165,0.0017735677188412814,stage2: s16_dist8_addr16
