added_loads_and_stores,benchmark,config,dram_avg_bus_lat,dram_avg_mem_acc_lat,dram_avg_q_lat,dram_avg_rd_bw,dram_avg_wr_bw,dram_bw_read_total,dram_bw_total,dram_bw_write_total,dram_peak_bw,imp_default_simSeconds,improvement_over_stage2_best_pct,ipc,l1d_avg_blocked_no_mshrs,l1d_blocked_causes_no_mshrs,l1d_blocked_cycles_no_mshrs,l1d_demand_accesses,l1d_demand_avg_miss_latency,l1d_demand_avg_mshr_miss_latency,l1d_demand_miss_latency,l1d_demand_misses,l1d_demand_mshr_hits,l1d_demand_mshr_miss_rate,l1d_demand_mshr_misses,l1d_miss_rate,l1d_pf_buffer_hit,l1d_pf_hit_in_cache,l1d_pf_hit_in_mshr,l1d_pf_hit_in_wb,l1d_pf_identified,l1d_pf_in_cache,l1d_pf_issued,l1d_pf_late,l1d_pf_removed_demand,l1d_pf_removed_full,l1d_pf_span_page,l1d_pf_unused,l1d_pf_useful,l1d_pf_useful_span_page,l1d_prefetcher_accuracy,l1d_prefetcher_coverage,l1d_prefetcher_read_accesses,l1d_prefetcher_read_avg_lat,l1d_prefetcher_read_bytes,l1d_prefetcher_read_rate,l2_avg_blocked_no_mshrs,l2_blocked_causes_no_mshrs,l2_blocked_cycles_no_mshrs,l2_demand_accesses,l2_demand_avg_miss_latency,l2_demand_avg_mshr_miss_latency,l2_demand_miss_latency,l2_demand_misses,l2_demand_mshr_hits,l2_demand_mshr_miss_rate,l2_demand_mshr_misses,l2_miss_rate,l2_pf_buffer_hit,l2_pf_hit_in_cache,l2_pf_hit_in_mshr,l2_pf_hit_in_wb,l2_pf_identified,l2_pf_in_cache,l2_pf_issued,l2_pf_late,l2_pf_removed_demand,l2_pf_removed_full,l2_pf_span_page,l2_pf_unused,l2_pf_useful,l2_pf_useful_span_page,l2_prefetcher_accuracy,l2_prefetcher_coverage,l2_prefetcher_read_accesses,l2_prefetcher_read_avg_lat,l2_prefetcher_read_bytes,l2_prefetcher_read_rate,load_to_use_max,load_to_use_mean,load_to_use_min,load_to_use_overflows,load_to_use_samples,load_to_use_stdev,mem_avg_rdq_len,mem_avg_read_bw_sys,mem_avg_write_bw_sys,mem_avg_wrq_len,mem_num_rd_retry,mem_num_wr_retry,memory,numCycles,pf_accuracy,pf_coverage_l1d,pf_issued,pf_level,pf_unused,pf_unused_ratio,pf_useful,prefetcher,run,simInsts,simOps,simSeconds,simTicks,speedup_vs_imp_default,speedup_vs_nopf,speedup_vs_stage1_best,speedup_vs_stage2_best,stage,stage1_best_config,stage1_best_simSeconds,stage1_best_speedup,stage2_best_config,stage2_best_simSeconds,stage2_best_speedup_vs_nopf,nopf_simSeconds,pf_coverage,pf_late,pf_late_ratio,pf_removed_full,pf_removed_demand,pf_buffer_hit,pf_identified,pf_removed_full_ratio,pf_removed_demand_ratio,pf_buffer_hit_ratio,prefetcher_read_rate,prefetcher_read_bytes,dram_bw_utilization,label
,merge,s32_sth8,,,,,,,,,,,0.6853456964321714,1.272676,,,,10964267.0,,,,770952.0,,,,0.07031496040729399,,,,,,,214165.0,,,,,6962.0,77236.0,,,,,,,,,,,214411.0,,,,73686.0,,,,0.3436670693201375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddr4_2x,29794606.0,0.3606378259752994,,214165.0,l1d,6962.0,0.03250764597389863,77236.0,imp,merge_imp3_s32_sth8_l1d_ddr4_2x,37918829.0,,0.009922,9921603798.0,,1.1788953839951624,,1.0068534569643215,stage3,,,,s16_sth8,0.00999,1.1708708708708708,0.011697,0.09106000084886841,,,,,,,,,,,,,stage3: s32_sth8
,merge,s32_sth2_dist32_ipd16_addr16,,,,,,,,,,,0.6751990325506441,1.272466,,,,10964189.0,,,,773211.0,,,,0.07052149502348053,,,,,,,216109.0,,,,,7334.0,76960.0,,,,,,,,,,,215015.0,,,,73919.0,,,,0.34378531730344397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddr4_2x,29799524.0,0.3561165893137259,,216109.0,l1d,7334.0,0.033936578300764894,76960.0,imp,merge_imp3_s32_sth2_dist32_ipd16_addr16_l1d_ddr4_2x,37918834.0,,0.009923,9923241492.0,,1.1787765796634084,,1.0067519903255064,stage3,,,,s16_sth8,0.00999,1.1708708708708708,0.011697,0.09052296537990592,,,,,,,,,,,,,stage3: s32_sth2_dist32_ipd16_addr16
,merge,s32_sth2,,,,,,,,,,,0.6751990325506441,1.272466,,,,10964189.0,,,,773211.0,,,,0.07052149502348053,,,,,,,216109.0,,,,,7334.0,76960.0,,,,,,,,,,,215015.0,,,,73919.0,,,,0.34378531730344397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddr4_2x,29799524.0,0.3561165893137259,,216109.0,l1d,7334.0,0.033936578300764894,76960.0,imp,merge_imp3_s32_sth2_l1d_ddr4_2x,37918834.0,,0.009923,9923241492.0,,1.1787765796634084,,1.0067519903255064,stage3,,,,s16_sth8,0.00999,1.1708708708708708,0.011697,0.09052296537990592,,,,,,,,,,,,,stage3: s32_sth2
,merge,s32_sth2_dist32_ipd16,,,,,,,,,,,0.6751990325506441,1.272466,,,,10964189.0,,,,773211.0,,,,0.07052149502348053,,,,,,,216109.0,,,,,7334.0,76960.0,,,,,,,,,,,215015.0,,,,73919.0,,,,0.34378531730344397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddr4_2x,29799524.0,0.3561165893137259,,216109.0,l1d,7334.0,0.033936578300764894,76960.0,imp,merge_imp3_s32_sth2_dist32_ipd16_l1d_ddr4_2x,37918834.0,,0.009923,9923241492.0,,1.1787765796634084,,1.0067519903255064,stage3,,,,s16_sth8,0.00999,1.1708708708708708,0.011697,0.09052296537990592,,,,,,,,,,,,,stage3: s32_sth2_dist32_ipd16
,merge,s32_sth8_pt8,,,,,,,,,,,0.6346328195829587,1.271961,,,,10964331.0,,,,772468.0,,,,0.0704528165010706,,,,,,,209232.0,,,,,6861.0,76327.0,,,,,,,,,,,213664.0,,,,73536.0,,,,0.3441665418601168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddr4_2x,29811348.0,0.3647960159057888,,209232.0,l1d,6861.0,0.03279135122734572,76327.0,imp,merge_imp3_s32_sth8_pt8_l1d_ddr4_2x,37918834.0,,0.009927,9927178884.0,,1.1783016016923542,,1.0063463281958296,stage3,,,,s16_sth8,0.00999,1.1708708708708708,0.011697,0.08992395101290654,,,,,,,,,,,,,stage3: s32_sth8_pt8
,merge,s16_sth8,,,,,,,,,,0.010338,,1.263929,,,,10969702.0,,,,770031.0,,,,0.07019616394319554,,,,,,,211735.0,,,,,5471.0,75396.0,,,,,,,,,,,211544.0,,,,73471.0,,,,0.34730836138108384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddr4_2x,30000795.0,0.3560866177060949,0.0979129411673036,211735.0,l1d,5471.0,0.02583890240158689,75396.0,imp,merge_imp_stage2_s16_sth8_l1d_ddr4_2x,37918829.0,,0.00999,9990264735.0,1.0348348348348348,1.1708708708708708,1.0005005005005003,,stage2,sdist16,0.009995,1.0343171585792896,,,,0.011697,0.08918097008967066,,,,,,,,,,,,,stage2: s16_sth8
,merge,s16_pt8_sth8,,,,,,,,,,0.010338,,1.263934,,,,10970967.0,,,,768116.0,,,,0.07001351840726529,,,,,,,205334.0,,,,,4993.0,75336.0,,,,,,,,,,,210512.0,,,,73145.0,,,,0.347462377441666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddr4_2x,30000687.0,0.36689491267885493,0.0980789359940425,205334.0,l1d,4993.0,0.0243164794919497,75336.0,imp,merge_imp_stage2_s16_pt8_sth8_l1d_ddr4_2x,37918834.0,,0.00999,9990228771.0,1.0348348348348348,1.1708708708708708,1.0005005005005003,,stage2,sdist16,0.009995,1.0343171585792896,,,,0.011697,0.08931865713757274,,,,,,,,,,,,,stage2: s16_pt8_sth8
,merge,s16_sth2,,,,,,,,,,0.010338,,1.263575,,,,10970392.0,,,,768582.0,,,,0.07005966605386571,,,,,,,214107.0,,,,,5650.0,75861.0,,,,,,,,,,,211892.0,,,,73579.0,,,,0.3472476544654824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddr4_2x,30009200.0,0.354313497456879,0.0987025457270662,214107.0,l1d,5650.0,0.02638867482146777,75861.0,imp,merge_imp_stage2_s16_sth2_l1d_ddr4_2x,37918834.0,,0.009993,9993063600.0,1.0345241669168417,1.1705193635544882,1.000200140098069,,stage2,sdist16,0.009995,1.0343171585792896,,,,0.011697,0.08983554840291175,,,,,,,,,,,,,stage2: s16_sth2
,merge,aggr_s16_sth2_d32_ipd16,,,,,,,,,,0.010338,,1.263575,,,,10970392.0,,,,768582.0,,,,0.07005966605386571,,,,,,,214107.0,,,,,5650.0,75861.0,,,,,,,,,,,211892.0,,,,73579.0,,,,0.3472476544654824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddr4_2x,30009200.0,0.354313497456879,0.0987025457270662,214107.0,l1d,5650.0,0.02638867482146777,75861.0,imp,merge_imp_stage2_aggr_s16_sth2_d32_ipd16_l1d_ddr4_2x,37918834.0,,0.009993,9993063600.0,1.0345241669168417,1.1705193635544882,1.000200140098069,,stage2,sdist16,0.009995,1.0343171585792896,,,,0.011697,0.08983554840291175,,,,,,,,,,,,,stage2: aggr_s16_sth2_d32_ipd16
,merge,aggr_s16_sth2_d32_ipd16_addr16,,,,,,,,,,0.010338,,1.263575,,,,10970392.0,,,,768582.0,,,,0.07005966605386571,,,,,,,214107.0,,,,,5650.0,75861.0,,,,,,,,,,,211892.0,,,,73579.0,,,,0.3472476544654824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddr4_2x,30009200.0,0.354313497456879,0.0987025457270662,214107.0,l1d,5650.0,0.02638867482146777,75861.0,imp,merge_imp_stage2_aggr_s16_sth2_d32_ipd16_addr16_l1d_ddr4_2x,37918834.0,,0.009993,9993063600.0,1.0345241669168417,1.1705193635544882,1.000200140098069,,stage2,sdist16,0.009995,1.0343171585792896,,,,0.011697,0.08983554840291175,,,,,,,,,,,,,stage2: aggr_s16_sth2_d32_ipd16_addr16
