added_loads_and_stores,benchmark,config,dram_avg_bus_lat,dram_avg_mem_acc_lat,dram_avg_q_lat,dram_avg_rd_bw,dram_avg_wr_bw,dram_bw_read_total,dram_bw_total,dram_bw_write_total,dram_peak_bw,ipc,l1d_avg_blocked_no_mshrs,l1d_blocked_causes_no_mshrs,l1d_blocked_cycles_no_mshrs,l1d_demand_accesses,l1d_demand_avg_miss_latency,l1d_demand_avg_mshr_miss_latency,l1d_demand_miss_latency,l1d_demand_misses,l1d_demand_mshr_hits,l1d_demand_mshr_miss_rate,l1d_demand_mshr_misses,l1d_pf_buffer_hit,l1d_pf_hit_in_cache,l1d_pf_hit_in_mshr,l1d_pf_hit_in_wb,l1d_pf_identified,l1d_pf_in_cache,l1d_pf_issued,l1d_pf_late,l1d_pf_removed_demand,l1d_pf_removed_full,l1d_pf_span_page,l1d_pf_unused,l1d_pf_useful,l1d_pf_useful_span_page,l1d_prefetcher_accuracy,l1d_prefetcher_coverage,l1d_prefetcher_read_accesses,l1d_prefetcher_read_avg_lat,l1d_prefetcher_read_bytes,l1d_prefetcher_read_rate,l2_avg_blocked_no_mshrs,l2_blocked_causes_no_mshrs,l2_blocked_cycles_no_mshrs,l2_demand_accesses,l2_demand_avg_miss_latency,l2_demand_avg_mshr_miss_latency,l2_demand_miss_latency,l2_demand_misses,l2_demand_mshr_hits,l2_demand_mshr_miss_rate,l2_demand_mshr_misses,l2_pf_buffer_hit,l2_pf_hit_in_cache,l2_pf_hit_in_mshr,l2_pf_hit_in_wb,l2_pf_identified,l2_pf_in_cache,l2_pf_issued,l2_pf_late,l2_pf_removed_demand,l2_pf_removed_full,l2_pf_span_page,l2_pf_unused,l2_pf_useful,l2_pf_useful_span_page,l2_prefetcher_accuracy,l2_prefetcher_coverage,l2_prefetcher_read_accesses,l2_prefetcher_read_avg_lat,l2_prefetcher_read_bytes,l2_prefetcher_read_rate,load_to_use_max,load_to_use_mean,load_to_use_min,load_to_use_overflows,load_to_use_samples,load_to_use_stdev,mem_avg_rdq_len,mem_avg_read_bw_sys,mem_avg_write_bw_sys,mem_avg_wrq_len,mem_num_rd_retry,mem_num_wr_retry,memory,numCycles,pf_level,prefetcher,run,simInsts,simOps,simSeconds,simTicks,stage,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,pf_coverage,pf_late,pf_late_ratio,pf_removed_full,pf_removed_demand,pf_buffer_hit,pf_identified,pf_removed_full_ratio,pf_removed_demand_ratio,pf_buffer_hit_ratio,prefetcher_read_rate,prefetcher_read_bytes,dram_bw_utilization,label
14625393.0,quick,s32_sth2_dist32_ipd16,3332.0,48575.37,31083.370000000003,209.051131,167.05690199999998,211870533.0,379802933.0,167932400.0,38414.0,0.943319,,0.0,0.0,9219504.0,6992.142901,5962.423769,1629952416.0,233112.0,150527.0,0.008958,82585.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,82824.0,71102.811985,72359.957547,155430747.0,2186.0,66.0,0.025596,2120.0,752.0,1715.0,350.0,0.0,29264.0,0.0,28502.0,2065.0,0.0,1.0,29744.0,80.0,26307.0,0.0,0.922988,0.925423,26436.0,48175.83500000001,1668800.0,193462814.4081642,1501.0,2.716375,2.0,191.0,4368783.0,7.876897,5.43,211877951.7182721,167932400.4339171,60.63,0.0,0.0,ddr4_2x,25903745.0,l2,imp,quick_imp3_s32_sth2_dist32_ipd16_l2_ddr4_2x,24424723.0,24707902.0,0.008626,8625947085.0,stage3,0.00967,1.1210294458613494,28502.0,26307.0,80.0,0.9229878605010174,0.002806820573994807,0.02528465739588594,0.026393315947068483,0.9232794019583758,2065.0,0.07245105606624097,1.0,0.0,752.0,29264.0,3.417167851284855e-05,0.0,0.02569710224166211,193462814.4081642,1668800.0,0.009429070195706352,stage3: s32_sth2_dist32_ipd16
14625374.0,quick,s32,3332.0,48616.515,31124.515,208.875218,167.245593,211642612.0,379644973.0,168002360.0,38414.0,0.943295,,0.0,0.0,9219528.0,7008.280038,5965.972114,1633931433.0,233143.0,150558.0,0.008958,82585.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,82824.0,71031.95212,72324.122766,155773071.0,2193.0,67.0,0.025669,2126.0,770.0,1654.0,342.0,0.0,29174.0,0.0,28397.0,1996.0,0.0,4.0,29610.0,19.0,26300.0,0.0,0.926154,0.925209,26400.0,48234.42,1666880.0,193235358.93965364,1501.0,2.717614,2.0,188.0,4368783.0,7.890652,4.71,211650032.0396045,168002360.06256545,59.89,0.0,0.0,ddr4_2x,25904398.0,l2,imp,quick_imp3_s32_l2_ddr4_2x,24424723.0,24707902.0,0.008626,8626164534.0,stage3,0.00967,1.1210294458613494,28397.0,26300.0,19.0,0.9261541712152692,0.0006690847624749093,0.02528795400371906,0.02647783251231527,0.9230337275822131,1996.0,0.07028911504736415,4.0,0.0,770.0,29174.0,0.00013710838417769247,0.0,0.0263933639542058,193235358.93965364,1666880.0,0.009425148646400901,stage3: s32
14625374.0,quick,s32_dist32_addr16,3332.0,48616.515,31124.515,208.875218,167.245593,211642612.0,379644973.0,168002360.0,38414.0,0.943295,,0.0,0.0,9219528.0,7008.280038,5965.972114,1633931433.0,233143.0,150558.0,0.008958,82585.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,82824.0,71031.95212,72324.122766,155773071.0,2193.0,67.0,0.025669,2126.0,770.0,1654.0,342.0,0.0,29174.0,0.0,28397.0,1996.0,0.0,4.0,29610.0,19.0,26300.0,0.0,0.926154,0.925209,26400.0,48234.42,1666880.0,193235358.93965364,1501.0,2.717614,2.0,188.0,4368783.0,7.890652,4.71,211650032.0396045,168002360.06256545,59.89,0.0,0.0,ddr4_2x,25904398.0,l2,imp,quick_imp3_s32_dist32_addr16_l2_ddr4_2x,24424723.0,24707902.0,0.008626,8626164534.0,stage3,0.00967,1.1210294458613494,28397.0,26300.0,19.0,0.9261541712152692,0.0006690847624749093,0.02528795400371906,0.02647783251231527,0.9230337275822131,1996.0,0.07028911504736415,4.0,0.0,770.0,29174.0,0.00013710838417769247,0.0,0.0263933639542058,193235358.93965364,1666880.0,0.009425148646400901,stage3: s32_dist32_addr16
14625393.0,quick,s32_sth2_dist32_ipd16_addr16,3332.0,48575.37,31083.370000000003,209.051131,167.05690199999998,211870533.0,379802933.0,167932400.0,38414.0,0.943319,,0.0,0.0,9219504.0,6992.142901,5962.423769,1629952416.0,233112.0,150527.0,0.008958,82585.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,82824.0,71102.811985,72359.957547,155430747.0,2186.0,66.0,0.025596,2120.0,752.0,1715.0,350.0,0.0,29264.0,0.0,28502.0,2065.0,0.0,1.0,29744.0,80.0,26307.0,0.0,0.922988,0.925423,26436.0,48175.83500000001,1668800.0,193462814.4081642,1501.0,2.716375,2.0,191.0,4368783.0,7.876897,5.43,211877951.7182721,167932400.4339171,60.63,0.0,0.0,ddr4_2x,25903745.0,l2,imp,quick_imp3_s32_sth2_dist32_ipd16_addr16_l2_ddr4_2x,24424723.0,24707902.0,0.008626,8625947085.0,stage3,0.00967,1.1210294458613494,28502.0,26307.0,80.0,0.9229878605010174,0.002806820573994807,0.02528465739588594,0.026393315947068483,0.9232794019583758,2065.0,0.07245105606624097,1.0,0.0,752.0,29264.0,3.417167851284855e-05,0.0,0.02569710224166211,193462814.4081642,1668800.0,0.009429070195706352,stage3: s32_sth2_dist32_ipd16_addr16
14625374.0,quick,s32_dist8_addr16,3332.0,48616.515,31124.515,208.875218,167.245593,211642612.0,379644973.0,168002360.0,38414.0,0.943295,,0.0,0.0,9219528.0,7008.280038,5965.972114,1633931433.0,233143.0,150558.0,0.008958,82585.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,82824.0,71031.95212,72324.122766,155773071.0,2193.0,67.0,0.025669,2126.0,770.0,1654.0,342.0,0.0,29174.0,0.0,28397.0,1996.0,0.0,4.0,29610.0,19.0,26300.0,0.0,0.926154,0.925209,26400.0,48234.42,1666880.0,193235358.93965364,1501.0,2.717614,2.0,188.0,4368783.0,7.890652,4.71,211650032.0396045,168002360.06256545,59.89,0.0,0.0,ddr4_2x,25904398.0,l2,imp,quick_imp3_s32_dist8_addr16_l2_ddr4_2x,24424723.0,24707902.0,0.008626,8626164534.0,stage3,0.00967,1.1210294458613494,28397.0,26300.0,19.0,0.9261541712152692,0.0006690847624749093,0.02528795400371906,0.02647783251231527,0.9230337275822131,1996.0,0.07028911504736415,4.0,0.0,770.0,29174.0,0.00013710838417769247,0.0,0.0263933639542058,193235358.93965364,1666880.0,0.009425148646400901,stage3: s32_dist8_addr16
14650999.0,quick,s16_dist8_addr16,3332.0,40401.29,22909.29,208.650102,165.173694,209141320.0,375062837.0,165921518.0,38414.0,0.932146,,0.0,0.0,9225301.0,9727.191984,7395.317709,2339379945.0,240499.0,157914.0,0.008952,82585.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,82824.0,69956.101348,70484.659248,280244142.0,4006.0,97.0,0.047196,3909.0,10.0,4593.0,1136.0,0.0,30360.0,0.0,30347.0,5729.0,0.0,0.0,28040.0,32.0,24489.0,0.0,0.806966,0.862349,24617.0,39852.93,1571776.0,180056848.86357617,1421.0,2.90246,2.0,512.0,4368783.0,10.46852,4.18,209148651.3103644,165921517.43277794,56.24,0.0,0.0,ddr4_2x,26214210.0,l2,imp,quick_imp_stage2_s16_dist8_addr16_l2_ddr4_2x,24424723.0,24707902.0,0.008729,8729331930.0,stage2,0.00967,1.107801580937106,30347.0,24489.0,32.0,0.8069660922002175,0.0010544699640821168,0.026069501688887983,0.048367622911233456,0.8594139322688191,5729.0,0.18878307575707648,0.0,0.0,10.0,30360.0,0.0,0.0,0.00032938076416337287,180056848.86357617,1571776.0,0.00931139154176508,stage2: s16_dist8_addr16
14650999.0,quick,s16_ipd16_addr16,3332.0,40401.29,22909.29,208.650102,165.173694,209141320.0,375062837.0,165921518.0,38414.0,0.932146,,0.0,0.0,9225301.0,9727.191984,7395.317709,2339379945.0,240499.0,157914.0,0.008952,82585.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,82824.0,69956.101348,70484.659248,280244142.0,4006.0,97.0,0.047196,3909.0,10.0,4593.0,1136.0,0.0,30360.0,0.0,30347.0,5729.0,0.0,0.0,28040.0,32.0,24489.0,0.0,0.806966,0.862349,24617.0,39852.93,1571776.0,180056848.86357617,1421.0,2.90246,2.0,512.0,4368783.0,10.46852,4.18,209148651.3103644,165921517.43277794,56.24,0.0,0.0,ddr4_2x,26214210.0,l2,imp,quick_imp_stage2_s16_ipd16_addr16_l2_ddr4_2x,24424723.0,24707902.0,0.008729,8729331930.0,stage2,0.00967,1.107801580937106,30347.0,24489.0,32.0,0.8069660922002175,0.0010544699640821168,0.026069501688887983,0.048367622911233456,0.8594139322688191,5729.0,0.18878307575707648,0.0,0.0,10.0,30360.0,0.0,0.0,0.00032938076416337287,180056848.86357617,1571776.0,0.00931139154176508,stage2: s16_ipd16_addr16
14650999.0,quick,s16_ipd8_addr8,3332.0,40401.29,22909.29,208.650102,165.173694,209141320.0,375062837.0,165921518.0,38414.0,0.932146,,0.0,0.0,9225301.0,9727.191984,7395.317709,2339379945.0,240499.0,157914.0,0.008952,82585.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,82824.0,69956.101348,70484.659248,280244142.0,4006.0,97.0,0.047196,3909.0,10.0,4593.0,1136.0,0.0,30360.0,0.0,30347.0,5729.0,0.0,0.0,28040.0,32.0,24489.0,0.0,0.806966,0.862349,24617.0,39852.93,1571776.0,180056848.86357617,1421.0,2.90246,2.0,512.0,4368783.0,10.46852,4.18,209148651.3103644,165921517.43277794,56.24,0.0,0.0,ddr4_2x,26214210.0,l2,imp,quick_imp_stage2_s16_ipd8_addr8_l2_ddr4_2x,24424723.0,24707902.0,0.008729,8729331930.0,stage2,0.00967,1.107801580937106,30347.0,24489.0,32.0,0.8069660922002175,0.0010544699640821168,0.026069501688887983,0.048367622911233456,0.8594139322688191,5729.0,0.18878307575707648,0.0,0.0,10.0,30360.0,0.0,0.0,0.00032938076416337287,180056848.86357617,1571776.0,0.00931139154176508,stage2: s16_ipd8_addr8
14651002.0,quick,aggr_s16_sth2_d32_ipd16,3332.0,40838.585,23346.585,208.952974,165.047772,209363576.0,375210558.0,165846982.0,38414.0,0.932222,,0.0,0.0,9225235.0,9743.426889,7401.172477,2342865456.0,240456.0,157871.0,0.008952,82585.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,82819.0,70254.814898,70748.311602,280105947.0,3987.0,91.0,0.047042,3896.0,0.0,4634.0,1109.0,0.0,30407.0,0.0,30402.0,5743.0,0.0,0.0,27993.0,85.0,24503.0,0.0,0.805967,0.862812,24658.0,40340.765,1575168.0,180460052.46184096,1392.0,2.9023,2.0,518.0,4368783.0,10.55005,4.715,209370908.4206025,165846982.22957826,56.01,0.0,0.0,ddr4_2x,26212085.0,l2,imp,quick_imp_stage2_aggr_s16_sth2_d32_ipd16_l2_ddr4_2x,24424718.0,24707897.0,0.008729,8728624305.0,stage2,0.00967,1.107801580937106,30402.0,24503.0,85.0,0.8059667127162686,0.0027958686928491547,0.026065027069771124,0.0481411270360666,0.86005616005616,5743.0,0.1889020459180317,0.0,0.0,0.0,30407.0,0.0,0.0,0.0,180460052.46184096,1575168.0,0.00931505889543025,stage2: aggr_s16_sth2_d32_ipd16
14651002.0,quick,aggr_s16_sth2_d32_ipd16_addr16,3332.0,40838.585,23346.585,208.952974,165.047772,209363576.0,375210558.0,165846982.0,38414.0,0.932222,,0.0,0.0,9225235.0,9743.426889,7401.172477,2342865456.0,240456.0,157871.0,0.008952,82585.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,82819.0,70254.814898,70748.311602,280105947.0,3987.0,91.0,0.047042,3896.0,0.0,4634.0,1109.0,0.0,30407.0,0.0,30402.0,5743.0,0.0,0.0,27993.0,85.0,24503.0,0.0,0.805967,0.862812,24658.0,40340.765,1575168.0,180460052.46184096,1392.0,2.9023,2.0,518.0,4368783.0,10.55005,4.715,209370908.4206025,165846982.22957826,56.01,0.0,0.0,ddr4_2x,26212085.0,l2,imp,quick_imp_stage2_aggr_s16_sth2_d32_ipd16_addr16_l2_ddr4_2x,24424718.0,24707897.0,0.008729,8728624305.0,stage2,0.00967,1.107801580937106,30402.0,24503.0,85.0,0.8059667127162686,0.0027958686928491547,0.026065027069771124,0.0481411270360666,0.86005616005616,5743.0,0.1889020459180317,0.0,0.0,0.0,30407.0,0.0,0.0,0.0,180460052.46184096,1575168.0,0.00931505889543025,stage2: aggr_s16_sth2_d32_ipd16_addr16
