run,benchmark,prefetcher,config,pf_level,memory,simSeconds,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused,stage,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,label
simple_triad_imp3_s32_sth2_dist32_ipd16_addr16_l2_ddr4_2x,simple_triad,imp,s32_sth2_dist32_ipd16_addr16,l2,ddr4_2x,0.001765,0.662333,1904487.0,2003830.0,139906.0,373481.0,,,,572652.0,233565.0,647.0,stage3,0.002605,1.4759206798866855,572652.0,233565.0,647.0,0.4078655099432116,0.0011298310317609996,0.9504234391140965,0.3746000465887154,stage3: s32_sth2_dist32_ipd16_addr16
simple_triad_imp3_s32_sth2_dist32_ipd16_l2_ddr4_2x,simple_triad,imp,s32_sth2_dist32_ipd16,l2,ddr4_2x,0.001765,0.662333,1904487.0,2003830.0,139906.0,373481.0,,,,572652.0,233565.0,647.0,stage3,0.002605,1.4759206798866855,572652.0,233565.0,647.0,0.4078655099432116,0.0011298310317609996,0.9504234391140965,0.3746000465887154,stage3: s32_sth2_dist32_ipd16
simple_triad_imp3_s32_sth2_pt8_l2_ddr4_2x,simple_triad,imp,s32_sth2_pt8,l2,ddr4_2x,0.001765,0.662333,1904487.0,2003830.0,139906.0,373481.0,,,,572652.0,233565.0,647.0,stage3,0.002605,1.4759206798866855,572652.0,233565.0,647.0,0.4078655099432116,0.0011298310317609996,0.9504234391140965,0.3746000465887154,stage3: s32_sth2_pt8
simple_triad_imp3_s32_sth2_l2_ddr4_2x,simple_triad,imp,s32_sth2,l2,ddr4_2x,0.001765,0.662333,1904487.0,2003830.0,139906.0,373481.0,,,,572652.0,233565.0,647.0,stage3,0.002605,1.4759206798866855,572652.0,233565.0,647.0,0.4078655099432116,0.0011298310317609996,0.9504234391140965,0.3746000465887154,stage3: s32_sth2
simple_triad_imp3_s32_ipd8_addr8_l2_ddr4_2x,simple_triad,imp,s32_ipd8_addr8,l2,ddr4_2x,0.001768,0.661219,1903920.0,2003829.0,140156.0,373442.0,,,,575053.0,233276.0,680.0,stage3,0.002605,1.4734162895927603,575053.0,233276.0,680.0,0.4056600000347794,0.0011824997000276496,0.9501409551413819,0.3753086155279802,stage3: s32_ipd8_addr8
simple_triad_imp_stage2_aggr_s16_sth2_d32_ipd16_l2_ddr4_2x,simple_triad,imp,aggr_s16_sth2_d32_ipd16,l2,ddr4_2x,0.00191,0.611922,1882018.0,2003835.0,130707.0,373842.0,,,,595202.0,243125.0,811.0,stage2,0.002605,1.3638743455497382,595202.0,243125.0,811.0,0.40847476991004733,0.0013625626257976284,0.9392080685285964,0.3496316625740286,stage2: aggr_s16_sth2_d32_ipd16
simple_triad_imp_stage2_s16_sth2_l2_ddr4_2x,simple_triad,imp,s16_sth2,l2,ddr4_2x,0.00191,0.611922,1882018.0,2003835.0,130707.0,373842.0,,,,595202.0,243125.0,811.0,stage2,0.002605,1.3638743455497382,595202.0,243125.0,811.0,0.40847476991004733,0.0013625626257976284,0.9392080685285964,0.3496316625740286,stage2: s16_sth2
simple_triad_imp_stage2_s16_pt8_sth2_l2_ddr4_2x,simple_triad,imp,s16_pt8_sth2,l2,ddr4_2x,0.00191,0.611922,1882018.0,2003835.0,130707.0,373842.0,,,,595202.0,243125.0,811.0,stage2,0.002605,1.3638743455497382,595202.0,243125.0,811.0,0.40847476991004733,0.0013625626257976284,0.9392080685285964,0.3496316625740286,stage2: s16_pt8_sth2
simple_triad_imp_stage2_aggr_s16_sth2_d32_ipd16_addr16_l2_ddr4_2x,simple_triad,imp,aggr_s16_sth2_d32_ipd16_addr16,l2,ddr4_2x,0.00191,0.611922,1882018.0,2003835.0,130707.0,373842.0,,,,595202.0,243125.0,811.0,stage2,0.002605,1.3638743455497382,595202.0,243125.0,811.0,0.40847476991004733,0.0013625626257976284,0.9392080685285964,0.3496316625740286,stage2: aggr_s16_sth2_d32_ipd16_addr16
simple_triad_imp_stage2_s16_dist8_addr16_l2_ddr4_2x,simple_triad,imp,s16_dist8_addr16,l2,ddr4_2x,0.001912,0.611273,1881594.0,2003826.0,130796.0,373808.0,,,,594390.0,243002.0,770.0,stage2,0.002605,1.3624476987447698,594390.0,243002.0,770.0,0.4088258550783156,0.001295445751106176,0.9390006916768222,0.3499015537388178,stage2: s16_dist8_addr16
simple_triad_imp_stage2_s16_dist32_addr16_l2_ddr4_2x,simple_triad,imp,s16_dist32_addr16,l2,ddr4_2x,0.001912,0.611273,1881594.0,2003826.0,130796.0,373808.0,,,,594390.0,243002.0,770.0,stage2,0.002605,1.3624476987447698,594390.0,243002.0,770.0,0.4088258550783156,0.001295445751106176,0.9390006916768222,0.3499015537388178,stage2: s16_dist32_addr16
simple_triad_imp_sdist16_l2_ddr4_2x,simple_triad,imp,sdist16,l2,ddr4_2x,0.001912,0.611273,1881594.0,2003826.0,130796.0,373808.0,,,,594390.0,243002.0,770.0,stage1,0.002605,1.3624476987447698,594390.0,243002.0,770.0,0.4088258550783156,0.001295445751106176,0.9390006916768222,0.3499015537388178,stage1: sdist16
simple_triad_imp_stage2_s16_ipd16_addr16_l2_ddr4_2x,simple_triad,imp,s16_ipd16_addr16,l2,ddr4_2x,0.001912,0.611273,1881594.0,2003826.0,130796.0,373808.0,,,,594390.0,243002.0,770.0,stage2,0.002605,1.3624476987447698,594390.0,243002.0,770.0,0.4088258550783156,0.001295445751106176,0.9390006916768222,0.3499015537388178,stage2: s16_ipd16_addr16
simple_triad_imp_stage2_s16_pt8_sth8_l2_ddr4_2x,simple_triad,imp,s16_pt8_sth8,l2,ddr4_2x,0.001912,0.611241,1882298.0,2003827.0,130933.0,373828.0,,,,595709.0,242885.0,787.0,stage2,0.002605,1.3624476987447698,595709.0,242885.0,787.0,0.4077242411983032,0.0013211148396280734,0.9393515508075297,0.3502493125180564,stage2: s16_pt8_sth8
simple_triad_imp_stage2_s16_ipd8_addr8_l2_ddr4_2x,simple_triad,imp,s16_ipd8_addr8,l2,ddr4_2x,0.001912,0.611273,1881594.0,2003826.0,130796.0,373808.0,,,,594390.0,243002.0,770.0,stage2,0.002605,1.3624476987447698,594390.0,243002.0,770.0,0.4088258550783156,0.001295445751106176,0.9390006916768222,0.3499015537388178,stage2: s16_ipd8_addr8
simple_triad_imp_stage2_s16_sth8_l2_ddr4_2x,simple_triad,imp,s16_sth8,l2,ddr4_2x,0.001912,0.611241,1882298.0,2003827.0,130933.0,373828.0,,,,595709.0,242885.0,787.0,stage2,0.002605,1.3624476987447698,595709.0,242885.0,787.0,0.4077242411983032,0.0013211148396280734,0.9393515508075297,0.3502493125180564,stage2: s16_sth8
