run,benchmark,prefetcher,config,pf_level,memory,simSeconds,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused,stage,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,label
matmult_imp_stage2_s16_pt8_sth2_l2_ddr4_1x,matmult,imp,s16_pt8_sth2,l2,ddr4_1x,0.001221,2.017777,1158184.0,2138468.0,1925.0,1077465.0,,,,6462.0,3498.0,19.0,stage2,0.001279,1.0475020475020473,6462.0,3498.0,19.0,0.5413184772516249,0.002940266171463943,0.541595198057675,0.0017866009568756295,stage2: s16_pt8_sth2
matmult_imp_sdist16_l2_ddr4_1x,matmult,imp,sdist16,l2,ddr4_1x,0.001225,2.010689,1157985.0,2138080.0,1932.0,1076921.0,,,,6610.0,3480.0,5.0,stage1,0.001279,1.0440816326530613,6610.0,3480.0,5.0,0.5264750378214826,0.0007564296520423601,0.5416004078425504,0.0017940034598638154,stage1: sdist16
matmult_imp_stage2_s16_l2_ddr4_1x,matmult,imp,s16,l2,ddr4_1x,0.001225,2.010689,1157985.0,2138080.0,1932.0,1076921.0,,,,6610.0,3480.0,5.0,stage2,0.001279,1.0440816326530613,6610.0,3480.0,5.0,0.5264750378214826,0.0007564296520423601,0.5416004078425504,0.0017940034598638154,stage2: s16
matmult_imp_stage2_s16_ipd16_pt32_l2_ddr4_1x,matmult,imp,s16_ipd16_pt32,l2,ddr4_1x,0.001225,2.010689,1157985.0,2138080.0,1932.0,1076921.0,,,,6610.0,3480.0,5.0,stage2,0.001279,1.0440816326530613,6610.0,3480.0,5.0,0.5264750378214826,0.0007564296520423601,0.5416004078425504,0.0017940034598638154,stage2: s16_ipd16_pt32
matmult_imp_stage2_s16_ipd16_addr16_l2_ddr4_1x,matmult,imp,s16_ipd16_addr16,l2,ddr4_1x,0.001225,2.010689,1157985.0,2138080.0,1932.0,1076921.0,,,,6610.0,3480.0,5.0,stage2,0.001279,1.0440816326530613,6610.0,3480.0,5.0,0.5264750378214826,0.0007564296520423601,0.5416004078425504,0.0017940034598638154,stage2: s16_ipd16_addr16
matmult_imp_stage2_s16_dist32_addr16_l2_ddr4_1x,matmult,imp,s16_dist32_addr16,l2,ddr4_1x,0.001225,2.010689,1157985.0,2138080.0,1932.0,1076921.0,,,,6610.0,3480.0,5.0,stage2,0.001279,1.0440816326530613,6610.0,3480.0,5.0,0.5264750378214826,0.0007564296520423601,0.5416004078425504,0.0017940034598638154,stage2: s16_dist32_addr16
matmult_imp_stage2_s16_dist8_addr16_l2_ddr4_1x,matmult,imp,s16_dist8_addr16,l2,ddr4_1x,0.001225,2.010689,1157985.0,2138080.0,1932.0,1076921.0,,,,6610.0,3480.0,5.0,stage2,0.001279,1.0440816326530613,6610.0,3480.0,5.0,0.5264750378214826,0.0007564296520423601,0.5416004078425504,0.0017940034598638154,stage2: s16_dist8_addr16
matmult_imp_stage2_s16_ipd8_addr8_l2_ddr4_1x,matmult,imp,s16_ipd8_addr8,l2,ddr4_1x,0.001225,2.010689,1157985.0,2138080.0,1932.0,1076921.0,,,,6610.0,3480.0,5.0,stage2,0.001279,1.0440816326530613,6610.0,3480.0,5.0,0.5264750378214826,0.0007564296520423601,0.5416004078425504,0.0017940034598638154,stage2: s16_ipd8_addr8
matmult_imp_stage2_aggr_s16_sth2_d32_ipd16_l2_ddr4_1x,matmult,imp,aggr_s16_sth2_d32_ipd16,l2,ddr4_1x,0.001226,2.009314,1158574.0,2138832.0,1945.0,1078071.0,,,,6685.0,3487.0,20.0,stage2,0.001279,1.0432300163132135,6685.0,3487.0,20.0,0.5216155572176514,0.0029917726252804786,0.5416853684627871,0.0018041483353137223,stage2: aggr_s16_sth2_d32_ipd16
matmult_imp_stage2_aggr_s16_sth2_d32_ipd16_addr16_l2_ddr4_1x,matmult,imp,aggr_s16_sth2_d32_ipd16_addr16,l2,ddr4_1x,0.001226,2.009314,1158574.0,2138832.0,1945.0,1078071.0,,,,6685.0,3487.0,20.0,stage2,0.001279,1.0432300163132135,6685.0,3487.0,20.0,0.5216155572176514,0.0029917726252804786,0.5416853684627871,0.0018041483353137223,stage2: aggr_s16_sth2_d32_ipd16_addr16
