run,benchmark,prefetcher,config,pf_level,memory,simSeconds,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused,stage,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,label
quick_imp_sdist16_l1d_ddr4_2x,quick,imp,sdist16,l1d,ddr4_2x,0.008459,0.961899,57720.0,9165808.0,28531.0,85108.0,162834.0,70256.0,1252.0,,,,stage1,0.00967,1.143161130157229,162834.0,70256.0,1252.0,0.4314578036527998,0.007688811918886719,0.006297317159600114,0.33523288057526907,stage1: sdist16
quick_imp_stage2_s16_ipd16_pt32_l1d_ddr4_2x,quick,imp,s16_ipd16_pt32,l1d,ddr4_2x,0.008459,0.961899,57720.0,9165808.0,28531.0,85108.0,162834.0,70256.0,1252.0,,,,stage2,0.00967,1.143161130157229,162834.0,70256.0,1252.0,0.4314578036527998,0.007688811918886719,0.006297317159600114,0.33523288057526907,stage2: s16_ipd16_pt32
quick_imp_stage2_s16_ipd8_addr8_l1d_ddr4_2x,quick,imp,s16_ipd8_addr8,l1d,ddr4_2x,0.008459,0.961899,57720.0,9165808.0,28531.0,85108.0,162834.0,70256.0,1252.0,,,,stage2,0.00967,1.143161130157229,162834.0,70256.0,1252.0,0.4314578036527998,0.007688811918886719,0.006297317159600114,0.33523288057526907,stage2: s16_ipd8_addr8
quick_imp_stage2_s16_dist32_addr16_l1d_ddr4_2x,quick,imp,s16_dist32_addr16,l1d,ddr4_2x,0.008459,0.961899,57720.0,9165808.0,28531.0,85108.0,162834.0,70256.0,1252.0,,,,stage2,0.00967,1.143161130157229,162834.0,70256.0,1252.0,0.4314578036527998,0.007688811918886719,0.006297317159600114,0.33523288057526907,stage2: s16_dist32_addr16
quick_imp_stage2_s16_ipd16_addr16_l1d_ddr4_2x,quick,imp,s16_ipd16_addr16,l1d,ddr4_2x,0.008459,0.961899,57720.0,9165808.0,28531.0,85108.0,162834.0,70256.0,1252.0,,,,stage2,0.00967,1.143161130157229,162834.0,70256.0,1252.0,0.4314578036527998,0.007688811918886719,0.006297317159600114,0.33523288057526907,stage2: s16_ipd16_addr16
quick_imp_stage2_s16_dist8_addr16_l1d_ddr4_2x,quick,imp,s16_dist8_addr16,l1d,ddr4_2x,0.008459,0.961899,57720.0,9165808.0,28531.0,85108.0,162834.0,70256.0,1252.0,,,,stage2,0.00967,1.143161130157229,162834.0,70256.0,1252.0,0.4314578036527998,0.007688811918886719,0.006297317159600114,0.33523288057526907,stage2: s16_dist8_addr16
quick_imp_stage2_s16_pt8_sth2_l1d_ddr4_2x,quick,imp,s16_pt8_sth2,l1d,ddr4_2x,0.008459,0.961904,57633.0,9165991.0,28527.0,85164.0,162965.0,70261.0,1321.0,,,,stage2,0.00967,1.143161130157229,162965.0,70261.0,1321.0,0.43114165618384315,0.008106035038198386,0.0062876998242743206,0.3349654783711427,stage2: s16_pt8_sth2
quick_imp_stage2_s16_l1d_ddr4_2x,quick,imp,s16,l1d,ddr4_2x,0.008459,0.961899,57720.0,9165808.0,28531.0,85108.0,162834.0,70256.0,1252.0,,,,stage2,0.00967,1.143161130157229,162834.0,70256.0,1252.0,0.4314578036527998,0.007688811918886719,0.006297317159600114,0.33523288057526907,stage2: s16
quick_imp_stage2_aggr_s16_sth2_d32_ipd16_l1d_ddr4_2x,quick,imp,aggr_s16_sth2_d32_ipd16,l1d,ddr4_2x,0.00846,0.961874,57597.0,9165998.0,28580.0,85433.0,163282.0,70405.0,1448.0,,,,stage2,0.00967,1.1430260047281322,163282.0,70405.0,1448.0,0.43118653617667596,0.008868093237466469,0.00628376746318295,0.3345311530673159,stage2: aggr_s16_sth2_d32_ipd16
quick_imp_stage2_aggr_s16_sth2_d32_ipd16_addr16_l1d_ddr4_2x,quick,imp,aggr_s16_sth2_d32_ipd16_addr16,l1d,ddr4_2x,0.00846,0.961874,57597.0,9165998.0,28580.0,85433.0,163282.0,70405.0,1448.0,,,,stage2,0.00967,1.1430260047281322,163282.0,70405.0,1448.0,0.43118653617667596,0.008868093237466469,0.00628376746318295,0.3345311530673159,stage2: aggr_s16_sth2_d32_ipd16_addr16
quick_imp_stage2_s16_sth2_l1d_ddr4_2x,quick,imp,s16_sth2,l1d,ddr4_2x,0.00846,0.961874,57597.0,9165998.0,28580.0,85433.0,163282.0,70405.0,1448.0,,,,stage2,0.00967,1.1430260047281322,163282.0,70405.0,1448.0,0.43118653617667596,0.008868093237466469,0.00628376746318295,0.3345311530673159,stage2: s16_sth2
quick_imp_stage2_s16_sth8_l1d_ddr4_2x,quick,imp,s16_sth8,l1d,ddr4_2x,0.00846,0.961776,57718.0,9165703.0,28520.0,85095.0,162039.0,70174.0,1211.0,,,,stage2,0.00967,1.1430260047281322,162039.0,70174.0,1211.0,0.43306858225488926,0.007473509463771067,0.00629717109533224,0.33515482695810567,stage2: s16_sth8
quick_imp_stage2_s16_pt8_sth8_l1d_ddr4_2x,quick,imp,s16_pt8_sth8,l1d,ddr4_2x,0.00846,0.961866,57993.0,9165735.0,28518.0,85105.0,161960.0,70027.0,1195.0,,,,stage2,0.00967,1.1430260047281322,161960.0,70027.0,1195.0,0.43237219066436156,0.0073783650284020745,0.0063271521596467714,0.33509194524411023,stage2: s16_pt8_sth8
quick_imp_stage2_s8_sth2_l1d_ddr4_2x,quick,imp,s8_sth2,l1d,ddr4_2x,0.008585,0.94783,84073.0,9178825.0,28541.0,84782.0,170077.0,63688.0,1118.0,,,,stage2,0.00967,1.1263832265579499,170077.0,63688.0,1118.0,0.37446568319055484,0.006573493182499691,0.009159451236950264,0.33663985279894315,stage2: s8_sth2
quick_imp_stage2_s8_ipd16_addr16_l1d_ddr4_2x,quick,imp,s8_ipd16_addr16,l1d,ddr4_2x,0.008586,0.947663,84081.0,9178669.0,28533.0,84734.0,169490.0,63656.0,1001.0,,,,stage2,0.00967,1.1262520382017238,169490.0,63656.0,1001.0,0.3755737801640215,0.005905953153578382,0.009160478496392016,0.3367361389760899,stage2: s8_ipd16_addr16
quick_imp_stage2_cons_s8_sth8_pt8_ipd8_l1d_ddr4_2x,quick,imp,cons_s8_sth8_pt8_ipd8,l1d,ddr4_2x,0.008586,0.947745,84033.0,9178648.0,28526.0,84486.0,168370.0,63330.0,932.0,,,,stage2,0.00967,1.1262520382017238,168370.0,63330.0,932.0,0.37613589119201757,0.005535427926590248,0.009155269926464116,0.33764173945979215,stage2: cons_s8_sth8_pt8_ipd8
quick_imp_stage2_s8_dist8_addr8_l1d_ddr4_2x,quick,imp,s8_dist8_addr8,l1d,ddr4_2x,0.008586,0.947663,84081.0,9178669.0,28533.0,84734.0,169490.0,63656.0,1001.0,,,,stage2,0.00967,1.1262520382017238,169490.0,63656.0,1001.0,0.3755737801640215,0.005905953153578382,0.009160478496392016,0.3367361389760899,stage2: s8_dist8_addr8
quick_imp_sdist8_l1d_ddr4_2x,quick,imp,sdist8,l1d,ddr4_2x,0.008586,0.947663,84081.0,9178669.0,28533.0,84734.0,169490.0,63656.0,1001.0,,,,stage1,0.00967,1.1262520382017238,169490.0,63656.0,1001.0,0.3755737801640215,0.005905953153578382,0.009160478496392016,0.3367361389760899,stage1: sdist8
quick_imp_stage2_s8_pt8_sth2_l1d_ddr4_2x,quick,imp,s8_pt8_sth2,l1d,ddr4_2x,0.008586,0.947685,84153.0,9178993.0,28527.0,84588.0,169566.0,63633.0,997.0,,,,stage2,0.00967,1.1262520382017238,169566.0,63633.0,997.0,0.37526980644704716,0.0058797164525907315,0.009167999147618917,0.3372464179316215,stage2: s8_pt8_sth2
quick_imp_stage2_s8_pt8_sth8_l1d_ddr4_2x,quick,imp,s8_pt8_sth8,l1d,ddr4_2x,0.008586,0.947745,84033.0,9178648.0,28526.0,84486.0,168370.0,63330.0,932.0,,,,stage2,0.00967,1.1262520382017238,168370.0,63330.0,932.0,0.37613589119201757,0.005535427926590248,0.009155269926464116,0.33764173945979215,stage2: s8_pt8_sth8
quick_imp_stage2_s8_sth8_l1d_ddr4_2x,quick,imp,s8_sth8,l1d,ddr4_2x,0.008586,0.947668,83877.0,9178688.0,28534.0,84672.0,169062.0,63553.0,970.0,,,,stage2,0.00967,1.1262520382017238,169062.0,63553.0,970.0,0.3759153446664537,0.0057375400740556715,0.009138234135423277,0.33699452003023433,stage2: s8_sth8
quick_imp_stage2_s8_ipd8_addr8_l1d_ddr4_2x,quick,imp,s8_ipd8_addr8,l1d,ddr4_2x,0.008586,0.947663,84081.0,9178669.0,28533.0,84734.0,169490.0,63656.0,1001.0,,,,stage2,0.00967,1.1262520382017238,169490.0,63656.0,1001.0,0.3755737801640215,0.005905953153578382,0.009160478496392016,0.3367361389760899,stage2: s8_ipd8_addr8
quick_imp_stage2_s8_ipd16_pt32_l1d_ddr4_2x,quick,imp,s8_ipd16_pt32,l1d,ddr4_2x,0.008586,0.947663,84081.0,9178669.0,28533.0,84734.0,169490.0,63656.0,1001.0,,,,stage2,0.00967,1.1262520382017238,169490.0,63656.0,1001.0,0.3755737801640215,0.005905953153578382,0.009160478496392016,0.3367361389760899,stage2: s8_ipd16_pt32
quick_imp_stage2_s8_l1d_ddr4_2x,quick,imp,s8,l1d,ddr4_2x,0.008586,0.947663,84081.0,9178669.0,28533.0,84734.0,169490.0,63656.0,1001.0,,,,stage2,0.00967,1.1262520382017238,169490.0,63656.0,1001.0,0.3755737801640215,0.005905953153578382,0.009160478496392016,0.3367361389760899,stage2: s8
quick_imp_stage2_s8_dist32_addr8_l1d_ddr4_2x,quick,imp,s8_dist32_addr8,l1d,ddr4_2x,0.008586,0.947663,84081.0,9178669.0,28533.0,84734.0,169490.0,63656.0,1001.0,,,,stage2,0.00967,1.1262520382017238,169490.0,63656.0,1001.0,0.3755737801640215,0.005905953153578382,0.009160478496392016,0.3367361389760899,stage2: s8_dist32_addr8
quick_imp_ipd2_l1d_ddr4_2x,quick,imp,ipd2,l1d,ddr4_2x,0.008745,0.930495,116518.0,9195236.0,28508.0,83822.0,178412.0,54981.0,504.0,,,,stage1,0.00967,1.1057747284162378,178412.0,54981.0,504.0,0.3081687330448625,0.002824922090442347,0.012671561665192715,0.3401016439598196,stage1: ipd2
quick_imp_dist4_l1d_ddr4_2x,quick,imp,dist4,l1d,ddr4_2x,0.008745,0.930495,116518.0,9195236.0,28508.0,83822.0,178412.0,54981.0,504.0,,,,stage1,0.00967,1.1057747284162378,178412.0,54981.0,504.0,0.3081687330448625,0.002824922090442347,0.012671561665192715,0.3401016439598196,stage1: dist4
quick_imp_dist32_l1d_ddr4_2x,quick,imp,dist32,l1d,ddr4_2x,0.008745,0.930495,116518.0,9195236.0,28508.0,83822.0,178412.0,54981.0,504.0,,,,stage1,0.00967,1.1057747284162378,178412.0,54981.0,504.0,0.3081687330448625,0.002824922090442347,0.012671561665192715,0.3401016439598196,stage1: dist32
quick_imp_dist8_l1d_ddr4_2x,quick,imp,dist8,l1d,ddr4_2x,0.008745,0.930495,116518.0,9195236.0,28508.0,83822.0,178412.0,54981.0,504.0,,,,stage1,0.00967,1.1057747284162378,178412.0,54981.0,504.0,0.3081687330448625,0.002824922090442347,0.012671561665192715,0.3401016439598196,stage1: dist8
quick_imp_dist64_l1d_ddr4_2x,quick,imp,dist64,l1d,ddr4_2x,0.008745,0.930495,116518.0,9195236.0,28508.0,83822.0,178412.0,54981.0,504.0,,,,stage1,0.00967,1.1057747284162378,178412.0,54981.0,504.0,0.3081687330448625,0.002824922090442347,0.012671561665192715,0.3401016439598196,stage1: dist64
quick_imp_default_l1d_ddr4_2x,quick,imp,default,l1d,ddr4_2x,0.008745,0.930495,116518.0,9195236.0,28508.0,83822.0,178412.0,54981.0,504.0,,,,stage1,0.00967,1.1057747284162378,178412.0,54981.0,504.0,0.3081687330448625,0.002824922090442347,0.012671561665192715,0.3401016439598196,stage1: default [IMP default]
