run,benchmark,prefetcher,config,pf_level,memory,simSeconds,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused,stage,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,label
simple_triad_imp_stage2_s16_sth8_l1d_ddr4_2x,simple_triad,imp,s16_sth8,l1d,ddr4_2x,0.0021,0.556543,1394301.0,2003835.0,375395.0,375405.0,592864.0,146123.0,,,,,stage2,0.002605,1.2404761904761905,592864.0,146123.0,0.0,0.24646967938684083,0.0,0.6958162722978688,0.9999733621022628,stage2: s16_sth8
simple_triad_imp_stage2_s16_pt8_sth8_l1d_ddr4_2x,simple_triad,imp,s16_pt8_sth8,l1d,ddr4_2x,0.0021,0.556543,1394301.0,2003835.0,375395.0,375405.0,592864.0,146123.0,,,,,stage2,0.002605,1.2404761904761905,592864.0,146123.0,0.0,0.24646967938684083,0.0,0.6958162722978688,0.9999733621022628,stage2: s16_pt8_sth8
simple_triad_imp_stage2_aggr_s16_sth2_d32_ipd16_l1d_ddr4_2x,simple_triad,imp,aggr_s16_sth2_d32_ipd16,l1d,ddr4_2x,0.002113,0.553157,1389696.0,2003810.0,375393.0,375403.0,589187.0,147512.0,,,,,stage2,0.002605,1.2328442972077616,589187.0,147512.0,0.0,0.2503653339262407,0.0,0.6935268313862093,0.9999733619603466,stage2: aggr_s16_sth2_d32_ipd16
simple_triad_imp_stage2_s16_pt8_sth2_l1d_ddr4_2x,simple_triad,imp,s16_pt8_sth2,l1d,ddr4_2x,0.002113,0.553157,1389696.0,2003810.0,375393.0,375403.0,589187.0,147512.0,,,,,stage2,0.002605,1.2328442972077616,589187.0,147512.0,0.0,0.2503653339262407,0.0,0.6935268313862093,0.9999733619603466,stage2: s16_pt8_sth2
simple_triad_imp_stage2_aggr_s16_sth2_d32_ipd16_addr16_l1d_ddr4_2x,simple_triad,imp,aggr_s16_sth2_d32_ipd16_addr16,l1d,ddr4_2x,0.002113,0.553157,1389696.0,2003810.0,375393.0,375403.0,589187.0,147512.0,,,,,stage2,0.002605,1.2328442972077616,589187.0,147512.0,0.0,0.2503653339262407,0.0,0.6935268313862093,0.9999733619603466,stage2: aggr_s16_sth2_d32_ipd16_addr16
simple_triad_imp_stage2_s16_sth2_l1d_ddr4_2x,simple_triad,imp,s16_sth2,l1d,ddr4_2x,0.002113,0.553157,1389696.0,2003810.0,375393.0,375403.0,589187.0,147512.0,,,,,stage2,0.002605,1.2328442972077616,589187.0,147512.0,0.0,0.2503653339262407,0.0,0.6935268313862093,0.9999733619603466,stage2: s16_sth2
simple_triad_imp_stage2_s16_dist32_addr16_l1d_ddr4_2x,simple_triad,imp,s16_dist32_addr16,l1d,ddr4_2x,0.002125,0.550032,1385258.0,2003817.0,375408.0,375418.0,596454.0,148523.0,2.0,,,,stage2,0.002605,1.2258823529411764,596454.0,148523.0,2.0,0.24900998232889712,3.3531504525076537e-06,0.6913096355605327,0.9999733630246819,stage2: s16_dist32_addr16
simple_triad_imp_stage2_s16_dist8_addr16_l1d_ddr4_2x,simple_triad,imp,s16_dist8_addr16,l1d,ddr4_2x,0.002125,0.550032,1385258.0,2003817.0,375408.0,375418.0,596454.0,148523.0,2.0,,,,stage2,0.002605,1.2258823529411764,596454.0,148523.0,2.0,0.24900998232889712,3.3531504525076537e-06,0.6913096355605327,0.9999733630246819,stage2: s16_dist8_addr16
simple_triad_imp_stage2_s16_ipd8_addr8_l1d_ddr4_2x,simple_triad,imp,s16_ipd8_addr8,l1d,ddr4_2x,0.002125,0.550032,1385258.0,2003817.0,375408.0,375418.0,596454.0,148523.0,2.0,,,,stage2,0.002605,1.2258823529411764,596454.0,148523.0,2.0,0.24900998232889712,3.3531504525076537e-06,0.6913096355605327,0.9999733630246819,stage2: s16_ipd8_addr8
simple_triad_imp_stage2_s16_l1d_ddr4_2x,simple_triad,imp,s16,l1d,ddr4_2x,0.002125,0.550032,1385258.0,2003817.0,375408.0,375418.0,596454.0,148523.0,2.0,,,,stage2,0.002605,1.2258823529411764,596454.0,148523.0,2.0,0.24900998232889712,3.3531504525076537e-06,0.6913096355605327,0.9999733630246819,stage2: s16
