run,benchmark,prefetcher,config,pf_level,memory,simSeconds,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused,stage,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,label
spmv_imp_sdist16_l1d_ddr4_1x,spmv,imp,sdist16,l1d,ddr4_1x,0.00594,0.633635,1980905.0,4826356.0,654062.0,3666897.0,2610892.0,150638.0,1927141.0,,,,stage1,0.010599,1.7843434343434346,2610892.0,150638.0,1927141.0,0.057695990489074235,0.7381159389204915,0.41043491197085336,0.1783693406168758,stage1: sdist16
spmv_imp_stage2_s16_ipd16_pt32_l1d_ddr4_1x,spmv,imp,s16_ipd16_pt32,l1d,ddr4_1x,0.00594,0.633635,1980905.0,4826356.0,654062.0,3666897.0,2610892.0,150638.0,1927141.0,,,,stage2,0.010599,1.7843434343434346,2610892.0,150638.0,1927141.0,0.057695990489074235,0.7381159389204915,0.41043491197085336,0.1783693406168758,stage2: s16_ipd16_pt32
spmv_imp_stage2_s16_ipd8_addr8_l1d_ddr4_1x,spmv,imp,s16_ipd8_addr8,l1d,ddr4_1x,0.00594,0.633635,1980905.0,4826356.0,654062.0,3666897.0,2610892.0,150638.0,1927141.0,,,,stage2,0.010599,1.7843434343434346,2610892.0,150638.0,1927141.0,0.057695990489074235,0.7381159389204915,0.41043491197085336,0.1783693406168758,stage2: s16_ipd8_addr8
spmv_imp_stage2_s16_l1d_ddr4_1x,spmv,imp,s16,l1d,ddr4_1x,0.00594,0.633635,1980905.0,4826356.0,654062.0,3666897.0,2610892.0,150638.0,1927141.0,,,,stage2,0.010599,1.7843434343434346,2610892.0,150638.0,1927141.0,0.057695990489074235,0.7381159389204915,0.41043491197085336,0.1783693406168758,stage2: s16
spmv_imp_stage2_s16_dist32_addr16_l1d_ddr4_1x,spmv,imp,s16_dist32_addr16,l1d,ddr4_1x,0.00594,0.633635,1980905.0,4826356.0,654062.0,3666897.0,2610892.0,150638.0,1927141.0,,,,stage2,0.010599,1.7843434343434346,2610892.0,150638.0,1927141.0,0.057695990489074235,0.7381159389204915,0.41043491197085336,0.1783693406168758,stage2: s16_dist32_addr16
spmv_imp_stage2_s16_dist8_addr16_l1d_ddr4_1x,spmv,imp,s16_dist8_addr16,l1d,ddr4_1x,0.00594,0.633635,1980905.0,4826356.0,654062.0,3666897.0,2610892.0,150638.0,1927141.0,,,,stage2,0.010599,1.7843434343434346,2610892.0,150638.0,1927141.0,0.057695990489074235,0.7381159389204915,0.41043491197085336,0.1783693406168758,stage2: s16_dist8_addr16
spmv_imp_stage2_s16_ipd16_addr16_l1d_ddr4_1x,spmv,imp,s16_ipd16_addr16,l1d,ddr4_1x,0.00594,0.633635,1980905.0,4826356.0,654062.0,3666897.0,2610892.0,150638.0,1927141.0,,,,stage2,0.010599,1.7843434343434346,2610892.0,150638.0,1927141.0,0.057695990489074235,0.7381159389204915,0.41043491197085336,0.1783693406168758,stage2: s16_ipd16_addr16
spmv_imp_stage2_aggr_s16_sth2_d32_ipd16_l1d_ddr4_1x,spmv,imp,aggr_s16_sth2_d32_ipd16,l1d,ddr4_1x,0.005943,0.633399,1979133.0,4826210.0,653551.0,3664870.0,2606778.0,150679.0,1925199.0,,,,stage2,0.010599,1.7834427057041897,2606778.0,150679.0,1925199.0,0.05780277415261292,0.7385358477016455,0.4100801664245858,0.17832856281396067,stage2: aggr_s16_sth2_d32_ipd16
spmv_imp_stage2_aggr_s16_sth2_d32_ipd16_addr16_l1d_ddr4_1x,spmv,imp,aggr_s16_sth2_d32_ipd16_addr16,l1d,ddr4_1x,0.005943,0.633399,1979133.0,4826210.0,653551.0,3664870.0,2606778.0,150679.0,1925199.0,,,,stage2,0.010599,1.7834427057041897,2606778.0,150679.0,1925199.0,0.05780277415261292,0.7385358477016455,0.4100801664245858,0.17832856281396067,stage2: aggr_s16_sth2_d32_ipd16_addr16
spmv_imp_stage2_s16_sth2_l1d_ddr4_1x,spmv,imp,s16_sth2,l1d,ddr4_1x,0.005943,0.633399,1979133.0,4826210.0,653551.0,3664870.0,2606778.0,150679.0,1925199.0,,,,stage2,0.010599,1.7834427057041897,2606778.0,150679.0,1925199.0,0.05780277415261292,0.7385358477016455,0.4100801664245858,0.17832856281396067,stage2: s16_sth2
