run,benchmark,prefetcher,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused
bfs_nextline_deg16_l1d_ddr4_1x,bfs,nextline,deg16,l1d,ddr4_1x,0.023275,23274763605.0,30729211.0,69894185.0,0.439654,5200348.0,11446800.0,3479610.0,7648184.0,6740115.0,419075.0,3884197.0,nan,nan,nan
bfs_nextline_deg16_l1d_ddr4_2x,bfs,nextline,deg16,l1d,ddr4_2x,0.019859,19859121999.0,30729211.0,59637003.0,0.515271,5096372.0,11347755.0,3692527.0,7951682.0,7462401.0,435508.0,4180636.0,nan,nan,nan
bfs_nextline_deg16_l2_ddr4_1x,bfs,nextline,deg16,l2,ddr4_1x,0.026315,26315215776.0,30729211.0,79024672.0,0.388856,6604593.0,11511624.0,1342287.0,3523274.0,nan,nan,nan,9259383.0,589670.0,2731058.0
bfs_nextline_deg16_l2_ddr4_2x,bfs,nextline,deg16,l2,ddr4_2x,0.020907,20906845560.0,30729211.0,62783320.0,0.489449,6518309.0,11414972.0,1325066.0,3523454.0,nan,nan,nan,10711215.0,646323.0,3106860.0
bfs_nextline_deg1_l1d_ddr4_1x,bfs,nextline,deg1,l1d,ddr4_1x,0.023908,23908478256.0,30729211.0,71797232.0,0.428,6936610.0,11506194.0,2466157.0,6390265.0,4927580.0,184279.0,2660407.0,nan,nan,nan
bfs_nextline_deg1_l1d_ddr4_2x,bfs,nextline,deg1,l1d,ddr4_2x,0.021037,21037421520.0,30729211.0,63175440.0,0.486411,6737614.0,11391944.0,2466815.0,6390960.0,4884812.0,197327.0,2661154.0,nan,nan,nan
bfs_nextline_deg1_l2_ddr4_1x,bfs,nextline,deg1,l2,ddr4_1x,0.024144,24144054111.0,30729211.0,72504667.0,0.423824,6741970.0,11505483.0,1420245.0,3524039.0,nan,nan,nan,1645588.0,278485.0,783983.0
bfs_nextline_deg1_l2_ddr4_2x,bfs,nextline,deg1,l2,ddr4_2x,0.021106,21106054818.0,30729211.0,63381546.0,0.48483,6677220.0,11388244.0,1411112.0,3523905.0,nan,nan,nan,1646875.0,287566.0,784009.0
bfs_nextline_deg32_l1d_ddr4_1x,bfs,nextline,deg32,l1d,ddr4_1x,0.022919,22918670721.0,30729211.0,68824837.0,0.446485,5020571.0,11444511.0,3389548.0,7312125.0,6975209.0,448416.0,3559860.0,nan,nan,nan
bfs_nextline_deg32_l1d_ddr4_2x,bfs,nextline,deg32,l1d,ddr4_2x,0.019459,19459133388.0,30729211.0,58435836.0,0.525863,4914174.0,11336483.0,3610428.0,7613314.0,7615469.0,465306.0,3852565.0,nan,nan,nan
