run,benchmark,prefetcher,config,pf_level,memory,simSeconds,simTicks,simInsts,simOps,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_demand_miss_latency,l1d_demand_avg_miss_latency,l2_demand_miss_latency,l2_demand_avg_miss_latency,l1d_blocked_cycles_no_mshrs,l1d_blocked_causes_no_mshrs,l1d_avg_blocked_no_mshrs,l2_blocked_cycles_no_mshrs,l2_blocked_causes_no_mshrs,l2_avg_blocked_no_mshrs,l1d_demand_mshr_hits,l1d_demand_mshr_misses,l1d_demand_mshr_miss_rate,l1d_demand_avg_mshr_miss_latency,l2_demand_mshr_hits,l2_demand_mshr_misses,l2_demand_mshr_miss_rate,l2_demand_avg_mshr_miss_latency,mem_avg_rdq_len,mem_avg_wrq_len,mem_num_rd_retry,mem_num_wr_retry,mem_avg_read_bw_sys,mem_avg_write_bw_sys,dram_bw_read_total,dram_bw_write_total,dram_bw_total,dram_peak_bw,dram_avg_rd_bw,dram_avg_wr_bw,dram_avg_q_lat,dram_avg_bus_lat,dram_avg_mem_acc_lat,load_to_use_samples,load_to_use_mean,load_to_use_stdev,load_to_use_overflows,load_to_use_min,load_to_use_max,added_loads_and_stores,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l1d_prefetcher_accuracy,l1d_prefetcher_coverage,l1d_pf_late,l1d_pf_hit_in_cache,l1d_pf_hit_in_mshr,l1d_pf_hit_in_wb,l1d_pf_identified,l1d_pf_buffer_hit,l1d_pf_in_cache,l1d_pf_removed_demand,l1d_pf_removed_full,l1d_pf_span_page,l1d_pf_useful_span_page,l2_pf_issued,l2_pf_useful,l2_pf_unused,l2_prefetcher_accuracy,l2_prefetcher_coverage,l2_pf_late,l2_pf_hit_in_cache,l2_pf_hit_in_mshr,l2_pf_hit_in_wb,l2_pf_identified,l2_pf_buffer_hit,l2_pf_in_cache,l2_pf_removed_demand,l2_pf_removed_full,l2_pf_span_page,l2_pf_useful_span_page,l1d_prefetcher_read_bytes,l1d_prefetcher_read_rate,l1d_prefetcher_read_accesses,l1d_prefetcher_read_avg_lat,l2_prefetcher_read_bytes,l2_prefetcher_read_rate,l2_prefetcher_read_accesses,l2_prefetcher_read_avg_lat,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,pf_coverage,pf_late,pf_late_ratio,pf_removed_full,pf_removed_demand,pf_buffer_hit,pf_identified,pf_removed_full_ratio,pf_removed_demand_ratio,pf_buffer_hit_ratio,prefetcher_read_rate,prefetcher_read_bytes,dram_bw_utilization
bfs_nextline_default_l1d_ddr4_1x,bfs,nextline,default,l1d,ddr4_1x,0.024327,24327185130.0,30729211.0,31124590.0,73054610.0,0.420634,6454260.0,11484498.0,3078633.0,8014569.0,251038183232.0,38894.959799,255768074480.0,83078.455431,7682536.0,1351665.0,5.683757,0.0,0.0,,3216744.0,3237516.0,0.281903,35196.483098,,3078633.0,0.38413,82745.45554,8.69,57.73,0.0,0.0,8099272930.554625,420520497.7613454,8099272931.0,420520498.0,8519793428.0,19207.0,8069.647473,420.16534,38040.46,3332.0,55532.46,8774099.0,68.788169,112.910289,212657.0,2.0,1750.0,13009352.0,6706371.0,274490.0,4212019.0,0.04093,0.078158,1929542.0,414289.0,1514462.0,791.0,13152038.0,3047875.0,0.0,633051.0,1057582.0,305472.0,11719.0,,,,,,,,,,,,,,,,,124360128.0,5111981815.217928,1949766.0,54985.57,,,,,0.02764,1.1361861306367411,6706371.0,274490.0,4212019.0,0.04092973681294995,0.628062330580876,0.5619975727280374,0.3841295770240421,0.040793609511424855,1929542.0,0.28771775375982034,1057582.0,633051.0,3047875.0,13152038.0,0.08041202435698559,0.048133300709745516,0.23174165098975535,5111981815.217928,124360128.0,0.423028488226707
bfs_nextline_default_l1d_ddr4_2x,bfs,nextline,default,l1d,ddr4_2x,0.021209,21209030073.0,30729211.0,31124590.0,63690781.0,0.482476,6297541.0,11381495.0,3133785.0,8086790.0,206425112368.0,32778.684945,208719036238.0,66602.857643,5680057.0,1268165.0,4.478957,0.0,0.0,,3074296.0,3223245.0,0.2832,29694.483686,,3133785.0,0.387519,66269.857643,,,,,,,,,,,,,,,,8774099.0,58.585483,96.274658,80360.0,2.0,1745.0,12854868.0,6803770.0,283070.0,4282807.0,0.041605,0.080731,1940463.0,448173.0,1491413.0,877.0,12861950.0,2821600.0,0.0,608349.0,981957.0,299282.0,11953.0,,,,,,,,,,,,,,,,,,,,,,,,,0.025176,1.1870432363619219,6803770.0,283070.0,4282807.0,0.041604874944332335,0.6294755701618368,0.5533140417844932,0.3875190279455754,0.04301576251810052,1940463.0,0.2852040853820749,981957.0,608349.0,2821600.0,12861950.0,0.07634588845392806,0.04729834900617713,0.21937575562025977,,,
bfs_nextline_default_l2_ddr4_1x,bfs,nextline,default,l2,ddr4_1x,0.02565,25649913411.0,30729211.0,31124590.0,77026767.0,0.398942,6631581.0,11497258.0,1388108.0,3530011.0,254246172317.0,38338.696657,122764483879.0,88440.152984,1108236.0,62189.0,17.820451,5334383.0,290623.0,18.354993,3101814.0,3529767.0,0.307009,40375.727374,181894.0,1206214.0,0.341703,93435.298653,10.47,58.46,0.0,0.0,8363967416.279712,399106844.3767075,8363959931.0,399106844.0,8763066775.0,19207.0,8336.3313,398.782477,44505.15,3332.0,61997.15,8774099.0,64.952119,119.383227,349612.0,2.0,1980.0,12852212.0,,,,,,,,,,,,,,,,,3317789.0,444596.0,1517751.0,0.134004,0.26932,1171777.0,970033.0,201648.0,96.0,3579258.0,13338.0,0.0,69821.0,132536.0,86150.0,21030.0,,,,,136804992.0,5333545958.144677,2143627.0,59372.91,0.02764,1.0775828460038988,3317789.0,444596.0,1517751.0,0.13400369945165289,0.4574585665333148,0.5767967457979981,0.3932305026811531,0.2425901836848722,1171777.0,0.35318008468892986,132536.0,69821.0,13338.0,3579258.0,0.03702890375602988,0.0195071157206326,0.0037264706819122844,5333545958.144677,136804992.0,0.4351076022424349
bfs_nextline_default_l2_ddr4_2x,bfs,nextline,default,l2,ddr4_2x,0.02142,21420066159.0,30729211.0,31124590.0,64324523.0,0.477722,6548799.0,11391538.0,1386199.0,3529862.0,199341789660.0,30439.442356,95170940402.0,68656.044624,720596.0,51168.0,14.082942,3913303.0,253502.0,15.436971,3019165.0,3529634.0,0.309847,32130.337821,185965.0,1200234.0,0.340023,72761.725116,,,,,,,,,,,,,,,,8774099.0,53.165153,97.785222,90009.0,2.0,1693.0,12731816.0,,,,,,,,,,,,,,,,,3404325.0,456033.0,1559491.0,0.133957,0.275338,1201062.0,1004040.0,196910.0,112.0,3597851.0,7838.0,0.0,61521.0,81941.0,86613.0,21588.0,,,,,,,,,0.025176,1.1753501400560225,3404325.0,456033.0,1559491.0,0.13395695181864245,0.4580911046977007,0.5748827770227339,0.3927062871013088,0.24754374041923058,1201062.0,0.35280474102795706,81941.0,61521.0,7838.0,3597851.0,0.022774984289232657,0.017099374043005117,0.0021785226792326866,,,
bfs_nextline_deg16_l1d_ddr4_1x,bfs,nextline,deg16,l1d,ddr4_1x,0.023275,23274763605.0,30729211.0,31124590.0,69894185.0,0.439654,5200348.0,11446800.0,3479610.0,7648184.0,213413161800.0,41038.246248,295671534679.0,84972.60747,11678029.0,1895582.0,6.160656,0.0,0.0,,2029630.0,3170718.0,0.276996,36975.031953,,3479610.0,0.454959,84639.607566,9.91,57.92,0.0,0.0,9568090304.992811,439686528.0213445,9568090305.0,439686528.0,10007776833.0,19207.0,9536.710051,439.309811,39826.51,3332.0,57318.51,8774099.0,60.100037,110.990215,235869.0,2.0,1822.0,12954802.0,6740115.0,419075.0,3884197.0,0.062176,0.116741,2262881.0,1692586.0,569284.0,1011.0,77834139.0,34322738.0,0.0,1391028.0,33123250.0,12076677.0,1022196.0,,,,,,,,,,,,,,,,,146080832.0,6276361576.820407,2289172.0,56924.25,,,,,0.02764,1.1875402792696026,6740115.0,419075.0,3884197.0,0.062176238832720214,0.5762805234035324,0.45430583219764475,0.4549589811123791,0.07457616200097412,2262881.0,0.33573329238447713,33123250.0,1391028.0,34322738.0,77834139.0,0.4255619760886672,0.01787169509256086,0.4409727972965693,6276361576.820407,146080832.0,0.4969104873201219
bfs_nextline_deg16_l1d_ddr4_2x,bfs,nextline,deg16,l1d,ddr4_2x,0.019859,19859121999.0,30729211.0,31124590.0,59637003.0,0.515271,5096372.0,11347755.0,3692527.0,7951682.0,171331911427.0,33618.407649,241938283375.0,65521.060069,8337604.0,1749304.0,4.766241,0.0,0.0,,1954554.0,3141818.0,0.276867,30915.264484,,3692527.0,0.464371,65188.060069,,,,,,,,,,,,,,,,8774099.0,49.932678,92.41127,67088.0,2.0,1713.0,12803399.0,7462401.0,435508.0,4180636.0,0.05836,0.121741,2652761.0,1944120.0,707442.0,1199.0,76648108.0,33411625.0,0.0,1356565.0,32217532.0,11862020.0,1068123.0,,,,,,,,,,,,,,,,,,,,,,,,,0.025176,1.2677375497255652,7462401.0,435508.0,4180636.0,0.058360305215439376,0.560226661633434,0.4491083919242176,0.4643705570720761,0.07872694273917728,2652761.0,0.35548357693455496,32217532.0,1356565.0,33411625.0,76648108.0,0.42033042746469357,0.017698610381876614,0.43590932472853733,,,
bfs_nextline_deg16_l2_ddr4_1x,bfs,nextline,deg16,l2,ddr4_1x,0.026315,26315215776.0,30729211.0,31124590.0,79024672.0,0.388856,6604593.0,11511624.0,1342287.0,3523274.0,256661051363.0,38860.994366,124561972830.0,92798.315733,1790743.0,94156.0,19.018894,10005209.0,645822.0,15.492208,3081538.0,3523055.0,0.306043,42563.035485,132504.0,1209783.0,0.343369,95420.749332,13.77,60.48,0.0,0.0,11342837487.664764,389505451.4182677,11342866672.0,389505451.0,11732372124.0,19207.0,11306.021069,389.128483,53545.42,3332.0,71037.42,8774099.0,65.847173,124.455062,435518.0,2.0,2095.0,12823143.0,,,,,,,,,,,,,,,,,9259383.0,589670.0,2731058.0,0.063684,0.327694,5804858.0,5039891.0,764570.0,397.0,26726780.0,3277220.0,0.0,327661.0,13602490.0,4184532.0,1327776.0,,,,,220267456.0,8370345805.824184,3452089.0,71800.91,0.02764,1.0503515105453163,9259383.0,589670.0,2731058.0,0.06368350893358661,0.294950322283893,0.57373251593346,0.38097718201877007,0.30521900849760114,5804858.0,0.6269162858907553,13602490.0,327661.0,3277220.0,26726780.0,0.5089460832917396,0.012259651181324499,0.12261933536325738,8370345805.824184,220267456.0,0.5825408426708722
bfs_nextline_deg16_l2_ddr4_2x,bfs,nextline,deg16,l2,ddr4_2x,0.020907,20906845560.0,30729211.0,31124590.0,62783320.0,0.489449,6518309.0,11414972.0,1325066.0,3523454.0,192197974290.0,29485.864246,92704100992.0,69961.874346,1134641.0,75349.0,15.058475,6540996.0,591161.0,11.064661,2995057.0,3523252.0,0.308652,32568.787612,129838.0,1195228.0,0.339221,72658.776917,,,,,,,,,,,,,,,,8774099.0,51.444652,97.262012,101534.0,2.0,1688.0,12715457.0,,,,,,,,,,,,,,,,,10711215.0,646323.0,3106860.0,0.060341,0.350967,6826605.0,6011502.0,814500.0,603.0,27261951.0,3079693.0,0.0,312604.0,12901892.0,4280273.0,1455773.0,,,,,,,,,0.025176,1.204189984215813,10711215.0,646323.0,3106860.0,0.0603407736657326,0.2900567302588922,0.5710315364768306,0.3760701856757602,0.3278515807889767,6826605.0,0.6373324594828877,12901892.0,312604.0,3079693.0,27261951.0,0.47325637112325525,0.011466677494945244,0.11296671320405499,,,
bfs_nextline_deg1_l1d_ddr4_1x,bfs,nextline,deg1,l1d,ddr4_1x,0.023908,23908478256.0,30729211.0,31124590.0,71797232.0,0.428,6936610.0,11506194.0,2466157.0,6390265.0,253706634326.0,36575.017815,201575576222.0,81736.716771,5522378.0,712690.0,7.74864,0.0,0.0,,3747303.0,3189307.0,0.277182,34565.375483,,2466157.0,0.385924,81403.716906,7.44,57.55,0.0,0.0,6601593221.8685,426683115.9544795,6601593222.0,426683116.0,7028276338.0,19207.0,6577.099819,426.305677,36812.82,3332.0,54304.82,8774099.0,68.063592,109.512676,186505.0,2.0,1743.0,13005577.0,4927580.0,184279.0,2660407.0,0.037397,0.054624,1726848.0,172227.0,1554329.0,292.0,7011692.0,401191.0,0.0,356886.0,1020.0,109202.0,2680.0,,,,,,,,,,,,,,,,,86137472.0,3602800273.51315,1350388.0,53353.21,,,,,0.02764,1.1560983771122637,4927580.0,184279.0,2660407.0,0.037397464881341345,0.539901330876414,0.6028587732833289,0.3859240579224805,0.02587865082576066,1726848.0,0.3504454519256917,1020.0,356886.0,401191.0,7011692.0,0.00014547130706825113,0.0508986989160391,0.05721743054315563,3602800273.51315,86137472.0,0.3489710330690046
bfs_nextline_deg1_l1d_ddr4_2x,bfs,nextline,deg1,l1d,ddr4_2x,0.021037,21037421520.0,30729211.0,31124590.0,63175440.0,0.486411,6737614.0,11391944.0,2466815.0,6390960.0,211231125332.0,31351.028024,162380932442.0,65826.149282,3949145.0,642511.0,6.146424,0.0,0.0,,3558689.0,3178925.0,0.27905,29049.424631,,2466815.0,0.385985,65493.149282,,,,,,,,,,,,,,,,8774099.0,58.618364,94.139591,68303.0,2.0,1780.0,12837539.0,4884812.0,197327.0,2661154.0,0.040396,0.058446,1673001.0,185455.0,1487242.0,304.0,6829765.0,331818.0,0.0,342491.0,548.0,105181.0,2890.0,,,,,,,,,,,,,,,,,,,,,,,,,0.025176,1.1967485858249751,4884812.0,197327.0,2661154.0,0.04039602752367952,0.5447812525845417,0.5914367205456769,0.38598504762977703,0.028454027222437797,1673001.0,0.342490355821268,548.0,342491.0,331818.0,6829765.0,8.023702133235916e-05,0.05014682057142522,0.04858410208843203,,,
