benchmark,pf_level,memory,run,prefetcher,config,simSeconds,simTicks,simInsts,simOps,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_demand_miss_latency,l1d_demand_avg_miss_latency,l2_demand_miss_latency,l2_demand_avg_miss_latency,l1d_blocked_cycles_no_mshrs,l1d_blocked_causes_no_mshrs,l1d_avg_blocked_no_mshrs,l2_blocked_cycles_no_mshrs,l2_blocked_causes_no_mshrs,l2_avg_blocked_no_mshrs,l1d_demand_mshr_hits,l1d_demand_mshr_misses,l1d_demand_mshr_miss_rate,l1d_demand_avg_mshr_miss_latency,l2_demand_mshr_hits,l2_demand_mshr_misses,l2_demand_mshr_miss_rate,l2_demand_avg_mshr_miss_latency,mem_avg_rdq_len,mem_avg_wrq_len,mem_num_rd_retry,mem_num_wr_retry,mem_avg_read_bw_sys,mem_avg_write_bw_sys,dram_bw_read_total,dram_bw_write_total,dram_bw_total,dram_peak_bw,dram_avg_rd_bw,dram_avg_wr_bw,dram_avg_q_lat,dram_avg_bus_lat,dram_avg_mem_acc_lat,load_to_use_samples,load_to_use_mean,load_to_use_stdev,load_to_use_overflows,load_to_use_min,load_to_use_max,added_loads_and_stores,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l1d_prefetcher_accuracy,l1d_prefetcher_coverage,l1d_pf_late,l1d_pf_hit_in_cache,l1d_pf_hit_in_mshr,l1d_pf_hit_in_wb,l1d_pf_identified,l1d_pf_buffer_hit,l1d_pf_in_cache,l1d_pf_removed_demand,l1d_pf_removed_full,l1d_pf_span_page,l1d_pf_useful_span_page,l2_pf_issued,l2_pf_useful,l2_pf_unused,l2_prefetcher_accuracy,l2_prefetcher_coverage,l2_pf_late,l2_pf_hit_in_cache,l2_pf_hit_in_mshr,l2_pf_hit_in_wb,l2_pf_identified,l2_pf_buffer_hit,l2_pf_in_cache,l2_pf_removed_demand,l2_pf_removed_full,l2_pf_span_page,l2_pf_useful_span_page,l1d_prefetcher_read_bytes,l1d_prefetcher_read_rate,l1d_prefetcher_read_accesses,l1d_prefetcher_read_avg_lat,l2_prefetcher_read_bytes,l2_prefetcher_read_rate,l2_prefetcher_read_accesses,l2_prefetcher_read_avg_lat,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,pf_coverage,pf_late,pf_late_ratio,pf_removed_full,pf_removed_demand,pf_buffer_hit,pf_identified,pf_removed_full_ratio,pf_removed_demand_ratio,pf_buffer_hit_ratio,prefetcher_read_rate,prefetcher_read_bytes,dram_bw_utilization
bfs,l1d,ddr4_1x,bfs_nextline_deg32_l1d_ddr4_1x,nextline,deg32,0.022919,22918670721.0,30729211.0,31124590.0,68824837.0,0.446485,5020571.0,11444511.0,3389548.0,7312125.0,207190209221.0,41268.255985,291066472853.0,85871.766045,11656016.0,1881958.0,6.193558,0.0,0.0,,1888277.0,3132294.0,0.273694,37424.829397,,3389548.0,0.463552,85538.766634,10.03,57.87,0.0,0.0,9465255408.605772,445747317.73773015,9465252616.0,445747318.0,9910999934.0,19207.0,9436.009733,445.331238,40724.11,3332.0,58216.11,8774099.0,58.286363,109.92019,239494.0,2.0,1838.0,12951209.0,6975209.0,448416.0,3559860.0,0.064287,0.125231,2795598.0,2194105.0,600566.0,927.0,128320300.0,55745046.0,0.0,1368043.0,61841929.0,46687412.0,4688194.0,,,,,,,,,,,,,,,,,140257088.0,6119774122.479308,2197129.0,58163.72,,,,,0.02764,1.2059862995767705,6975209.0,448416.0,3559860.0,0.06428710594908339,0.5103589010737886,0.43868811869725144,0.4635517035061627,0.08199251525008196,2795598.0,0.40079057129327594,61841929.0,1368043.0,55745046.0,128320300.0,0.4819341055156511,0.010661158055272627,0.4344211009481742,6119774122.479308,140257088.0,0.4921052786463185
bfs,l1d,ddr4_2x,bfs_nextline_deg32_l1d_ddr4_2x,nextline,deg32,0.019459,19459133388.0,30729211.0,31124590.0,58435836.0,0.525863,4914174.0,11336483.0,3610428.0,7613314.0,165315652210.0,33640.577686,236909460557.0,65618.109697,8238383.0,1729610.0,4.763145,0.0,0.0,,1803351.0,3110823.0,0.274408,31108.517745,,3610428.0,0.474226,65285.109697,,,,,,,,,,,,,,,,8774099.0,48.200831,91.05722,61763.0,2.0,1728.0,12786674.0,7615469.0,465306.0,3852565.0,0.0611,0.130114,3113203.0,2446242.0,665751.0,1210.0,126195172.0,54560955.0,0.0,1348010.0,60339396.0,45948316.0,4844144.0,,,,,,,,,,,,,,,,,,,,,,,,,0.025176,1.2937972146564571,7615469.0,465306.0,3852565.0,0.06110011084018594,0.5058867681031858,0.43348311817695134,0.47422554750795776,0.08649646434227844,3113203.0,0.408799904510149,60339396.0,1348010.0,54560955.0,126195172.0,0.4781434586102866,0.010681945898849443,0.4323537432953457,,,
bfs,l2,ddr4_1x,bfs_nextline_deg1_l2_ddr4_1x,nextline,deg1,0.024144,24144054111.0,30729211.0,31124590.0,72504667.0,0.423824,6741970.0,11505483.0,1420245.0,3524039.0,244003177238.0,36191.673537,116859591575.0,82281.290605,945552.0,61420.0,15.394855,2726455.0,131577.0,20.721365,3218160.0,3523810.0,0.306272,37900.6576,231905.0,1188340.0,0.33721,89225.830887,8.27,57.63,0.0,0.0,6584348397.710564,421796271.3793058,6584343096.0,421796271.0,7006139368.0,19207.0,6562.068792,421.456975,40073.43,3332.0,57565.43,8774099.0,63.094461,111.697412,236697.0,2.0,1785.0,12874746.0,,,,,,,,,,,,,,,,,1645588.0,278485.0,783983.0,0.169231,0.189856,349939.0,349799.0,107.0,33.0,1672373.0,0.0,0.0,26785.0,0.0,26357.0,4305.0,,,,,82633984.0,3422539711.8519573,1294475.0,53099.84,0.02764,1.1447978793903248,1645588.0,278485.0,783983.0,0.1692313021242255,0.4764151172711517,0.585978876332267,0.40301625492793924,0.16393717659663395,349939.0,0.2126528632926346,0.0,26785.0,0.0,1672373.0,0.0,0.016016163858182355,0.0,3422539711.8519573,82633984.0,0.347871878608024
bfs,l2,ddr4_2x,bfs_nextline_deg32_l2_ddr4_2x,nextline,deg32,0.020535,20535092352.0,30729211.0,31124590.0,61666944.0,0.49831,6469977.0,11418719.0,1302356.0,3523366.0,187680723387.0,29007.942901,91688744189.0,70402.212751,1152427.0,74932.0,15.379638,6641128.0,595223.0,11.157378,2946713.0,3523264.0,0.308552,32356.848316,118346.0,1184010.0,0.336045,72632.346109,,,,,,,,,,,,,,,,8774099.0,49.671344,95.800615,97482.0,2.0,1765.0,12717451.0,,,,,,,,,,,,,,,,,12750135.0,653595.0,2992167.0,0.051262,0.355678,8984760.0,8174510.0,809518.0,732.0,45926692.0,6454583.0,0.0,334851.0,26084009.0,16663740.0,6087442.0,,,,,,,,,0.025176,1.2260043827611395,12750135.0,653595.0,2992167.0,0.0512618101690688,0.2346772798876247,0.5666114561537069,0.3696340374516868,0.334157144018434,8984760.0,0.704679597510144,26084009.0,334851.0,6454583.0,45926692.0,0.5679487867316897,0.007290988865472828,0.14054099520165747,,,
matmult,l1d,ddr4_1x,matmult_nextline_deg8_l1d_ddr4_1x,nextline,deg8,0.001235,1235433330.0,7397871.0,7415194.0,3710010.0,1.994032,1147789.0,2137464.0,5514.0,1088987.0,19256192792.0,16776.770636,442889185.0,80320.853283,950089.0,514882.0,1.845256,0.0,0.0,,80527.0,1067262.0,0.499312,16532.680912,,5514.0,0.005063,79987.551324,6.44,57.92,0.0,0.0,285956345.373975,212343307.9144789,285904542.0,212343308.0,498247850.0,19207.0,281.760247,212.602326,36131.79,3332.0,53623.79,2106632.0,30.105628,29.462204,840.0,2.0,1333.0,2148066.0,29421.0,8886.0,11843.0,0.302029,0.008257,7911.0,7313.0,598.0,0.0,8604223.0,485604.0,0.0,2292.0,8070230.0,649201.0,6479.0,,,,,,,,,,,,,,,,,216576.0,175303672.59882814,3385.0,55194.61,,,,,0.001279,1.0356275303643725,29421.0,8886.0,11843.0,0.30202916284286735,0.4025356038204004,0.536986353922218,0.005063421326425384,0.007682365400825643,7911.0,0.2688895686754359,8070230.0,2292.0,485604.0,8604223.0,0.9379382658957119,0.0002663808225333072,0.0564378677772531,175303672.59882814,216576.0,0.024739218917563064
matmult,l1d,ddr4_2x,matmult_nextline_deg8_l1d_ddr4_2x,nextline,deg8,0.001235,1235068695.0,7397871.0,7415194.0,3708915.0,1.994621,1145837.0,2133833.0,5481.0,1086249.0,19463467402.0,16986.244468,363188597.0,66263.199599,984956.0,519065.0,1.897558,0.0,0.0,,79849.0,1065988.0,0.499565,16788.54666,,5481.0,0.005046,65929.895822,,,,,,,,,,,,,,,,2106632.0,30.348519,28.597454,684.0,2.0,1615.0,2146118.0,25062.0,8702.0,10760.0,0.347219,0.008097,5016.0,4238.0,778.0,0.0,8587431.0,481184.0,0.0,1657.0,8063361.0,648905.0,4383.0,,,,,,,,,,,,,,,,,,,,,,,,,0.001298,1.0510121457489878,25062.0,8702.0,10760.0,0.34721889713510495,0.4293352485835129,0.5369853217191786,0.005045804415009818,0.0075372074914749525,5016.0,0.2001436437634666,8063361.0,1657.0,481184.0,8587431.0,0.9389724354117082,0.00019295642666590276,0.05603352155027505,,,
matmult,l2,ddr4_1x,matmult_nextline_deg32_l2_ddr4_1x,nextline,deg32,0.001165,1165004163.0,7397876.0,7415199.0,3498511.0,2.114581,1160529.0,2139538.0,899.0,1078479.0,18452162191.0,15899.785521,79509250.0,88441.879867,789244.0,464335.0,1.69973,6303.0,282.0,22.351064,82268.0,1078261.0,0.503969,15829.830491,183.0,716.0,0.000664,99389.113128,3.11,60.02,0.0,30.0,352630499.5701547,247593965.03547084,351971274.0,247593965.0,599565239.0,19207.0,337.742999,248.143319,60891.65,3332.0,78383.65,2106632.0,28.693143,25.621215,693.0,2.0,1342.0,2147055.0,,,,,,,,,,,,,,,,,105613.0,4711.0,285.0,0.044606,0.868067,99804.0,95073.0,4727.0,4.0,132864.0,14807.0,0.0,776.0,10983.0,46656.0,39193.0,,,,,355072.0,304781743.51382124,5695.0,75382.64,0.001279,1.0978540772532188,105613.0,4711.0,285.0,0.0446062511243881,0.0026985314307897703,0.5424203729964132,0.0008335813678337733,0.8397504456327985,99804.0,0.9449973014685692,10983.0,776.0,14807.0,132864.0,0.082663475433526,0.005840558766859345,0.11144478564547206,304781743.51382124,355072.0,0.02976987397533581
matmult,l2,ddr4_2x,matmult_nextline_deg16_l2_ddr4_2x,nextline,deg16,0.001158,1157959881.0,7397871.0,7415194.0,3477357.0,2.127443,1159977.0,2139479.0,803.0,1078422.0,18482376281.0,15933.398922,67270901.0,83774.47198,798759.0,470346.0,1.698237,4269.0,241.0,17.713693,81779.0,1078198.0,0.503954,15851.048209,143.0,660.0,0.000612,94764.089394,,,,,,,,,,,,,,,,2106632.0,28.747742,25.375716,294.0,2.0,1509.0,2147008.0,,,,,,,,,,,,,,,,,69087.0,4824.0,303.0,0.069825,0.87965,63287.0,55517.0,7770.0,0.0,77940.0,361.0,0.0,613.0,7858.0,12092.0,10282.0,,,,,,,,,0.001298,1.1208981001727114,69087.0,4824.0,303.0,0.06982500325676322,0.004385774458291719,0.5421773244794644,0.0007446064713071506,0.857295183934601,63287.0,0.9160478816564621,7858.0,613.0,361.0,77940.0,0.1008211444701052,0.007865024377726456,0.0046317680266871955,,,
merge,l1d,ddr4_1x,merge_nextline_deg4_l1d_ddr4_1x,nextline,deg4,0.009814,9813850659.0,37918841.0,38897855.0,29471023.0,1.28665,558619.0,10925125.0,72468.0,206346.0,16699539058.0,29894.327006,5751106949.0,79360.641235,36.0,3.0,12.0,0.0,0.0,,466534.0,92085.0,0.008429,30370.908986,,72468.0,0.351197,79027.641235,1.43,47.33,0.0,0.0,472598999.226324,310737966.7738635,472592478.0,310737967.0,783330445.0,19207.0,469.736107,310.411897,34370.46,3332.0,51862.46,5213253.0,4.847881,29.748341,17527.0,2.0,1690.0,14387215.0,1589994.0,111054.0,2253.0,0.069846,0.54669,1475913.0,940308.0,535605.0,0.0,2575386.0,857429.0,0.0,200.0,906.0,103314.0,17839.0,,,,,,,,,,,,,,,,,2962368.0,301855826.31454635,46472.0,42186.35,,,,,0.011631,1.1851436723048707,1589994.0,111054.0,2253.0,0.06984554658696825,0.0014169864791942612,0.05113158888342239,0.3511965339769126,0.16583317529600267,1475913.0,0.9282506726440477,906.0,200.0,857429.0,2575386.0,0.00035179192555989664,7.765826171300147e-05,0.3329322284115857,301855826.31454635,2962368.0,0.03889426389626587
merge,l1d,ddr4_2x,merge_nextline_deg4_l1d_ddr4_2x,nextline,deg4,0.009832,9831896262.0,37918836.0,38897850.0,29525214.0,1.284288,555781.0,10924923.0,72464.0,206343.0,15605250111.0,28078.056125,5322979691.0,73456.884674,0.0,0.0,28.714286,0.0,0.0,,463700.0,92081.0,0.008429,28826.597811,,72464.0,0.351182,73123.884674,,,,,,,,,,,,,,,,5213253.0,4.697619,28.820915,16379.0,2.0,1716.0,14386963.0,1561289.0,111203.0,2253.0,0.071225,0.547033,1447204.0,969170.0,478034.0,0.0,2565019.0,880324.0,0.0,183.0,906.0,102925.0,17850.0,,,,,,,,,,,,,,,,,,,,,,,,,0.011697,1.189686737184703,1561289.0,111203.0,2253.0,0.07122512231880196,0.0014430384124912172,0.05087276130001099,0.3511822547893556,0.16672513883391504,1447204.0,0.9269289670266043,906.0,183.0,880324.0,2565019.0,0.0003532137578707994,7.134450076198266e-05,0.34320369556716734,,,
