run,benchmark,prefetcher,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,label
simple_triad_nextline_deg4_l1d_ddr4_1x,simple_triad,nextline,deg4,l1d,ddr4_1x,0.002637,2636526168.0,3509906.0,7917497.0,0.443312,1931944.0,2003784.0,375529.0,375548.0,490421.0,9050.0,92.0,,,,0.002897,1.098596890405764,490421.0,9050.0,92.0,0.0184535327810187,0.0001875939244037,0.964147832301286,0.9999494072661816,next-line: deg4
simple_triad_nextline_deg32_l1d_ddr4_2x,simple_triad,nextline,deg32,l1d,ddr4_2x,0.001919,1919434977.0,3510084.0,5764069.0,0.608963,1213692.0,2003869.0,375920.0,376173.0,1174029.0,151206.0,687.0,,,,0.002605,1.3574778530484628,1174029.0,151206.0,687.0,0.1287923892851028,0.000585164420981,0.6056743230221138,0.9993274371100532,next-line: deg32
simple_triad_nextline_deg8_l2_ddr4_1x,simple_triad,nextline,deg8,l2,ddr4_1x,0.002381,2381158458.0,3510062.0,7150626.0,0.490877,1968478.0,2003886.0,337389.0,375375.0,,,,526192.0,37976.0,138.0,0.002897,1.2167156656866862,526192.0,37976.0,138.0,0.0721713747073311,0.000262261683948,0.9823303321646042,0.8988051948051948,next-line: deg8
simple_triad_nextline_deg8_l2_ddr4_2x,simple_triad,nextline,deg8,l2,ddr4_2x,0.001541,1541219904.0,3510083.0,4628288.0,0.758402,1962503.0,2003908.0,336557.0,375372.0,,,,574939.0,38805.0,138.0,0.002605,1.690460739779364,574939.0,38805.0,138.0,0.06749411676717,0.0002400254635709,0.9793378737946054,0.8965959101904244,next-line: deg8
spmv_nextline_deg16_l1d_ddr4_1x,spmv,nextline,deg16,l1d,ddr4_1x,0.006083,6083091486.0,11279581.0,18267542.0,0.618779,1922298.0,4825272.0,688456.0,4444713.0,3465356.0,166523.0,2693965.0,,,,0.010599,1.742396843662667,3465356.0,166523.0,2693965.0,0.0480536487448908,0.7773992051610282,0.3983812725997622,0.1548932405759382,next-line: deg16
spmv_nextline_deg16_l1d_ddr4_2x,spmv,nextline,deg16,l1d,ddr4_2x,0.00547,5470351173.0,11279576.0,16427481.0,0.688089,1924455.0,4825802.0,686163.0,4378819.0,3418090.0,167080.0,2628956.0,,,,0.009047,1.6539305301645335,3418090.0,167080.0,2628956.0,0.0488811002635975,0.7691301282295083,0.3987844921942508,0.156700471063088,next-line: deg16
spmv_nextline_default_l2_ddr4_1x,spmv,nextline,default,l2,ddr4_1x,0.007657,7657217784.0,11279576.0,22994648.0,0.491574,2202889.0,4827683.0,300176.0,1687151.0,,,,1151090.0,290540.0,41283.0,0.010599,1.3842235862609378,1151090.0,290540.0,41283.0,0.2524042429349573,0.0358642677809728,0.456303572541942,0.1779188703322939,next-line: default
spmv_nextline_deg32_l2_ddr4_2x,spmv,nextline,deg32,l2,ddr4_2x,0.006472,6472430091.0,11279576.0,19436727.0,0.581557,2251645.0,4828463.0,216723.0,1687202.0,,,,11898254.0,649439.0,465352.0,0.009047,1.397867737948084,11898254.0,649439.0,465352.0,0.0545827144049874,0.0391109485475768,0.4663274835076917,0.1284511279621527,next-line: deg32
bfs_nextline_deg32_l1d_ddr4_1x,bfs,nextline,deg32,l1d,ddr4_1x,0.022919,22918670721.0,30729211.0,68824837.0,0.446485,5020571.0,11444511.0,3389548.0,7312125.0,6975209.0,448416.0,3559860.0,,,,0.02764,1.2059862995767705,6975209.0,448416.0,3559860.0,0.0642871059490833,0.5103589010737886,0.4386881186972514,0.4635517035061627,next-line: deg32
bfs_nextline_deg32_l1d_ddr4_2x,bfs,nextline,deg32,l1d,ddr4_2x,0.019459,19459133388.0,30729211.0,58435836.0,0.525863,4914174.0,11336483.0,3610428.0,7613314.0,7615469.0,465306.0,3852565.0,,,,0.025176,1.2937972146564571,7615469.0,465306.0,3852565.0,0.0611001108401859,0.5058867681031858,0.4334831181769513,0.4742255475079577,next-line: deg32
