benchmark,pf_level,memory,config,speedup_vs_nopf,simSeconds,family
bfs,l1d,ddr4_1x,deg32,1.2059862995767705,0.022919,Next-line
bfs,l1d,ddr4_2x,deg32,1.2937972146564571,0.019459,Next-line
bfs,l2,ddr4_1x,deg1,1.1447978793903248,0.024144,Next-line
bfs,l2,ddr4_2x,deg32,1.2260043827611395,0.020535,Next-line
matmult,l1d,ddr4_1x,deg8,1.0356275303643725,0.001235,Next-line
matmult,l1d,ddr4_2x,deg8,1.0510121457489878,0.001235,Next-line
matmult,l2,ddr4_1x,deg32,1.0978540772532188,0.001165,Next-line
matmult,l2,ddr4_2x,deg16,1.1208981001727114,0.001158,Next-line
merge,l1d,ddr4_1x,deg4,1.1851436723048707,0.009814,Next-line
merge,l1d,ddr4_2x,deg4,1.189686737184703,0.009832,Next-line
merge,l2,ddr4_1x,deg4,1.1551296057205285,0.010069,Next-line
merge,l2,ddr4_2x,deg4,1.1609925558312657,0.010075,Next-line
quick,l1d,ddr4_1x,deg32,1.1828126899234228,0.008227,Next-line
quick,l1d,ddr4_2x,deg16,1.1759698406907455,0.008223,Next-line
quick,l2,ddr4_1x,deg8,1.1358701996031284,0.008567,Next-line
quick,l2,ddr4_2x,deg16,1.1309941520467837,0.00855,Next-line
simple_triad,l1d,ddr4_1x,deg4,1.098596890405764,0.002637,Next-line
simple_triad,l1d,ddr4_2x,deg32,1.3574778530484628,0.001919,Next-line
simple_triad,l2,ddr4_1x,deg8,1.2167156656866862,0.002381,Next-line
simple_triad,l2,ddr4_2x,deg8,1.690460739779364,0.001541,Next-line
spmv,l1d,ddr4_1x,deg16,1.742396843662667,0.006083,Next-line
spmv,l1d,ddr4_2x,deg16,1.6539305301645335,0.00547,Next-line
spmv,l2,ddr4_1x,deg4,1.3727496438285196,0.007721,Next-line
spmv,l2,ddr4_2x,deg32,1.397867737948084,0.006472,Next-line
bfs,l1d,ddr4_1x,deg4_dist1,1.3111332479483897,0.021081,Stride
bfs,l1d,ddr4_2x,deg8_dist1,1.3363057324840766,0.01884,Stride
bfs,l2,ddr4_1x,deg1_dist1,1.276497483027756,0.021653,Stride
bfs,l2,ddr4_2x,deg4_dist1,1.2945290004113534,0.019448,Stride
matmult,l1d,ddr4_1x,deg16_dist1,1.066722268557131,0.001199,Stride
matmult,l1d,ddr4_2x,deg16_dist1,1.0807660283097418,0.001201,Stride
matmult,l2,ddr4_1x,deg4_dist1,1.0711892797319933,0.001194,Stride
matmult,l2,ddr4_2x,deg32_dist1,1.0871021775544387,0.001194,Stride
merge,l1d,ddr4_1x,deg32_dist1,1.1847815014770298,0.009817,Stride
merge,l1d,ddr4_2x,deg32_dist1,1.2008007391438251,0.009741,Stride
merge,l2,ddr4_1x,deg32_dist1,1.1343996878962257,0.010253,Stride
merge,l2,ddr4_2x,deg32_dist1,1.152073278833842,0.010153,Stride
quick,l1d,ddr4_1x,deg8_dist1,1.1779445587701247,0.008261,Stride
quick,l1d,ddr4_2x,deg8_dist1,1.1712693798449614,0.008256,Stride
quick,l2,ddr4_1x,deg8_dist1,1.1330926874708895,0.008588,Stride
quick,l2,ddr4_2x,deg8_dist1,1.1279598740230956,0.008573,Stride
simple_triad,l1d,ddr4_1x,deg4_dist1,1.1795602605863191,0.002456,Stride
simple_triad,l1d,ddr4_2x,deg1_dist8,1.4281798245614037,0.001824,Stride
simple_triad,l2,ddr4_1x,deg4_dist4,1.2254653130287647,0.002364,Stride
simple_triad,l2,ddr4_2x,deg8_dist4,1.6404282115869018,0.001588,Stride
spmv,l1d,ddr4_1x,deg32_dist1,1.7111721020342268,0.006194,Stride
spmv,l1d,ddr4_2x,deg32_dist1,1.592781690140845,0.00568,Stride
spmv,l2,ddr4_1x,deg32_dist1,1.6191567369385886,0.006546,Stride
spmv,l2,ddr4_2x,deg32_dist16,1.5407016348773843,0.005872,Stride
bfs,l1d,ddr4_1x,aggr_s16_sth2_d32_ipd16_addr16,1.2211177380163465,0.022635,IMP
bfs,l1d,ddr4_2x,s32_sth2_pt8,1.2899523492340013,0.019517,IMP
bfs,l2,ddr4_1x,s32_ipd16_addr16,1.0854539742381402,0.025464,IMP
bfs,l2,ddr4_2x,s32_sth2_pt8,1.1985717686265176,0.021005,IMP
matmult,l1d,ddr4_1x,s64_dist32_addr16,1.059652029826015,0.001207,IMP
matmult,l1d,ddr4_2x,s64_sth8_pt8,1.0656814449917895,0.001218,IMP
matmult,l2,ddr4_1x,s32_ipd16_pt32,1.0614107883817427,0.001205,IMP
matmult,l2,ddr4_2x,s32_dist8_addr16,1.0780730897009967,0.001204,IMP
