benchmark,pf_level,memory,config,speedup_vs_nopf,simSeconds,family
bfs,l1d,ddr4_1x,default,1.1361861306367411,0.024327,Next-line
bfs,l1d,ddr4_2x,default,1.187043236361922,0.021209,Next-line
bfs,l2,ddr4_1x,default,1.0775828460038988,0.02565,Next-line
bfs,l2,ddr4_2x,default,1.1753501400560225,0.02142,Next-line
matmult,l1d,ddr4_1x,default,1.009471191791634,0.001267,Next-line
matmult,l1d,ddr4_2x,default,1.0244672454617203,0.001267,Next-line
matmult,l2,ddr4_1x,default,1.0784148397976392,0.001186,Next-line
matmult,l2,ddr4_2x,default,1.078969243557772,0.001203,Next-line
merge,l1d,ddr4_1x,default,1.1827333740085415,0.009834,Next-line
merge,l1d,ddr4_2x,default,1.187151121485842,0.009853,Next-line
merge,l2,ddr4_1x,default,1.154327113934101,0.010076,Next-line
merge,l2,ddr4_2x,default,1.1591517193538798,0.010091,Next-line
quick,l1d,ddr4_1x,default,1.166926489986809,0.008339,Next-line
quick,l1d,ddr4_2x,default,1.1666063457594402,0.008289,Next-line
quick,l2,ddr4_1x,default,1.1273169601482853,0.008632,Next-line
quick,l2,ddr4_2x,default,1.124941833410889,0.008596,Next-line
simple_triad,l1d,ddr4_1x,default,1.077352175529937,0.002689,Next-line
simple_triad,l1d,ddr4_2x,default,1.2934458788480636,0.002014,Next-line
simple_triad,l2,ddr4_1x,default,1.1095365760245115,0.002611,Next-line
simple_triad,l2,ddr4_2x,default,1.3297600816743238,0.001959,Next-line
spmv,l1d,ddr4_1x,default,1.459917355371901,0.00726,Next-line
spmv,l1d,ddr4_2x,default,1.3869385252184576,0.006523,Next-line
spmv,l2,ddr4_1x,default,1.3842235862609378,0.007657,Next-line
spmv,l2,ddr4_2x,default,1.2772836368770295,0.007083,Next-line
bfs,l1d,ddr4_1x,default,1.336427811623634,0.020682,Stride
bfs,l1d,ddr4_2x,default,1.3521671410924323,0.018619,Stride
bfs,l2,ddr4_1x,default,1.2889987408478292,0.021443,Stride
bfs,l2,ddr4_2x,default,1.311728234252071,0.019193,Stride
matmult,l1d,ddr4_1x,default,1.0475020475020471,0.001221,Stride
matmult,l1d,ddr4_2x,default,1.0552845528455284,0.00123,Stride
matmult,l2,ddr4_1x,default,1.0676126878130217,0.001198,Stride
matmult,l2,ddr4_2x,default,1.074503311258278,0.001208,Stride
merge,l1d,ddr4_1x,default,1.1710632299637536,0.009932,Stride
merge,l1d,ddr4_2x,default,1.1760506736376433,0.009946,Stride
merge,l2,ddr4_1x,default,1.1275811924381969,0.010315,Stride
merge,l2,ddr4_2x,default,1.1315662184386186,0.010337,Stride
quick,l1d,ddr4_1x,default,1.1772320348415193,0.008266,Stride
quick,l1d,ddr4_2x,default,1.1711275281579263,0.008257,Stride
quick,l2,ddr4_1x,default,1.1332246419005474,0.008587,Stride
quick,l2,ddr4_2x,default,1.1278283181712152,0.008574,Stride
simple_triad,l1d,ddr4_1x,default,1.118964851293936,0.002589,Stride
simple_triad,l1d,ddr4_2x,default,1.3532467532467534,0.001925,Stride
simple_triad,l2,ddr4_1x,default,1.1824489795918367,0.00245,Stride
simple_triad,l2,ddr4_2x,default,1.4684329199549042,0.001774,Stride
spmv,l1d,ddr4_1x,default,1.4547076585231953,0.007286,Stride
spmv,l1d,ddr4_2x,default,1.324209601873536,0.006832,Stride
spmv,l2,ddr4_1x,default,1.4096289400186195,0.007519,Stride
spmv,l2,ddr4_2x,default,1.2772836368770295,0.007083,Stride
bfs,l1d,ddr4_1x,default,1.181550036335656,0.023393,IMP
bfs,l1d,ddr4_2x,default,1.2146475611521206,0.020727,IMP
bfs,l2,ddr4_1x,default,1.0788446526151445,0.02562,IMP
bfs,l2,ddr4_2x,default,1.1425978033947537,0.022034,IMP
matmult,l1d,ddr4_1x,default,1.0297906602254427,0.001242,IMP
matmult,l1d,ddr4_2x,default,1.02934179222839,0.001261,IMP
matmult,l2,ddr4_1x,default,1.0331179321486268,0.001238,IMP
matmult,l2,ddr4_2x,default,1.0552845528455284,0.00123,IMP
merge,l1d,ddr4_1x,default,1.123985311171241,0.010348,IMP
merge,l1d,ddr4_2x,default,1.1314567614625657,0.010338,IMP
merge,l2,ddr4_1x,default,1.0913953270151076,0.010657,IMP
merge,l2,ddr4_2x,default,1.1081951681667457,0.010555,IMP
quick,l1d,ddr4_1x,default,1.1066757648129193,0.008793,IMP
quick,l1d,ddr4_2x,default,1.1057747284162378,0.008745,IMP
quick,l2,ddr4_1x,default,1.0752486187845305,0.00905,IMP
quick,l2,ddr4_2x,default,1.0790002231644722,0.008962,IMP
simple_triad,l1d,ddr4_1x,default,1.0383512544802866,0.00279,IMP
simple_triad,l1d,ddr4_2x,default,1.1536758193091232,0.002258,IMP
simple_triad,l2,ddr4_1x,default,0.987052810902896,0.002935,IMP
simple_triad,l2,ddr4_2x,default,1.150618374558304,0.002264,IMP
spmv,l1d,ddr4_1x,default,1.573252189401811,0.006737,IMP
spmv,l1d,ddr4_2x,default,1.431940487496043,0.006318,IMP
spmv,l2,ddr4_1x,default,1.5363096100884188,0.006899,IMP
spmv,l2,ddr4_2x,default,1.406779661016949,0.006431,IMP
