benchmark,pf_level,memory,family,config,speedup_vs_nopf,simSeconds
simple_triad,l1d,ddr4_1x,No prefetch,none,1.0,0.002897
simple_triad,l1d,ddr4_1x,Next-line,deg4,1.098596890405764,0.002637
simple_triad,l1d,ddr4_1x,Stride,deg4_dist1,1.1795602605863191,0.002456
simple_triad,l1d,ddr4_1x,AMPM,sd8,1.1500595474394602,0.002519
simple_triad,l1d,ddr4_1x,IMP,cons_s8_sth8_pt8_ipd8,1.045093795093795,0.002772
simple_triad,l1d,ddr4_2x,No prefetch,none,1.0,0.002605
simple_triad,l1d,ddr4_2x,Next-line,deg32,1.3574778530484628,0.001919
simple_triad,l1d,ddr4_2x,Stride,deg1_dist8,1.4281798245614037,0.001824
simple_triad,l1d,ddr4_2x,AMPM,cfg01,1.4734162895927605,0.001768
simple_triad,l1d,ddr4_2x,IMP,s64_sth8_pt8,1.3077309236947792,0.001992
simple_triad,l2,ddr4_1x,No prefetch,none,1.0,0.002897
simple_triad,l2,ddr4_1x,Next-line,deg8,1.2167156656866862,0.002381
simple_triad,l2,ddr4_1x,Stride,deg4_dist4,1.2254653130287647,0.002364
simple_triad,l2,ddr4_1x,AMPM,hz8k,1.194146743610882,0.002426
simple_triad,l2,ddr4_1x,IMP,s2_sth2,1.1082631981637336,0.002614
simple_triad,l2,ddr4_2x,No prefetch,none,1.0,0.002605
simple_triad,l2,ddr4_2x,Next-line,deg8,1.690460739779364,0.001541
simple_triad,l2,ddr4_2x,Stride,deg8_dist4,1.6404282115869018,0.001588
simple_triad,l2,ddr4_2x,AMPM,cfg07,1.677398583386993,0.001553
simple_triad,l2,ddr4_2x,IMP,s32_sth2,1.4759206798866855,0.001765
spmv,l1d,ddr4_1x,No prefetch,none,1.0,0.010599
spmv,l1d,ddr4_1x,Next-line,deg16,1.742396843662667,0.006083
spmv,l1d,ddr4_1x,Stride,deg32_dist1,1.7111721020342268,0.006194
spmv,l1d,ddr4_1x,AMPM,ls16,1.6654619736015086,0.006364
spmv,l1d,ddr4_1x,IMP,sdist16,1.7843434343434346,0.00594
spmv,l1d,ddr4_2x,No prefetch,none,1.0,0.009047
spmv,l1d,ddr4_2x,Next-line,deg16,1.6539305301645335,0.00547
spmv,l1d,ddr4_2x,Stride,deg32_dist1,1.592781690140845,0.00568
spmv,l1d,ddr4_2x,AMPM,ls32,1.4751345181803357,0.006133
spmv,l1d,ddr4_2x,IMP,s32_dist32_addr16,1.691976809425846,0.005347
spmv,l2,ddr4_1x,No prefetch,none,1.0,0.010599
spmv,l2,ddr4_1x,Next-line,default,1.3842235862609378,0.007657
spmv,l2,ddr4_1x,Stride,deg32_dist1,1.6191567369385886,0.006546
spmv,l2,ddr4_1x,AMPM,ls32,1.5607421587395085,0.006791
spmv,l2,ddr4_1x,IMP,s32_sth2,1.7738912133891214,0.005975
spmv,l2,ddr4_2x,No prefetch,none,1.0,0.009047
spmv,l2,ddr4_2x,Next-line,deg32,1.397867737948084,0.006472
spmv,l2,ddr4_2x,Stride,deg32_dist16,1.5407016348773843,0.005872
spmv,l2,ddr4_2x,AMPM,ls32,1.3909901599015988,0.006504
spmv,l2,ddr4_2x,IMP,s32_sth2_dist32_ipd16_addr16,1.7056938159879336,0.005304
bfs,l1d,ddr4_1x,No prefetch,none,1.0,0.02764
bfs,l1d,ddr4_1x,Next-line,deg32,1.2059862995767705,0.022919
bfs,l1d,ddr4_1x,Stride,default,1.336427811623634,0.020682
bfs,l1d,ddr4_1x,AMPM,ls8,1.3167547996760518,0.020991
bfs,l1d,ddr4_1x,IMP,aggr_s16_sth2_d32_ipd16_addr16,1.2211177380163465,0.022635
bfs,l1d,ddr4_2x,No prefetch,none,1.0,0.025176
bfs,l1d,ddr4_2x,Next-line,deg32,1.2937972146564571,0.019459
bfs,l1d,ddr4_2x,Stride,default,1.3521671410924323,0.018619
bfs,l1d,ddr4_2x,AMPM,sd8,1.3471746575342467,0.018688
bfs,l1d,ddr4_2x,IMP,s32_sth2_pt8,1.2899523492340013,0.019517
bfs,l2,ddr4_1x,No prefetch,none,1.0,0.02764
bfs,l2,ddr4_1x,Next-line,deg1,1.1447978793903248,0.024144
bfs,l2,ddr4_1x,Stride,default,1.2889987408478292,0.021443
bfs,l2,ddr4_1x,AMPM,cfg04,1.271623113728377,0.021736
bfs,l2,ddr4_1x,IMP,s32_ipd16_addr16,1.0854539742381402,0.025464
bfs,l2,ddr4_2x,No prefetch,none,1.0,0.025176
bfs,l2,ddr4_2x,Next-line,deg32,1.2260043827611395,0.020535
bfs,l2,ddr4_2x,Stride,default,1.311728234252071,0.019193
bfs,l2,ddr4_2x,AMPM,cfg08,1.3011525143418263,0.019349
bfs,l2,ddr4_2x,IMP,s32_sth2_pt8,1.1985717686265176,0.021005
merge,l1d,ddr4_1x,No prefetch,none,1.0,0.011631
merge,l1d,ddr4_1x,Next-line,deg4,1.1851436723048707,0.009814
merge,l1d,ddr4_1x,Stride,deg32_dist1,1.1847815014770298,0.009817
merge,l1d,ddr4_1x,AMPM,cfg01,1.1917008196721313,0.00976
merge,l1d,ddr4_1x,IMP,s32_sth8_pt8,1.1668338683788124,0.009968
merge,l1d,ddr4_2x,No prefetch,none,1.0,0.011697
merge,l1d,ddr4_2x,Next-line,deg4,1.189686737184703,0.009832
merge,l1d,ddr4_2x,Stride,deg32_dist1,1.2008007391438251,0.009741
merge,l1d,ddr4_2x,AMPM,cfg03,1.2008007391438251,0.009741
merge,l1d,ddr4_2x,IMP,s32_sth8,1.1788953839951624,0.009922
merge,l2,ddr4_1x,No prefetch,none,1.0,0.011631
merge,l2,ddr4_1x,Next-line,deg4,1.1551296057205285,0.010069
merge,l2,ddr4_1x,Stride,deg32_dist1,1.1343996878962257,0.010253
