benchmark,pf_level,memory,family,run,prefetcher,config,simSeconds,simTicks,simInsts,simOps,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_demand_miss_latency,l1d_demand_avg_miss_latency,l2_demand_miss_latency,l2_demand_avg_miss_latency,l1d_blocked_cycles_no_mshrs,l1d_blocked_causes_no_mshrs,l1d_avg_blocked_no_mshrs,l2_blocked_cycles_no_mshrs,l2_blocked_causes_no_mshrs,l2_avg_blocked_no_mshrs,l1d_demand_mshr_hits,l1d_demand_mshr_misses,l1d_demand_mshr_miss_rate,l1d_demand_avg_mshr_miss_latency,l2_demand_mshr_hits,l2_demand_mshr_misses,l2_demand_mshr_miss_rate,l2_demand_avg_mshr_miss_latency,mem_avg_rdq_len,mem_avg_wrq_len,mem_num_rd_retry,mem_num_wr_retry,mem_avg_read_bw_sys,mem_avg_write_bw_sys,dram_bw_read_total,dram_bw_write_total,dram_bw_total,dram_peak_bw,dram_avg_rd_bw,dram_avg_wr_bw,dram_avg_q_lat,dram_avg_bus_lat,dram_avg_mem_acc_lat,load_to_use_samples,load_to_use_mean,load_to_use_stdev,load_to_use_overflows,load_to_use_min,load_to_use_max,added_loads_and_stores,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l1d_prefetcher_accuracy,l1d_prefetcher_coverage,l1d_pf_late,l1d_pf_hit_in_cache,l1d_pf_hit_in_mshr,l1d_pf_hit_in_wb,l1d_pf_identified,l1d_pf_buffer_hit,l1d_pf_in_cache,l1d_pf_removed_demand,l1d_pf_removed_full,l1d_pf_span_page,l1d_pf_useful_span_page,l2_pf_issued,l2_pf_useful,l2_pf_unused,l2_prefetcher_accuracy,l2_prefetcher_coverage,l2_pf_late,l2_pf_hit_in_cache,l2_pf_hit_in_mshr,l2_pf_hit_in_wb,l2_pf_identified,l2_pf_buffer_hit,l2_pf_in_cache,l2_pf_removed_demand,l2_pf_removed_full,l2_pf_span_page,l2_pf_useful_span_page,l1d_prefetcher_read_bytes,l1d_prefetcher_read_rate,l1d_prefetcher_read_accesses,l1d_prefetcher_read_avg_lat,l2_prefetcher_read_bytes,l2_prefetcher_read_rate,l2_prefetcher_read_accesses,l2_prefetcher_read_avg_lat,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,pf_coverage,pf_late,pf_late_ratio,pf_removed_full,pf_removed_demand,pf_buffer_hit,pf_identified,pf_removed_full_ratio,pf_removed_demand_ratio,pf_buffer_hit_ratio,prefetcher_read_rate,prefetcher_read_bytes,dram_bw_utilization,source_file,nopf_simSeconds,pf_accuracy_calc,pf_coverage_calc,pf_per_demand_access,pf_hit_in_cache,pf_hit_in_mshr,pf_hit_in_wb,blocked_cycles_no_mshrs,blocked_causes_no_mshrs,avg_blocked_no_mshrs,pf_accuracy_direct,pf_coverage_direct,imp_default_simSeconds,improvement_over_stage2_best_pct,pf_coverage_l1d,speedup_vs_imp_default,speedup_vs_stage1_best,speedup_vs_stage2_best,stage,stage1_best_config,stage1_best_simSeconds,stage1_best_speedup,stage2_best_config,stage2_best_simSeconds,stage2_best_speedup_vs_nopf,label
bfs,l1d,ddr4_1x,IMP,bfs_imp_default_l1d_ddr4_1x,imp,default,0.023393,23393219031.0,30729211.0,31124590.0,70249907.0,0.437428,6169647.0,11507814.0,2094566.0,5922664.0,249268319760.0,40402.363338,171096539095.0,81685.914454,5455296.0,768953.0,7.094447,0.0,0.0,,3015569.0,3154078.0,0.274081,36623.576383,,2094566.0,0.353653,81352.914454,6.75,57.54,0.0,0.0,5730390837.719165,436527182.7903487,5730388102.0,436527183.0,6166915285.0,19207.0,5707.978873,436.20709,36795.7,3332.0,54287.7,8774099.0,65.047784,108.250066,165583.0,2.0,1844.0,12984811.0,4964319.0,312862.0,2227696.0,0.063022,0.090242,2195965.0,576162.0,1619316.0,487.0,15025477.0,1664030.0,0.0,1381706.0,544255.0,8673307.0,0.0,,,,,,,,,,,,,,,,,58005312.0,2479578031.699404,909769.0,54142.61,,,,,1.181550036335656,4964319.0,312862.0,2227696.0,0.063022,0.4487415091576508,0.5361267570018077,0.3536526806180462,0.090242,2195965.0,0.4423496958998807,544255.0,1381706.0,1664030.0,15025477.0,0.03622214456153372,0.0919575465058447,0.11074723284991218,2479578031.699404,58005312.0,0.3062023594917285,imp\imp_all_stages_including_stage3_vs_nopf.csv,0.02764,0.06302213858537294,0.048262486022001665,0.4313867950941856,576162.0,1619316.0,487.0,5455296.0,768953.0,7.094447,0.063022,0.090242,,,,,,,stage1,,,,,,,IMP default
bfs,l1d,ddr4_1x,Next-line,bfs_nextline_default_l1d_ddr4_1x,nextline,default,0.024327,24327185130.0,30729211.0,31124590.0,73054610.0,0.420634,6454260.0,11484498.0,3078633.0,8014569.0,251038183232.0,38894.959799,255768074480.0,83078.455431,7682536.0,1351665.0,5.683757,0.0,0.0,,3216744.0,3237516.0,0.281903,35196.483098,,3078633.0,0.38413,82745.45554,8.69,57.73,0.0,0.0,8099272930.554625,420520497.7613454,8099272931.0,420520498.0,8519793428.0,19207.0,8069.647473,420.16534,38040.46,3332.0,55532.46,8774099.0,68.788169,112.910289,212657.0,2.0,1750.0,13009352.0,6706371.0,274490.0,4212019.0,0.04093,0.078158,1929542.0,414289.0,1514462.0,791.0,13152038.0,3047875.0,0.0,633051.0,1057582.0,305472.0,11719.0,,,,,,,,,,,,,,,,,124360128.0,5111981815.217928,1949766.0,54985.57,,,,,1.1361861306367411,6706371.0,274490.0,4212019.0,0.04093,0.628062330580876,0.5619975727280374,0.3841295770240421,0.078158,1929542.0,0.28771775375982034,1057582.0,633051.0,3047875.0,13152038.0,0.08041202435698559,0.048133300709745516,0.23174165098975535,5111981815.217928,124360128.0,0.423028488226707,nextline\nextline_results_vs_nopf.csv,0.02764,0.04092973681294995,0.040793609511424855,0.5839498600635395,414289.0,1514462.0,791.0,7682536.0,1351665.0,5.683757,0.04093,0.078158,,,,,,,,,,,,,,
bfs,l1d,ddr4_1x,Stride,bfs_stride_default_l1d_ddr4_1x,stride,default,0.020682,20681795169.0,30729211.0,31124590.0,62107493.0,0.494775,5229582.0,11431182.0,1570261.0,3720765.0,202751875147.0,38770.187588,125293525660.0,79791.528708,1809486.0,282128.0,6.413706,0.0,0.0,,2087885.0,3141697.0,0.274836,35619.107821,,1570261.0,0.422026,79458.528708,6.0,57.41,0.0,0.0,4859189793.671048,481756245.9439905,4859186699.0,481756246.0,5340942945.0,19207.0,4841.764614,481.487024,34974.25,3332.0,52466.25,8774099.0,52.569668,102.007414,122032.0,2.0,1734.0,12769535.0,1561537.0,225039.0,171084.0,0.144114,0.066842,982691.0,369743.0,612938.0,10.0,2270782.0,466889.0,0.0,102086.0,82.0,91622.0,34699.0,,,,,,,,,,,,,,,,,23270784.0,1125182016.83385,363963.0,51001.49,,,,,1.336427811623634,1561537.0,225039.0,171084.0,0.144114,0.10956128481105475,0.4574839242346067,0.4220263843591304,0.066842,982691.0,0.6293100963986124,82.0,102086.0,466889.0,2270782.0,3.61109080484168e-05,0.04495631901256924,0.2056071432660643,1125182016.83385,23270784.0,0.26519082168155667,stride\stride_results_vs_nopf.csv,0.02764,0.14411378020501595,0.04125657859638644,0.1366032838948763,369743.0,612938.0,10.0,1809486.0,282128.0,6.413706,0.144114,0.066842,,,,,,,,,,,,,,
bfs,l1d,ddr4_2x,IMP,bfs_imp_default_l1d_ddr4_2x,imp,default,0.020727,20726640279.0,30729211.0,31124590.0,62242163.0,0.493705,6022529.0,11419388.0,2121072.0,5950664.0,210033659102.0,34874.66131,136932670737.0,64558.23788,3709948.0,705662.0,5.257401,0.0,0.0,,2873203.0,3149326.0,0.275788,30709.928348,,2121072.0,0.356443,64225.23788,,,,,,,,,,,,,,,,8774099.0,56.904085,94.276137,58621.0,2.0,1693.0,12845213.0,4956620.0,321255.0,2255403.0,0.064813,0.092565,2155515.0,573941.0,1581109.0,465.0,14545947.0,1541502.0,0.0,1314201.0,507210.0,8583785.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.2146475611521206,4956620.0,321255.0,2255403.0,0.064813,0.455028426629437,0.5273950758131697,0.35644291124486277,0.092565,2155515.0,0.43487598403750943,507210.0,1314201.0,1541502.0,14545947.0,0.03486950694925535,0.09034825989672587,0.10597467459492324,,,,imp\imp_all_stages_including_stage3_vs_nopf.csv,0.025176,0.0648133203675085,0.0506409108506847,0.4340530333149202,573941.0,1581109.0,465.0,3709948.0,705662.0,5.257401,0.064813,0.092565,,,,,,,stage1,,,,,,,IMP default
bfs,l1d,ddr4_2x,Next-line,bfs_nextline_default_l1d_ddr4_2x,nextline,default,0.021209,21209030073.0,30729211.0,31124590.0,63690781.0,0.482476,6297541.0,11381495.0,3133785.0,8086790.0,206425112368.0,32778.684945,208719036238.0,66602.857643,5680057.0,1268165.0,4.478957,0.0,0.0,,3074296.0,3223245.0,0.2832,29694.483686,,3133785.0,0.387519,66269.857643,,,,,,,,,,,,,,,,8774099.0,58.585483,96.274658,80360.0,2.0,1745.0,12854868.0,6803770.0,283070.0,4282807.0,0.041605,0.080731,1940463.0,448173.0,1491413.0,877.0,12861950.0,2821600.0,0.0,608349.0,981957.0,299282.0,11953.0,,,,,,,,,,,,,,,,,,,,,,,,,1.1870432363619219,6803770.0,283070.0,4282807.0,0.041605,0.6294755701618368,0.5533140417844932,0.3875190279455754,0.080731,1940463.0,0.2852040853820749,981957.0,608349.0,2821600.0,12861950.0,0.07634588845392806,0.04729834900617713,0.21937575562025977,,,,nextline\nextline_results_vs_nopf.csv,0.025176,0.041604874944332335,0.04301576251810052,0.5977922935431593,448173.0,1491413.0,877.0,5680057.0,1268165.0,4.478957,0.041605,0.080731,,,,,,,,,,,,,,
bfs,l1d,ddr4_2x,Stride,bfs_stride_default_l1d_ddr4_2x,stride,default,0.018619,18618579783.0,30729211.0,31124590.0,55911651.0,0.549604,5145970.0,11352656.0,1569162.0,3720031.0,169903268306.0,33016.762303,101722993685.0,64826.317286,1235102.0,213679.0,5.780175,0.0,0.0,,2004420.0,3141550.0,0.276724,29994.245167,,1569162.0,0.421814,64493.317286,,,,,,,,,,,,,,,,8774099.0,45.669246,88.724062,46302.0,2.0,1691.0,12672534.0,1624999.0,228574.0,170049.0,0.140661,0.067824,1046757.0,419063.0,627688.0,6.0,2245273.0,405569.0,0.0,93992.0,37.0,90363.0,35484.0,,,,,,,,,,,,,,,,,,,,,,,,,1.3521671410924325,1624999.0,228574.0,170049.0,0.140661,0.10464560285883252,0.4532833550140161,0.42181422681692704,0.067824,1046757.0,0.6441585502514156,37.0,93992.0,405569.0,2245273.0,1.6479065129273813e-05,0.04186216999001903,0.1806323774436338,,,,stride\stride_results_vs_nopf.csv,0.025176,0.14066100963754438,0.04252900339079929,0.14313822245648947,419063.0,627688.0,6.0,1235102.0,213679.0,5.780175,0.140661,0.067824,,,,,,,,,,,,,,
bfs,l2,ddr4_1x,IMP,bfs_imp_default_l2_ddr4_1x,imp,default,0.02562,25619891130.0,30729211.0,31124590.0,76936610.0,0.39941,7053475.0,11488481.0,1351155.0,3528869.0,272377382949.0,38616.055625,115056109476.0,85153.893873,1129633.0,88014.0,12.834697,1853189.0,74705.0,24.80676,3524833.0,3528642.0,0.307146,37718.071575,52160.0,1298995.0,0.368105,85737.935046,7.37,57.94,0.0,0.0,5170999647.413412,397661018.4759985,5170997149.0,397661018.0,5568658168.0,19207.0,5153.753048,397.438691,41178.67,3332.0,58670.67,8774099.0,71.752679,117.217192,239250.0,2.0,1927.0,12888279.0,,,,,,,,,,,,,,,,,1243469.0,260786.0,458053.0,0.209725,0.167194,472458.0,335977.0,136468.0,13.0,1443105.0,54624.0,0.0,26406.0,10214.0,3958455.0,0.0,,,,,49158272.0,1918754133.2850308,769912.0,58367.88,1.0788446526151445,1243469.0,260786.0,458053.0,0.209725,0.3683670441321818,0.6139606271708157,0.38288613150559003,0.167194,472458.0,0.3799515709679936,10214.0,26406.0,54624.0,1443105.0,0.007077794062109133,0.018298044840812,0.037851715571632,1918754133.2850308,49158272.0,0.27649743695879003,imp\imp_all_stages_including_stage3_vs_nopf.csv,0.02764,0.2097245689277336,0.16178383700147833,0.3523704053621713,335977.0,136468.0,13.0,1853189.0,74705.0,24.80676,0.209725,0.167194,,,,,,,stage1,,,,,,,IMP default
bfs,l2,ddr4_1x,Next-line,bfs_nextline_default_l2_ddr4_1x,nextline,default,0.02565,25649913411.0,30729211.0,31124590.0,77026767.0,0.398942,6631581.0,11497258.0,1388108.0,3530011.0,254246172317.0,38338.696657,122764483879.0,88440.152984,1108236.0,62189.0,17.820451,5334383.0,290623.0,18.354993,3101814.0,3529767.0,0.307009,40375.727374,181894.0,1206214.0,0.341703,93435.298653,10.47,58.46,0.0,0.0,8363967416.279712,399106844.3767075,8363959931.0,399106844.0,8763066775.0,19207.0,8336.3313,398.782477,44505.15,3332.0,61997.15,8774099.0,64.952119,119.383227,349612.0,2.0,1980.0,12852212.0,,,,,,,,,,,,,,,,,3317789.0,444596.0,1517751.0,0.134004,0.26932,1171777.0,970033.0,201648.0,96.0,3579258.0,13338.0,0.0,69821.0,132536.0,86150.0,21030.0,,,,,136804992.0,5333545958.144677,2143627.0,59372.91,1.0775828460038988,3317789.0,444596.0,1517751.0,0.134004,0.4574585665333148,0.5767967457979981,0.3932305026811531,0.26932,1171777.0,0.35318008468892986,132536.0,69821.0,13338.0,3579258.0,0.03702890375602988,0.0195071157206326,0.0037264706819122844,5333545958.144677,136804992.0,0.4351076022424349,nextline\nextline_results_vs_nopf.csv,0.02764,0.13400369945165289,0.2425901836848722,0.9398806405985703,970033.0,201648.0,96.0,5334383.0,290623.0,18.354993,0.134004,0.26932,,,,,,,,,,,,,,
bfs,l2,ddr4_1x,Stride,bfs_stride_default_l2_ddr4_1x,stride,default,0.021443,21442858011.0,30729211.0,31124590.0,64392967.0,0.477214,6558838.0,11433907.0,1275419.0,3530195.0,211733211501.0,32282.122458,101203944226.0,79349.566085,1003819.0,78981.0,12.709626,13149.0,512.0,25.681641,3028870.0,3529968.0,0.308728,33333.689054,60865.0,1214554.0,0.344047,80042.076414,5.89,57.55,0.0,0.0,4696448577.346315,462806963.2746308,4696445593.0,462806963.0,5159252556.0,19207.0,4680.047779,462.520434,34659.86,3332.0,52151.86,8774099.0,55.383228,103.310519,129591.0,2.0,1741.0,12789416.0,,,,,,,,,,,,,,,,,1146942.0,215245.0,82845.0,0.187669,0.150542,787977.0,430496.0,357481.0,0.0,1159534.0,7802.0,0.0,2453.0,0.0,46750.0,33679.0,,,,,22963008.0,1070893067.902617,358857.0,48689.76,1.2889987408478292,1146942.0,215245.0,82845.0,0.187669,0.07223120262402109,0.5736305184220931,0.36128854071800565,0.150542,787977.0,0.6870242784726691,0.0,2453.0,7802.0,1159534.0,0.0,0.0021155050218449826,0.006728565095978212,1070893067.902617,22963008.0,0.25616945147657094,stride\stride_results_vs_nopf.csv,0.02764,0.18766860050464626,0.14439538353378092,0.3248948004288715,430496.0,357481.0,0.0,13149.0,512.0,25.681641,0.187669,0.150542,,,,,,,,,,,,,,
bfs,l2,ddr4_2x,IMP,bfs_imp_default_l2_ddr4_2x,imp,default,0.022034,22034098512.0,30729211.0,31124590.0,66168464.0,0.464409,6935868.0,11405851.0,1346276.0,3529169.0,221566943589.0,31945.092321,90978248625.0,67577.709641,794754.0,75127.0,10.578807,1155958.0,51843.0,22.297282,3406926.0,3528942.0,0.309398,30704.835691,52909.0,1293367.0,0.366479,68189.717017,,,,,,,,,,,,,,,,8774099.0,60.279502,98.761061,68955.0,2.0,1710.0,12781588.0,,,,,,,,,,,,,,,,,1255627.0,266135.0,462189.0,0.211954,0.170654,474378.0,340961.0,133397.0,20.0,1423635.0,39797.0,0.0,19150.0,3075.0,3958413.0,0.0,,,,,,,,,1.1425978033947535,1255627.0,266135.0,462189.0,0.211954,0.36809418720686954,0.6080973703759588,0.38147110552087476,0.170654,474378.0,0.3778016879216519,3075.0,19150.0,39797.0,1423635.0,0.0021599637547545544,0.013451481594650315,0.027954496763566504,,,,imp\imp_all_stages_including_stage3_vs_nopf.csv,0.025176,0.21195386846571473,0.16505407120144927,0.35578545544291024,340961.0,133397.0,20.0,1155958.0,51843.0,22.297282,0.211954,0.170654,,,,,,,stage1,,,,,,,IMP default
bfs,l2,ddr4_2x,Next-line,bfs_nextline_default_l2_ddr4_2x,nextline,default,0.02142,21420066159.0,30729211.0,31124590.0,64324523.0,0.477722,6548799.0,11391538.0,1386199.0,3529862.0,199341789660.0,30439.442356,95170940402.0,68656.044624,720596.0,51168.0,14.082942,3913303.0,253502.0,15.436971,3019165.0,3529634.0,0.309847,32130.337821,185965.0,1200234.0,0.340023,72761.725116,,,,,,,,,,,,,,,,8774099.0,53.165153,97.785222,90009.0,2.0,1693.0,12731816.0,,,,,,,,,,,,,,,,,3404325.0,456033.0,1559491.0,0.133957,0.275338,1201062.0,1004040.0,196910.0,112.0,3597851.0,7838.0,0.0,61521.0,81941.0,86613.0,21588.0,,,,,,,,,1.1753501400560225,3404325.0,456033.0,1559491.0,0.133957,0.4580911046977007,0.5748827770227339,0.3927062871013088,0.275338,1201062.0,0.35280474102795706,81941.0,61521.0,7838.0,3597851.0,0.022774984289232657,0.017099374043005117,0.0021785226792326866,,,,nextline\nextline_results_vs_nopf.csv,0.025176,0.13395695181864245,0.24754374041923058,0.9644357201499663,1004040.0,196910.0,112.0,3913303.0,253502.0,15.436971,0.133957,0.275338,,,,,,,,,,,,,,
