benchmark,pf_level,memory,family,config,speedup_vs_nopf,simSeconds,l1d_miss_rate,l2_miss_rate,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_coverage,pf_unused_ratio,pf_per_demand_access,pf_late,pf_late_ratio,pf_removed_full,pf_removed_full_ratio,pf_removed_demand,pf_removed_demand_ratio,pf_buffer_hit,pf_buffer_hit_ratio,blocked_cycles_no_mshrs,blocked_causes_no_mshrs,avg_blocked_no_mshrs,mem_avg_rdq_len,mem_avg_wrq_len,mem_num_rd_retry,mem_num_wr_retry,dram_bw_total,dram_bw_utilization,dram_avg_q_lat,dram_avg_mem_acc_lat,prefetcher_read_rate,prefetcher_read_bytes,run,prefetcher,simTicks,simInsts,simOps,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_demand_miss_latency,l1d_demand_avg_miss_latency,l2_demand_miss_latency,l2_demand_avg_miss_latency,l1d_blocked_cycles_no_mshrs,l1d_blocked_causes_no_mshrs,l1d_avg_blocked_no_mshrs,l2_blocked_cycles_no_mshrs,l2_blocked_causes_no_mshrs,l2_avg_blocked_no_mshrs,l1d_demand_mshr_hits,l1d_demand_mshr_misses,l1d_demand_mshr_miss_rate,l1d_demand_avg_mshr_miss_latency,l2_demand_mshr_hits,l2_demand_mshr_misses,l2_demand_mshr_miss_rate,l2_demand_avg_mshr_miss_latency,mem_avg_read_bw_sys,mem_avg_write_bw_sys,dram_bw_read_total,dram_bw_write_total,dram_peak_bw,dram_avg_rd_bw,dram_avg_wr_bw,dram_avg_bus_lat,load_to_use_samples,load_to_use_mean,load_to_use_stdev,load_to_use_overflows,load_to_use_min,load_to_use_max,added_loads_and_stores,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l1d_prefetcher_accuracy,l1d_prefetcher_coverage,l1d_pf_late,l1d_pf_hit_in_cache,l1d_pf_hit_in_mshr,l1d_pf_hit_in_wb,l1d_pf_identified,l1d_pf_buffer_hit,l1d_pf_in_cache,l1d_pf_removed_demand,l1d_pf_removed_full,l1d_pf_span_page,l1d_pf_useful_span_page,l2_pf_issued,l2_pf_useful,l2_pf_unused,l2_prefetcher_accuracy,l2_prefetcher_coverage,l2_pf_late,l2_pf_hit_in_cache,l2_pf_hit_in_mshr,l2_pf_hit_in_wb,l2_pf_identified,l2_pf_buffer_hit,l2_pf_in_cache,l2_pf_removed_demand,l2_pf_removed_full,l2_pf_span_page,l2_pf_useful_span_page,l1d_prefetcher_read_bytes,l1d_prefetcher_read_rate,l1d_prefetcher_read_accesses,l1d_prefetcher_read_avg_lat,l2_prefetcher_read_bytes,l2_prefetcher_read_rate,l2_prefetcher_read_accesses,l2_prefetcher_read_avg_lat,pf_identified,source_file,nopf_simSeconds,pf_accuracy_calc,pf_coverage_calc,pf_hit_in_cache,pf_hit_in_mshr,pf_hit_in_wb,pf_accuracy_direct,pf_coverage_direct,imp_default_simSeconds,improvement_over_stage2_best_pct,pf_coverage_l1d,speedup_vs_imp_default,speedup_vs_stage1_best,speedup_vs_stage2_best,stage,stage1_best_config,stage1_best_simSeconds,stage1_best_speedup,stage2_best_config,stage2_best_simSeconds,stage2_best_speedup_vs_nopf,label
simple_triad,l1d,ddr4_1x,No prefetch,none,1.0,0.002897,0.9963848019950463,0.99997335997336,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simple_triad,l1d,ddr4_1x,IMP,s8_sth8,1.045093795093795,0.002772,0.909247341878913,0.9999733603991677,949656.0,41411.0,2.0,0.04360631639246211,0.022224201952526904,4.648946432514731e-06,0.47393581582670624,1444931.0,0.8549381693390924,0.0,0.0,20148.0,0.005153646342913928,36807.0,0.009414843207446543,4097.0,65.0,63.030769,10.34,58.5,0.0,0.0,11544937683.0,0.573234266298109,47631.28,65123.28,5625145726.583125,15690816.0,simple_triad_imp_stage2_s8_sth8_l1d_ddr4_1x,imp,2771957601.0,3509964.0,4011166.0,8324198.0,0.42166,1821918.0,2003765.0,375371.0,375381.0,154853489140.0,77978.873987,34887760852.0,92942.82105,4097.0,65.0,63.030769,0.0,0.0,,1855897.0,129942.0,0.064849,89702.502216,,375368.0,0.999973,92609.821937,8612425311.095833,2932535315.4426904,8612402367.0,2932535315.0,19207.0,8612.425311,2932.44354,3332.0,1001741.0,195.283697,156.290864,158341.0,2.0,1855.0,2004885.0,949656.0,41411.0,2.0,0.000845,0.01087,1444931.0,2632.0,1442299.0,0.0,3909465.0,36807.0,0.0,20148.0,0.0,32915.0,0.0,,,,,,,,,,,,,,,,,15690816.0,5625145726.583125,245169.0,67066.68,,,,,3909465.0,imp\imp_all_stages_including_stage3_vs_nopf.csv,0.002897,0.04360631639246211,0.022224201952526904,2632.0,1442299.0,0.0,0.000845,0.01087,0.00279,-3.5826086956521674,0.0227293434720991,1.0064935064935063,1.006132756132756,0.9641739130434784,stage2,sthr8,0.002789,1.0003585514521334,cons_s8_sth8_pt8_ipd8,0.002772,1.045093795093795,stage2: s8_sth8
simple_triad,l1d,ddr4_1x,Next-line,deg4,1.0985968904057641,0.002637,0.964147832301286,0.9999494072661816,490421.0,9050.0,92.0,0.018454,0.592239,0.00018759392440372658,0.24474743784759234,121367.0,0.24747512851203354,0.0,0.0,324774.0,0.04346701849932024,6118898.0,0.8189394858007526,287.0,7.0,41.0,10.71,58.59,0.0,0.0,12218356256.0,0.6066711381292669,51330.23,68822.23,8958333236.615158,23618880.0,simple_triad_nextline_deg4_l1d_ddr4_1x,nextline,2636526168.0,3509906.0,4011114.0,7917497.0,0.443312,1931944.0,2003784.0,375529.0,375548.0,118348513351.0,61258.770105,36409884936.0,96956.253541,287.0,7.0,41.0,0.0,0.0,,1925713.0,6231.0,0.00311,74144.419355,,375529.0,0.999949,96623.252654,9115728222.88028,3102652307.9060903,9115703949.0,3102652308.0,19207.0,9115.728223,3102.676582,3332.0,1001734.0,181.451566,157.524728,157494.0,2.0,1838.0,2004855.0,490421.0,9050.0,92.0,0.018454,0.592239,121367.0,428.0,120939.0,0.0,7471734.0,6118898.0,0.0,324774.0,0.0,292246.0,4624.0,,,,,,,,,,,,,,,,,23618880.0,8958333236.615158,369045.0,69237.8,,,,,7471734.0,nextline\nextline_results_vs_nopf.csv,0.002897,0.01845353278101876,0.004662559492713527,428.0,120939.0,0.0,0.018454,0.592239,,,,,,,,,,,,,,
simple_triad,l1d,ddr4_1x,Stride,deg4_dist1,1.1795602605863191,0.002456,0.9861181326153516,0.9999733614636277,374212.0,1807.0,5.0,0.004829,0.10073,1.3361410109777345e-05,0.18675443477653317,15215.0,0.04065877096405246,0.0,0.0,77399.0,0.05458444760389515,953614.0,0.6725215237579409,21855.0,1943.0,11.24807,10.26,58.88,0.0,0.0,13113019504.0,0.6510933467745625,45299.79,62791.79,9355158888.047842,22975808.0,simple_triad_stride_deg4_dist1_l1d_ddr4_1x,stride,2455950591.0,3509957.0,4011166.0,7375228.0,0.475914,1975949.0,2003765.0,375386.0,375396.0,110431587189.0,55887.873214,34128837307.0,90916.649281,21855.0,1943.0,11.24807,0.0,0.0,,1959817.0,16132.0,0.008051,121863.715596,,375386.0,0.999973,90583.650168,9782242398.540174,3330803164.35405,9782216339.0,3330803164.0,19207.0,9782.242399,3330.698928,3332.0,1001741.0,165.560619,154.380739,160281.0,2.0,1881.0,2004880.0,374212.0,1807.0,5.0,0.004829,0.10073,15215.0,230.0,14985.0,0.0,1417968.0,953614.0,0.0,77399.0,0.0,82032.0,113.0,,,,,,,,,,,,,,,,,22975808.0,9355158888.047842,358997.0,61431.7,,,,,1417968.0,stride\stride_results_vs_nopf.csv,0.002897,0.0048288136136735325,0.000913661745938326,230.0,14985.0,0.0,0.004829,0.10073,,,,,,,,,,,,,,
simple_triad,l1d,ddr4_2x,No prefetch,none,1.0,0.002605,0.9980875943663884,0.999973359831421,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simple_triad,l1d,ddr4_2x,IMP,s64_sth8_pt8,1.3077309236947792,0.001992,0.6830249091495237,0.9999733629537287,545558.0,150579.0,1.0,0.27600915026449985,0.09911384081519009,1.8329856770499196e-06,0.2722559962312398,395364.0,0.662857487752618,84265.0,0.014456430327949008,270753.0,0.046450149891214355,3739562.0,0.64155601388531,727131.0,43105.0,16.868832,,,,,,,,,,,simple_triad_imp3_s64_sth8_pt8_l1d_ddr4_2x,imp,1991676996.0,3510081.0,4011305.0,5981012.0,0.586874,1368674.0,2003842.0,375407.0,375417.0,85474172570.0,61702.709943,26213765319.0,69827.401971,727131.0,43105.0,16.868832,0.0,0.0,,1211197.0,174061.0,0.086865,69542.216826,,375408.0,0.999973,69494.401971,,,,,,,,,1001758.0,62.340058,115.415666,34088.0,2.0,1809.0,2004928.0,545558.0,150579.0,1.0,0.24901,0.460417,395364.0,253629.0,141735.0,0.0,5828894.0,3739562.0,0.0,270753.0,84265.0,331922.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,5828894.0,imp\imp_all_stages_including_stage3_vs_nopf.csv,0.002605,0.27600915026449985,0.09911384081519009,253629.0,141735.0,0.0,0.24901,0.460417,0.002258,5.421686746987953,0.1048001830307803,1.075238095238095,1.011904761904762,1.0542168674698795,stage3,sdist16,0.002125,1.0625882352941176,s16_sth8,0.0021,1.2404761904761905,stage3: s64_sth8_pt8
simple_triad,l1d,ddr4_2x,Next-line,deg32,1.3574778530484628,0.001919,0.6056743230221138,0.9993274371100531,1174029.0,151206.0,687.0,0.128792,0.595977,0.0005851644209810831,0.5858811129869268,900621.0,0.7671198922684193,16566269.0,0.48016125110031543,48711.0,0.0014118528862683243,16128318.0,0.46746756007787493,507530.0,30462.0,16.661086,,,,,,,,,,,simple_triad_nextline_deg32_l1d_ddr4_2x,nextline,1919434977.0,3510084.0,4011327.0,5764069.0,0.608963,1213692.0,2003869.0,375920.0,376173.0,66310010535.0,54634.95725,26395028939.0,70214.484303,507530.0,30462.0,16.661086,0.0,0.0,,1111187.0,102505.0,0.051154,73858.712804,,375920.0,0.999327,69881.478102,,,,,,,,,1001765.0,75.012502,120.598974,37093.0,2.0,1854.0,2004993.0,1174029.0,151206.0,687.0,0.128792,0.595977,900621.0,480784.0,419837.0,0.0,34501470.0,16128318.0,0.0,48711.0,16566269.0,9175266.0,1793341.0,,,,,,,,,,,,,,,,,,,,,,,,,34501470.0,nextline\nextline_results_vs_nopf.csv,0.002605,0.12879238928510284,0.11078190458188085,480784.0,419837.0,0.0,0.128792,0.595977,,,,,,,,,,,,,,
simple_triad,l1d,ddr4_2x,Stride,deg1_dist8,1.4281798245614035,0.001824,0.871563826835437,0.9999733621732204,320707.0,51040.0,12.0,0.159148,0.48392,3.741733108413599e-05,0.16004716971716135,0.0,0.0,0.0,0.0,1561.0,0.004837759940496482,402.0,0.0012458548981932004,232914.0,16651.0,13.987989,,,,,,,,,,,simple_triad_stride_deg1_dist8_l1d_ddr4_2x,stride,1823597577.0,3510110.0,4011355.0,5476269.0,0.640971,1746464.0,2003828.0,375396.0,375406.0,72412317654.0,41462.244658,25333121572.0,67483.728042,232914.0,16651.0,13.987989,0.0,0.0,,1692032.0,54432.0,0.027164,67241.402925,,375396.0,0.999973,67150.728929,,,,,,,,,1001762.0,115.16006,124.881378,64020.0,2.0,1673.0,2004980.0,320707.0,51040.0,12.0,0.159148,0.48392,0.0,0.0,0.0,0.0,322670.0,402.0,0.0,1561.0,0.0,52734.0,326.0,,,,,,,,,,,,,,,,,,,,,,,,,322670.0,stride\stride_results_vs_nopf.csv,0.002605,0.15914838154452507,0.028394929858292388,0.0,0.0,0.0,0.159148,0.48392,,,,,,,,,,,,,,
simple_triad,l2,ddr4_1x,No prefetch,none,1.0,0.002897,0.9963848019950463,0.99997335997336,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simple_triad,l2,ddr4_1x,IMP,s2_sth2,1.1082631981637336,0.002614,0.9866805472309322,0.9620057915726491,704306.0,14252.0,2.0,0.020235522627948647,0.03796857974813714,2.8396748004418532e-06,1.8762830571191855,343254.0,0.4946322399914692,0.0,0.0,1.0,1.4410052452590927e-06,1.0,1.4410052452590927e-06,0.0,0.0,39.060821,13.33,59.84,0.0,0.0,12135635007.0,0.6025638267015402,60664.97,78156.97,8458186662.873248,22445056.0,simple_triad_imp_stage2_s2_sth2_l2_ddr4_1x,imp,2614332051.0,3509939.0,4011137.0,7850848.0,0.44708,1977072.0,2003761.0,361111.0,375373.0,115748499636.0,58669.455619,23794690491.0,66789.488949,0.0,0.0,,0.0,0.0,39.060821,1597784.0,375108.0,0.187202,64363.025441,331597.0,24667.0,0.065713,102943.344874,9053098869.215618,3082560255.776434,9053074751.0,3082560256.0,19207.0,9053.098869,3082.825551,3332.0,1001739.0,167.407874,163.440673,160171.0,2.0,1896.0,2004874.0,,,,,,,,,,,,,,,,,704306.0,14252.0,2.0,0.027525,0.436415,343254.0,6875.0,336379.0,0.0,693960.0,1.0,0.0,1.0,0.0,17816.0,0.0,,,,,22445056.0,8458186662.873248,350704.0,78327.83,693960.0,imp\imp_all_stages_including_stage3_vs_nopf.csv,0.002897,0.020235522627948647,0.03796857974813714,6875.0,336379.0,0.0,0.027525,0.436415,0.002935,-9.8309761986892,0.0072086398472083,1.1228003060443763,1.015302218821729,0.901690238013108,stage2,sdist2,0.002654,1.1058779201205726,s2_sth2,0.002614,1.1082631981637336,stage2: s2_sth2
