run,benchmark,prefetcher,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,label
bfs_stride_default_l1d_ddr4_2x,bfs,stride,default,l1d,ddr4_2x,0.018619,18618579783.0,30729211.0,55911651.0,0.549604,5145970.0,11352656.0,1569162.0,3720031.0,1624999.0,228574.0,170049.0,,,,0.025176,1.3521671410924323,1624999.0,228574.0,170049.0,0.1406610096375443,0.1046456028588325,0.4532833550140161,0.421814226816927,Stride default
bfs_stride_deg8_dist1_l1d_ddr4_2x,bfs,stride,deg8_dist1,l1d,ddr4_2x,0.01884,18839716758.0,30729211.0,56575726.0,0.543152,5004274.0,11348693.0,1657096.0,3858158.0,2576618.0,273427.0,288725.0,,,,0.025176,1.3363057324840766,2576618.0,273427.0,288725.0,0.1061185631707921,0.1120558033825736,0.4409559761639512,0.4295044422753034,stride: deg8_dist1
bfs_stride_deg4_dist1_l1d_ddr4_2x,bfs,stride,deg4_dist1,l1d,ddr4_2x,0.01887,18870143301.0,30729211.0,56667097.0,0.542277,5100075.0,11350484.0,1586546.0,3732225.0,1579373.0,248907.0,185911.0,,,,0.025176,1.3341812400635928,1579373.0,248907.0,185911.0,0.157598616666234,0.1177119021282496,0.4493266542642586,0.4250938783165538,stride: deg4_dist1
bfs_stride_deg16_dist1_l1d_ddr4_2x,bfs,stride,deg16_dist1,l1d,ddr4_2x,0.018938,18938053989.0,30729211.0,56871033.0,0.540332,4915288.0,11348576.0,1772472.0,4072965.0,4158488.0,309313.0,479048.0,,,,0.025176,1.329390643151336,4158488.0,309313.0,479048.0,0.0743811212152109,0.1151976391419188,0.4331193622882729,0.4351797768947192,stride: deg16_dist1
bfs_stride_deg32_dist1_l1d_ddr4_2x,bfs,stride,deg32_dist1,l1d,ddr4_2x,0.01908,19079993907.0,30729211.0,57297279.0,0.536312,4959558.0,11344054.0,1863967.0,4297182.0,5606158.0,308416.0,683800.0,,,,0.025176,1.319496855345912,5606158.0,308416.0,683800.0,0.0550137901928557,0.1219730161012229,0.437194498545229,0.4337649650398796,stride: deg32_dist1
bfs_stride_deg1_dist1_l1d_ddr4_2x,bfs,stride,deg1_dist1,l1d,ddr4_2x,0.019381,19381493106.0,30729211.0,58202682.0,0.52797,5853428.0,11349866.0,1516311.0,3625027.0,517569.0,173090.0,86315.0,,,,0.025176,1.2990041793509108,517569.0,173090.0,86315.0,0.3344288394397655,0.1667700345267974,0.5157266173891393,0.4182895741190341,stride: deg1_dist1
bfs_stride_deg8_dist4_l1d_ddr4_2x,bfs,stride,deg8_dist4,l1d,ddr4_2x,0.019898,19898094654.0,30729211.0,59754038.0,0.514262,5413088.0,11355284.0,1673527.0,3880503.0,2414668.0,253142.0,307530.0,,,,0.025176,1.2652527892250478,2414668.0,253142.0,307530.0,0.10483511604908,0.1273591234902686,0.4767021238746649,0.4312654828510633,stride: deg8_dist4
bfs_stride_deg16_dist4_l1d_ddr4_2x,bfs,stride,deg16_dist4,l1d,ddr4_2x,0.0199,19900193220.0,30729211.0,59760340.0,0.514208,5368085.0,11350546.0,1770773.0,4089832.0,4017815.0,283011.0,495633.0,,,,0.025176,1.2651256281407035,4017815.0,283011.0,495633.0,0.0704390321605151,0.1233588405638388,0.4729362798934958,0.4329696183119502,stride: deg16_dist4
bfs_stride_deg32_dist4_l1d_ddr4_2x,bfs,stride,deg32_dist4,l1d,ddr4_2x,0.019925,19924727661.0,30729211.0,59834017.0,0.513575,5407004.0,11348800.0,1831788.0,4297266.0,5629379.0,276800.0,685287.0,,,,0.025176,1.263538268506901,5629379.0,276800.0,685287.0,0.0491706101152542,0.1217340314091483,0.4764383899619343,0.4262682365950816,stride: deg32_dist4
bfs_stride_deg4_dist4_l1d_ddr4_2x,bfs,stride,deg4_dist4,l1d,ddr4_2x,0.019958,19957538484.0,30729211.0,59932548.0,0.512731,5444735.0,11358599.0,1601512.0,3749085.0,1394885.0,236701.0,199211.0,,,,0.025176,1.2614490429902796,1394885.0,236701.0,199211.0,0.169692125157271,0.142815357538435,0.4793491697347534,0.4271740971463704,stride: deg4_dist4
bfs_stride_deg1_dist4_l1d_ddr4_2x,bfs,stride,deg1_dist4,l1d,ddr4_2x,0.020102,20102281263.0,30729211.0,60367211.0,0.509039,5561524.0,11361263.0,1547329.0,3655702.0,457810.0,211951.0,111465.0,,,,0.025176,1.2524126952542036,457810.0,211951.0,111465.0,0.4629671697865927,0.2434743670955199,0.4895163504268847,0.4232645330500134,stride: deg1_dist4
bfs_stride_deg16_dist8_l1d_ddr4_2x,bfs,stride,deg16_dist8,l1d,ddr4_2x,0.02052,20519611515.0,30729211.0,61620455.0,0.498686,5748468.0,11354590.0,1746749.0,4075984.0,3701481.0,256322.0,486128.0,,,,0.025176,1.2269005847953216,3701481.0,256322.0,486128.0,0.0692484981011654,0.1313333770995987,0.5062682139998009,0.4285465791818613,stride: deg16_dist8
bfs_stride_deg8_dist8_l1d_ddr4_2x,bfs,stride,deg8_dist8,l1d,ddr4_2x,0.020536,20536386057.0,30729211.0,61670829.0,0.498278,5719659.0,11357804.0,1670489.0,3889122.0,2218766.0,240744.0,315990.0,,,,0.025176,1.2259446825087652,2218766.0,240744.0,315990.0,0.1085035555799935,0.1424170011619071,0.5035884577687729,0.4295285671161769,stride: deg8_dist8
bfs_stride_deg32_dist8_l1d_ddr4_2x,bfs,stride,deg32_dist8,l1d,ddr4_2x,0.020562,20561822595.0,30729211.0,61747215.0,0.497662,5778976.0,11351681.0,1829609.0,4295025.0,5220033.0,250626.0,685252.0,,,,0.025176,1.2243945141523198,5220033.0,250626.0,685252.0,0.0480123401518726,0.1312734996119756,0.5090854825818308,0.4259833179085104,stride: deg32_dist8
bfs_stride_deg4_dist8_l1d_ddr4_2x,bfs,stride,deg4_dist8,l1d,ddr4_2x,0.020587,20586746646.0,30729211.0,61822062.0,0.49706,5675625.0,11359965.0,1615406.0,3774183.0,1283921.0,236701.0,214131.0,,,,0.025176,1.2229076601738962,1283921.0,236701.0,214131.0,0.1843579161023147,0.1667789529106541,0.4996164160717044,0.4280147518019132,stride: deg4_dist8
bfs_stride_deg1_dist8_l1d_ddr4_2x,bfs,stride,deg1_dist8,l1d,ddr4_2x,0.020696,20695979970.0,30729211.0,62150090.0,0.494436,5710177.0,11358227.0,1559232.0,3669851.0,422344.0,223930.0,122248.0,,,,0.025176,1.2164669501352918,422344.0,223930.0,122248.0,0.530207603280738,0.2894512530070274,0.502734889873217,0.4248761053241671,stride: deg1_dist8
bfs_stride_deg16_dist16_l1d_ddr4_2x,bfs,stride,deg16_dist16,l1d,ddr4_2x,0.021365,21365471142.0,30729211.0,64160574.0,0.478943,6290102.0,11358302.0,1703356.0,4029580.0,3107088.0,198369.0,447749.0,,,,0.025176,1.1783758483501054,3107088.0,198369.0,447749.0,0.0638440237289706,0.1441056706472427,0.5537889378183465,0.4227130370907141,stride: deg16_dist16
bfs_stride_deg8_dist16_l1d_ddr4_2x,bfs,stride,deg8_dist16,l1d,ddr4_2x,0.021383,21382870392.0,30729211.0,64212824.0,0.478553,6295482.0,11358928.0,1638089.0,3880737.0,1880752.0,193456.0,313530.0,,,,0.025176,1.177383903100594,1880752.0,193456.0,313530.0,0.1028609832662679,0.1667045947578415,0.5542320542924473,0.422107707891568,stride: deg8_dist16
bfs_stride_deg32_dist16_l1d_ddr4_2x,bfs,stride,deg32_dist16,l1d,ddr4_2x,0.021407,21406605633.0,30729211.0,64284101.0,0.478022,6341545.0,11356157.0,1778329.0,4208762.0,4236337.0,178989.0,609236.0,,,,0.025176,1.1760639043303591,4236337.0,178989.0,609236.0,0.0422508879723213,0.1438119771868952,0.558423505416489,0.4225301882121156,stride: deg32_dist16
bfs_stride_deg4_dist16_l1d_ddr4_2x,bfs,stride,deg4_dist16,l1d,ddr4_2x,0.021443,21443137065.0,30729211.0,64393805.0,0.477208,6227590.0,11360664.0,1593497.0,3782929.0,1072918.0,194608.0,224690.0,,,,0.025176,1.1740894464393974,1072918.0,194608.0,224690.0,0.1813819881854904,0.2094195455757103,0.5481713040716634,0.4212336525480653,stride: deg4_dist16
