run,benchmark,prefetcher,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,label
bfs_stride_deg1_dist1_l2_ddr4_1x,bfs,stride,deg1_dist1,l2,ddr4_1x,0.021653,21653110881.0,30729211.0,65024357.0,0.472581,6806598.0,11435890.0,1326358.0,3529248.0,,,,290342.0,149682.0,41049.0,0.02764,1.276497483027756,290342.0,149682.0,41049.0,0.5155368496462792,0.1413815431456695,0.5951961762486347,0.375818871328963,stride: deg1_dist1
bfs_stride_deg4_dist1_l2_ddr4_1x,bfs,stride,deg4_dist1,l2,ddr4_1x,0.021771,21770647560.0,30729211.0,65377320.0,0.470029,6712911.0,11434785.0,1283933.0,3529415.0,,,,1122619.0,210549.0,97067.0,0.02764,1.2695787974828905,1122619.0,210549.0,97067.0,0.187551609228064,0.0864647756718886,0.5870605350253634,0.3637806832010404,stride: deg4_dist1
bfs_stride_deg8_dist1_l2_ddr4_1x,bfs,stride,deg8_dist1,l2,ddr4_1x,0.022122,22122402786.0,30729211.0,66433642.0,0.462555,6663766.0,11444046.0,1291854.0,3529453.0,,,,2028270.0,221336.0,161836.0,0.02764,1.2494349516318597,2028270.0,221336.0,161836.0,0.1091255109033807,0.0797901660035399,0.5822910883091522,0.3660210236543736,stride: deg8_dist1
bfs_stride_deg16_dist1_l2_ddr4_1x,bfs,stride,deg16_dist1,l2,ddr4_1x,0.022525,22525148970.0,30729211.0,67643090.0,0.454285,6624170.0,11448899.0,1295813.0,3529319.0,,,,3562761.0,240421.0,252259.0,0.02764,1.2270810210876804,3562761.0,240421.0,252259.0,0.0674816525722606,0.0708043565088985,0.5785857661946359,0.3671566667677249,stride: deg16_dist1
bfs_stride_deg1_dist4_l2_ddr4_1x,bfs,stride,deg1_dist4,l2,ddr4_1x,0.022774,22774326543.0,30729211.0,68391371.0,0.449315,6848796.0,11446369.0,1314598.0,3522625.0,,,,273440.0,170415.0,64781.0,0.02764,1.213664705365768,273440.0,170415.0,64781.0,0.6232263019309537,0.236911205383265,0.5983378659206251,0.373187040914091,stride: deg1_dist4
bfs_stride_deg4_dist4_l2_ddr4_1x,bfs,stride,deg4_dist4,l2,ddr4_1x,0.022896,22896113301.0,30729211.0,68757097.0,0.446925,6817977.0,11452413.0,1318101.0,3529056.0,,,,1011015.0,181944.0,113220.0,0.02764,1.2071977638015374,1011015.0,181944.0,113220.0,0.1799617216361775,0.111986469043486,0.5953310450819403,0.3734995987595549,stride: deg4_dist4
bfs_stride_deg32_dist1_l2_ddr4_1x,bfs,stride,deg32_dist1,l2,ddr4_1x,0.022946,22946439924.0,30729211.0,68908228.0,0.445945,6598644.0,11449417.0,1314026.0,3528802.0,,,,5749167.0,246175.0,370202.0,0.02764,1.2045672448357012,5749167.0,246175.0,370202.0,0.0428192466839109,0.064392285004071,0.5763301310451003,0.3723717000840512,stride: deg32_dist1
bfs_stride_deg8_dist4_l2_ddr4_1x,bfs,stride,deg8_dist4,l2,ddr4_1x,0.02325,23249680047.0,30729211.0,69818859.0,0.440128,6786030.0,11450479.0,1325361.0,3522811.0,,,,1879472.0,191074.0,172461.0,0.02764,1.1888172043010754,1879472.0,191074.0,172461.0,0.1016636587296857,0.0917603454587245,0.5926415829416394,0.3762225677165196,stride: deg8_dist4
bfs_stride_deg16_dist4_l2_ddr4_1x,bfs,stride,deg16_dist4,l2,ddr4_1x,0.023424,23423598288.0,30729211.0,70341136.0,0.43686,6746667.0,11450264.0,1321564.0,3528877.0,,,,3355839.0,214101.0,249506.0,0.02764,1.1799863387978142,3355839.0,214101.0,249506.0,0.0637995446146254,0.0743498123718092,0.5892149735586882,0.3744998763062583,stride: deg16_dist4
bfs_stride_deg1_dist8_l2_ddr4_1x,bfs,stride,deg1_dist8,l2,ddr4_1x,0.023504,23504200938.0,30729211.0,70583186.0,0.435362,6966581.0,11459327.0,1331127.0,3528790.0,,,,255462.0,157221.0,72261.0,0.02764,1.1759700476514636,255462.0,157221.0,72261.0,0.615437912487963,0.2828639875989384,0.6079398030966391,0.3772191034320546,stride: deg1_dist8
