run,benchmark,prefetcher,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,label
matmult_stride_deg16_dist1_l1d_ddr4_2x,matmult,stride,deg16_dist1,l1d,ddr4_2x,0.001201,1201419711.0,7397871.0,3607867.0,2.050486,1146071.0,2138461.0,5430.0,1079982.0,15634.0,3477.0,2385.0,,,,0.001298,1.0807660283097418,15634.0,3477.0,2385.0,0.2223998976589484,0.1525521299731354,0.5359326169614503,0.0050278615754707,stride: deg16_dist1
matmult_stride_deg16_dist4_l1d_ddr4_2x,matmult,stride,deg16_dist4,l1d,ddr4_2x,0.001207,1206892899.0,7397876.0,3624303.0,2.041188,1147506.0,2139119.0,5411.0,1081065.0,19010.0,3127.0,2909.0,,,,0.001298,1.0753935376967687,19010.0,3127.0,2909.0,0.1644923724355602,0.1530247238295634,0.536438599255114,0.0050052494530856,stride: deg16_dist4
matmult_stride_deg16_dist8_l1d_ddr4_2x,matmult,stride,deg16_dist8,l1d,ddr4_2x,0.001211,1211360094.0,7397876.0,3637718.0,2.033661,1147843.0,2137484.0,5400.0,1080751.0,21133.0,2643.0,4055.0,,,,0.001298,1.0718414533443434,21133.0,2643.0,4055.0,0.1250650641177305,0.1918799981072256,0.5370065927978876,0.0049965255641678,stride: deg16_dist8
matmult_stride_deg8_dist1_l1d_ddr4_2x,matmult,stride,deg8_dist1,l1d,ddr4_2x,0.001219,1218740706.0,7397871.0,3659882.0,2.021344,1150616.0,2139758.0,5382.0,1081488.0,17707.0,3188.0,3342.0,,,,0.001298,1.0648072190319933,17707.0,3188.0,3342.0,0.1800417913819393,0.18873891681256,0.5377318369647409,0.0049764768541121,stride: deg8_dist1
matmult_stride_deg4_dist4_l1d_ddr4_2x,matmult,stride,deg4_dist4,l1d,ddr4_2x,0.001219,1218827619.0,7397876.0,3660143.0,2.021201,1152028.0,2138900.0,5368.0,1078435.0,10122.0,2491.0,1102.0,,,,0.001298,1.0648072190319933,10122.0,2491.0,1102.0,0.2460976091681486,0.1088717644734242,0.5386076955444388,0.0049775832572199,stride: deg4_dist4
matmult_stride_deg1_dist8_l1d_ddr4_2x,matmult,stride,deg1_dist8,l1d,ddr4_2x,0.00122,1220436342.0,7397876.0,3664974.0,2.018537,1153219.0,2139730.0,5357.0,1079089.0,5383.0,2449.0,1072.0,,,,0.001298,1.063934426229508,5383.0,2449.0,1072.0,0.4549507709455694,0.1991454579230912,0.5389553822211214,0.0049643727255119,stride: deg1_dist8
matmult_stride_deg8_dist4_l1d_ddr4_2x,matmult,stride,deg8_dist4,l1d,ddr4_2x,0.00122,1219974471.0,7397871.0,3663587.0,2.0193,1149712.0,2137474.0,5365.0,1078677.0,19032.0,2875.0,1430.0,,,,0.001298,1.063934426229508,19032.0,2875.0,1430.0,0.1510613703236654,0.0751366120218579,0.5378835017408399,0.0049736853571551,stride: deg8_dist4
matmult_stride_deg16_dist16_l1d_ddr4_2x,matmult,stride,deg16_dist16,l1d,ddr4_2x,0.001223,1223072037.0,7397876.0,3672889.0,2.014187,1157236.0,2137633.0,5420.0,1082873.0,27337.0,547.0,5411.0,,,,0.001298,1.061324611610793,27337.0,547.0,5411.0,0.0200095109192669,0.1979368621282511,0.5413632742383748,0.0050052037496548,stride: deg16_dist16
matmult_stride_deg4_dist8_l1d_ddr4_2x,matmult,stride,deg4_dist8,l1d,ddr4_2x,0.001225,1224610497.0,7397876.0,3677509.0,2.011657,1151181.0,2139357.0,5354.0,1079400.0,11365.0,2672.0,1389.0,,,,0.001298,1.059591836734694,11365.0,2672.0,1389.0,0.2351077870655521,0.1222173339199296,0.538096727194199,0.0049601630535482,stride: deg4_dist8
matmult_stride_deg1_dist4_l1d_ddr4_2x,matmult,stride,deg1_dist4,l1d,ddr4_2x,0.001225,1225333773.0,7397871.0,3679681.0,2.010468,1152786.0,2136552.0,5350.0,1076861.0,5576.0,2225.0,769.0,,,,0.001298,1.059591836734694,5576.0,2225.0,769.0,0.3990315638450502,0.1379124820659971,0.5395543848219,0.0049681435208443,stride: deg1_dist4
