run,benchmark,prefetcher,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,label
matmult_stride_deg32_dist1_l2_ddr4_2x,matmult,stride,deg32_dist1,l2,ddr4_2x,0.001194,1194269535.0,7397876.0,3586395.0,2.062764,1157637.0,2137831.0,1479.0,1076666.0,,,,94102.0,3958.0,10.0,0.001298,1.0871021775544387,94102.0,3958.0,10.0,0.0420607425984569,0.0001062676669996,0.5415007079605451,0.0013736850611053,stride: deg32_dist1
matmult_stride_deg16_dist1_l2_ddr4_2x,matmult,stride,deg16_dist1,l2,ddr4_2x,0.001195,1194560910.0,7397876.0,3587270.0,2.06226,1159029.0,2138559.0,1486.0,1077558.0,,,,55790.0,3958.0,9.0,0.001298,1.0861924686192468,55790.0,3958.0,9.0,0.0709446137300591,0.0001613192328374,0.5419672779661445,0.0013790440978583,stride: deg16_dist1
matmult_stride_deg32_dist4_l2_ddr4_2x,matmult,stride,deg32_dist4,l2,ddr4_2x,0.0012,1200114684.0,7397876.0,3603948.0,2.052717,1158665.0,2138337.0,1650.0,1077720.0,,,,86886.0,3791.0,13.0,0.001298,1.0816666666666668,86886.0,3791.0,13.0,0.0436318854591073,0.000149621342909,0.5418533187238495,0.0015310099098095,stride: deg32_dist4
matmult_stride_deg16_dist4_l2_ddr4_2x,matmult,stride,deg16_dist4,l2,ddr4_2x,0.001205,1204718409.0,7397876.0,3617773.0,2.044873,1158501.0,2138177.0,1615.0,1077113.0,,,,52206.0,3789.0,7.0,0.001298,1.0771784232365145,52206.0,3789.0,7.0,0.0725778646132628,0.0001340842048806,0.5418171648090874,0.0014993784310466,stride: deg16_dist4
matmult_stride_deg32_dist8_l2_ddr4_2x,matmult,stride,deg32_dist8,l2,ddr4_2x,0.001207,1207128330.0,7397876.0,3625010.0,2.04079,1159701.0,2138928.0,1916.0,1077853.0,,,,78578.0,3533.0,16.0,0.001298,1.0753935376967687,78578.0,3533.0,16.0,0.044961694112856,0.0002036193336557,0.5421879558358206,0.0017776078927274,stride: deg32_dist8
matmult_stride_default_l2_ddr4_2x,matmult,stride,default,l2,ddr4_2x,0.001208,1208010780.0,7397871.0,3627660.0,2.039298,1158921.0,2139732.0,2544.0,1078264.0,,,,16863.0,2840.0,4.0,0.001298,1.074503311258278,16863.0,2840.0,4.0,0.1684160588270177,0.0002372057166577,0.541619698167808,0.0023593479889897,Stride default
matmult_stride_deg8_dist1_l2_ddr4_2x,matmult,stride,deg8_dist1,l2,ddr4_2x,0.001212,1212042411.0,7397871.0,3639767.0,2.032515,1160001.0,2139391.0,1482.0,1078318.0,,,,30473.0,3897.0,9.0,0.001298,1.0709570957095709,30473.0,3897.0,9.0,0.1278837003248777,0.0002953434187641,0.5422108441140493,0.0013743626648168,stride: deg8_dist1
matmult_stride_deg4_dist1_l2_ddr4_2x,matmult,stride,deg4_dist1,l2,ddr4_2x,0.001213,1213310142.0,7397876.0,3643574.0,2.030392,1160619.0,2139158.0,2108.0,1077997.0,,,,15913.0,3251.0,5.0,0.001298,1.0700741962077491,15913.0,3251.0,5.0,0.2042983723999246,0.0003142085087664,0.5425588011731719,0.0019554785402927,stride: deg4_dist1
matmult_stride_deg4_dist4_l2_ddr4_2x,matmult,stride,deg4_dist4,l2,ddr4_2x,0.001217,1216543239.0,7397876.0,3653283.0,2.024996,1161436.0,2140241.0,1604.0,1078448.0,,,,14708.0,3757.0,8.0,0.001298,1.066557107641742,14708.0,3757.0,8.0,0.2554392167527876,0.0005439216752787,0.5426659894843618,0.0014873225227363,stride: deg4_dist4
matmult_stride_deg16_dist8_l2_ddr4_2x,matmult,stride,deg16_dist8,l2,ddr4_2x,0.001218,1217890890.0,7397871.0,3657330.0,2.022754,1157983.0,2137810.0,1856.0,1076587.0,,,,48114.0,3527.0,3.0,0.001298,1.0656814449917895,48114.0,3527.0,3.0,0.0733050671322276,6.235191420376606e-05,0.5416678750684112,0.0017239665721395,stride: deg16_dist8
matmult_stride_deg1_dist4_l2_ddr4_2x,matmult,stride,deg1_dist4,l2,ddr4_2x,0.001219,1219196916.0,7397876.0,3661252.0,2.020589,1160400.0,2139809.0,2282.0,1077976.0,,,,3773.0,3069.0,5.0,0.001298,1.0648072190319933,3773.0,3069.0,5.0,0.8134110787172012,0.001325205406838,0.5422913914279265,0.0021169302470555,stride: deg1_dist4
matmult_stride_deg8_dist4_l2_ddr4_2x,matmult,stride,deg8_dist4,l2,ddr4_2x,0.001219,1218505941.0,7397876.0,3659177.0,2.021735,1157709.0,2137550.0,1588.0,1076787.0,,,,28392.0,3759.0,12.0,0.001298,1.0648072190319933,28392.0,3759.0,12.0,0.132396449704142,0.0004226542688081,0.5416055764777432,0.0014747577747502,stride: deg8_dist4
matmult_stride_deg1_dist8_l2_ddr4_2x,matmult,stride,deg1_dist8,l2,ddr4_2x,0.001219,1218844269.0,7397871.0,3660193.0,2.021172,1161361.0,2139903.0,1857.0,1078170.0,,,,3517.0,3510.0,9.0,0.001298,1.0648072190319933,3517.0,3510.0,9.0,0.9980096673301108,0.0025589991470002,0.5427166558484193,0.0017223628926792,stride: deg1_dist8
