run,benchmark,prefetcher,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,label
merge_stride_deg32_dist1_l1d_ddr4_1x,merge,stride,deg32_dist1,l1d,ddr4_1x,0.009817,9816541299.0,37918834.0,29479103.0,1.286297,252361.0,10933703.0,73655.0,221497.0,2098560.0,159467.0,10489.0,,,,0.011631,1.1847815014770298,2098560.0,159467.0,10489.0,0.0759887732540408,0.0049981892345227,0.023081018388738,0.3325327205334609,stride: deg32_dist1
merge_stride_deg16_dist1_l1d_ddr4_1x,merge,stride,deg16_dist1,l1d,ddr4_1x,0.00982,9820087416.0,37918829.0,29489752.0,1.285832,197651.0,10931962.0,73098.0,212981.0,1272788.0,167054.0,6197.0,,,,0.011631,1.1844195519348268,1272788.0,167054.0,6197.0,0.1312504517641586,0.0048688391153907,0.0180801030958578,0.3432137138993619,stride: deg16_dist1
merge_stride_deg8_dist1_l1d_ddr4_1x,merge,stride,deg8_dist1,l1d,ddr4_1x,0.009833,9832922235.0,37918825.0,29528295.0,1.284154,256342.0,10931551.0,72690.0,208163.0,734470.0,152408.0,3678.0,,,,0.011631,1.1828536560561376,734470.0,152408.0,3678.0,0.2075074543548409,0.0050076926218906,0.0234497373702963,0.3491975038791716,stride: deg8_dist1
merge_stride_deg4_dist1_l1d_ddr4_1x,merge,stride,deg4_dist1,l1d,ddr4_1x,0.009876,9876378402.0,37918834.0,29658794.0,1.278504,433327.0,10931715.0,72385.0,205082.0,455435.0,116250.0,1617.0,,,,0.011631,1.1777035236938034,455435.0,116250.0,1617.0,0.2552504748207757,0.0035504517658941,0.0396394344345786,0.35295637842424,stride: deg4_dist1
merge_stride_deg32_dist4_l1d_ddr4_1x,merge,stride,deg32_dist4,l1d,ddr4_1x,0.009909,9908709705.0,37918825.0,29755885.0,1.274332,254827.0,10951374.0,73957.0,223109.0,2124260.0,159352.0,11915.0,,,,0.011631,1.1737814108386315,2124260.0,159352.0,11915.0,0.0750152994454539,0.0056090120795006,0.0232689523707253,0.3314837142383319,stride: deg32_dist4
merge_stride_deg16_dist4_l1d_ddr4_1x,merge,stride,deg16_dist4,l1d,ddr4_1x,0.009925,9924674724.0,37918829.0,29803828.0,1.272282,230842.0,10950281.0,73178.0,213410.0,1304612.0,161883.0,6566.0,,,,0.011631,1.1718891687657431,1304612.0,161883.0,6566.0,0.1240851686171827,0.0050329140004844,0.0210809202065225,0.3428986457991659,stride: deg16_dist4
merge_stride_deg8_dist4_l1d_ddr4_1x,merge,stride,deg8_dist4,l1d,ddr4_1x,0.009959,9959397633.0,37918820.0,29908101.0,1.267846,260693.0,10949198.0,72836.0,209125.0,746879.0,153058.0,4447.0,,,,0.011631,1.1678883422030324,746879.0,153058.0,4447.0,0.2049301158554464,0.0059541103712917,0.0238093237513834,0.3482893006575015,stride: deg8_dist4
merge_stride_deg4_dist4_l1d_ddr4_1x,merge,stride,deg4_dist4,l1d,ddr4_1x,0.009983,9982684323.0,37918829.0,29978031.0,1.264889,313636.0,10948598.0,72461.0,205707.0,432218.0,138574.0,2108.0,,,,0.011631,1.165080637083041,432218.0,138574.0,2108.0,0.3206113581572262,0.004877168465913,0.0286462248408426,0.3522534478651674,stride: deg4_dist4
merge_stride_deg32_dist8_l1d_ddr4_1x,merge,stride,deg32_dist8,l1d,ddr4_1x,0.010041,10040898051.0,37919527.0,30152847.0,1.257578,300353.0,10976616.0,74102.0,227628.0,2149731.0,155267.0,14124.0,,,,0.011631,1.1583507618763074,2149731.0,155267.0,14124.0,0.0722262459814739,0.0065701243550937,0.027362986916915,0.3255399160033036,stride: deg32_dist8
merge_stride_deg16_dist8_l1d_ddr4_1x,merge,stride,deg16_dist8,l1d,ddr4_1x,0.010063,10062878049.0,37919508.0,30218853.0,1.254831,288421.0,10974297.0,73288.0,215109.0,1292058.0,152990.0,7600.0,,,,0.011631,1.1558183444300905,1292058.0,152990.0,7600.0,0.1184079971642139,0.0058820888845547,0.0262815012205337,0.3407016907707255,stride: deg16_dist8
merge_stride_deg8_dist8_l1d_ddr4_1x,merge,stride,deg8_dist8,l1d,ddr4_1x,0.010076,10076156424.0,37919536.0,30258728.0,1.253178,305712.0,10973803.0,72859.0,209220.0,741516.0,145257.0,4424.0,,,,0.011631,1.154327113934101,741516.0,145257.0,4424.0,0.1958919295065784,0.0059661558213174,0.02785834591709,0.3482410859382468,stride: deg8_dist8
merge_stride_deg1_dist1_l1d_ddr4_1x,merge,stride,deg1_dist1,l1d,ddr4_1x,0.010088,10088128773.0,37919536.0,30294681.0,1.251691,577909.0,10935440.0,72211.0,202859.0,166409.0,92222.0,487.0,,,,0.011631,1.1529540047581286,166409.0,92222.0,487.0,0.5541887758474602,0.0029265244067328,0.0528473477061736,0.3559664594619908,stride: deg1_dist1
merge_stride_deg4_dist8_l1d_ddr4_1x,merge,stride,deg4_dist8,l1d,ddr4_1x,0.010105,10104633252.0,37919489.0,30344244.0,1.249645,317193.0,10973368.0,72609.0,206106.0,420637.0,141342.0,2633.0,,,,0.011631,1.151014349332014,420637.0,141342.0,2633.0,0.3360189426988115,0.0062595539622049,0.0289057106259445,0.3522895985560828,stride: deg4_dist8
merge_stride_deg1_dist4_l1d_ddr4_1x,merge,stride,deg1_dist4,l1d,ddr4_1x,0.01012,10119875661.0,37919511.0,30390017.0,1.247763,493367.0,10951123.0,72304.0,203466.0,163927.0,102006.0,840.0,,,,0.011631,1.1493083003952569,163927.0,102006.0,840.0,0.6222647885949234,0.0051242321277153,0.0450517266585353,0.355361583753551,stride: deg1_dist4
merge_stride_deg1_dist8_l1d_ddr4_1x,merge,stride,deg1_dist8,l1d,ddr4_1x,0.010195,10194906222.0,37919536.0,30615334.0,1.238581,372582.0,10974903.0,72411.0,204234.0,161755.0,126977.0,1458.0,,,,0.011631,1.1408533594899462,161755.0,126977.0,1458.0,0.7849958270223486,0.0090136317269945,0.0339485460600426,0.3545491935720791,stride: deg1_dist8
merge_stride_deg16_dist16_l1d_ddr4_1x,merge,stride,deg16_dist16,l1d,ddr4_1x,0.010296,10296035325.0,37919489.0,30919025.0,1.226414,378431.0,11012670.0,73465.0,215217.0,1271018.0,135341.0,7941.0,,,,0.011631,1.1296620046620047,1271018.0,135341.0,7941.0,0.1064823629563074,0.0062477478682441,0.0343632379795272,0.3413531458946087,stride: deg16_dist16
merge_stride_deg32_dist16_l1d_ddr4_1x,merge,stride,deg32_dist16,l1d,ddr4_1x,0.010306,10306007343.0,37919555.0,30948971.0,1.22523,440297.0,11039095.0,74180.0,235810.0,2021535.0,130727.0,20427.0,,,,0.011631,1.1285658839510966,2021535.0,130727.0,20427.0,0.0646671959674207,0.0101046976678613,0.0398852442161246,0.3145752936686315,stride: deg32_dist16
merge_stride_deg8_dist16_l1d_ddr4_1x,merge,stride,deg8_dist16,l1d,ddr4_1x,0.010322,10321677324.0,37919489.0,30996028.0,1.223367,378784.0,11014946.0,73085.0,209907.0,699286.0,130940.0,5051.0,,,,0.011631,1.1268165084285993,699286.0,130940.0,5051.0,0.1872481359558178,0.00722308182918,0.0343881849261902,0.3481780026392641,stride: deg8_dist16
merge_stride_deg4_dist16_l1d_ddr4_1x,merge,stride,deg4_dist16,l1d,ddr4_1x,0.010334,10333525464.0,37919517.0,31031608.0,1.221966,392218.0,11015132.0,72836.0,207651.0,394628.0,126940.0,3704.0,,,,0.011631,1.1255080317398878,394628.0,126940.0,3704.0,0.3216700284825202,0.00938605471482,0.0356071992600724,0.3507616144396126,stride: deg4_dist16
