run,benchmark,prefetcher,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,label
merge_stride_deg32_dist1_l2_ddr4_2x,merge,stride,deg32_dist1,l2,ddr4_2x,0.010153,10152918252.0,37919514.0,30489244.0,1.243703,905218.0,11102494.0,21005.0,201302.0,,,,716213.0,51287.0,425.0,0.011697,1.152073278833842,716213.0,51287.0,425.0,0.0716085857140264,0.000593398891112,0.0815328519880308,0.1043457094316002,stride: deg32_dist1
merge_stride_deg16_dist1_l2_ddr4_2x,merge,stride,deg16_dist1,l2,ddr4_2x,0.010216,10215586854.0,37919461.0,30677438.0,1.236071,918014.0,11102575.0,25736.0,201496.0,,,,454804.0,46561.0,231.0,0.011697,1.144968676585748,454804.0,46561.0,231.0,0.1023759685490892,0.0005079111001662,0.0826847825842203,0.1277246198435701,stride: deg16_dist1
merge_stride_deg32_dist4_l2_ddr4_2x,merge,stride,deg32_dist4,l2,ddr4_2x,0.010235,10235260494.0,37919511.0,30736518.0,1.233697,915481.0,11109763.0,20685.0,201001.0,,,,677210.0,51299.0,541.0,0.011697,1.1428431851489986,677210.0,51299.0,541.0,0.0757505057515394,0.0007988659352342,0.0824032879909319,0.1029099357714638,stride: deg32_dist4
merge_stride_deg8_dist1_l2_ddr4_2x,merge,stride,deg8_dist1,l2,ddr4_2x,0.010272,10271830554.0,37919461.0,30846338.0,1.229303,933524.0,11103027.0,34660.0,201550.0,,,,297479.0,37588.0,112.0,0.011697,1.1387266355140189,297479.0,37588.0,112.0,0.1263551376735837,0.0003764971645057,0.0840783328726481,0.1719672537831803,stride: deg8_dist1
merge_stride_deg16_dist4_l2_ddr4_2x,merge,stride,deg16_dist4,l2,ddr4_2x,0.010307,10307378637.0,37919489.0,30953089.0,1.225065,926671.0,11109823.0,24869.0,201120.0,,,,432936.0,47054.0,382.0,0.011697,1.1348598040166875,432936.0,47054.0,382.0,0.1086858103738196,0.0008823475063288,0.0834100597282243,0.1236525457438345,stride: deg16_dist4
merge_stride_deg32_dist8_l2_ddr4_2x,merge,stride,deg32_dist8,l2,ddr4_2x,0.010317,10317440898.0,37919536.0,30983306.0,1.223871,928816.0,11117991.0,21460.0,200843.0,,,,683236.0,50364.0,532.0,0.011697,1.1337598138993894,683236.0,50364.0,532.0,0.0737139143721935,0.0007786474951554,0.0835417118074659,0.1068496288145466,stride: deg32_dist8
merge_stride_deg4_dist1_l2_ddr4_2x,merge,stride,deg4_dist1,l2,ddr4_2x,0.010328,10327781547.0,37919467.0,31014359.0,1.222644,945544.0,11103263.0,38491.0,201549.0,,,,189699.0,33703.0,56.0,0.011697,1.1325522850503489,189699.0,33703.0,56.0,0.1776656703514515,0.0002952045081945,0.0851591104344731,0.1909758917186391,stride: deg4_dist1
merge_stride_deg8_dist4_l2_ddr4_2x,merge,stride,deg8_dist4,l2,ddr4_2x,0.01036,10360331631.0,37919555.0,31112107.0,1.218805,940330.0,11109896.0,33999.0,201433.0,,,,258316.0,38236.0,138.0,0.011697,1.129054054054054,258316.0,38236.0,138.0,0.1480202542622214,0.000534229393456,0.0846389561162408,0.1687856508119325,stride: deg8_dist4
merge_stride_deg16_dist8_l2_ddr4_2x,merge,stride,deg16_dist8,l2,ddr4_2x,0.010388,10388335599.0,37919508.0,31196203.0,1.215518,937932.0,11118074.0,24399.0,200712.0,,,,423074.0,47216.0,418.0,0.011697,1.126010781671159,423074.0,47216.0,418.0,0.1116022256153769,0.0009880068262289,0.0843610143267619,0.1215622384311849,stride: deg16_dist8
merge_stride_deg4_dist4_l2_ddr4_2x,merge,stride,deg4_dist4,l2,ddr4_2x,0.010401,10401291963.0,37919489.0,31235111.0,1.214003,950343.0,11110431.0,36268.0,201550.0,,,,163701.0,35929.0,68.0,0.011697,1.1246034035188923,163701.0,35929.0,68.0,0.2194794167414982,0.0004153914759225,0.0855361056650277,0.1799454229719672,stride: deg4_dist4
