run,benchmark,prefetcher,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,label
quick_stride_deg8_dist1_l1d_ddr4_1x,quick,stride,deg8_dist1,l1d,ddr4_1x,0.008261,8261090973.0,24424709.0,24808081.0,0.98498,14295.0,9144877.0,28515.0,83998.0,603831.0,79577.0,589.0,,,,0.009731,1.1779445587701247,603831.0,79577.0,589.0,0.131786874141937,0.0009754384918959,0.0015631702864893,0.3394723683897235,stride: deg8_dist1
quick_stride_default_l1d_ddr4_1x,quick,stride,default,l1d,ddr4_1x,0.008266,8266383342.0,24424718.0,24823974.0,0.98435,13428.0,9142333.0,28497.0,83336.0,316226.0,80084.0,256.0,,,,0.009731,1.1772320348415193,316226.0,80084.0,256.0,0.2532492584417473,0.0008095476020314,0.0014687717019277,0.3419530575021599,Stride default
quick_stride_deg4_dist1_l1d_ddr4_1x,quick,stride,deg4_dist1,l1d,ddr4_1x,0.008278,8277820893.0,24424732.0,24858321.0,0.98299,16046.0,9143162.0,28504.0,83481.0,311309.0,78979.0,325.0,,,,0.009731,1.1755254892486109,311309.0,78979.0,325.0,0.2536997002977749,0.0010439788120484,0.0017549727326279,0.3414429630694409,stride: deg4_dist1
quick_stride_deg16_dist1_l1d_ddr4_1x,quick,stride,deg16_dist1,l1d,ddr4_1x,0.008279,8278554492.0,24424723.0,24860524.0,0.982903,14523.0,9142941.0,28549.0,85159.0,1130656.0,80133.0,1192.0,,,,0.009731,1.1753835004227564,1130656.0,80133.0,1192.0,0.0708730153114652,0.0010542552288229,0.0015884385560401,0.3352434857149567,stride: deg16_dist1
quick_stride_deg32_dist1_l1d_ddr4_1x,quick,stride,deg32_dist1,l1d,ddr4_1x,0.008279,8279033013.0,24424718.0,24861961.0,0.982846,15196.0,9143468.0,28580.0,88445.0,1924143.0,81218.0,3139.0,,,,0.009731,1.1753835004227564,1924143.0,81218.0,3139.0,0.0422099604863048,0.0016313756306054,0.001661951460868,0.3231386737520493,stride: deg32_dist1
quick_stride_deg4_dist4_l1d_ddr4_1x,quick,stride,deg4_dist4,l1d,ddr4_1x,0.008339,8338883436.0,24424718.0,25041692.0,0.975792,29754.0,9149500.0,28508.0,83826.0,296393.0,75164.0,500.0,,,,0.009731,1.166926489986809,296393.0,75164.0,500.0,0.2535957326927424,0.0016869494218824,0.0032519809825673,0.3400854150263641,stride: deg4_dist4
quick_stride_deg8_dist4_l1d_ddr4_1x,quick,stride,deg8_dist4,l1d,ddr4_1x,0.008341,8341385598.0,24424714.0,25049206.0,0.975499,31503.0,9152921.0,28529.0,84409.0,574728.0,75463.0,781.0,,,,0.009731,1.1666466850497543,574728.0,75463.0,781.0,0.1313021116075778,0.0013589036900934,0.0034418520601237,0.3379852859292255,stride: deg8_dist4
quick_stride_deg1_dist4_l1d_ddr4_1x,quick,stride,deg1_dist4,l1d,ddr4_1x,0.008353,8353077561.0,24424723.0,25084317.0,0.974134,31819.0,9150644.0,28499.0,83421.0,75830.0,74634.0,297.0,,,,0.009731,1.1649706692206394,75830.0,74634.0,297.0,0.98422787814849,0.0039166556771726,0.0034772416017932,0.3416286067057456,stride: deg1_dist4
quick_stride_deg1_dist1_l1d_ddr4_1x,quick,stride,deg1_dist1,l1d,ddr4_1x,0.008365,8365378914.0,24424723.0,25121258.0,0.972701,47699.0,9156856.0,28492.0,83042.0,79579.0,73882.0,105.0,,,,0.009731,1.163299462044232,79579.0,73882.0,105.0,0.928410761633094,0.0013194435717965,0.0052091023381824,0.343103489800342,stride: deg1_dist1
quick_stride_deg16_dist4_l1d_ddr4_1x,quick,stride,deg16_dist4,l1d,ddr4_1x,0.008366,8365614678.0,24424723.0,25121966.0,0.972674,32060.0,9151311.0,28557.0,85975.0,1070101.0,75632.0,1771.0,,,,0.009731,1.1631604111881424,1070101.0,75632.0,1771.0,0.0706774407275575,0.0016549839688029,0.0035033231850605,0.3321546961325967,stride: deg16_dist4
quick_stride_deg32_dist4_l1d_ddr4_1x,quick,stride,deg32_dist4,l1d,ddr4_1x,0.008407,8407241343.0,24424723.0,25246971.0,0.967858,33188.0,9152291.0,28590.0,89040.0,1811272.0,76794.0,3538.0,,,,0.009731,1.1574878077792317,1811272.0,76794.0,3538.0,0.0423978287082227,0.0019533234102884,0.0036261958890948,0.3210916442048517,stride: deg32_dist4
quick_stride_deg1_dist8_l1d_ddr4_1x,quick,stride,deg1_dist8,l1d,ddr4_1x,0.008441,8440769448.0,24424723.0,25347656.0,0.964013,50259.0,9159067.0,28508.0,83873.0,70954.0,69591.0,523.0,,,,0.009731,1.1528254946096432,70954.0,69591.0,523.0,0.9807903712264284,0.0073709727429038,0.0054873493118895,0.3398948410096217,stride: deg1_dist8
quick_stride_deg4_dist8_l1d_ddr4_1x,quick,stride,deg4_dist8,l1d,ddr4_1x,0.008442,8442086463.0,24424718.0,25351611.0,0.963863,51191.0,9159344.0,28513.0,84337.0,276910.0,69758.0,743.0,,,,0.009731,1.1526889362710258,276910.0,69758.0,743.0,0.2519157849120653,0.0026831822613845,0.0055889373736809,0.3380841149199046,stride: deg4_dist8
quick_stride_deg8_dist8_l1d_ddr4_1x,quick,stride,deg8_dist8,l1d,ddr4_1x,0.008447,8447379831.0,24424718.0,25367507.0,0.963259,52239.0,9159979.0,28530.0,84911.0,534358.0,69972.0,1046.0,,,,0.009731,1.1520066295726294,534358.0,69972.0,1046.0,0.13094592015091,0.0019574891739245,0.0057029606727264,0.3359988694044352,stride: deg8_dist8
quick_stride_deg16_dist8_l1d_ddr4_1x,quick,stride,deg16_dist8,l1d,ddr4_1x,0.008472,8472081438.0,24424723.0,25441686.0,0.960451,53453.0,9161418.0,28555.0,86688.0,989915.0,70083.0,2215.0,,,,0.009731,1.1486071765816808,989915.0,70083.0,2215.0,0.0707969876201492,0.0022375658516135,0.0058345771364214,0.3293996862310815,stride: deg16_dist8
quick_stride_deg32_dist8_l1d_ddr4_1x,quick,stride,deg32_dist8,l1d,ddr4_1x,0.008505,8504825994.0,24424714.0,25540018.0,0.956752,57115.0,9166013.0,28587.0,89403.0,1647003.0,71059.0,3770.0,,,,0.009731,1.1441504997060552,1647003.0,71059.0,3770.0,0.0431444265736006,0.002289006152387,0.0062311716119102,0.3197543706587027,stride: deg32_dist8
quick_stride_deg4_dist16_l1d_ddr4_1x,quick,stride,deg4_dist16,l1d,ddr4_1x,0.008645,8644544802.0,24424723.0,25959594.0,0.941289,94380.0,9179375.0,28532.0,85454.0,235956.0,58801.0,1501.0,,,,0.009731,1.1256217466743783,235956.0,58801.0,1501.0,0.2492032412822729,0.0063613555069589,0.0102817457615578,0.3338872375781122,stride: deg4_dist16
quick_stride_deg1_dist16_l1d_ddr4_1x,quick,stride,deg1_dist16,l1d,ddr4_1x,0.008646,8646234777.0,24424723.0,25964669.0,0.941105,92893.0,9178435.0,28525.0,84633.0,60842.0,59009.0,906.0,,,,0.009731,1.125491556789267,60842.0,59009.0,906.0,0.9698727852470334,0.0148910292232339,0.0101207885658066,0.3370434700412368,stride: deg1_dist16
quick_stride_deg8_dist16_l1d_ddr4_1x,quick,stride,deg8_dist16,l1d,ddr4_1x,0.008655,8654626044.0,24424718.0,25989868.0,0.940192,95393.0,9180225.0,28536.0,86260.0,453221.0,58883.0,1993.0,,,,0.009731,1.124321201617562,453221.0,58883.0,1993.0,0.1299211642885038,0.0043974131825312,0.0103911396507166,0.3308138186876884,stride: deg8_dist16
quick_stride_deg16_dist16_l1d_ddr4_1x,quick,stride,deg16_dist16,l1d,ddr4_1x,0.008678,8677511802.0,24424723.0,26058594.0,0.937713,96444.0,9181103.0,28559.0,87301.0,825638.0,59373.0,2607.0,,,,0.009731,1.1213413228854574,825638.0,59373.0,2607.0,0.071911661042733,0.0031575581550267,0.0105046201965058,0.3271325643463419,stride: deg16_dist16
quick_stride_deg32_dist16_l1d_ddr4_1x,quick,stride,deg32_dist16,l1d,ddr4_1x,0.008712,8711695251.0,24424709.0,26161247.0,0.934033,102195.0,9186836.0,28574.0,89615.0,1310404.0,59894.0,3959.0,,,,0.009731,1.116965105601469,1310404.0,59894.0,3959.0,0.045706514937378,0.0030212056739753,0.0111240692660672,0.3188528706131786,stride: deg32_dist16
quick_stride_deg8_dist32_l1d_ddr4_1x,quick,stride,deg8_dist32,l1d,ddr4_1x,0.009057,9056905362.0,24424718.0,27197914.0,0.898432,179568.0,9218827.0,28539.0,86561.0,288367.0,37373.0,2110.0,,,,0.009731,1.0744175775643148,288367.0,37373.0,2110.0,0.1296022082970659,0.0073170647126751,0.0194784000177029,0.3296981319531891,stride: deg8_dist32
quick_stride_deg1_dist32_l1d_ddr4_1x,quick,stride,deg1_dist32,l1d,ddr4_1x,0.009059,9058587345.0,24424723.0,27202965.0,0.898265,177116.0,9217527.0,28537.0,85964.0,40512.0,37342.0,1746.0,,,,0.009731,1.074180373109615,40512.0,37342.0,1746.0,0.9217515797788308,0.0430983412322274,0.0192151322149639,0.3319645432971941,stride: deg1_dist32
quick_stride_deg4_dist32_l1d_ddr4_1x,quick,stride,deg4_dist32,l1d,ddr4_1x,0.009059,9058619979.0,24424723.0,27203063.0,0.898262,178598.0,9218483.0,28540.0,86235.0,154374.0,37354.0,1916.0,,,,0.009731,1.074180373109615,154374.0,37354.0,1916.0,0.2419707981914053,0.0124114164302278,0.0193739034936659,0.3309561083086914,stride: deg4_dist32
quick_stride_deg16_dist32_l1d_ddr4_1x,quick,stride,deg16_dist32,l1d,ddr4_1x,0.009069,9069450804.0,24424718.0,27235588.0,0.897189,180578.0,9219405.0,28549.0,87187.0,492713.0,37405.0,2467.0,,,,0.009731,1.0729959201676038,492713.0,37405.0,2467.0,0.0759164056966225,0.005006971604159,0.0195867303801058,0.3274456054228268,stride: deg16_dist32
quick_stride_deg32_dist32_l1d_ddr4_1x,quick,stride,deg32_dist32,l1d,ddr4_1x,0.009077,9076623624.0,24424714.0,27257128.0,0.89648,188630.0,9226315.0,28569.0,87954.0,634575.0,37268.0,3030.0,,,,0.009731,1.0720502368623994,634575.0,37268.0,3030.0,0.0587290706378284,0.0047748493085923,0.0204447821259083,0.3248175182481752,stride: deg32_dist32
quick_nopf_ddr4_1x,quick,none,none,l1d,ddr4_1x,0.009731,,,,,,,,,,,,,,,0.009731,1.0,0.0,0.0,0.0,,,,,No prefetch baseline
