run,benchmark,prefetcher,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,label
quick_stride_deg8_dist1_l2_ddr4_1x,quick,stride,deg8_dist1,l2,ddr4_1x,0.008588,8587796940.0,24424718.0,25789180.0,0.947509,228323.0,9216185.0,1289.0,82819.0,,,,205788.0,27205.0,19.0,0.009731,1.1330926874708895,205788.0,27205.0,19.0,0.1321991564133963,9.232802690147142e-05,0.0247741337657609,0.0155640613868798,stride: deg8_dist1
quick_stride_deg4_dist1_l2_ddr4_1x,quick,stride,deg4_dist1,l2,ddr4_1x,0.008593,8592655077.0,24424732.0,25803769.0,0.946974,229473.0,9217055.0,1591.0,82822.0,,,,106401.0,26902.0,11.0,0.009731,1.132433376003724,106401.0,26902.0,11.0,0.252835969586752,0.0001033824870067,0.0248965640326546,0.0192098717732003,stride: deg4_dist1
quick_stride_deg16_dist1_l2_ddr4_1x,quick,stride,deg16_dist1,l2,ddr4_1x,0.008612,8611884162.0,24424723.0,25861514.0,0.944859,229722.0,9217194.0,1267.0,82823.0,,,,383516.0,27238.0,35.0,0.009731,1.12993497445425,383516.0,27238.0,35.0,0.0710218087380969,9.126086004234504e-05,0.0249232033089463,0.0152976830107578,stride: deg16_dist1
quick_stride_deg32_dist1_l2_ddr4_1x,quick,stride,deg32_dist1,l2,ddr4_1x,0.008615,8615439603.0,24424723.0,25872191.0,0.944469,229643.0,9217147.0,1244.0,82823.0,,,,650716.0,27262.0,60.0,0.009731,1.1295414973882762,650716.0,27262.0,60.0,0.0418953890791067,9.220612371602972e-05,0.0249147594152507,0.0150199823720464,stride: deg32_dist1
quick_stride_deg4_dist4_l2_ddr4_1x,quick,stride,deg4_dist4,l2,ddr4_1x,0.008642,8641751931.0,24424718.0,25951207.0,0.941593,233427.0,9219797.0,2636.0,82818.0,,,,101124.0,25856.0,16.0,0.009731,1.126012497107151,101124.0,25856.0,16.0,0.2556860883667576,0.0001582215893358,0.0253180194748322,0.0318288294815136,stride: deg4_dist4
quick_stride_deg1_dist4_l2_ddr4_1x,quick,stride,deg1_dist4,l2,ddr4_1x,0.00865,8650026981.0,24424723.0,25976057.0,0.940693,234369.0,9220487.0,2888.0,82822.0,,,,25938.0,25605.0,10.0,0.009731,1.124971098265896,25938.0,25605.0,10.0,0.9871616932685636,0.0003855347366797,0.0254182886435391,0.034869962087368,stride: deg1_dist4
quick_stride_deg1_dist1_l2_ddr4_1x,quick,stride,deg1_dist1,l2,ddr4_1x,0.00865,8650065276.0,24424723.0,25976172.0,0.940688,236894.0,9222458.0,4978.0,82825.0,,,,27260.0,23514.0,4.0,0.009731,1.124971098265896,27260.0,23514.0,4.0,0.8625825385179751,0.0001467351430667,0.0256866444932576,0.0601026260187141,stride: deg1_dist1
quick_stride_deg8_dist4_l2_ddr4_1x,quick,stride,deg8_dist4,l2,ddr4_1x,0.008657,8656918416.0,24424714.0,25996752.0,0.939943,242694.0,9227222.0,2621.0,82830.0,,,,195261.0,25880.0,24.0,0.009731,1.1240614531592932,195261.0,25880.0,24.0,0.1325405482917735,0.0001229124095441,0.0263019574038643,0.0316431244718097,stride: deg8_dist4
quick_stride_deg16_dist4_l2_ddr4_1x,quick,stride,deg16_dist4,l2,ddr4_1x,0.008677,8676936045.0,24424718.0,26056865.0,0.937775,235086.0,9220865.0,2579.0,82820.0,,,,362459.0,25923.0,40.0,0.009731,1.1214705543390573,362459.0,25923.0,40.0,0.0715198132754325,0.0001103573093784,0.0254950050781569,0.031139821299203,stride: deg16_dist4
quick_stride_deg32_dist4_l2_ddr4_1x,quick,stride,deg32_dist4,l2,ddr4_1x,0.008718,8717786487.0,24424718.0,26179539.0,0.933381,235747.0,9221401.0,2580.0,82820.0,,,,609036.0,25923.0,59.0,0.009731,1.1161963753154394,609036.0,25923.0,59.0,0.042563986365338,9.687440479708915e-05,0.0255652042460793,0.0311518956773726,stride: deg32_dist4
quick_stride_deg1_dist8_l2_ddr4_1x,quick,stride,deg1_dist8,l2,ddr4_1x,0.008722,8722432170.0,24424723.0,26193490.0,0.932884,240175.0,9224573.0,4395.0,82823.0,,,,24185.0,24103.0,18.0,0.009731,1.115684476037606,24185.0,24103.0,18.0,0.9966094686789332,0.000744262972917,0.0260364355076381,0.0530649698755176,stride: deg1_dist8
quick_stride_deg4_dist8_l2_ddr4_1x,quick,stride,deg4_dist8,l2,ddr4_1x,0.008732,8731515078.0,24424718.0,26220766.0,0.931913,240144.0,9224508.0,4379.0,82821.0,,,,94124.0,24120.0,24.0,0.009731,1.1144067796610169,94124.0,24120.0,24.0,0.2562577026050741,0.0002549827886617,0.026033258359145,0.0528730635949819,stride: deg4_dist8
quick_stride_deg8_dist8_l2_ddr4_1x,quick,stride,deg8_dist8,l2,ddr4_1x,0.008736,8735729859.0,24424709.0,26233423.0,0.931463,249642.0,9231991.0,4370.0,82827.0,,,,181271.0,24131.0,32.0,0.009731,1.11389652014652,181271.0,24131.0,32.0,0.1331211280348208,0.0001765312708596,0.0270409709021596,0.0527605732430246,stride: deg8_dist8
quick_stride_deg16_dist8_l2_ddr4_1x,quick,stride,deg16_dist8,l2,ddr4_1x,0.008769,8769346875.0,24424723.0,26334375.0,0.927893,242390.0,9226052.0,4357.0,82825.0,,,,334467.0,24151.0,48.0,0.009731,1.109704641350211,334467.0,24151.0,48.0,0.0722074225558874,0.0001435119159737,0.0262723427095359,0.0526048898279504,stride: deg16_dist8
quick_stride_deg32_dist8_l2_ddr4_1x,quick,stride,deg32_dist8,l2,ddr4_1x,0.008801,8801333856.0,24424718.0,26430432.0,0.924521,242993.0,9226410.0,4353.0,82820.0,,,,553119.0,24150.0,59.0,0.009731,1.1056698102488354,553119.0,24150.0,59.0,0.0436614905653213,0.0001066678237413,0.0263366791634015,0.0525597681719391,stride: deg32_dist8
quick_stride_deg1_dist16_l2_ddr4_1x,quick,stride,deg1_dist16,l2,ddr4_1x,0.008884,8884420020.0,24424723.0,26679940.0,0.915875,253202.0,9233645.0,7901.0,82822.0,,,,20686.0,20603.0,34.0,0.009731,1.095339936965331,20686.0,20603.0,34.0,0.9959876244803249,0.0016436237068548,0.0274216736727478,0.0953973581898529,stride: deg1_dist16
quick_stride_deg4_dist16_l2_ddr4_1x,quick,stride,deg4_dist16,l2,ddr4_1x,0.008898,8898256503.0,24424718.0,26721491.0,0.91445,253156.0,9233577.0,7889.0,82820.0,,,,80105.0,20613.0,40.0,0.009731,1.0936165430433806,80105.0,20613.0,40.0,0.2573247612508582,0.0004993446101991,0.0274168937996618,0.0952547693793769,stride: deg4_dist16
quick_stride_deg8_dist16_l2_ddr4_1x,quick,stride,deg8_dist16,l2,ddr4_1x,0.00891,8909820594.0,24424718.0,26756218.0,0.913263,253057.0,9233638.0,7886.0,82820.0,,,,153204.0,20617.0,48.0,0.009731,1.0921436588103255,153204.0,20617.0,48.0,0.1345722043810866,0.000313307746534,0.0274059910080945,0.0952185462448683,stride: deg8_dist16
quick_stride_deg16_dist16_l2_ddr4_1x,quick,stride,deg16_dist16,l2,ddr4_1x,0.008933,8933485572.0,24424718.0,26827284.0,0.910844,255868.0,9235436.0,7886.0,82820.0,,,,278305.0,20617.0,59.0,0.009731,1.0893316914810254,278305.0,20617.0,59.0,0.0740805950306318,0.0002119976285011,0.0277050265953875,0.0952185462448683,stride: deg16_dist16
quick_stride_deg32_dist16_l2_ddr4_1x,quick,stride,deg32_dist16,l2,ddr4_1x,0.008968,8968155201.0,24424723.0,26931397.0,0.907323,256015.0,9235543.0,7891.0,82824.0,,,,440776.0,20616.0,59.0,0.009731,1.0850802854594113,440776.0,20616.0,59.0,0.0467720565548033,0.0001338548378314,0.027720622382463,0.095274316623201,stride: deg32_dist16
quick_stride_deg1_dist32_l2_ddr4_1x,quick,stride,deg1_dist32,l2,ddr4_1x,0.009224,9223747686.0,24424723.0,27698942.0,0.882181,278601.0,9251964.0,14945.0,82825.0,,,,13656.0,13560.0,59.0,0.009731,1.0549653078924546,13656.0,13560.0,59.0,0.9929701230228472,0.0043204452255418,0.0301126333824904,0.1804406881980078,stride: deg1_dist32
quick_stride_deg32_dist32_l2_ddr4_1x,quick,stride,deg32_dist32,l2,ddr4_1x,0.009229,9229495266.0,24424714.0,27716202.0,0.881631,291100.0,9261019.0,14931.0,82832.0,,,,216092.0,13573.0,59.0,0.009731,1.0543937588037708,216092.0,13573.0,59.0,0.062811210040168,0.0002730318568017,0.0314328261285286,0.1802564226385938,stride: deg32_dist32
quick_stride_deg4_dist32_l2_ddr4_1x,quick,stride,deg4_dist32,l2,ddr4_1x,0.009237,9236782971.0,24424723.0,27738087.0,0.880936,278212.0,9251497.0,14945.0,82825.0,,,,51984.0,13560.0,59.0,0.009731,1.0534805672837502,51984.0,13560.0,59.0,0.2608494921514312,0.0011349646044936,0.0300721061683314,0.1804406881980078,stride: deg4_dist32
quick_stride_deg16_dist32_l2_ddr4_1x,quick,stride,deg16_dist32,l2,ddr4_1x,0.009239,9239202549.0,24424718.0,27745353.0,0.880705,279933.0,9252841.0,14941.0,82821.0,,,,165657.0,13560.0,59.0,0.009731,1.0532525165061153,165657.0,13560.0,59.0,0.0818558829388435,0.0003561576027575,0.0302537350420265,0.180401105999686,stride: deg16_dist32
quick_stride_deg8_dist32_l2_ddr4_1x,quick,stride,deg8_dist32,l2,ddr4_1x,0.009239,9239311773.0,24424718.0,27745681.0,0.880695,277604.0,9251130.0,14939.0,82819.0,,,,96922.0,13560.0,59.0,0.009731,1.0532525165061153,96922.0,13560.0,59.0,0.1399063164193887,0.0006087369224737,0.0300075774527003,0.1803813134667165,stride: deg8_dist32
