run,benchmark,prefetcher,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,label
simple_triad_stride_deg1_dist8_l1d_ddr4_2x,simple_triad,stride,deg1_dist8,l1d,ddr4_2x,0.001824,1823597577.0,3510110.0,5476269.0,0.640971,1746464.0,2003828.0,375396.0,375406.0,320707.0,51040.0,12.0,,,,0.002605,1.4281798245614037,320707.0,51040.0,12.0,0.159148381544525,3.741733108413599e-05,0.871563826835437,0.9999733621732204,stride: deg1_dist8
simple_triad_stride_deg4_dist1_l1d_ddr4_2x,simple_triad,stride,deg4_dist1,l1d,ddr4_2x,0.001859,1858650822.0,3510089.0,5581534.0,0.628879,1871324.0,2003837.0,375385.0,375395.0,461325.0,22186.0,5.0,,,,0.002605,1.401291016675632,461325.0,22186.0,5.0,0.0480919091746599,1.0838346068389964e-05,0.9338703696957388,0.9999733613926663,stride: deg4_dist1
simple_triad_stride_deg4_dist8_l1d_ddr4_2x,simple_triad,stride,deg4_dist8,l1d,ddr4_2x,0.001897,1897043391.0,3510115.0,5696827.0,0.616156,1486640.0,2003826.0,375406.0,375416.0,353964.0,96685.0,16.0,,,,0.002605,1.3732208750658936,353964.0,96685.0,16.0,0.2731492468160604,4.520233696082088e-05,0.7419007438769634,0.9999733628827754,stride: deg4_dist8
simple_triad_stride_deg16_dist1_l1d_ddr4_2x,simple_triad,stride,deg16_dist1,l1d,ddr4_2x,0.001899,1899125640.0,3510167.0,5703080.0,0.615489,1099887.0,2003841.0,375433.0,375444.0,677018.0,186541.0,24.0,,,,0.002605,1.3717746182201158,677018.0,186541.0,24.0,0.2755332945357435,3.544957445739995e-05,0.5488893579879841,0.9999707013562608,stride: deg16_dist1
simple_triad_stride_deg4_dist4_l1d_ddr4_2x,simple_triad,stride,deg4_dist4,l1d,ddr4_2x,0.001908,1908459630.0,3510110.0,5731110.0,0.612469,1686673.0,2003836.0,375395.0,375405.0,402018.0,62544.0,11.0,,,,0.002605,1.3653039832285117,402018.0,62544.0,11.0,0.1555751235019327,2.736195891726241e-05,0.8417220770562062,0.9999733621022628,stride: deg4_dist4
simple_triad_stride_deg16_dist4_l1d_ddr4_2x,simple_triad,stride,deg16_dist4,l1d,ddr4_2x,0.00191,1910467287.0,3510115.0,5737139.0,0.611826,1049432.0,2003825.0,375433.0,375443.0,648746.0,209277.0,27.0,,,,0.002605,1.3638743455497382,648746.0,209277.0,27.0,0.3225869600737422,4.161875371871272e-05,0.5237143962172346,0.9999733647983848,stride: deg16_dist4
simple_triad_stride_deg1_dist4_l1d_ddr4_2x,simple_triad,stride,deg1_dist4,l1d,ddr4_2x,0.001923,1922573502.0,3510110.0,5773494.0,0.607973,1743438.0,2003831.0,375383.0,375393.0,345578.0,46818.0,5.0,,,,0.002605,1.3546541861674468,345578.0,46818.0,5.0,0.1354773741384,1.4468513620658724e-05,0.8700524145998341,0.9999733612507424,stride: deg1_dist4
simple_triad_stride_default_l1d_ddr4_2x,simple_triad,stride,default,l1d,ddr4_2x,0.001925,1924819920.0,3510082.0,5780240.0,0.607259,1856326.0,2003816.0,375386.0,375396.0,578726.0,25248.0,4.0,,,,0.002605,1.3532467532467534,578726.0,25248.0,4.0,0.0436268631442167,6.911733704723824e-06,0.92639543750524,0.9999733614636276,Stride default
simple_triad_stride_deg8_dist8_l1d_ddr4_2x,simple_triad,stride,deg8_dist8,l1d,ddr4_2x,0.001931,1931483916.0,3510106.0,5800252.0,0.605167,729001.0,2003833.0,375420.0,375430.0,415109.0,238892.0,20.0,,,,0.002605,1.3490419471776285,415109.0,238892.0,20.0,0.5754922201156805,4.8180116547701926e-05,0.3638032710310689,0.9999733638760888,stride: deg8_dist8
simple_triad_stride_deg16_dist8_l1d_ddr4_2x,simple_triad,stride,deg16_dist8,l1d,ddr4_2x,0.001932,1932419313.0,3510109.0,5803061.0,0.604875,956959.0,2003845.0,375427.0,375437.0,620204.0,219096.0,25.0,,,,0.002605,1.348343685300207,620204.0,219096.0,25.0,0.3532644097748483,4.030931757937711e-05,0.4775613882311256,0.9999733643727176,stride: deg16_dist8
