run,benchmark,prefetcher,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,label
simple_triad_stride_deg4_dist4_l2_ddr4_1x,simple_triad,stride,deg4_dist4,l2,ddr4_1x,0.002364,2364466833.0,3510082.0,7100501.0,0.494345,1925586.0,2003826.0,301979.0,375368.0,,,,559192.0,73379.0,8.0,0.002897,1.2254653130287647,559192.0,73379.0,8.0,0.131223264996638,1.430635631411036e-05,0.9609546936710074,0.8044878625775239,stride: deg4_dist4
simple_triad_stride_deg8_dist1_l2_ddr4_1x,simple_triad,stride,deg8_dist1,l2,ddr4_1x,0.002396,2395631304.0,3510109.0,7194088.0,0.487918,1954969.0,2003830.0,325220.0,375329.0,,,,482860.0,50098.0,10.0,0.002897,1.2090984974958263,482860.0,50098.0,10.0,0.10375264051692,2.070993662759392e-05,0.9756161949866008,0.8664931300272561,stride: deg8_dist1
simple_triad_stride_deg1_dist8_l2_ddr4_1x,simple_triad,stride,deg1_dist8,l2,ddr4_1x,0.002402,2402162766.0,3510054.0,7213702.0,0.486584,1955100.0,2003806.0,289459.0,375373.0,,,,322264.0,85904.0,9.0,0.002897,1.2060782681099085,322264.0,85904.0,9.0,0.2665640592805898,2.792741354913984e-05,0.9756932557343376,0.7711236556704931,stride: deg1_dist8
simple_triad_stride_deg4_dist1_l2_ddr4_1x,simple_triad,stride,deg4_dist1,l2,ddr4_1x,0.002406,2406132459.0,3510034.0,7225623.0,0.485778,1958400.0,2003797.0,343709.0,375375.0,,,,800416.0,31656.0,5.0,0.002897,1.2040731504571902,800416.0,31656.0,5.0,0.039549434294167,6.246751689121656e-06,0.9773445114450215,0.9156416916416916,stride: deg4_dist1
simple_triad_stride_deg1_dist4_l2_ddr4_1x,simple_triad,stride,deg1_dist4,l2,ddr4_1x,0.002413,2413348236.0,3509913.0,7247293.0,0.484309,1943434.0,2003757.0,322256.0,375372.0,,,,345700.0,53106.0,5.0,0.002897,1.2005801906340654,345700.0,53106.0,5.0,0.1536187445762221,1.4463407578825572e-05,0.9698950521445464,0.8584977036113509,stride: deg1_dist4
simple_triad_stride_deg8_dist4_l2_ddr4_1x,simple_triad,stride,deg8_dist4,l2,ddr4_1x,0.002427,2426640597.0,3509939.0,7287210.0,0.48166,1907535.0,2003760.0,223162.0,373562.0,,,,522260.0,150390.0,535.0,0.002897,1.1936547177585497,522260.0,150390.0,535.0,0.287960019913453,0.0010243939800099,0.951977781770272,0.5973894561009953,stride: deg8_dist4
simple_triad_stride_deg8_dist16_l2_ddr4_1x,simple_triad,stride,deg8_dist16,l2,ddr4_1x,0.002445,2444633919.0,3509962.0,7341244.0,0.478118,1919646.0,2003753.0,143159.0,367497.0,,,,558351.0,224328.0,721.0,0.002897,1.1848670756646216,558351.0,224328.0,721.0,0.401768779853533,0.0012913024244605,0.958025265589122,0.389551479331804,stride: deg8_dist16
simple_triad_stride_deg8_dist8_l2_ddr4_1x,simple_triad,stride,deg8_dist8,l2,ddr4_1x,0.002456,2455658550.0,3509934.0,7374351.0,0.475968,1898519.0,2003760.0,151956.0,370154.0,,,,513350.0,218188.0,1478.0,0.002897,1.1795602605863191,513350.0,218188.0,1478.0,0.4250277588389987,0.0028791273010616,0.9474782409070946,0.4105210263836133,stride: deg8_dist8
simple_triad_stride_deg4_dist8_l2_ddr4_1x,simple_triad,stride,deg4_dist8,l2,ddr4_1x,0.002461,2461327875.0,3509911.0,7391376.0,0.474868,1947098.0,2003753.0,258363.0,374650.0,,,,524313.0,116277.0,13.0,0.002897,1.1771637545713125,524313.0,116277.0,13.0,0.2217702021502423,2.479434993982602e-05,0.971725556992304,0.6896116375283599,stride: deg4_dist8
simple_triad_stride_deg4_dist16_l2_ddr4_1x,simple_triad,stride,deg4_dist16,l2,ddr4_1x,0.002476,2476209645.0,3509939.0,7436066.0,0.472018,1912432.0,2003758.0,156733.0,370709.0,,,,537505.0,213966.0,436.0,0.002897,1.170032310177706,537505.0,213966.0,436.0,0.3980725760690598,0.0008111552450674,0.9544226398597035,0.4227925407799648,stride: deg4_dist16
