run,benchmark,prefetcher,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,label
spmv_stride_deg32_dist1_l1d_ddr4_2x,spmv,stride,deg32_dist1,l1d,ddr4_2x,0.00568,5680147500.0,11279576.0,17057500.0,0.662674,1682633.0,4826587.0,545717.0,2011717.0,4321198.0,163543.0,307488.0,,,,0.009047,1.592781690140845,4321198.0,163543.0,307488.0,0.037846680480737,0.0711580445978175,0.3486175635081269,0.2712692689876359,stride: deg32_dist1
spmv_stride_deg32_dist4_l1d_ddr4_2x,spmv,stride,deg32_dist4,l1d,ddr4_2x,0.005738,5737745511.0,11279576.0,17230467.0,0.656022,1936415.0,4826785.0,547680.0,2046710.0,4057435.0,109938.0,342065.0,,,,0.009047,1.576681770651795,4057435.0,109938.0,342065.0,0.0270954433034663,0.0843057251687334,0.4011811174518856,0.2675904256098812,stride: deg32_dist4
spmv_stride_deg32_dist8_l1d_ddr4_2x,spmv,stride,deg32_dist8,l1d,ddr4_2x,0.005805,5804988201.0,11279576.0,17432397.0,0.648423,2220003.0,4826786.0,549569.0,2067296.0,3691809.0,54902.0,362873.0,,,,0.009047,1.5584840654608094,3691809.0,54902.0,362873.0,0.0148713002216528,0.0982913796461301,0.4599340016317276,0.2658395314459081,stride: deg32_dist8
spmv_stride_deg32_dist16_l1d_ddr4_2x,spmv,stride,deg32_dist16,l1d,ddr4_2x,0.00584,5839740414.0,11279581.0,17536758.0,0.644565,2614562.0,4826201.0,547568.0,2041547.0,2966921.0,8851.0,339611.0,,,,0.009047,1.5491438356164384,2966921.0,8851.0,339611.0,0.0029832273929774,0.1144658047854998,0.5417432883545463,0.268212291953112,stride: deg32_dist16
spmv_stride_deg16_dist1_l1d_ddr4_2x,spmv,stride,deg16_dist1,l1d,ddr4_2x,0.006297,6296816880.0,11279576.0,18909360.0,0.597776,1672189.0,4827268.0,536665.0,1846733.0,2694697.0,165105.0,148746.0,,,,0.009047,1.436715896458631,2694697.0,165105.0,148746.0,0.0612703394852927,0.0551995270711326,0.3464048401704649,0.2906023772792277,stride: deg16_dist1
spmv_stride_deg16_dist4_l1d_ddr4_2x,spmv,stride,deg16_dist4,l1d,ddr4_2x,0.006376,6376174110.0,11279576.0,19147670.0,0.590337,1899797.0,4827319.0,539473.0,1874152.0,2547857.0,122626.0,175599.0,,,,0.009047,1.4189146800501882,2547857.0,122626.0,175599.0,0.0481290747479156,0.0689202729980528,0.3935511616282247,0.2878491178943864,stride: deg16_dist4
spmv_stride_deg16_dist16_l1d_ddr4_2x,spmv,stride,deg16_dist16,l1d,ddr4_2x,0.006467,6467442750.0,11279576.0,19421750.0,0.582006,2624870.0,4826742.0,542232.0,1929209.0,1964941.0,13591.0,231353.0,,,,0.009047,1.398948507808876,1964941.0,13591.0,231353.0,0.0069167471186157,0.1177404308831664,0.543818169688788,0.2810644155195212,stride: deg16_dist16
spmv_stride_deg16_dist8_l1d_ddr4_2x,spmv,stride,deg16_dist8,l1d,ddr4_2x,0.006467,6467349843.0,11279581.0,19421471.0,0.582014,2195405.0,4827494.0,542283.0,1908307.0,2362034.0,69063.0,209570.0,,,,0.009047,1.398948507808876,2362034.0,69063.0,209570.0,0.0292387831843233,0.0887243790732902,0.4547711504146872,0.2841696854856163,stride: deg16_dist8
spmv_stride_deg8_dist1_l1d_ddr4_2x,spmv,stride,deg8_dist1,l1d,ddr4_2x,0.006583,6583373037.0,11279576.0,19769889.0,0.571757,1613064.0,4827644.0,530439.0,1725846.0,1459621.0,182675.0,32667.0,,,,0.009047,1.3742974327814066,1459621.0,182675.0,32667.0,0.1251523511925356,0.0223804672582814,0.3341306856926484,0.3073501343688834,stride: deg8_dist1
spmv_stride_deg8_dist4_l1d_ddr4_2x,spmv,stride,deg8_dist4,l1d,ddr4_2x,0.006665,6664931397.0,11279576.0,20014809.0,0.56476,1860008.0,4827618.0,533432.0,1763471.0,1384966.0,136232.0,69154.0,,,,0.009047,1.357389347336834,1384966.0,136232.0,69154.0,0.0983648696069073,0.0499319116859186,0.3852848340527357,0.3024898056163101,stride: deg8_dist4
