run,benchmark,prefetcher,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,label
spmv_stride_deg32_dist1_l2_ddr4_1x,spmv,stride,deg32_dist1,l2,ddr4_1x,0.006546,6546278835.0,11279576.0,19658495.0,0.574997,2172103.0,4827407.0,352583.0,1686915.0,,,,4516563.0,192429.0,10995.0,0.010599,1.6191567369385886,4516563.0,192429.0,10995.0,0.0426051845175191,0.0024343732169793,0.4499523243016385,0.2090105310581742,stride: deg32_dist1
spmv_stride_deg32_dist4_l2_ddr4_1x,spmv,stride,deg32_dist4,l2,ddr4_1x,0.006617,6617226483.0,11279576.0,19871551.0,0.568832,2273182.0,4827499.0,363887.0,1686873.0,,,,4223162.0,181776.0,11644.0,0.010599,1.6017832854768024,4223162.0,181776.0,11644.0,0.0430426301430065,0.0027571757844004,0.4708819204312626,0.2157168915502234,stride: deg32_dist4
spmv_stride_deg32_dist16_l2_ddr4_1x,spmv,stride,deg32_dist16,l2,ddr4_1x,0.006624,6624474894.0,11279590.0,19893318.0,0.56821,2658852.0,4826826.0,399891.0,1686648.0,,,,3063709.0,144333.0,9110.0,0.010599,1.6000905797101452,3063709.0,144333.0,9110.0,0.0471105447677961,0.002973520004674,0.5508489429699766,0.2370921496364386,stride: deg32_dist16
spmv_stride_deg32_dist8_l2_ddr4_1x,spmv,stride,deg32_dist8,l2,ddr4_1x,0.006652,6652410930.0,11279581.0,19977210.0,0.565824,2400253.0,4827392.0,376573.0,1686822.0,,,,3841332.0,168915.0,11232.0,0.010599,1.5933553818400483,3841332.0,168915.0,11232.0,0.0439730281058757,0.0029239857424455,0.4972152665455799,0.2232440648746577,stride: deg32_dist8
spmv_stride_deg16_dist1_l2_ddr4_1x,spmv,stride,deg16_dist1,l2,ddr4_1x,0.007106,7105527693.0,11279581.0,21337921.0,0.529741,2173894.0,4827513.0,343582.0,1687026.0,,,,2718433.0,192569.0,6022.0,0.010599,1.491556431184914,2718433.0,192569.0,6022.0,0.0708382365870337,0.0022152467984313,0.4503134429674244,0.2036613543596838,stride: deg16_dist1
spmv_stride_deg16_dist4_l2_ddr4_1x,spmv,stride,deg16_dist4,l2,ddr4_1x,0.007176,7175747070.0,11279576.0,21548790.0,0.524557,2276751.0,4827505.0,355790.0,1686981.0,,,,2568842.0,181827.0,7113.0,0.010599,1.4770066889632107,2568842.0,181827.0,7113.0,0.070781698524082,0.0027689519246415,0.4716206404757737,0.2109033830256535,stride: deg16_dist4
spmv_stride_deg16_dist8_l2_ddr4_1x,spmv,stride,deg16_dist8,l2,ddr4_1x,0.007197,7197463665.0,11279576.0,21614005.0,0.522974,2402454.0,4827360.0,369370.0,1686941.0,,,,2370606.0,168915.0,7183.0,0.010599,1.472696957065444,2370606.0,168915.0,7183.0,0.0712539325387685,0.0030300269213863,0.4976745053196778,0.2189584579425125,stride: deg16_dist8
spmv_stride_deg16_dist16_l2_ddr4_1x,spmv,stride,deg16_dist16,l2,ddr4_1x,0.007216,7215912198.0,11279576.0,21669406.0,0.521637,2663696.0,4826918.0,394532.0,1686767.0,,,,1971322.0,144333.0,6032.0,0.010599,1.468819290465632,1971322.0,144333.0,6032.0,0.0732163492316323,0.0030598755555916,0.5518419828138783,0.2338983392489893,stride: deg16_dist16
spmv_stride_deg8_dist1_l2_ddr4_1x,spmv,stride,deg8_dist1,l2,ddr4_1x,0.007306,7305767586.0,11279581.0,21939242.0,0.515222,2171739.0,4827517.0,337432.0,1687026.0,,,,1459837.0,192725.0,2890.0,0.010599,1.4507254311524775,1459837.0,192725.0,2890.0,0.1320181636716975,0.0019796730730896,0.4498666705886276,0.2000158859436665,stride: deg8_dist1
spmv_stride_deg8_dist4_l2_ddr4_1x,spmv,stride,deg8_dist4,l2,ddr4_1x,0.007407,7407053199.0,11279581.0,22243403.0,0.508177,2277277.0,4827573.0,349812.0,1686951.0,,,,1385042.0,182215.0,3937.0,0.010599,1.4309437019036046,1385042.0,182215.0,3937.0,0.1315591873748232,0.0028425130790257,0.4717229547849406,0.2073634622463841,stride: deg8_dist4
spmv_stride_deg8_dist8_l2_ddr4_1x,spmv,stride,deg8_dist8,l2,ddr4_1x,0.007432,7432216677.0,11279581.0,22318969.0,0.506456,2405753.0,4827512.0,364447.0,1686935.0,,,,1285294.0,168918.0,4662.0,0.010599,1.4261302475780409,1285294.0,168918.0,4662.0,0.1314236275902634,0.0036271856866989,0.4983422102316887,0.2160409262953226,stride: deg8_dist8
spmv_stride_deg8_dist16_l2_ddr4_1x,spmv,stride,deg8_dist16,l2,ddr4_1x,0.00744,7439952267.0,11279581.0,22342199.0,0.505929,2666279.0,4827021.0,390529.0,1686808.0,,,,1085672.0,144333.0,3983.0,0.010599,1.4245967741935484,1085672.0,144333.0,3983.0,0.1329434672718832,0.0036686955176148,0.552365320142589,0.2315195327506153,stride: deg8_dist16
spmv_stride_deg4_dist1_l2_ddr4_1x,spmv,stride,deg4_dist1,l2,ddr4_1x,0.007507,7506777708.0,11279576.0,22542876.0,0.501425,2177819.0,4827653.0,334240.0,1687037.0,,,,754848.0,192553.0,856.0,0.010599,1.4118822432396432,754848.0,192553.0,856.0,0.2550884416465301,0.0011340031370554,0.4511134085237692,0.1981225070937981,stride: deg4_dist1
spmv_stride_default_l2_ddr4_1x,spmv,stride,default,l2,ddr4_1x,0.007519,7519283190.0,11279581.0,22580430.0,0.500592,2149686.0,4827699.0,331560.0,1687027.0,,,,767312.0,194332.0,225.0,0.010599,1.4096289400186195,767312.0,194332.0,225.0,0.2532633400754843,0.0002932314364951,0.445281696311224,0.1965350880572747,Stride default
spmv_stride_deg4_dist4_l2_ddr4_1x,spmv,stride,deg4_dist4,l2,ddr4_1x,0.007542,7541985465.0,11279576.0,22648605.0,0.499085,2284180.0,4827808.0,347177.0,1686987.0,,,,717455.0,181389.0,2677.0,0.010599,1.4053301511535403,717455.0,181389.0,2677.0,0.2528228251249207,0.0037312444682941,0.4731298344921753,0.2057970808310911,stride: deg4_dist4
spmv_stride_deg4_dist8_l2_ddr4_1x,spmv,stride,deg4_dist8,l2,ddr4_1x,0.007559,7558548552.0,11279576.0,22698344.0,0.497991,2407342.0,4827602.0,361049.0,1686918.0,,,,667587.0,168908.0,2684.0,0.010599,1.4021695991533274,667587.0,168908.0,2684.0,0.253012715945637,0.0040204497690937,0.4986620686626611,0.2140287791107807,stride: deg4_dist8
spmv_stride_deg4_dist16_l2_ddr4_1x,spmv,stride,deg4_dist16,l2,ddr4_1x,0.007562,7561943154.0,11279576.0,22708538.0,0.497767,2665045.0,4827025.0,387885.0,1686815.0,,,,567796.0,144333.0,2306.0,0.010599,1.4016133298069295,567796.0,144333.0,2306.0,0.2541986910791904,0.004061317797237,0.552109218410926,0.2299511208994465,stride: deg4_dist16
spmv_stride_deg1_dist32_l2_ddr4_1x,spmv,stride,deg1_dist32,l2,ddr4_1x,0.007597,7597494900.0,11279581.0,22815300.0,0.495438,3177789.0,4826116.0,437217.0,1686618.0,,,,96709.0,95181.0,1526.0,0.010599,1.3951559826247204,96709.0,95181.0,1526.0,0.9842000227486584,0.0157792966528451,0.6584568211787698,0.2592270448910186,stride: deg1_dist32
