run,benchmark,prefetcher,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused
bfs_stride_deg16_dist16_l1d_ddr4_1x,bfs,stride,deg16_dist16,l1d,ddr4_1x,0.024087,24087142080.0,30729211.0,72333760.0,0.424826,6378910.0,11436409.0,1719650.0,4042949.0,3094997.0,195334.0,459861.0,nan,nan,nan
bfs_stride_deg16_dist16_l1d_ddr4_2x,bfs,stride,deg16_dist16,l1d,ddr4_2x,0.021365,21365471142.0,30729211.0,64160574.0,0.478943,6290102.0,11358302.0,1703356.0,4029580.0,3107088.0,198369.0,447749.0,nan,nan,nan
bfs_stride_deg16_dist16_l2_ddr4_1x,bfs,stride,deg16_dist16,l2,ddr4_1x,0.024799,24798788055.0,30729211.0,74470835.0,0.412635,7040298.0,11456438.0,1357677.0,3528543.0,nan,nan,nan,2614092.0,166992.0,209419.0
bfs_stride_deg16_dist16_l2_ddr4_2x,bfs,stride,deg16_dist16,l2,ddr4_2x,0.021926,21926467584.0,30729211.0,65845248.0,0.466689,6960226.0,11381255.0,1353894.0,3522537.0,nan,nan,nan,2740568.0,170103.0,206035.0
bfs_stride_deg16_dist1_l1d_ddr4_1x,bfs,stride,deg16_dist1,l1d,ddr4_1x,0.021516,21516423039.0,30729211.0,64613883.0,0.475583,5001235.0,11432582.0,1773126.0,4069404.0,3997573.0,302754.0,476002.0,nan,nan,nan
bfs_stride_deg16_dist1_l1d_ddr4_2x,bfs,stride,deg16_dist1,l1d,ddr4_2x,0.018938,18938053989.0,30729211.0,56871033.0,0.540332,4915288.0,11348576.0,1772472.0,4072965.0,4158488.0,309313.0,479048.0,nan,nan,nan
bfs_stride_deg16_dist1_l2_ddr4_1x,bfs,stride,deg16_dist1,l2,ddr4_1x,0.022525,22525148970.0,30729211.0,67643090.0,0.454285,6624170.0,11448899.0,1295813.0,3529319.0,nan,nan,nan,3562761.0,240421.0,252259.0
bfs_stride_deg16_dist1_l2_ddr4_2x,bfs,stride,deg16_dist1,l2,ddr4_2x,0.019721,19721034558.0,30729211.0,59222326.0,0.518879,6583346.0,11373867.0,1290973.0,3529490.0,nan,nan,nan,3657523.0,245588.0,253295.0
bfs_stride_deg16_dist32_l1d_ddr4_1x,bfs,stride,deg16_dist32,l1d,ddr4_1x,0.025472,25472128707.0,30729211.0,76492879.0,0.401727,7006073.0,11442816.0,1628082.0,3872619.0,1877886.0,112535.0,307391.0,nan,nan,nan
bfs_stride_deg16_dist32_l1d_ddr4_2x,bfs,stride,deg16_dist32,l1d,ddr4_2x,0.022796,22796423091.0,30729211.0,68457727.0,0.448879,6896500.0,11362942.0,1622874.0,3868214.0,1900891.0,113267.0,303281.0,nan,nan,nan
bfs_stride_deg16_dist32_l2_ddr4_1x,bfs,stride,deg16_dist32,l2,ddr4_1x,0.025966,25965983691.0,30729211.0,77975927.0,0.394086,7311490.0,11460493.0,1392200.0,3528613.0,nan,nan,nan,1572164.0,109902.0,130318.0
bfs_stride_deg16_dist32_l2_ddr4_2x,bfs,stride,deg16_dist32,l2,ddr4_2x,0.023182,23181937524.0,30729211.0,69615428.0,0.441414,7191257.0,11381220.0,1392282.0,3522374.0,nan,nan,nan,1621545.0,109993.0,132026.0
bfs_stride_deg16_dist4_l1d_ddr4_1x,bfs,stride,deg16_dist4,l1d,ddr4_1x,0.022568,22567955454.0,30729211.0,67771638.0,0.453423,5457697.0,11436353.0,1766994.0,4083624.0,3898636.0,275823.0,490064.0,nan,nan,nan
bfs_stride_deg16_dist4_l1d_ddr4_2x,bfs,stride,deg16_dist4,l1d,ddr4_2x,0.0199,19900193220.0,30729211.0,59760340.0,0.514208,5368085.0,11350546.0,1770773.0,4089832.0,4017815.0,283011.0,495633.0,nan,nan,nan
bfs_stride_deg16_dist4_l2_ddr4_1x,bfs,stride,deg16_dist4,l2,ddr4_1x,0.023424,23423598288.0,30729211.0,70341136.0,0.43686,6746667.0,11450264.0,1321564.0,3528877.0,nan,nan,nan,3355839.0,214101.0,249506.0
bfs_stride_deg16_dist4_l2_ddr4_2x,bfs,stride,deg16_dist4,l2,ddr4_2x,0.02059,20590481574.0,30729211.0,61833278.0,0.496969,6703705.0,11374799.0,1317231.0,3529126.0,nan,nan,nan,3416117.0,218724.0,250488.0
