benchmark,pf_level,memory,run,prefetcher,config,simSeconds,simTicks,simInsts,simOps,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_demand_miss_latency,l1d_demand_avg_miss_latency,l2_demand_miss_latency,l2_demand_avg_miss_latency,l1d_blocked_cycles_no_mshrs,l1d_blocked_causes_no_mshrs,l1d_avg_blocked_no_mshrs,l2_blocked_cycles_no_mshrs,l2_blocked_causes_no_mshrs,l2_avg_blocked_no_mshrs,l1d_demand_mshr_hits,l1d_demand_mshr_misses,l1d_demand_mshr_miss_rate,l1d_demand_avg_mshr_miss_latency,l2_demand_mshr_hits,l2_demand_mshr_misses,l2_demand_mshr_miss_rate,l2_demand_avg_mshr_miss_latency,mem_avg_rdq_len,mem_avg_wrq_len,mem_num_rd_retry,mem_num_wr_retry,mem_avg_read_bw_sys,mem_avg_write_bw_sys,dram_bw_read_total,dram_bw_write_total,dram_bw_total,dram_peak_bw,dram_avg_rd_bw,dram_avg_wr_bw,dram_avg_q_lat,dram_avg_bus_lat,dram_avg_mem_acc_lat,load_to_use_samples,load_to_use_mean,load_to_use_stdev,load_to_use_overflows,load_to_use_min,load_to_use_max,added_loads_and_stores,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l1d_prefetcher_accuracy,l1d_prefetcher_coverage,l1d_pf_late,l1d_pf_hit_in_cache,l1d_pf_hit_in_mshr,l1d_pf_hit_in_wb,l1d_pf_identified,l1d_pf_buffer_hit,l1d_pf_in_cache,l1d_pf_removed_demand,l1d_pf_removed_full,l1d_pf_span_page,l1d_pf_useful_span_page,l2_pf_issued,l2_pf_useful,l2_pf_unused,l2_prefetcher_accuracy,l2_prefetcher_coverage,l2_pf_late,l2_pf_hit_in_cache,l2_pf_hit_in_mshr,l2_pf_hit_in_wb,l2_pf_identified,l2_pf_buffer_hit,l2_pf_in_cache,l2_pf_removed_demand,l2_pf_removed_full,l2_pf_span_page,l2_pf_useful_span_page,l1d_prefetcher_read_bytes,l1d_prefetcher_read_rate,l1d_prefetcher_read_accesses,l1d_prefetcher_read_avg_lat,l2_prefetcher_read_bytes,l2_prefetcher_read_rate,l2_prefetcher_read_accesses,l2_prefetcher_read_avg_lat,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,pf_coverage,pf_late,pf_late_ratio,pf_removed_full,pf_removed_demand,pf_buffer_hit,pf_identified,pf_removed_full_ratio,pf_removed_demand_ratio,pf_buffer_hit_ratio,prefetcher_read_rate,prefetcher_read_bytes,dram_bw_utilization
bfs,l1d,ddr4_1x,bfs_stride_default_l1d_ddr4_1x,stride,default,0.020682,20681795169.0,30729211.0,31124590.0,62107493.0,0.494775,5229582.0,11431182.0,1570261.0,3720765.0,202751875147.0,38770.187588,125293525660.0,79791.528708,1809486.0,282128.0,6.413706,0.0,0.0,,2087885.0,3141697.0,0.274836,35619.107821,,1570261.0,0.422026,79458.528708,6.0,57.41,0.0,0.0,4859189793.671048,481756245.9439905,4859186699.0,481756246.0,5340942945.0,19207.0,4841.764614,481.487024,34974.25,3332.0,52466.25,8774099.0,52.569668,102.007414,122032.0,2.0,1734.0,12769535.0,1561537.0,225039.0,171084.0,0.144114,0.066842,982691.0,369743.0,612938.0,10.0,2270782.0,466889.0,0.0,102086.0,82.0,91622.0,34699.0,,,,,,,,,,,,,,,,,23270784.0,1125182016.83385,363963.0,51001.49,,,,,0.02764,1.336427811623634,1561537.0,225039.0,171084.0,0.14411378020501595,0.10956128481105475,0.4574839242346067,0.4220263843591304,0.04125657859638644,982691.0,0.6293100963986124,82.0,102086.0,466889.0,2270782.0,3.61109080484168e-05,0.04495631901256924,0.2056071432660643,1125182016.83385,23270784.0,0.26519082168155667
bfs,l1d,ddr4_2x,bfs_stride_default_l1d_ddr4_2x,stride,default,0.018619,18618579783.0,30729211.0,31124590.0,55911651.0,0.549604,5145970.0,11352656.0,1569162.0,3720031.0,169903268306.0,33016.762303,101722993685.0,64826.317286,1235102.0,213679.0,5.780175,0.0,0.0,,2004420.0,3141550.0,0.276724,29994.245167,,1569162.0,0.421814,64493.317286,,,,,,,,,,,,,,,,8774099.0,45.669246,88.724062,46302.0,2.0,1691.0,12672534.0,1624999.0,228574.0,170049.0,0.140661,0.067824,1046757.0,419063.0,627688.0,6.0,2245273.0,405569.0,0.0,93992.0,37.0,90363.0,35484.0,,,,,,,,,,,,,,,,,,,,,,,,,0.025176,1.3521671410924325,1624999.0,228574.0,170049.0,0.14066100963754438,0.10464560285883252,0.4532833550140161,0.42181422681692704,0.04252900339079929,1046757.0,0.6441585502514156,37.0,93992.0,405569.0,2245273.0,1.6479065129273813e-05,0.04186216999001903,0.1806323774436338,,,
bfs,l2,ddr4_1x,bfs_stride_default_l2_ddr4_1x,stride,default,0.021443,21442858011.0,30729211.0,31124590.0,64392967.0,0.477214,6558838.0,11433907.0,1275419.0,3530195.0,211733211501.0,32282.122458,101203944226.0,79349.566085,1003819.0,78981.0,12.709626,13149.0,512.0,25.681641,3028870.0,3529968.0,0.308728,33333.689054,60865.0,1214554.0,0.344047,80042.076414,5.89,57.55,0.0,0.0,4696448577.346315,462806963.2746308,4696445593.0,462806963.0,5159252556.0,19207.0,4680.047779,462.520434,34659.86,3332.0,52151.86,8774099.0,55.383228,103.310519,129591.0,2.0,1741.0,12789416.0,,,,,,,,,,,,,,,,,1146942.0,215245.0,82845.0,0.187669,0.150542,787977.0,430496.0,357481.0,0.0,1159534.0,7802.0,0.0,2453.0,0.0,46750.0,33679.0,,,,,22963008.0,1070893067.902617,358857.0,48689.76,0.02764,1.2889987408478292,1146942.0,215245.0,82845.0,0.18766860050464626,0.07223120262402109,0.5736305184220931,0.36128854071800565,0.14439538353378092,787977.0,0.6870242784726691,0.0,2453.0,7802.0,1159534.0,0.0,0.0021155050218449826,0.006728565095978212,1070893067.902617,22963008.0,0.25616945147657094
bfs,l2,ddr4_2x,bfs_stride_default_l2_ddr4_2x,stride,default,0.019193,19193138316.0,30729211.0,31124590.0,57637052.0,0.533151,6534306.0,11358445.0,1273326.0,3530272.0,177253869023.0,27126.655688,82063559849.0,64448.193039,668723.0,65778.0,10.166363,6726.0,304.0,22.125,3004273.0,3530033.0,0.310785,27956.688083,58536.0,1214790.0,0.344107,65329.778387,,,,,,,,,,,,,,,,8774099.0,47.998644,88.492933,47157.0,2.0,1677.0,12700650.0,,,,,,,,,,,,,,,,,1144358.0,217106.0,82032.0,0.189719,0.151621,786671.0,440856.0,345815.0,0.0,1156453.0,7061.0,0.0,2554.0,0.0,46659.0,33937.0,,,,,,,,,0.025176,1.311728234252071,1144358.0,217106.0,82032.0,0.18971860204586327,0.0716838611693194,0.5752817397099691,0.36068778836304966,0.14566649132600482,786671.0,0.6874343518374495,0.0,2554.0,7061.0,1156453.0,0.0,0.0022084771279074896,0.006105738841094277,,,
matmult,l1d,ddr4_1x,matmult_stride_deg16_dist1_l1d_ddr4_1x,stride,deg16_dist1,0.001199,1198729737.0,7397871.0,7415194.0,3599789.0,2.055087,1144560.0,2138467.0,5471.0,1079992.0,18673728316.0,16315.202625,461679113.0,84386.60446,987067.0,537108.0,1.837744,0.0,0.0,,71991.0,1072569.0,0.50156,16186.292602,,5471.0,0.005066,84053.543593,4.25,57.74,0.0,0.0,292202645.17388874,226693300.0928799,292149255.0,226693300.0,518842555.0,19207.0,279.282302,226.479741,42298.65,3332.0,59790.65,2106632.0,29.395386,26.88094,430.0,2.0,1510.0,2148002.0,16594.0,3806.0,2328.0,0.22936,0.003536,9388.0,9083.0,299.0,6.0,897134.0,87093.0,0.0,505899.0,45171.0,15701474.0,15023.0,,,,,,,,,,,,,,,,,243328.0,202988207.00733143,3864.0,60339.63,,,,,0.001279,1.066722268557131,16594.0,3806.0,2328.0,0.2293600096420393,0.14029167168856213,0.5352245323402232,0.005065778265024186,0.003314274368972958,9388.0,0.5657466554176208,45171.0,505899.0,87093.0,897134.0,0.05035033785365397,0.563905726457809,0.09707914313803735,202988207.00733143,243328.0,0.02576179616609034
matmult,l1d,ddr4_2x,matmult_stride_deg16_dist1_l1d_ddr4_2x,stride,deg16_dist1,0.001201,1201419711.0,7397871.0,7415194.0,3607867.0,2.050486,1146071.0,2138461.0,5430.0,1079982.0,18708345047.0,16323.897077,366501884.0,67495.74291,954706.0,524159.0,1.821405,0.0,0.0,,73172.0,1072899.0,0.501715,16198.819434,,5430.0,0.005028,67162.681584,,,,,,,,,,,,,,,,2106632.0,29.496197,26.410281,388.0,2.0,1269.0,2151484.0,15634.0,3477.0,2385.0,0.2224,0.00323,8767.0,8550.0,215.0,2.0,892973.0,94388.0,0.0,502966.0,39317.0,15600131.0,11023.0,,,,,,,,,,,,,,,,,,,,,,,,,0.001298,1.0807660283097418,15634.0,3477.0,2385.0,0.22239989765894844,0.15255212997313547,0.5359326169614503,0.005027861575470702,0.003024667086541841,8767.0,0.5607649993603684,39317.0,502966.0,94388.0,892973.0,0.04402932675456033,0.5632488328314518,0.10570084425844903,,,
matmult,l2,ddr4_1x,matmult_stride_deg16_dist1_l2_ddr4_1x,stride,deg16_dist1,0.001194,1194032106.0,7397876.0,7415199.0,3585682.0,2.063174,1160002.0,2138498.0,1496.0,1077910.0,19032943035.0,16407.681224,114522683.0,76552.595588,899528.0,501482.0,1.793739,328.0,23.0,14.26087,82309.0,1077693.0,0.503949,16312.832501,423.0,1073.0,0.000995,77935.332712,2.02,57.61,0.0,0.0,292869846.83475506,226673971.8638688,292816247.0,226673972.0,519490219.0,19207.0,279.309072,226.781172,36502.6,3332.0,53994.6,2106632.0,29.682462,27.060383,851.0,2.0,1343.0,2147183.0,,,,,,,,,,,,,,,,,55891.0,3967.0,5.0,0.070977,0.787103,51502.0,44627.0,6870.0,5.0,56450.0,448.0,0.0,12.0,0.0,24446.0,10208.0,,,,,276736.0,231765962.24624464,4389.0,51279.06,0.001279,1.0711892797319933,55891.0,3967.0,5.0,0.07097743822797946,8.94598414771609e-05,0.5424377296588541,0.001387870972530174,0.7261577887607542,51502.0,0.9214721511513482,0.0,12.0,448.0,56450.0,0.0,0.00021257750221434897,0.007936226749335695,231765962.24624464,276736.0,0.0257939542606632
matmult,l2,ddr4_2x,matmult_stride_deg32_dist1_l2_ddr4_2x,stride,deg32_dist1,0.001194,1194269535.0,7397876.0,7415199.0,3586395.0,2.062764,1157637.0,2137831.0,1479.0,1076666.0,18797251884.0,16237.604607,112579964.0,76118.974983,882233.0,496372.0,1.777363,263.0,18.0,14.611111,81187.0,1076450.0,0.503524,16159.446711,328.0,1151.0,0.001069,76569.16073,,,,,,,,,,,,,,,,2106632.0,29.462336,26.512272,471.0,2.0,1250.0,2149280.0,,,,,,,,,,,,,,,,,94102.0,3958.0,10.0,0.042061,0.774711,89812.0,83887.0,5924.0,1.0,95726.0,1482.0,0.0,23.0,32.0,60786.0,36064.0,,,,,,,,,0.001298,1.0871021775544387,94102.0,3958.0,10.0,0.04206074259845699,0.00010626766699963868,0.5415007079605451,0.001373685061105301,0.7279749862056281,89812.0,0.954411170857155,32.0,23.0,1482.0,95726.0,0.00033428744541712805,0.0002402691013935608,0.015481687315880743,,,
merge,l1d,ddr4_1x,merge_stride_deg32_dist1_l1d_ddr4_1x,stride,deg32_dist1,0.009817,9816541299.0,37918834.0,38897847.0,29479103.0,1.286297,252361.0,10933703.0,73655.0,221497.0,11073381358.0,43879.13092,7815597821.0,106110.89296,56998.0,2114.0,26.962157,0.0,0.0,,211201.0,41160.0,0.003765,33796.344461,,73655.0,0.332533,105777.897482,5.15,48.26,0.0,0.0,480201718.3465832,313619217.4237192,480195199.0,313619217.0,793814416.0,19207.0,475.827061,313.228041,61515.41,3332.0,79007.41,5213252.0,3.627617,22.401708,9107.0,2.0,1757.0,14404011.0,2098560.0,159467.0,10489.0,0.075989,0.794843,1918494.0,1830083.0,88390.0,21.0,3910572.0,273128.0,0.0,3974.0,1526417.0,1496532.0,1262021.0,,,,,,,,,,,,,,,,,3989248.0,406380198.3297702,62933.0,76795.66,,,,,0.011631,1.1847815014770298,2098560.0,159467.0,10489.0,0.07598877325404087,0.00499818923452272,0.023081018388738016,0.33253272053346095,0.3872174791417776,1918494.0,0.9141954483074108,1526417.0,3974.0,273128.0,3910572.0,0.3903308774266271,0.0010162196220910905,0.06984349092664704,406380198.3297702,3989248.0,0.03941481858344492
merge,l1d,ddr4_2x,merge_stride_deg32_dist1_l1d_ddr4_2x,stride,deg32_dist1,0.009741,9741283632.0,37918829.0,38897842.0,29253104.0,1.296234,234038.0,10933576.0,73706.0,221524.0,7065442619.0,30189.296691,5713618126.0,77519.036795,41859.0,1812.0,23.100993,0.0,0.0,,196706.0,37332.0,0.003414,22902.295136,,73706.0,0.332722,77186.041313,,,,,,,,,,,,,,,,5213252.0,3.151999,16.665911,4449.0,2.0,1733.0,14403833.0,2114484.0,162543.0,10512.0,0.076871,0.813223,1930578.0,1846673.0,83884.0,21.0,3907688.0,285747.0,0.0,3752.0,1494968.0,1496152.0,1285701.0,,,,,,,,,,,,,,,,,,,,,,,,,0.011697,1.2008007391438251,2114484.0,162543.0,10512.0,0.07687123667050685,0.004971425652783374,0.021405439537805382,0.33272241382423573,0.40986078506030293,1930578.0,0.9130255892217676,1494968.0,3752.0,285747.0,3907688.0,0.3825709729128835,0.0009601585387574443,0.07312431289294334,,,
